"Mention","Frequency","screen_name"
"RulesReps",264,"PeteSessions"
"PeteSessions",205,"PeteSessions"
"HouseFloor",170,"PeteSessions"
"GOPLeader",97,"PeteSessions"
"cspan",68,"PeteSessions"
"TheWellsReport",51,"PeteSessions"
"MarkDavis",48,"PeteSessions"
"660KSKY",46,"PeteSessions"
"NBCDFW",36,"PeteSessions"
"HouseGOP",35,"PeteSessions"
"HouseCommerce",22,"PeteSessions"
"FoxNews",18,"PeteSessions"
"WBAP247NEWS",18,"PeteSessions"
"JasonWhitely",16,"PeteSessions"
"WBAP",16,"PeteSessions"
"570KLIF",15,"PeteSessions"
"GOPoversight",15,"PeteSessions"
"JulieFineNBC5",15,"PeteSessions"
"KRLD",15,"PeteSessions"
"CBSDFW",14,"PeteSessions"
"wfaachannel8",14,"PeteSessions"
"GeoBraunRadio",13,"PeteSessions"
"NDSS",13,"PeteSessions"
"POTUS",13,"PeteSessions"
"SMU",13,"PeteSessions"
"SpeakerBoehner",13,"PeteSessions"
"1440WROK",12,"PeteSessions"
"CNN",12,"PeteSessions"
"foxandfriends",12,"PeteSessions"
"HouseHomeland",12,"PeteSessions"
"NewDay",12,"PeteSessions"
"ChrisSalcedoTX",11,"PeteSessions"
"gromerjeffers",11,"PeteSessions"
"michaelcburgess",11,"PeteSessions"
"cathymcmorris",10,"PeteSessions"
"DarrellIssa",10,"PeteSessions"
"HouseJudiciary",10,"PeteSessions"
"NTMWD",10,"PeteSessions"
"SamsPressShop",10,"PeteSessions"
"WaysandMeansGOP",10,"PeteSessions"
"AIPAC",9,"PeteSessions"
"boyscouts",9,"PeteSessions"
"dallasnews",9,"PeteSessions"
"DallasPD",9,"PeteSessions"
"FoxBusiness",9,"PeteSessions"
"JordanSpieth",9,"PeteSessions"
"ScotBertram",9,"PeteSessions"
"DRChamber",8,"PeteSessions"
"MitchCarrNews",8,"PeteSessions"
"realDonaldTrump",8,"PeteSessions"
"RepBillFlores",8,"PeteSessions"
"SteveScalise",8,"PeteSessions"
"TeamCavuto",8,"PeteSessions"
"FinancialCmte",7,"PeteSessions"
"GEDallasChamber",7,"PeteSessions"
"GovAbbott",7,"PeteSessions"
"kaybaileyhutch",7,"PeteSessions"
"KSKY660AM",7,"PeteSessions"
"NatResources",7,"PeteSessions"
"NIHDirector",7,"PeteSessions"
"RepGoodlatte",7,"PeteSessions"
"AnderCrenshaw",6,"PeteSessions"
"CapitolPolice",6,"PeteSessions"
"EdWorkforce",6,"PeteSessions"
"GovernorPerry",6,"PeteSessions"
"Morning_Joe",6,"PeteSessions"
"PiKappaAlpha",6,"PeteSessions"
"RepByrne",6,"PeteSessions"
"RepHensarling",6,"PeteSessions"
"RepKevinBrady",6,"PeteSessions"
"RepMcCaul",6,"PeteSessions"
"RepRatcliffe",6,"PeteSessions"
"RusstClark",6,"PeteSessions"
"UPS",6,"PeteSessions"
"USChamber",6,"PeteSessions"
"USDOL",6,"PeteSessions"
"wfaaweathertoo",6,"PeteSessions"
"amychodroff",5,"PeteSessions"
"ChildrensTheOne",5,"PeteSessions"
"ChrisCuomo",5,"PeteSessions"
"CindyBurkett_TX",5,"PeteSessions"
"dallascowboys",5,"PeteSessions"
"DallasLighthous",5,"PeteSessions"
"DouglasAthas",5,"PeteSessions"
"fema",5,"PeteSessions"
"hughhewitt",5,"PeteSessions"
"JohnCornyn",5,"PeteSessions"
"Rangers",5,"PeteSessions"
"RepEBJ",5,"PeteSessions"
"RepMaloney",5,"PeteSessions"
"RepPeteOlson",5,"PeteSessions"
"SXMPOTUS",5,"PeteSessions"
"uscapitol",5,"PeteSessions"
"WadeEmmert",5,"PeteSessions"
"aao_ophth",4,"PeteSessions"
"AngieChenButton",4,"PeteSessions"
"DallasBA",4,"PeteSessions"
"HouseAppropsGOP",4,"PeteSessions"
"LeeforDallas",4,"PeteSessions"
"Mike_Rawlings",4,"PeteSessions"
"politico",4,"PeteSessions"
