"Hashtag","Frequency","screen_name"
"Iran",206,"PeterRoskam"
"IRS",206,"PeterRoskam"
"Obamacare",137,"PeterRoskam"
"IRSabuse",59,"PeterRoskam"
"IranDeal",54,"PeterRoskam"
"IRSAbuse",53,"PeterRoskam"
"SIGMA",48,"PeterRoskam"
"Israel",41,"PeterRoskam"
"BDS",26,"PeterRoskam"
"Boeing",26,"PeterRoskam"
"Benghazi",17,"PeterRoskam"
"Medicare",17,"PeterRoskam"
"TaxDay",17,"PeterRoskam"
"greta",15,"PeterRoskam"
"taxreform",15,"PeterRoskam"
"BetterWay",14,"PeterRoskam"
"ENDALZ",14,"PeterRoskam"
"TPA",13,"PeterRoskam"
"OnHisDesk",11,"PeterRoskam"
"LastSOTU",10,"PeterRoskam"
"TaxReform",10,"PeterRoskam"
"Illinois",9,"PeterRoskam"
"IRGC",9,"PeterRoskam"
"FlyTheW",8,"PeterRoskam"
"KeystoneXL",8,"PeterRoskam"
"NDAA",8,"PeterRoskam"
"SCOTUS",8,"PeterRoskam"
"Syria",8,"PeterRoskam"
"Ukraine",8,"PeterRoskam"
"Blackhawks",7,"PeterRoskam"
"ISIS",7,"PeterRoskam"
"NancyReagan",7,"PeterRoskam"
"BenghaziReport",6,"PeterRoskam"
"POLITICOTaxReform",6,"PeterRoskam"
"Russia",6,"PeterRoskam"
"SOTU",6,"PeterRoskam"
"SyriaExpress",6,"PeterRoskam"
"TPA4USJobs",6,"PeterRoskam"
"Zika",6,"PeterRoskam"
"ALZstory",5,"PeterRoskam"
"Cubs",5,"PeterRoskam"
"DISARMAct",5,"PeterRoskam"
"freefile",5,"PeterRoskam"
"GiftTax",5,"PeterRoskam"
"JCPOA",5,"PeterRoskam"
"MarchForLife",5,"PeterRoskam"
"obamacare",5,"PeterRoskam"
"PRIMEAct",5,"PeterRoskam"
"prolife",5,"PeterRoskam"
"RepealAndReplace",5,"PeterRoskam"
"taxpublicforum",5,"PeterRoskam"
"Elgin",4,"PeterRoskam"
"FreeFile",4,"PeterRoskam"
"Guantánamo",4,"PeterRoskam"
"Hillary",4,"PeterRoskam"
"Holocaust",4,"PeterRoskam"
"HolocaustRemembrance",4,"PeterRoskam"
"HydeAmendment",4,"PeterRoskam"
"HydeSavesLives",4,"PeterRoskam"
"IL06",4,"PeterRoskam"
"SAVERSAct",4,"PeterRoskam"
"StCharles",4,"PeterRoskam"
"WhyWeMarch",4,"PeterRoskam"
"AHCA",3,"PeterRoskam"
"Algonquin",3,"PeterRoskam"
"Chicago",3,"PeterRoskam"
"Constitution",3,"PeterRoskam"
"GenXSaves",3,"PeterRoskam"
"GoCubsGo",3,"PeterRoskam"
"IranTalks",3,"PeterRoskam"
"LakeZurich",3,"PeterRoskam"
"LetsGo",3,"PeterRoskam"
"LoisLerner",3,"PeterRoskam"
"manufacturing",3,"PeterRoskam"
"MemorialDay",3,"PeterRoskam"
"Naperville",3,"PeterRoskam"
"Obama",3,"PeterRoskam"
"OnTheRecord",3,"PeterRoskam"
"Palatine",3,"PeterRoskam"
"QassamAct",3,"PeterRoskam"
"SAVERS",3,"PeterRoskam"
"Scalia",3,"PeterRoskam"
"SchoolChoice",3,"PeterRoskam"
"ShimonPeres",3,"PeterRoskam"
"SmallBiz",3,"PeterRoskam"
"StanleyCup",3,"PeterRoskam"
"tbt",3,"PeterRoskam"
"TimeToBuild",3,"PeterRoskam"
"trade",3,"PeterRoskam"
"US",3,"PeterRoskam"
