"Hashtag","Frequency","screen_name"
"KY6",387,"RepAndyBarr"
"Obamacare",84,"RepAndyBarr"
"TaxCutsandJobsAct",44,"RepAndyBarr"
"BBN",38,"RepAndyBarr"
"ky6",28,"RepAndyBarr"
"NoSpecialTreatment",19,"RepAndyBarr"
"KY",17,"RepAndyBarr"
"KY6YAMB",17,"RepAndyBarr"
"SOTU",17,"RepAndyBarr"
"Kentucky",16,"RepAndyBarr"
"bbn",14,"RepAndyBarr"
"TaxReform",14,"RepAndyBarr"
"accessibility",13,"RepAndyBarr"
"jobs",13,"RepAndyBarr"
"SchumerShutdown",13,"RepAndyBarr"
"KentuckyBourbon",12,"RepAndyBarr"
"KyProud",12,"RepAndyBarr"
"REINSAct",12,"RepAndyBarr"
"KY6PhotoADay",11,"RepAndyBarr"
"KYProud",11,"RepAndyBarr"
"taxreform",11,"RepAndyBarr"
"BetterWay",10,"RepAndyBarr"
"IRS",10,"RepAndyBarr"
"coal",9,"RepAndyBarr"
"DontDoubleMyRate",9,"RepAndyBarr"
"HR2312",9,"RepAndyBarr"
"IranDeal",9,"RepAndyBarr"
"WarOnCoal",9,"RepAndyBarr"
"Accessibility",8,"RepAndyBarr"
"HR2010",8,"RepAndyBarr"
"MarchMadness",8,"RepAndyBarr"
"stoptheIRS",8,"RepAndyBarr"
"TPA4USJobs",8,"RepAndyBarr"
"HonorFlight",7,"RepAndyBarr"
"KY06",7,"RepAndyBarr"
"SavingLivesSavingCosts",7,"RepAndyBarr"
"TaxCutsAndJobsAct",7,"RepAndyBarr"
"TaxDay",7,"RepAndyBarr"
"ThankYou",7,"RepAndyBarr"
"waroncoal",7,"RepAndyBarr"
"bourbon",6,"RepAndyBarr"
"CHOICEact",6,"RepAndyBarr"
"CoalKeepsTheLightsOn",6,"RepAndyBarr"
"FF",6,"RepAndyBarr"
"KentuckyCoal",6,"RepAndyBarr"
"ObamaCare",6,"RepAndyBarr"
"SenateMustAct",6,"RepAndyBarr"
"smallbiz",6,"RepAndyBarr"
"WWII",6,"RepAndyBarr"
"Benghazi",5,"RepAndyBarr"
"BigBlueCrush",5,"RepAndyBarr"
"bipartisan",5,"RepAndyBarr"
"CoalJobs",5,"RepAndyBarr"
"DDay",5,"RepAndyBarr"
"DoddFrank",5,"RepAndyBarr"
"HorseCaucus",5,"RepAndyBarr"
"livebythelawsyouwrite",5,"RepAndyBarr"
"NeverForget",5,"RepAndyBarr"
"Repeal",5,"RepAndyBarr"
"Syria",5,"RepAndyBarr"
"TPA4USjobs",5,"RepAndyBarr"
"4jobs",4,"RepAndyBarr"
"AHCA",4,"RepAndyBarr"
"Coal",4,"RepAndyBarr"
"ConstitutionDay",4,"RepAndyBarr"
"FaithitForward",4,"RepAndyBarr"
"GoCats",4,"RepAndyBarr"
"GoUSA",4,"RepAndyBarr"
"IBelieveThatWeWillWin",4,"RepAndyBarr"
"infrastructure",4,"RepAndyBarr"
"KeystoneXL",4,"RepAndyBarr"
"KyBourbon",4,"RepAndyBarr"
"NoNuclearIran",4,"RepAndyBarr"
"PATHAct",4,"RepAndyBarr"
"PJNET",4,"RepAndyBarr"
"REINS",4,"RepAndyBarr"
"repeal",4,"RepAndyBarr"
"SCOTUS",4,"RepAndyBarr"
"SignTheBill",4,"RepAndyBarr"
"SmallBiz",4,"RepAndyBarr"
"THIA15",4,"RepAndyBarr"
"trainwreck",4,"RepAndyBarr"
"transparency",4,"RepAndyBarr"
"USA",4,"RepAndyBarr"
"USMNT",4,"RepAndyBarr"
"VeteransDay",4,"RepAndyBarr"
"Bipartisan",3,"RepAndyBarr"
"bipartisanship",3,"RepAndyBarr"
"BourbonHeritageMonth",3,"RepAndyBarr"
"budget",3,"RepAndyBarr"
"BuildAmerica",3,"RepAndyBarr"
"CheckYourCheck",3,"RepAndyBarr"
"CHOICEAct",3,"RepAndyBarr"
"cleanracing",3,"RepAndyBarr"
"Constitution",3,"RepAndyBarr"
"DefundPP",3,"RepAndyBarr"
"FairnessForAll",3,"RepAndyBarr"
"faithitforward",3,"RepAndyBarr"
"ff",3,"RepAndyBarr"
"FinalFour",3,"RepAndyBarr"
"FourthOfJuly",3,"RepAndyBarr"
"HR2084",3,"RepAndyBarr"
"KYBourbon",3,"RepAndyBarr"
"kyproud",3,"RepAndyBarr"
"Lexington",3,"RepAndyBarr"
"LiveByTheLawsYouWrite",3,"RepAndyBarr"
"NotOneCent",3,"RepAndyBarr"
"ObamaFlightDelays",3,"RepAndyBarr"
"PJNet",3,"RepAndyBarr"
"TaxFact",3,"RepAndyBarr"
"veterans",3,"RepAndyBarr"
"Wrong4KY",3,"RepAndyBarr"
"WrongForKy",3,"RepAndyBarr"
"WRRDA",3,"RepAndyBarr"
"1N1T",2,"RepAndyBarr"
"2059more",2,"RepAndyBarr"
"accountability",2,"RepAndyBarr"
"AGT",2,"RepAndyBarr"
"AmericasGotTalent",2,"RepAndyBarr"
"ArmyBDay",2,"RepAndyBarr"
"BetterBudget",2,"RepAndyBarr"
"BuyLocal",2,"RepAndyBarr"
"cheers",2,"RepAndyBarr"
"CommitToPrevent",2,"RepAndyBarr"
"CuresNow",2,"RepAndyBarr"
"CutTheCode",2,"RepAndyBarr"
"DC",2,"RepAndyBarr"
"energy",2,"RepAndyBarr"
"fordhonorflightbluegrass",2,"RepAndyBarr"
"FreedomToFish",2,"RepAndyBarr"
"FTK",2,"RepAndyBarr"
"FullRepeal",2,"RepAndyBarr"
"FY17NDAA",2,"RepAndyBarr"
"GreatestGeneration",2,"RepAndyBarr"
"healthcare",2,"RepAndyBarr"
"heroes",2,"RepAndyBarr"
"Honor911",2,"RepAndyBarr"
"horsecaucus",2,"RepAndyBarr"
"HR2575",2,"RepAndyBarr"
"HR3230",2,"RepAndyBarr"
"immigration",2,"RepAndyBarr"
"ISIS",2,"RepAndyBarr"
"JointAddress",2,"RepAndyBarr"
"KeepYourHealthPlan",2,"RepAndyBarr"
"KentuckyProud",2,"RepAndyBarr"
"Keystone",2,"RepAndyBarr"
"KY6PhotoaDay",2,"RepAndyBarr"
"KYBeefMonth",2,"RepAndyBarr"
"KyCoal",2,"RepAndyBarr"
"MemorialDay",2,"RepAndyBarr"
"NationalBourbonDay",2,"RepAndyBarr"
"NDAA",2,"RepAndyBarr"
"NoVeto",2,"RepAndyBarr"
"NSBW",2,"RepAndyBarr"
"obamacare",2,"RepAndyBarr"
"OpeningDay",2,"RepAndyBarr"
"OpportunityEconomy",2,"RepAndyBarr"
"PoliceWeek",2,"RepAndyBarr"
"RegReform",2,"RepAndyBarr"
"RepealAndReplace",2,"RepAndyBarr"
"RSCBudget",2,"RepAndyBarr"
"seeblue",2,"RepAndyBarr"
"shopsmall",2,"RepAndyBarr"
"shutdown",2,"RepAndyBarr"
"solution",2,"RepAndyBarr"
"StandWithRand",2,"RepAndyBarr"
"StopGovtAbuse",2,"RepAndyBarr"
"tbt",2,"RepAndyBarr"
"TimetoBuild",2,"RepAndyBarr"
"trade",2,"RepAndyBarr"
"unacceptable",2,"RepAndyBarr"
"VetsJobsChat",2,"RepAndyBarr"
"voteAGT",2,"RepAndyBarr"
"WaronCoal",2,"RepAndyBarr"
"WethePeople",2,"RepAndyBarr"
"yum",2,"RepAndyBarr"
"2ndAmendment",1,"RepAndyBarr"
"5MillionBarrels",1,"RepAndyBarr"
"6thDistrict",1,"RepAndyBarr"
"6thGrade",1,"RepAndyBarr"
"A",1,"RepAndyBarr"
"ABetterBargain",1,"RepAndyBarr"
"ABLE",1,"RepAndyBarr"
"ABLEAct",1,"RepAndyBarr"
"AgDay2014",1,"RepAndyBarr"
"agriculture",1,"RepAndyBarr"
"AHCRA",1,"RepAndyBarr"
"AmericanHero",1,"RepAndyBarr"
"AmericasVets",1,"RepAndyBarr"
"AprilFools",1,"RepAndyBarr"
"Arizona",1,"RepAndyBarr"
"ArmedForcesDay",1,"RepAndyBarr"
"BalancedBudget",1,"RepAndyBarr"
"balancing",1,"RepAndyBarr"
"barrelofcompromise",1,"RepAndyBarr"
"Bbn",1,"RepAndyBarr"
"BBNBelieves",1,"RepAndyBarr"
"BBNine",1,"RepAndyBarr"
"BlackHistoryMonth",1,"RepAndyBarr"
"BlessingOfTheBikes",1,"RepAndyBarr"
"Bluegrass",1,"RepAndyBarr"
"Boblsed",1,"RepAndyBarr"
"Bourbon",1,"RepAndyBarr"
"BowlBound",1,"RepAndyBarr"
"BreastCancerAwareness",1,"RepAndyBarr"
"BringBackOurGirls",1,"RepAndyBarr"
"BrokenPromises",1,"RepAndyBarr"
"Budget",1,"RepAndyBarr"
"BYOAle8One",1,"RepAndyBarr"
"cable13",1,"RepAndyBarr"
"CAC15",1,"RepAndyBarr"
"CAPM2013",1,"RepAndyBarr"
"CARA",1,"RepAndyBarr"
"Catlanta",1,"RepAndyBarr"
"Cats",1,"RepAndyBarr"
"CleanPowerPlan",1,"RepAndyBarr"
"CleanRacing",1,"RepAndyBarr"
"coaljobs",1,"RepAndyBarr"
"CoalKeepsTheLighstOn",1,"RepAndyBarr"
"coalminers",1,"RepAndyBarr"
"CoastGuard",1,"RepAndyBarr"
"Commonwealth",1,"RepAndyBarr"
"ConfidentAmerica",1,"RepAndyBarr"
"confirmpruitt",1,"RepAndyBarr"
"Congratulations",1,"RepAndyBarr"
"CongressionalBaseballGame",1,"RepAndyBarr"
"CongressionalPhotoADay",1,"RepAndyBarr"
"Corporate",1,"RepAndyBarr"
"Corvette",1,"RepAndyBarr"
"CutWaste",1,"RepAndyBarr"
"DB16",1,"RepAndyBarr"
"DeathTaxRepeal",1,"RepAndyBarr"
"debt",1,"RepAndyBarr"
"DebtCrisis",1,"RepAndyBarr"
"declarationofindependence",1,"RepAndyBarr"
"DefundObamacare",1,"RepAndyBarr"
"disability",1,"RepAndyBarr"
"dontdoublemyrate",1,"RepAndyBarr"
"Doodle4Google",1,"RepAndyBarr"
"DRCadoption",1,"RepAndyBarr"
"EarthDay",1,"RepAndyBarr"
"Economy",1,"RepAndyBarr"
"EKU",1,"RepAndyBarr"
"EKUvsUK",1,"RepAndyBarr"
"EliteEight",1,"RepAndyBarr"
"ENDALZ",1,"RepAndyBarr"
"EndTrafficking",1,"RepAndyBarr"
"equine",1,"RepAndyBarr"
"Fannie",1,"RepAndyBarr"
"FarmBill",1,"RepAndyBarr"
"farmers",1,"RepAndyBarr"
"FASTAct",1,"RepAndyBarr"
"FHA",1,"RepAndyBarr"
"firefighters",1,"RepAndyBarr"
"FlagDay",1,"RepAndyBarr"
"FourthofJuly",1,"RepAndyBarr"
"Freddie",1,"RepAndyBarr"
"FrederickDouglass",1,"RepAndyBarr"
