"Mention","Frequency","screen_name"
"RepAndyBarr",432,"RepAndyBarr"
"FinancialCmte",127,"RepAndyBarr"
"WVLK",70,"RepAndyBarr"
"JackPattietalks",45,"RepAndyBarr"
"WaysandMeansGOP",44,"RepAndyBarr"
"NewsRadioWLAP",38,"RepAndyBarr"
"EKUPrez",30,"RepAndyBarr"
"universityofky",25,"RepAndyBarr"
"heraldleader",24,"RepAndyBarr"
"HFBluegrass",23,"RepAndyBarr"
"RepGuthrie",21,"RepAndyBarr"
"RepHalRogers",20,"RepAndyBarr"
"HouseGOP",19,"RepAndyBarr"
"larrygloverlive",19,"RepAndyBarr"
"RepJohnYarmuth",16,"RepAndyBarr"
"RepublicanStudy",16,"RepAndyBarr"
"WKYT",16,"RepAndyBarr"
"BillKET",15,"RepAndyBarr"
"MattWalshRadio",15,"RepAndyBarr"
"McConnellPress",15,"RepAndyBarr"
"BGPolitics",14,"RepAndyBarr"
"leecruse",14,"RepAndyBarr"
"JimmyRoseAGT",13,"RepAndyBarr"
"RepKevinYoder",13,"RepAndyBarr"
"SecretaryCarson",13,"RepAndyBarr"
"YouTube",13,"RepAndyBarr"
"CommerceLex",12,"RepAndyBarr"
"KYFB",12,"RepAndyBarr"
"RepJohnDelaney",12,"RepAndyBarr"
"UKCoachCalipari",12,"RepAndyBarr"
"Botticelli44",11,"RepAndyBarr"
"GovMattBevin",11,"RepAndyBarr"
"KeithRothfus",11,"RepAndyBarr"
"mycn2",11,"RepAndyBarr"
"RepEdWhitfield",11,"RepAndyBarr"
"SpeakerRyan",11,"RepAndyBarr"
"SteveScalise",11,"RepAndyBarr"
"UKYpres",11,"RepAndyBarr"
"POTUS",10,"RepAndyBarr"
"RepAnnWagner",10,"RepAndyBarr"
"RepBera",10,"RepAndyBarr"
"GOPLeader",9,"RepAndyBarr"
"KYComer",9,"RepAndyBarr"
"repwestrom",9,"RepAndyBarr"
"RichmondRnews",9,"RepAndyBarr"
"SpeakerBoehner",9,"RepAndyBarr"
"ABC36News",8,"RepAndyBarr"
"CFPB",8,"RepAndyBarr"
"GPFoodBank",8,"RepAndyBarr"
"KentuckyCoal",8,"RepAndyBarr"
"NewsEKU",8,"RepAndyBarr"
"RepPaulTonko",8,"RepAndyBarr"
"SenateDems",8,"RepAndyBarr"
"SenateMajLdr",8,"RepAndyBarr"
"bgconservative",7,"RepAndyBarr"
"CairnCoffee",7,"RepAndyBarr"
"CountryBoyBrew",7,"RepAndyBarr"
"ESPNAndyKatz",7,"RepAndyBarr"
"FoxBusiness",7,"RepAndyBarr"
"keeneland",7,"RepAndyBarr"
"KentuckyMBB",7,"RepAndyBarr"
"KET",7,"RepAndyBarr"
"KYBloodCenter",7,"RepAndyBarr"
"KyDistillers",7,"RepAndyBarr"
