"Mention","Frequency","screen_name"
"wbalradio",130,"RepAndyHarrisMD"
"C4Show",62,"RepAndyHarrisMD"
"WCBM680",56,"RepAndyHarrisMD"
"WGMDRadio",41,"RepAndyHarrisMD"
"HouseAppropsGOP",26,"RepAndyHarrisMD"
"jimmymathisshow",22,"RepAndyHarrisMD"
"Ravens",21,"RepAndyHarrisMD"
"FoxNews",19,"RepAndyHarrisMD"
"Pontifex",16,"RepAndyHarrisMD"
"POTUS",16,"RepAndyHarrisMD"
"RepAndyHarrisMD",16,"RepAndyHarrisMD"
"NIH",15,"RepAndyHarrisMD"
"Sebelius",15,"RepAndyHarrisMD"
"baltimoresun",13,"RepAndyHarrisMD"
"seanandfrank",13,"RepAndyHarrisMD"
"derekahunter",12,"RepAndyHarrisMD"
"wboc",12,"RepAndyHarrisMD"
"FOXBaltimore",9,"RepAndyHarrisMD"
"LarryOConnor",9,"RepAndyHarrisMD"
"thehill",9,"RepAndyHarrisMD"
"FoxBusiness",8,"RepAndyHarrisMD"
"LarryHogan",8,"RepAndyHarrisMD"
"AndyParksTWT",7,"RepAndyHarrisMD"
"BillHemmer",7,"RepAndyHarrisMD"
"cbsbaltimore",7,"RepAndyHarrisMD"
"Cecil_whig",7,"RepAndyHarrisMD"
"foxandfriends",7,"RepAndyHarrisMD"
"stardem_news",7,"RepAndyHarrisMD"
"washingtonpost",7,"RepAndyHarrisMD"
"WilliamJBennett",7,"RepAndyHarrisMD"
"WMALDriveatFive",7,"RepAndyHarrisMD"
"WSJ",7,"RepAndyHarrisMD"
"WTOP",7,"RepAndyHarrisMD"
"BloombergTV",6,"RepAndyHarrisMD"
"GOPWhip",6,"RepAndyHarrisMD"
"postlive",6,"RepAndyHarrisMD"
"SpeakerBoehner",6,"RepAndyHarrisMD"
"AmericaNewsroom",5,"RepAndyHarrisMD"
"ANHQDC",5,"RepAndyHarrisMD"
"conversations",5,"RepAndyHarrisMD"
"CrossfireCNN",5,"RepAndyHarrisMD"
"cspanwj",5,"RepAndyHarrisMD"
"GOPLeader",5,"RepAndyHarrisMD"
"MyDelmarvaNow",5,"RepAndyHarrisMD"
"NASA_Wallops",5,"RepAndyHarrisMD"
"SpeakerRyan",5,"RepAndyHarrisMD"
"stateofdelmarva",5,"RepAndyHarrisMD"
"tperkins",5,"RepAndyHarrisMD"
"wmalnews",5,"RepAndyHarrisMD"
"CNBCClosingBell",4,"RepAndyHarrisMD"
"HopkinsMedicine",4,"RepAndyHarrisMD"
"jfritze",4,"RepAndyHarrisMD"
"March_for_Life",4,"RepAndyHarrisMD"
"marybmarsden",4,"RepAndyHarrisMD"
"netanyahu",4,"RepAndyHarrisMD"
"OIGatHHS",4,"RepAndyHarrisMD"
"raylewis",4,"RepAndyHarrisMD"
"SenatorReid",4,"RepAndyHarrisMD"
"SquareOffRich",4,"RepAndyHarrisMD"
"theredtapetower",4,"RepAndyHarrisMD"
"trish_regan",4,"RepAndyHarrisMD"
"wbaltv11",4,"RepAndyHarrisMD"
"WhiteHouse",4,"RepAndyHarrisMD"
"49ers",3,"RepAndyHarrisMD"
"BryanNehman",3,"RepAndyHarrisMD"
"cathymcmorris",3,"RepAndyHarrisMD"
"CDCgov",3,"RepAndyHarrisMD"
"CNN",3,"RepAndyHarrisMD"
"CNNMoney",3,"RepAndyHarrisMD"
"ComcastNewsmkrs",3,"RepAndyHarrisMD"
"Crossfire",3,"RepAndyHarrisMD"
"cspan",3,"RepAndyHarrisMD"
"fema",3,"RepAndyHarrisMD"
"FRCdc",3,"RepAndyHarrisMD"
"GOPConference",3,"RepAndyHarrisMD"
"GovernorOMalley",3,"RepAndyHarrisMD"
"HHSGov",3,"RepAndyHarrisMD"
"HobbyLobbyCase",3,"RepAndyHarrisMD"
"JackKingston",3,"RepAndyHarrisMD"
"JudgeJeanine",3,"RepAndyHarrisMD"
"MorningBriefing",3,"RepAndyHarrisMD"
"NancyPelosi",3,"RepAndyHarrisMD"
"SalisburyU",3,"RepAndyHarrisMD"
"seanhannity",3,"RepAndyHarrisMD"
"SecBurwell",3,"RepAndyHarrisMD"
"TheWillisReport",3,"RepAndyHarrisMD"
"USMC",3,"RepAndyHarrisMD"
"VP",3,"RepAndyHarrisMD"
"47abc",2,"RepAndyHarrisMD"
"AACAP",2,"RepAndyHarrisMD"
"ABC2NEWS",2,"RepAndyHarrisMD"
"AlexWitt",2,"RepAndyHarrisMD"
"aliciamundy",2,"RepAndyHarrisMD"
"BaltSunBrk",2,"RepAndyHarrisMD"
"BashirLive",2,"RepAndyHarrisMD"
"BretBaier",2,"RepAndyHarrisMD"
"bsurveillance",2,"RepAndyHarrisMD"
