"Hashtag","Frequency","screen_name"
"4jobs",160,"RepBobGibbs"
"jobs",106,"RepBobGibbs"
"WOTUS",65,"RepBobGibbs"
"WRRDA",54,"RepBobGibbs"
"GOP",41,"RepBobGibbs"
"smallbiz",34,"RepBobGibbs"
"Obamacare",33,"RepBobGibbs"
"SOTU",33,"RepBobGibbs"
"FF",30,"RepBobGibbs"
"EPA",26,"RepBobGibbs"
"tcot",25,"RepBobGibbs"
"OFBDC",23,"RepBobGibbs"
"GOPNMC",22,"RepBobGibbs"
"OH7",21,"RepBobGibbs"
"Ohio",21,"RepBobGibbs"
"energy",20,"RepBobGibbs"
"REINS",20,"RepBobGibbs"
"WRDA",20,"RepBobGibbs"
"BetterWay",18,"RepBobGibbs"
"KeystoneXL",17,"RepBobGibbs"
"OH",17,"RepBobGibbs"
"CutCapBalance",15,"RepBobGibbs"
"gop",14,"RepBobGibbs"
"AskObama",13,"RepBobGibbs"
"SmallBiz",13,"RepBobGibbs"
"OH18",12,"RepBobGibbs"
"Zika",11,"RepBobGibbs"
"4Jobs",9,"RepBobGibbs"
"regulations",9,"RepBobGibbs"
"SchumerShutdown",9,"RepBobGibbs"
"farmbill",8,"RepBobGibbs"
"HouseAg",8,"RepBobGibbs"
"Jobs",8,"RepBobGibbs"
"ofbfdc",8,"RepBobGibbs"
"redtape",8,"RepBobGibbs"
"Cleveland",7,"RepBobGibbs"
"FollowFriday",7,"RepBobGibbs"
"Keystone",7,"RepBobGibbs"
"ObamaCare",7,"RepBobGibbs"
"OH07",7,"RepBobGibbs"
"pledge",7,"RepBobGibbs"
"prolife",7,"RepBobGibbs"
"ReducingRegBurdens",7,"RepBobGibbs"
"TimeToBuild",7,"RepBobGibbs"
"Energy",6,"RepBobGibbs"
"gasprices",6,"RepBobGibbs"
"GreatLakes",6,"RepBobGibbs"
"IRS",6,"RepBobGibbs"
"NoBudgetNoPay",6,"RepBobGibbs"
"ohio7",6,"RepBobGibbs"
"OhioMuseumsMatter",6,"RepBobGibbs"
"smallbusiness",6,"RepBobGibbs"
"SOTU2015",6,"RepBobGibbs"
"spending",6,"RepBobGibbs"
"StuckInTraffic",6,"RepBobGibbs"
"Water",6,"RepBobGibbs"
"BalancedBudgetAmendment",5,"RepBobGibbs"
"BBA",5,"RepBobGibbs"
"Forgotten15",5,"RepBobGibbs"
"hcr",5,"RepBobGibbs"
"hcrcostsjobs",5,"RepBobGibbs"
"HR872",5,"RepBobGibbs"
"immigration",5,"RepBobGibbs"
"IntegratedPlanning",5,"RepBobGibbs"
"JOBSAct",5,"RepBobGibbs"
"ofbdc",5,"RepBobGibbs"
"PearlHarbor",5,"RepBobGibbs"
"regs",5,"RepBobGibbs"
"regulation",5,"RepBobGibbs"
"repeal",5,"RepBobGibbs"
"SNAP",5,"RepBobGibbs"
"SnapRoundtable",5,"RepBobGibbs"
"TaxReform",5,"RepBobGibbs"
"TBT",5,"RepBobGibbs"
"TeamUSA",5,"RepBobGibbs"
"transparency",5,"RepBobGibbs"
"water",5,"RepBobGibbs"
"WaterPowerWeek",5,"RepBobGibbs"
"WaterWeek15",5,"RepBobGibbs"
"WaterWorks",5,"RepBobGibbs"
"WeCantWait",5,"RepBobGibbs"
"1000days",4,"RepBobGibbs"
"budget",4,"RepBobGibbs"
"building21",4,"RepBobGibbs"
"cutcapbalance",4,"RepBobGibbs"
"debt",4,"RepBobGibbs"
"driverless",4,"RepBobGibbs"
"ExposeWaste",4,"RepBobGibbs"
"FairnessForAll",4,"RepBobGibbs"
"fiscalcliff",4,"RepBobGibbs"
"gas",4,"RepBobGibbs"
"GoBucks",4,"RepBobGibbs"
"HR1865",4,"RepBobGibbs"
"NEOTEC",4,"RepBobGibbs"
"NeverForget",4,"RepBobGibbs"
"ngfaconv14",4,"RepBobGibbs"
"NGR",4,"RepBobGibbs"
"OFBF",4,"RepBobGibbs"
"OHGOP",4,"RepBobGibbs"
"Ohioans",4,"RepBobGibbs"
"TaxCutsandJobsAct",4,"RepBobGibbs"
"TaxCutsAndJobsAct",4,"RepBobGibbs"
"TaxDay",4,"RepBobGibbs"
"Thankyou",4,"RepBobGibbs"
"UAS",4,"RepBobGibbs"
"WaterWeek16",4,"RepBobGibbs"
"WHChat",4,"RepBobGibbs"
"WRDA2016",4,"RepBobGibbs"
"ZikaVectorControlAct",4,"RepBobGibbs"
"10TV",3,"RepBobGibbs"
"2016WPC",3,"RepBobGibbs"
"2ndAmendment",3,"RepBobGibbs"
"agriculture",3,"RepBobGibbs"
"agripower",3,"RepBobGibbs"
"Avon",3,"RepBobGibbs"
"BalancedBudget",3,"RepBobGibbs"
"BBA4jobs",3,"RepBobGibbs"
"Benghazi",3,"RepBobGibbs"
"business",3,"RepBobGibbs"
"CloseTheGap",3,"RepBobGibbs"
"CoastGuard",3,"RepBobGibbs"
"ConfidentAmerica",3,"RepBobGibbs"
"CPP",3,"RepBobGibbs"
"CutThatWaste",3,"RepBobGibbs"
"CWA",3,"RepBobGibbs"
"DDay",3,"RepBobGibbs"
"DefundPP",3,"RepBobGibbs"
"DoddFrank",3,"RepBobGibbs"
"driverlesscar",3,"RepBobGibbs"
"Ebola",3,"RepBobGibbs"
"economy",3,"RepBobGibbs"
"FAAReAuth",3,"RepBobGibbs"
"ff",3,"RepBobGibbs"
"FMCSA",3,"RepBobGibbs"
"HEAT",3,"RepBobGibbs"
"HR897",3,"RepBobGibbs"
"InfrastructurePlan",3,"RepBobGibbs"
"Israel",3,"RepBobGibbs"
"KXL",3,"RepBobGibbs"
"NoEarmarks",3,"RepBobGibbs"
"Obama",3,"RepBobGibbs"
"ObamaFlightDelays",3,"RepBobGibbs"
"oh18",3,"RepBobGibbs"
"OHIO",3,"RepBobGibbs"
"OhioFreight",3,"RepBobGibbs"
"OnThisDay",3,"RepBobGibbs"
"Orion",3,"RepBobGibbs"
"Oversight",3,"RepBobGibbs"
"PermanentDelay",3,"RepBobGibbs"
"POTUS",3,"RepBobGibbs"
"ProLife",3,"RepBobGibbs"
"Smallbiz",3,"RepBobGibbs"
"SpeakUpOhio",3,"RepBobGibbs"
"StopTheTaxHike",3,"RepBobGibbs"
"ThankYou",3,"RepBobGibbs"
"transportation",3,"RepBobGibbs"
"USA",3,"RepBobGibbs"
"usda150",3,"RepBobGibbs"
"wecantwait",3,"RepBobGibbs"
"wotus",3,"RepBobGibbs"
"accountability",2,"RepBobGibbs"
"ag",2,"RepBobGibbs"
"Ag",2,"RepBobGibbs"
"AgCommittee",2,"RepBobGibbs"
"AgDay",2,"RepBobGibbs"
"agnews",2,"RepBobGibbs"
"AmericanJobCreators",2,"RepBobGibbs"
"Amtrak188",2,"RepBobGibbs"
"Appalachia",2,"RepBobGibbs"
"AUWBB",2,"RepBobGibbs"
"BadIranDeal",2,"RepBobGibbs"
"balancedbudget",2,"RepBobGibbs"
"BigData",2,"RepBobGibbs"
"BREAKING",2,"RepBobGibbs"
"brokenpromises",2,"RepBobGibbs"
"CFAES",2,"RepBobGibbs"
"chdaware",2,"RepBobGibbs"
"CHIP",2,"RepBobGibbs"
"CuresNow",2,"RepBobGibbs"
"cutspending",2,"RepBobGibbs"
"DGA2015",2,"RepBobGibbs"
"Elite8",2,"RepBobGibbs"
"FarmBill",2,"RepBobGibbs"
"FriendOfCoal",2,"RepBobGibbs"
"hc",2,"RepBobGibbs"
"HCR",2,"RepBobGibbs"
"healthcare",2,"RepBobGibbs"
"HireMoreHeroes",2,"RepBobGibbs"
"history",2,"RepBobGibbs"
"HR3848",2,"RepBobGibbs"
"infrastructure",2,"RepBobGibbs"
"Iran",2,"RepBobGibbs"
"IranDeal",2,"RepBobGibbs"
"job",2,"RepBobGibbs"
"jobcreators",2,"RepBobGibbs"
"JOBS",2,"RepBobGibbs"
"KeepYourPlan",2,"RepBobGibbs"
"keystone",2,"RepBobGibbs"
"LastSOTU",2,"RepBobGibbs"
"LetsTalk",2,"RepBobGibbs"
"LiftTheBan",2,"RepBobGibbs"
"manufacturing",2,"RepBobGibbs"
"MarchforLife",2,"RepBobGibbs"
"MemorialDay",2,"RepBobGibbs"
"MuseumMonday",2,"RepBobGibbs"
"NationalDayofPrayer",2,"RepBobGibbs"
"NCAAD2",2,"RepBobGibbs"
"neverforget",2,"RepBobGibbs"
"njnow",2,"RepBobGibbs"
"NPDES",2,"RepBobGibbs"
"NRA",2,"RepBobGibbs"
"ObamacareMyth",2,"RepBobGibbs"
"Offshore",2,"RepBobGibbs"
"oh07",2,"RepBobGibbs"
"ohio",2,"RepBobGibbs"
"Ohio7",2,"RepBobGibbs"
"OhioAg",2,"RepBobGibbs"
