"Mention","Frequency","screen_name"
"RepBradWenstrup",376,"RepBradWenstrup"
"HouseVetAffairs",67,"RepBradWenstrup"
"ClermontCounty",54,"RepBradWenstrup"
"HouseGOP",43,"RepBradWenstrup"
"POTUS",42,"RepBradWenstrup"
"HASCRepublicans",40,"RepBradWenstrup"
"FOX19",39,"RepBradWenstrup"
"Reds",28,"RepBradWenstrup"
"SpeakerRyan",27,"RepBradWenstrup"
"brianthomas1",23,"RepBradWenstrup"
"loudobbsnews",22,"RepBradWenstrup"
"55KRC",21,"RepBradWenstrup"
"RepSteveChabot",20,"RepBradWenstrup"
"RepSteveStivers",19,"RepBradWenstrup"
"FoxBusiness",16,"RepBradWenstrup"
"Enquirer",15,"RepBradWenstrup"
"PrezOno",15,"RepBradWenstrup"
"700wlw",14,"RepBradWenstrup"
"AndersonTownshp",13,"RepBradWenstrup"
"Willie700WLW",13,"RepBradWenstrup"
"FOX19Rob",12,"RepBradWenstrup"
"Local12",12,"RepBradWenstrup"
"senrobportman",12,"RepBradWenstrup"
"ClermontChamber",11,"RepBradWenstrup"
"FoxNews",11,"RepBradWenstrup"
"GoBEARCATS",11,"RepBradWenstrup"
"gregschneider24",11,"RepBradWenstrup"
"RepBillJohnson",11,"RepBradWenstrup"
"highlandcopress",10,"RepBradWenstrup"
"MacTXPress",10,"RepBradWenstrup"
"SpeakerBoehner",10,"RepBradWenstrup"
"RepTomPrice",9,"RepBradWenstrup"
"stxinfo",9,"RepBradWenstrup"
"CongressmanRuiz",8,"RepBradWenstrup"
"greta",8,"RepBradWenstrup"
"RepJeffMiller",8,"RepBradWenstrup"
"RepMikeTurner",8,"RepBradWenstrup"
"WSJ",8,"RepBradWenstrup"
"CincyChamber",7,"RepBradWenstrup"
"DrPhilRoe",7,"RepBradWenstrup"
"foxandfriends",7,"RepBradWenstrup"
"SecShulkin",7,"RepBradWenstrup"
"wlsam890",7,"RepBradWenstrup"
"AndersonRedskin",6,"RepBradWenstrup"
"BlueAshOhio",6,"RepBradWenstrup"
"bruceanddan",6,"RepBradWenstrup"
"ChilliGaz",6,"RepBradWenstrup"
"CNN",6,"RepBradWenstrup"
"DeptVetAffairs",6,"RepBradWenstrup"
"DrTerryAJohnson",6,"RepBradWenstrup"
"ENERGY",6,"RepBradWenstrup"
"FlavaFraz21",6,"RepBradWenstrup"
"GoshenWarriors",6,"RepBradWenstrup"
"LeoShane",6,"RepBradWenstrup"
"March_for_Life",6,"RepBradWenstrup"
"Milford_Schools",6,"RepBradWenstrup"
"OhioFarmBureau",6,"RepBradWenstrup"
"OHNationalGuard",6,"RepBradWenstrup"
"RiponAdvance",6,"RepBradWenstrup"
"SecretaryPerry",6,"RepBradWenstrup"
"uofcincy",6,"RepBradWenstrup"
"USArmy",6,"RepBradWenstrup"
"USArmyReserve",6,"RepBradWenstrup"
"WLWT",6,"RepBradWenstrup"
"333HELP",5,"RepBradWenstrup"
"AmericanLegion",5,"RepBradWenstrup"
"BillHemmer",5,"RepBradWenstrup"
"CCSD",5,"RepBradWenstrup"
"CincinnatiPD",5,"RepBradWenstrup"
"cincylibrary",5,"RepBradWenstrup"
"ClermontSun",5,"RepBradWenstrup"
"DeerParkSchools",5,"RepBradWenstrup"
"GEAviation",5,"RepBradWenstrup"
"gopdoccaucus",5,"RepBradWenstrup"
