"Hashtag","Frequency","screen_name"
"FL18",123,"RepBrianMast"
"WeekInReview",14,"RepBrianMast"
"HurricaneIrma",7,"RepBrianMast"
"Everglades",5,"RepBrianMast"
"Irma",4,"RepBrianMast"
"CommunityConversation",3,"RepBrianMast"
"TaxCutsandJobsAct",3,"RepBrianMast"
"tbt",3,"RepBrianMast"
"townhall",3,"RepBrianMast"
"TreasureCoast",3,"RepBrianMast"
"algalblooms",2,"RepBrianMast"
"Iran",2,"RepBrianMast"
"PurpleHeart",2,"RepBrianMast"
"SendTheWaterSouth",2,"RepBrianMast"
"TaylorForceAct",2,"RepBrianMast"
"Afghanistan",1,"RepBrianMast"
"bipartisan",1,"RepBrianMast"
"BlackHistoryMonth",1,"RepBrianMast"
"BringHadarHome",1,"RepBrianMast"
"ConstitutionWeek",1,"RepBrianMast"
"DayOnTheHill",1,"RepBrianMast"
"DoNoHarm",1,"RepBrianMast"
"ENDALZ",1,"RepBrianMast"
"FAAST2017",1,"RepBrianMast"
"HappyHanukkah",1,"RepBrianMast"
"HolocaustRemembrance",1,"RepBrianMast"
"HonorFlight",1,"RepBrianMast"
"hurricaneirma",1,"RepBrianMast"
"ICBM",1,"RepBrianMast"
"IndependenceDay",1,"RepBrianMast"
"independencedayweekend",1,"RepBrianMast"
"Jerusalem",1,"RepBrianMast"
"JointAddress",1,"RepBrianMast"
"JointSession",1,"RepBrianMast"
"LawEnforcementAppreciationDay",1,"RepBrianMast"
"MLKday2017",1,"RepBrianMast"
"NationalLawEnforcementAppreciationDay",1,"RepBrianMast"
"nationalprayerbreakfast",1,"RepBrianMast"
"NeverForget",1,"RepBrianMast"
"Orlando",1,"RepBrianMast"
"OrlandoUnitedDay",1,"RepBrianMast"
"Passover2017",1,"RepBrianMast"
"PeopleBeforePolitics",1,"RepBrianMast"
"PresidentsDay",1,"RepBrianMast"
"PulseNightclub",1,"RepBrianMast"
"PurpleHeartDay",1,"RepBrianMast"
"ReligiousFreedom",1,"RepBrianMast"
"RoshHashanah",1,"RepBrianMast"
"SharkAddicts",1,"RepBrianMast"
"SOCOM",1,"RepBrianMast"
"StuartFL",1,"RepBrianMast"
"TaxCutsAndJobsAct",1,"RepBrianMast"
"taxreform",1,"RepBrianMast"
"ThinBlueLine",1,"RepBrianMast"
"Townhalls",1,"RepBrianMast"
"weare12strong",1,"RepBrianMast"
"WestPalmBeach",1,"RepBrianMast"
"WomensHistoryMonth",1,"RepBrianMast"
