"Hashtag","Frequency","screen_name"
"utpol",1122,"RepChrisStewart"
"Utah",45,"RepChrisStewart"
"Obamacare",44,"RepChrisStewart"
"SOTU",37,"RepChrisStewart"
"ISIS",30,"RepChrisStewart"
"utleg",23,"RepChrisStewart"
"immigration",18,"RepChrisStewart"
"BearsEars",16,"RepChrisStewart"
"Olympics",14,"RepChrisStewart"
"Zika",14,"RepChrisStewart"
"KeystoneXL",12,"RepChrisStewart"
"EPA",11,"RepChrisStewart"
"Iran",11,"RepChrisStewart"
"Israel",11,"RepChrisStewart"
"NDAA",11,"RepChrisStewart"
"SCOTUS",11,"RepChrisStewart"
"Environment",9,"RepChrisStewart"
"ut02sotu",9,"RepChrisStewart"
"UTpol",9,"RepChrisStewart"
"sotu",8,"RepChrisStewart"
"LandsForum",7,"RepChrisStewart"
"obamacare",7,"RepChrisStewart"
"SLC",7,"RepChrisStewart"
"uspol",7,"RepChrisStewart"
"veterans",7,"RepChrisStewart"
"BalancedBudget",6,"RepChrisStewart"
"IranDeal",6,"RepChrisStewart"
"NoBudgetNoPay",6,"RepChrisStewart"
"StGeorge",6,"RepChrisStewart"
"utah",6,"RepChrisStewart"
"EgyptAir",5,"RepChrisStewart"
"Keystone",5,"RepChrisStewart"
"SmallBusinessWeek",5,"RepChrisStewart"
"SST113",5,"RepChrisStewart"
"stgeorge",5,"RepChrisStewart"
"StopGovtAbuse",5,"RepChrisStewart"
"TimeToBuild",5,"RepChrisStewart"
"UtahHonorFlight",5,"RepChrisStewart"
"utgop",5,"RepChrisStewart"
"BetterWay",4,"RepChrisStewart"
"Brussels",4,"RepChrisStewart"
"CedarCity",4,"RepChrisStewart"
"Dday",4,"RepChrisStewart"
"healthcare",4,"RepChrisStewart"
"NeverForget",4,"RepChrisStewart"
"NorthKorea",4,"RepChrisStewart"
"OTD",4,"RepChrisStewart"
"PJNET",4,"RepChrisStewart"
"SenateMustAct",4,"RepChrisStewart"
"SignTheBill",4,"RepChrisStewart"
"StewStories",4,"RepChrisStewart"
"Syria",4,"RepChrisStewart"
"TaxDay",4,"RepChrisStewart"
"usglcUT",4,"RepChrisStewart"
"ZikaVirus",4,"RepChrisStewart"
"balancedbudget",3,"RepChrisStewart"
"BrokenPromises",3,"RepChrisStewart"
"brusselsattack",3,"RepChrisStewart"
"budget",3,"RepChrisStewart"
"DC",3,"RepChrisStewart"
"ECPA29",3,"RepChrisStewart"
"Gettysburg",3,"RepChrisStewart"
"ImmigrationReform",3,"RepChrisStewart"
"keystone",3,"RepChrisStewart"
"Lincoln",3,"RepChrisStewart"
"NationalPoliceWeek",3,"RepChrisStewart"
"Orlando",3,"RepChrisStewart"
"POTUS",3,"RepChrisStewart"
"refugees",3,"RepChrisStewart"
"ReleaseTheMemo",3,"RepChrisStewart"
"Sochi2014",3,"RepChrisStewart"
"StewTweet",3,"RepChrisStewart"
"ThankATeacher",3,"RepChrisStewart"
"trade",3,"RepChrisStewart"
"UofU",3,"RepChrisStewart"
"West",3,"RepChrisStewart"
"2NewsAM",2,"RepChrisStewart"
"2NEWSAM",2,"RepChrisStewart"
"4Jobs",2,"RepChrisStewart"
"aritw2016",2,"RepChrisStewart"
"backtoschool",2,"RepChrisStewart"
"BostonMarathon",2,"RepChrisStewart"
"BostonStrong",2,"RepChrisStewart"
"BrianHeadFire",2,"RepChrisStewart"
"brussels",2,"RepChrisStewart"
"Budget",2,"RepChrisStewart"
"communityschools",2,"RepChrisStewart"
"DHS",2,"RepChrisStewart"
"DontDoubleMyRate",2,"RepChrisStewart"
"EmailPrivacyAct",2,"RepChrisStewart"
"FF",2,"RepChrisStewart"
"FLAG",2,"RepChrisStewart"
"FlagDay",2,"RepChrisStewart"
"FollowYourOwnAdvice",2,"RepChrisStewart"
"Guantanamo",2,"RepChrisStewart"
"Halloween",2,"RepChrisStewart"
"InsideUtahPolitics",2,"RepChrisStewart"
"IRS",2,"RepChrisStewart"
"IUP",2,"RepChrisStewart"
"jobs",2,"RepChrisStewart"
"keystoneXL",2,"RepChrisStewart"
"KSVC",2,"RepChrisStewart"
"LastSOTU",2,"RepChrisStewart"
"MarchMadness",2,"RepChrisStewart"
"Netanyahu",2,"RepChrisStewart"
"NoMonument",2,"RepChrisStewart"
"NuScaleDesignCert",2,"RepChrisStewart"
"ObamaCare",2,"RepChrisStewart"
"ObamaFlightDelays",2,"RepChrisStewart"
"OpEd",2,"RepChrisStewart"
"Ozone",2,"RepChrisStewart"
