"Mention","Frequency","screen_name"
"RepChuck",62,"RepChuck"
"BarackObama",52,"RepChuck"
"BillHaslam",21,"RepChuck"
"POTUS",17,"RepChuck"
"realDonaldTrump",16,"RepChuck"
"HouseGOP",15,"RepChuck"
"ORNL",14,"RepChuck"
"NatResources",12,"RepChuck"
"newschannelnine",11,"RepChuck"
"SmallBizGOP",10,"RepChuck"
"TimesFreePress",10,"RepChuck"
"SenatorReid",9,"RepChuck"
"WRCB",9,"RepChuck"
"DesJarlaisTN04",8,"RepChuck"
"RepKBrooks",8,"RepChuck"
"SenBobCorker",8,"RepChuck"
"SpeakerBoehner",8,"RepChuck"
"uscapitol",8,"RepChuck"
"FoxBusiness",7,"RepChuck"
"HouseFloor",7,"RepChuck"
"TalkRadio1023",7,"RepChuck"
"TransportGOP",7,"RepChuck"
"wbir",7,"RepChuck"
"ENERGY",6,"RepChuck"
"HouseAppropsGOP",6,"RepChuck"
"RepDianeBlack",6,"RepChuck"
"SpeakerRyan",6,"RepChuck"
"SteveScalise",6,"RepChuck"
"knoxnews",5,"RepChuck"
"SenAlexander",5,"RepChuck"
"ValleyCorridor",5,"RepChuck"
"CHAchamber",4,"RepChuck"
"cspan",4,"RepChuck"
"DrPhilRoe",4,"RepChuck"
"FarmBureau",4,"RepChuck"
"GOPConference",4,"RepChuck"
"Hallerin",4,"RepChuck"
"MicrosoftIPC",4,"RepChuck"
"NoogaNews",4,"RepChuck"
"Public_Interest",4,"RepChuck"
"RepublicanStudy",4,"RepChuck"
"SenateDems",4,"RepChuck"
"thehill",4,"RepChuck"
"TNELECTRIC",4,"RepChuck"
"USMC",4,"RepChuck"
"USNavy",4,"RepChuck"
"VW",4,"RepChuck"
"AllenWest",3,"RepChuck"
"BargerAcademy",3,"RepChuck"
"FoxNews",3,"RepChuck"
"GOPLeader",3,"RepChuck"
"joshroe",3,"RepChuck"
"KevinWestWGOW",3,"RepChuck"
"LeeU",3,"RepChuck"
"MariaBartiromo",3,"RepChuck"
"MarshaBlackburn",3,"RepChuck"
"MorningsMaria",3,"RepChuck"
"netanyahu",3,"RepChuck"
"RepBillShuster",3,"RepChuck"
"Sebelius",3,"RepChuck"
"TVAnews",3,"RepChuck"
"usairforce",3,"RepChuck"
"USArmy",3,"RepChuck"
"UTChattanooga",3,"RepChuck"
"UTKLaw",3,"RepChuck"
"UTKnoxville",3,"RepChuck"
"6News",2,"RepChuck"
"ACUConservative",2,"RepChuck"
"AlzMidSouth",2,"RepChuck"
"AmericasPower",2,"RepChuck"
"APTAtweets",2,"RepChuck"
"bfrist",2,"RepChuck"
"bgfain",2,"RepChuck"
"BusinessChatt",2,"RepChuck"
"calliestarnes",2,"RepChuck"
"CBCEMA",2,"RepChuck"
"ChattanoogaPD",2,"RepChuck"
"ChattaPulse",2,"RepChuck"
"Clintvolfan",2,"RepChuck"
"CoachStone12",2,"RepChuck"
"CQRollCall",2,"RepChuck"
"danielwein",2,"RepChuck"
"DAVIDCARROLL3",2,"RepChuck"
"dianeblacktn06",2,"RepChuck"
"DrewPetrimoulx",2,"RepChuck"
"EdMorrissey",2,"RepChuck"
"EnergyCAorg",2,"RepChuck"
"FreedomWorks",2,"RepChuck"
"GeorgeHWBush",2,"RepChuck"
"GOPoversight",2,"RepChuck"
"GovMikeHuckabee",2,"RepChuck"
"HomeDepot",2,"RepChuck"
"HoskinsDrugStor",2,"RepChuck"
"housebudgetGOP",2,"RepChuck"
"HustlinTigers",2,"RepChuck"
"JCGOP",2,"RepChuck"
"JeffFortenberry",2,"RepChuck"
"JordanSmithLive",2,"RepChuck"
"kathrynlopez",2,"RepChuck"
"LatriciaTnc9",2,"RepChuck"
"LittleDebbie",2,"RepChuck"
"Max_Pappas",2,"RepChuck"
"mcollinsNEWS",2,"RepChuck"
"NashvilleCorps",2,"RepChuck"
"NBCTheVoice",2,"RepChuck"
"NFIB",2,"RepChuck"
"NMPAorg",2,"RepChuck"
"patsummitt",2,"RepChuck"
"politico",2,"RepChuck"
"RepCloakroom",2,"RepChuck"
"RepFincherTN08",2,"RepChuck"
"repjuliahurley",2,"RepChuck"
"RepKristiNoem",2,"RepChuck"
"RepRonPaul",2,"RepChuck"
"rollcall",2,"RepChuck"
"RonRamsey",2,"RepChuck"
"SalArmyChattown",2,"RepChuck"
"SenBoWatson",2,"RepChuck"
"teachann",2,"RepChuck"
"tish919",2,"RepChuck"
"UPS",2,"RepChuck"
"USChamber",2,"RepChuck"
"USNationalGuard",2,"RepChuck"
"UTPresidentJoe",2,"RepChuck"
"voicesoflee",2,"RepChuck"
"Vol_Baseball",2,"RepChuck"
"WalterReedArmy",2,"RepChuck"
"WaysandMeansGOP",2,"RepChuck"
"WhiteHouse",2,"RepChuck"
"y12nsc",2,"RepChuck"
"_Sofonias_",1,"RepChuck"
"AFPhq",1,"RepChuck"
"aircraftcarrier",1,"RepChuck"
"alexsturgill",1,"RepChuck"
"amieparnes",1,"RepChuck"
"Amtrak",1,"RepChuck"
"AndyBerke",1,"RepChuck"
"antwanharris",1,"RepChuck"
"AntwanHarris3",1,"RepChuck"
"AppState_FB",1,"RepChuck"
"ArlingtonNatl",1,"RepChuck"
"ArmyChaplains",1,"RepChuck"
"ArmyWarCollege",1,"RepChuck"
"bekahmason",1,"RepChuck"
"BGCMP",1,"RepChuck"
"BizRoundtable",1,"RepChuck"
"boblatta",1,"RepChuck"
"boonepickens",1,"RepChuck"
"bradleygop",1,"RepChuck"
"bradstinks",1,"RepChuck"
"BretBaier",1,"RepChuck"
"BryanCollege",1,"RepChuck"
