"Mention","Frequency","screen_name"
"POTUS",18,"RepClayHiggins"
"HouseHomeland",6,"RepClayHiggins"
"DHSgov",5,"RepClayHiggins"
"CongressionalAC",4,"RepClayHiggins"
"PortLakeCharles",3,"RepClayHiggins"
"theadvertiser",3,"RepClayHiggins"
"DeptVetAffairs",2,"RepClayHiggins"
"HouseVetAffairs",2,"RepClayHiggins"
"KLFY",2,"RepClayHiggins"
"LSUAgCenter",2,"RepClayHiggins"
"AmericanPress",1,"RepClayHiggins"
"Apple",1,"RepClayHiggins"
"Barbe_HS",1,"RepClayHiggins"
"BayouBridge",1,"RepClayHiggins"
"BellHelicopter",1,"RepClayHiggins"
"BillyNungesser",1,"RepClayHiggins"
"BroussardChamb",1,"RepClayHiggins"
"CityofSulphur",1,"RepClayHiggins"
"CityYoungsville",1,"RepClayHiggins"
"cspanwj",1,"RepClayHiggins"
"HouseGOP",1,"RepClayHiggins"
"IBERIABANK",1,"RepClayHiggins"
"kpel965",1,"RepClayHiggins"
"LABEOC",1,"RepClayHiggins"
"LAChemAssoc",1,"RepClayHiggins"
"LaOilGasAssoc",1,"RepClayHiggins"
"LCADV",1,"RepClayHiggins"
"LDWF",1,"RepClayHiggins"
"LouisianaLtGov",1,"RepClayHiggins"
"LPSSGEARUP",1,"RepClayHiggins"
"LyondellBasell",1,"RepClayHiggins"
"RepMcCaul",1,"RepClayHiggins"
"RestoreLA_gov",1,"RepClayHiggins"
"RousesMarkets",1,"RepClayHiggins"
"SWLAAlliance",1,"RepClayHiggins"
"taxfoundation",1,"RepClayHiggins"
"theadvocateaca",1,"RepClayHiggins"
"TheHeartsofHope",1,"RepClayHiggins"
"thehill",1,"RepClayHiggins"
"thehomedepot",1,"RepClayHiggins"
"ULLafayette",1,"RepClayHiggins"
"usairforce",1,"RepClayHiggins"
"usaricenews",1,"RepClayHiggins"
"USChamber",1,"RepClayHiggins"
"USMC",1,"RepClayHiggins"
"USNavy",1,"RepClayHiggins"
"WRGraceCo",1,"RepClayHiggins"
"WSJ",1,"RepClayHiggins"
"YoungsvillePD",1,"RepClayHiggins"
