"Hashtag","Frequency","screen_name"
"LA03",64,"RepClayHiggins"
"Harvey",24,"RepClayHiggins"
"SOTU",21,"RepClayHiggins"
"TaxCutsandJobsAct",7,"RepClayHiggins"
"BREAKING",5,"RepClayHiggins"
"lagov",5,"RepClayHiggins"
"lawx",5,"RepClayHiggins"
"NationalPoliceWeek",4,"RepClayHiggins"
"harvey",3,"RepClayHiggins"
"HR2825",3,"RepClayHiggins"
"lalege",3,"RepClayHiggins"
"MemorialDay",3,"RepClayHiggins"
"NDAA",3,"RepClayHiggins"
"SmallBusinessWeek",3,"RepClayHiggins"
"CajunNavy",2,"RepClayHiggins"
"cysticfibrosis",2,"RepClayHiggins"
"GeauxCajuns",2,"RepClayHiggins"
"HurricaneHarvey",2,"RepClayHiggins"
"MardiGras",2,"RepClayHiggins"
"mcdailyreview",2,"RepClayHiggins"
"ProLife",2,"RepClayHiggins"
"releasethememo",2,"RepClayHiggins"
"SchumerShutdown",2,"RepClayHiggins"
"TaxCutsAndJobsAct",2,"RepClayHiggins"
"taxreform",2,"RepClayHiggins"
"ThinBlueLine",2,"RepClayHiggins"
"VAaccountability",2,"RepClayHiggins"
"4thofJuly",1,"RepClayHiggins"
"ACA",1,"RepClayHiggins"
"Acadiana",1,"RepClayHiggins"
"AllForScalise",1,"RepClayHiggins"
"AMBR",1,"RepClayHiggins"
"America",1,"RepClayHiggins"
"ArmedForces",1,"RepClayHiggins"
"BorderSecurityForAmerica",1,"RepClayHiggins"
"CHOICEAct",1,"RepClayHiggins"
"Cindy",1,"RepClayHiggins"
"Congress4CS",1,"RepClayHiggins"
"ConstitutionDay",1,"RepClayHiggins"
"CS",1,"RepClayHiggins"
"CysticFibrosis",1,"RepClayHiggins"
"DaVitaVoice",1,"RepClayHiggins"
"DDay",1,"RepClayHiggins"
"DidYouKnow",1,"RepClayHiggins"
"EarnedIt",1,"RepClayHiggins"
"FeedYourSoul",1,"RepClayHiggins"
"flooding",1,"RepClayHiggins"
"GeauxPokes",1,"RepClayHiggins"
"Harvey2017",1,"RepClayHiggins"
"HarveyRelief",1,"RepClayHiggins"
"HeartbeatHero",1,"RepClayHiggins"
"Houston",1,"RepClayHiggins"
"HR1156",1,"RepClayHiggins"
"HR3548",1,"RepClayHiggins"
"HR36",1,"RepClayHiggins"
"HR4712",1,"RepClayHiggins"
"humantrafficking",1,"RepClayHiggins"
"hurricane",1,"RepClayHiggins"
"IndependenceDay",1,"RepClayHiggins"
"K9s",1,"RepClayHiggins"
"KasperskyLab",1,"RepClayHiggins"
"KatesLaw",1,"RepClayHiggins"
"LABIinDC",1,"RepClayHiggins"
"LakeCharlesLA",1,"RepClayHiggins"
"LawEnforcementAppreciationDay",1,"RepClayHiggins"
"LegisGator",1,"RepClayHiggins"
"LFT",1,"RepClayHiggins"
"LNG",1,"RepClayHiggins"
"Louisiana",1,"RepClayHiggins"
"LouisianaShrimp",1,"RepClayHiggins"
"LSBDC",1,"RepClayHiggins"
"MarchForLife",1,"RepClayHiggins"
"McNeese",1,"RepClayHiggins"
"MemorialDayWeekend",1,"RepClayHiggins"
"MicahsLaw",1,"RepClayHiggins"
"NACHCpi17",1,"RepClayHiggins"
"NationalMaritimeDay",1,"RepClayHiggins"
"nationalshrimpday",1,"RepClayHiggins"
"NeverForget",1,"RepClayHiggins"
"NHCW17",1,"RepClayHiggins"
"NorthKorea",1,"RepClayHiggins"
"NoSanctuaryForCriminalsAct",1,"RepClayHiggins"
"nuclear",1,"RepClayHiggins"
"PainCapable",1,"RepClayHiggins"
"PeaceOfficersMemorialDay",1,"RepClayHiggins"
"POWMIA",1,"RepClayHiggins"
"repeal",1,"RepClayHiggins"
"RestoreLA",1,"RepClayHiggins"
"rice",1,"RepClayHiggins"
"safety",1,"RepClayHiggins"
"shopsmallbiz",1,"RepClayHiggins"
"smallbiz",1,"RepClayHiggins"
"SmallBusiness",1,"RepClayHiggins"
"SmallBusinessSaturday",1,"RepClayHiggins"
"STEM",1,"RepClayHiggins"
"TheyFeelPain",1,"RepClayHiggins"
"tornado",1,"RepClayHiggins"
"TownHall",1,"RepClayHiggins"
"tropical",1,"RepClayHiggins"
"Tropical",1,"RepClayHiggins"
"TropicalStormCindy",1,"RepClayHiggins"
"TSCindy",1,"RepClayHiggins"
"VA",1,"RepClayHiggins"
"whiteoutthedome",1,"RepClayHiggins"
"WOTUS",1,"RepClayHiggins"
