"Hashtag","Frequency","screen_name"
"Obamacare",34,"RepDaveBrat"
"IranDeal",22,"RepDaveBrat"
"SOTU",18,"RepDaveBrat"
"IRS",13,"RepDaveBrat"
"VeteransDay",12,"RepDaveBrat"
"LastSOTU",10,"RepDaveBrat"
"A1P",9,"RepDaveBrat"
"ISIS",9,"RepDaveBrat"
"VA07",9,"RepDaveBrat"
"CWC114",8,"RepDaveBrat"
"ExIm",7,"RepDaveBrat"
"PlannedParenthood",7,"RepDaveBrat"
"SCOTUS",7,"RepDaveBrat"
"Benghazi",6,"RepDaveBrat"
"Clinton",6,"RepDaveBrat"
"Congress",6,"RepDaveBrat"
"MemorialDay",6,"RepDaveBrat"
"NeverForget",6,"RepDaveBrat"
"SignTheBill",6,"RepDaveBrat"
"TaxDay",6,"RepDaveBrat"
"AFBDay2015",5,"RepDaveBrat"
"BenghaziReport",5,"RepDaveBrat"
"budget",5,"RepDaveBrat"
"DDay",5,"RepDaveBrat"
"EndExIm",5,"RepDaveBrat"
"FF",5,"RepDaveBrat"
"FY16NDAA",5,"RepDaveBrat"
"Iran",5,"RepDaveBrat"
"smallbiz",5,"RepDaveBrat"
"TPP",5,"RepDaveBrat"
"cwc114",4,"RepDaveBrat"
"HR3442",4,"RepDaveBrat"
"OvertimeRule",4,"RepDaveBrat"
"PROMESA",4,"RepDaveBrat"
"StopFiscalInsanity",4,"RepDaveBrat"
"StopIranDeal",4,"RepDaveBrat"
"TaxReform",4,"RepDaveBrat"
"TPA",4,"RepDaveBrat"
"USAF",4,"RepDaveBrat"
"American",3,"RepDaveBrat"
"BREAKING",3,"RepDaveBrat"
"ConstitutionDay",3,"RepDaveBrat"
"DC",3,"RepDaveBrat"
"DoddFrank",3,"RepDaveBrat"
"EmailPrivacyAct",3,"RepDaveBrat"
"ExtendPTCNow",3,"RepDaveBrat"
"FlagDay",3,"RepDaveBrat"
"HR1090",3,"RepDaveBrat"
"IRSCommissioner",3,"RepDaveBrat"
"LargeHSAs",3,"RepDaveBrat"
"opendata",3,"RepDaveBrat"
"POTUS",3,"RepDaveBrat"
"POTUSbudget",3,"RepDaveBrat"
"prolife",3,"RepDaveBrat"
"PuertoRico",3,"RepDaveBrat"
"tcot",3,"RepDaveBrat"
"VA",3,"RepDaveBrat"
"AHCA",2,"RepDaveBrat"
"antipoverty",2,"RepDaveBrat"
"BastilleDay",2,"RepDaveBrat"
"Bias",2,"RepDaveBrat"
"Budget",2,"RepDaveBrat"
"conservatives",2,"RepDaveBrat"
"CRconvention",2,"RepDaveBrat"
"economy",2,"RepDaveBrat"
"EmployeeRightsAct",2,"RepDaveBrat"
"FakeEcon",2,"RepDaveBrat"
"FinancePark",2,"RepDaveBrat"
"FixSGR",2,"RepDaveBrat"
"GodBlessAmerica",2,"RepDaveBrat"
"GOP",2,"RepDaveBrat"
"GROWTHPlan",2,"RepDaveBrat"
"Harvard",2,"RepDaveBrat"
"healthcare",2,"RepDaveBrat"
"HR4352",2,"RepDaveBrat"
"HR4773",2,"RepDaveBrat"
"ImpeachKoskinen",2,"RepDaveBrat"
"Inauguration",2,"RepDaveBrat"
"lameduck",2,"RepDaveBrat"
"LiftTheBan",2,"RepDaveBrat"
"MTP",2,"RepDaveBrat"
"NationalDayofPrayer",2,"RepDaveBrat"
"NDAA",2,"RepDaveBrat"
"nfbws15",2,"RepDaveBrat"
"ObamaRecovery",2,"RepDaveBrat"
"OTD",2,"RepDaveBrat"
"OurKidsFuture",2,"RepDaveBrat"
"OverrideTheVeto",2,"RepDaveBrat"
"PeoplesNight",2,"RepDaveBrat"
"President",2,"RepDaveBrat"
"ReligiousFreedom",2,"RepDaveBrat"
"SBW2015",2,"RepDaveBrat"
"schoolchoice",2,"RepDaveBrat"
"SmallBizWeek2016",2,"RepDaveBrat"
"SOTU16",2,"RepDaveBrat"
"StepUp4HeartHealth",2,"RepDaveBrat"
"TaxCode",2,"RepDaveBrat"
"taxreform",2,"RepDaveBrat"
"YAFCon",2,"RepDaveBrat"
"22kill",1,"RepDaveBrat"
"22PushupChallenge",1,"RepDaveBrat"
"28pages",1,"RepDaveBrat"
"2ndamendment",1,"RepDaveBrat"
"4jobs",1,"RepDaveBrat"
"4thofJuly",1,"RepDaveBrat"
"abortion",1,"RepDaveBrat"
"ACA",1,"RepDaveBrat"
"AFSP",1,"RepDaveBrat"
"AI",1,"RepDaveBrat"
"Aircraftcarriermonth",1,"RepDaveBrat"
"Airmen",1,"RepDaveBrat"
"Americans",1,"RepDaveBrat"
"AmericanUnderdog",1,"RepDaveBrat"
"AMNESTY",1,"RepDaveBrat"
"ArmyBDay",1,"RepDaveBrat"
"ashppolicyweek",1,"RepDaveBrat"
"ASMFlyIn15",1,"RepDaveBrat"
"AttorneyGeneral",1,"RepDaveBrat"
"BackTheBlue",1,"RepDaveBrat"
"BadBudgetBill",1,"RepDaveBrat"
"BalancedBudgetAmendment",1,"RepDaveBrat"
"beDECAepic",1,"RepDaveBrat"
"BenghaziAttack",1,"RepDaveBrat"
"BetterWay",1,"RepDaveBrat"
"BillofRightsDay",1,"RepDaveBrat"
"Brexit",1,"RepDaveBrat"
"Brussels",1,"RepDaveBrat"
"cancer",1,"RepDaveBrat"
"CancerLobbyDay",1,"RepDaveBrat"
"CarnegieHero",1,"RepDaveBrat"
"Cato2016",1,"RepDaveBrat"
"Chesterfield",1,"RepDaveBrat"
"ChevronDoctrine",1,"RepDaveBrat"
"CIA",1,"RepDaveBrat"
"civictech",1,"RepDaveBrat"
"ClimateChange",1,"RepDaveBrat"
"ClintonFoundation",1,"RepDaveBrat"
"Clintons",1,"RepDaveBrat"
"communitycollege",1,"RepDaveBrat"
"complexrehab",1,"RepDaveBrat"
"Constitution",1,"RepDaveBrat"
"copolitics",1,"RepDaveBrat"
"CPP",1,"RepDaveBrat"
"CTE",1,"RepDaveBrat"
"Culpeper",1,"RepDaveBrat"
"CutRedTape",1,"RepDaveBrat"
"Dallas",1,"RepDaveBrat"
"debt",1,"RepDaveBrat"
"Debt",1,"RepDaveBrat"
"DefundAmnesty",1,"RepDaveBrat"
"DefundPP",1,"RepDaveBrat"
"DitchTheRule",1,"RepDaveBrat"
"DoddFrankAct",1,"RepDaveBrat"
"DontShutDownOurSecurity",1,"RepDaveBrat"
"DrainTheSwamp",1,"RepDaveBrat"
"DRCStuck",1,"RepDaveBrat"
"ELS15",1,"RepDaveBrat"
"EmailPrivacy",1,"RepDaveBrat"
"EMSontheHill",1,"RepDaveBrat"
"EntrepreneurshipDay",1,"RepDaveBrat"
"EPA",1,"RepDaveBrat"
"ExImBank",1,"RepDaveBrat"
"Facebook",1,"RepDaveBrat"
"FADA",1,"RepDaveBrat"
"FairTax",1,"RepDaveBrat"
"FBI",1,"RepDaveBrat"
"Fed",1,"RepDaveBrat"
"FederalReserve",1,"RepDaveBrat"
"Feet2Fire16",1,"RepDaveBrat"
