"Mention","Frequency","screen_name"
"HouseAgNews",10,"RepDavidRouzer"
"NCState",4,"RepDavidRouzer"
"FoxBusiness",3,"RepDavidRouzer"
"CityofWilm",2,"RepDavidRouzer"
"DeptVetAffairs",2,"RepDavidRouzer"
"fayobserver",2,"RepDavidRouzer"
"HouseVetAffairs",2,"RepDavidRouzer"
"NatResources",2,"RepDavidRouzer"
"NCAzaleaFest",2,"RepDavidRouzer"
"NCFarmBureau",2,"RepDavidRouzer"
"realDonaldTrump",2,"RepDavidRouzer"
"StarNewsOnline",2,"RepDavidRouzer"
"SteveScalise",2,"RepDavidRouzer"
"UNCWilmington",2,"RepDavidRouzer"
"USChamber",2,"RepDavidRouzer"
"Varneyco",2,"RepDavidRouzer"
"963Thunder",1,"RepDavidRouzer"
"agday",1,"RepDavidRouzer"
"annakooiman",1,"RepDavidRouzer"
"AvaMuseum",1,"RepDavidRouzer"
"BASEgovaffairs",1,"RepDavidRouzer"
"BladenJournal",1,"RepDavidRouzer"
"BobGoodlatte6",1,"RepDavidRouzer"
"Bojangles1977",1,"RepDavidRouzer"
"BWReporter",1,"RepDavidRouzer"
"CullenJones",1,"RepDavidRouzer"
"dcexaminer",1,"RepDavidRouzer"
"EPA",1,"RepDavidRouzer"
"EPWRepublicans",1,"RepDavidRouzer"
"foxandfriends",1,"RepDavidRouzer"
"FranWellerWECT",1,"RepDavidRouzer"
"FtBraggNC",1,"RepDavidRouzer"
"HouseFloor",1,"RepDavidRouzer"
"IndyFund",1,"RepDavidRouzer"
"Interior",1,"RepDavidRouzer"
"luminanews",1,"RepDavidRouzer"
"Nash_Dunn",1,"RepDavidRouzer"
"NavalAcademy",1,"RepDavidRouzer"
"NCACC",1,"RepDavidRouzer"
"NcDva",1,"RepDavidRouzer"
"ncrealtors",1,"RepDavidRouzer"
"newsobserver",1,"RepDavidRouzer"
"OfficialRFDTV",1,"RepDavidRouzer"
"PatrickMcHenry",1,"RepDavidRouzer"
"POTUS",1,"RepDavidRouzer"
"RepFitzpatrick",1,"RepDavidRouzer"
"RepGoodlatte",1,"RepDavidRouzer"
"RepHardy",1,"RepDavidRouzer"
"RepMikeBishop",1,"RepDavidRouzer"
"RepPoliquin",1,"RepDavidRouzer"
"Robert_Aderholt",1,"RepDavidRouzer"
"RodneyDavis",1,"RepDavidRouzer"
"SampsonInd",1,"RepDavidRouzer"
"SIFMAFoundation",1,"RepDavidRouzer"
"SmithfieldNews",1,"RepDavidRouzer"
"thehill",1,"RepDavidRouzer"
"Transport",1,"RepDavidRouzer"
"tylercralle",1,"RepDavidRouzer"
"USMC",1,"RepDavidRouzer"
"USPS",1,"RepDavidRouzer"
"WaysandMeansGOP",1,"RepDavidRouzer"
"wectnews",1,"RepDavidRouzer"
"WRAL",1,"RepDavidRouzer"
"WRBethesda",1,"RepDavidRouzer"
"WSJ",1,"RepDavidRouzer"
"WWAY",1,"RepDavidRouzer"
