"Mention","Frequency","screen_name"
"970wfla",29,"RepDennisRoss"
"theledger",28,"RepDennisRoss"
"USouthFlorida",24,"RepDennisRoss"
"FinancialCmte",22,"RepDennisRoss"
"realDonaldTrump",17,"RepDennisRoss"
"FoxNews",16,"RepDennisRoss"
"RepDennisRoss",16,"RepDennisRoss"
"TBOcom",15,"RepDennisRoss"
"TB_Times",14,"RepDennisRoss"
"FlyLakeland",13,"RepDennisRoss"
"thehill",13,"RepDennisRoss"
"PolkState",11,"RepDennisRoss"
"SSNAlerts",10,"RepDennisRoss"
"SunnFunFlyIn",10,"RepDennisRoss"
"FLStrawberryFst",9,"RepDennisRoss"
"PolkCoSheriff",9,"RepDennisRoss"
"CNN",8,"RepDennisRoss"
"FLCITRUSMUTUAL",8,"RepDennisRoss"
"TomRooney",8,"RepDennisRoss"
"BN9",7,"RepDennisRoss"
"CoreyDylan",7,"RepDennisRoss"
"DeptVetAffairs",7,"RepDennisRoss"
"GOPoversight",7,"RepDennisRoss"
"POTUS",7,"RepDennisRoss"
"RepGusBilirakis",7,"RepDennisRoss"
"SteveScalise",7,"RepDennisRoss"
"USRepDavidJolly",7,"RepDennisRoss"
"USRepKCastor",7,"RepDennisRoss"
"WSJ",7,"RepDennisRoss"
"AC360",6,"RepDennisRoss"
"AuburnU",6,"RepDennisRoss"
"myfoxtampabay",6,"RepDennisRoss"
"newstalkflorida",6,"RepDennisRoss"
"PlantObserver",6,"RepDennisRoss"
"politico",6,"RepDennisRoss"
"washingtonpost",6,"RepDennisRoss"
"abcactionnews",5,"RepDennisRoss"
"ChadPergram",5,"RepDennisRoss"
"ChrisCuomo",5,"RepDennisRoss"
"cspan",5,"RepDennisRoss"
"FlaFarmBureau",5,"RepDennisRoss"
"FSC_Athletics",5,"RepDennisRoss"
"HouseGOP",5,"RepDennisRoss"
"InhofePress",5,"RepDennisRoss"
"Kiwanis",5,"RepDennisRoss"
"repjustinamash",5,"RepDennisRoss"
"TBLightning",5,"RepDennisRoss"
"USArmy",5,"RepDennisRoss"
