"Hashtag","Frequency","screen_name"
"VA06",697,"RepGoodlatte"
"immigration",66,"RepGoodlatte"
"Roanoke",53,"RepGoodlatte"
"HJC114",47,"RepGoodlatte"
"Rke",46,"RepGoodlatte"
"USAFreedomAct",38,"RepGoodlatte"
"Lynchburg",31,"RepGoodlatte"
"RFS",26,"RepGoodlatte"
"Virginia",24,"RepGoodlatte"
"Obamacare",20,"RepGoodlatte"
"PITFA",18,"RepGoodlatte"
"BetterWay",17,"RepGoodlatte"
"cjreform",17,"RepGoodlatte"
"taxreform",17,"RepGoodlatte"
"rke",15,"RepGoodlatte"
"InnovationAct",14,"RepGoodlatte"
"Constitution",13,"RepGoodlatte"
"patent",13,"RepGoodlatte"
"regreform",13,"RepGoodlatte"
"SecretService",13,"RepGoodlatte"
"PlannedParenthood",12,"RepGoodlatte"
"HR27",11,"RepGoodlatte"
"SanctuaryCities",11,"RepGoodlatte"
"TaxReform",11,"RepGoodlatte"
"veterans",11,"RepGoodlatte"
"DOJ",10,"RepGoodlatte"
"HR9",10,"RepGoodlatte"
"SanctuaryCity",10,"RepGoodlatte"
"ethanol",9,"RepGoodlatte"
"FBI",9,"RepGoodlatte"
"HillaryClinton",9,"RepGoodlatte"
"encryption",8,"RepGoodlatte"
"MemorialDay",8,"RepGoodlatte"
"REINSAct",8,"RepGoodlatte"
"SchumerShutdown",8,"RepGoodlatte"
"SCOTUS",8,"RepGoodlatte"
"STEM",8,"RepGoodlatte"
"sunsetthecode",8,"RepGoodlatte"
"Veterans",8,"RepGoodlatte"
"WOTUS",8,"RepGoodlatte"
"balancedbudget",7,"RepGoodlatte"
"CHIP",7,"RepGoodlatte"
"criminaljusticereform",7,"RepGoodlatte"
"ECPA",7,"RepGoodlatte"
"EndTrafficking",7,"RepGoodlatte"
"FindYourPark",7,"RepGoodlatte"
"Harrisonburg",7,"RepGoodlatte"
"Immigration",7,"RepGoodlatte"
"IP",7,"RepGoodlatte"
"Iran",7,"RepGoodlatte"
"KeystoneXL",7,"RepGoodlatte"
"NetNeutrality",7,"RepGoodlatte"
"PIRS",7,"RepGoodlatte"
"RFSBroken",7,"RepGoodlatte"
"SOTU",7,"RepGoodlatte"
"copyright",6,"RepGoodlatte"
"FISA702",6,"RepGoodlatte"
"FreeFile",6,"RepGoodlatte"
"HouseAg",6,"RepGoodlatte"
"IranDeal",6,"RepGoodlatte"
"IRS",6,"RepGoodlatte"
"KatesLaw",6,"RepGoodlatte"
"LARA",6,"RepGoodlatte"
"TBT",6,"RepGoodlatte"
"Waynesboro",6,"RepGoodlatte"
"WorldIPDay",6,"RepGoodlatte"
"AgAct",5,"RepGoodlatte"
"BBA",5,"RepGoodlatte"
"dairy",5,"RepGoodlatte"
"Ebola",5,"RepGoodlatte"
"EPA",5,"RepGoodlatte"
"freespeech",5,"RepGoodlatte"
"GoDukes",5,"RepGoodlatte"
"Internet",5,"RepGoodlatte"
"jobs",5,"RepGoodlatte"
"KellyFile",5,"RepGoodlatte"
"opioidepidemic",5,"RepGoodlatte"
"OpioidEpidemic",5,"RepGoodlatte"
"OTD",5,"RepGoodlatte"
"prolife",5,"RepGoodlatte"
"RockyMtFire",5,"RepGoodlatte"
"Staunton",5,"RepGoodlatte"
"SunsetTheCode",5,"RepGoodlatte"
"sunsetthetaxcode",5,"RepGoodlatte"
"tax",5,"RepGoodlatte"
"taxcode",5,"RepGoodlatte"
"VeteransDay",5,"RepGoodlatte"
"4jobs",4,"RepGoodlatte"
"agriculture",4,"RepGoodlatte"
"CAC2015",4,"RepGoodlatte"
"Clinton",4,"RepGoodlatte"
"DavisOliverAct",4,"RepGoodlatte"
"DEA",4,"RepGoodlatte"
"EmailPrivacyAct",4,"RepGoodlatte"
"executiveoverreach",4,"RepGoodlatte"
"FY16NDAA",4,"RepGoodlatte"
"healthcare",4,"RepGoodlatte"
"HJC113",4,"RepGoodlatte"
"HR36",4,"RepGoodlatte"
"Israel",4,"RepGoodlatte"
"ITFA",4,"RepGoodlatte"
"JudicialRedressAct",4,"RepGoodlatte"
"July4th",4,"RepGoodlatte"
"LastSOTU",4,"RepGoodlatte"
"MarchForLife",4,"RepGoodlatte"
"MicahsLaw",4,"RepGoodlatte"
"NationalPoliceWeek",4,"RepGoodlatte"
"patentreform",4,"RepGoodlatte"
"REVIEWAct",4,"RepGoodlatte"
"Rio2016",4,"RepGoodlatte"
"TaxDay",4,"RepGoodlatte"
"TeamUSA",4,"RepGoodlatte"
"TheyFeelPain",4,"RepGoodlatte"
"TradeSecrets",4,"RepGoodlatte"
"WWII",4,"RepGoodlatte"
"ABLEAct",3,"RepGoodlatte"
"budget",3,"RepGoodlatte"
"Copyright",3,"RepGoodlatte"
"cybercrime",3,"RepGoodlatte"
"DDay",3,"RepGoodlatte"
"DrugTakeBack",3,"RepGoodlatte"
"DTSA",3,"RepGoodlatte"
"ElectionDay",3,"RepGoodlatte"
"energy",3,"RepGoodlatte"
"EVerify",3,"RepGoodlatte"
"fiduciaryrule",3,"RepGoodlatte"
"FourthofJuly",3,"RepGoodlatte"
"HappyNewYear",3,"RepGoodlatte"
"HR158",3,"RepGoodlatte"
"HR1695",3,"RepGoodlatte"
"HR5",3,"RepGoodlatte"
"HR644",3,"RepGoodlatte"
"humantrafficking",3,"RepGoodlatte"
"innovation",3,"RepGoodlatte"
"Innovation",3,"RepGoodlatte"
"LynchburgVA",3,"RepGoodlatte"
"NationalAgDay",3,"RepGoodlatte"
"NationalDayofPrayer",3,"RepGoodlatte"
"NationalParkWeek",3,"RepGoodlatte"
"PainCapable",3,"RepGoodlatte"
"redtape",3,"RepGoodlatte"
"SecondChanceAct",3,"RepGoodlatte"
"September11",3,"RepGoodlatte"
"SignTheBill",3,"RepGoodlatte"
"smallbiz",3,"RepGoodlatte"
"SmallBusinessWeek",3,"RepGoodlatte"
"SyrianRefugees",3,"RepGoodlatte"
"theyfeelpain",3,"RepGoodlatte"
"tradesecrets",3,"RepGoodlatte"
