"Mention","Frequency","screen_name"
"SOAR_EKY",93,"RepHalRogers"
"RxSummit",51,"RepHalRogers"
"uniteky",31,"RepHalRogers"
"WYMT",19,"RepHalRogers"
"GovSteveBeshear",18,"RepHalRogers"
"centertech",15,"RepHalRogers"
"GovMattBevin",13,"RepHalRogers"
"upikebears",12,"RepHalRogers"
"HouseAppropsGOP",9,"RepHalRogers"
"KET",9,"RepHalRogers"
"theaward",9,"RepHalRogers"
"US_FDA",9,"RepHalRogers"
"ONDCP",8,"RepHalRogers"
"JimmyRoseAGT",7,"RepHalRogers"
"UKCoachCalipari",7,"RepHalRogers"
"eastkyexpo",6,"RepHalRogers"
"moreheadstate",6,"RepHalRogers"
"NIDAnews",6,"RepHalRogers"
"RepAndyBarr",6,"RepHalRogers"
"USRepKeating",6,"RepHalRogers"
"10AM",5,"RepHalRogers"
"Botticelli44",5,"RepHalRogers"
"McConnellPress",5,"RepHalRogers"
"NASA",5,"RepHalRogers"
"ShareThis",5,"RepHalRogers"
"BillKET",4,"RepHalRogers"
"courierjournal",4,"RepHalRogers"
"cspan",4,"RepHalRogers"
"NationalService",4,"RepHalRogers"
"neilwymt",4,"RepHalRogers"
"ThinkUnionKy",4,"RepHalRogers"
"UKYpres",4,"RepHalRogers"
"WKYT",4,"RepHalRogers"
"ARCgov",3,"RepHalRogers"
"CDCgov",3,"RepHalRogers"
"CongressionalAC",3,"RepHalRogers"
"GOPLeader",3,"RepHalRogers"
"GovernorDeal",3,"RepHalRogers"
"JordanSmithLive",3,"RepHalRogers"
"NCIDrDoug",3,"RepHalRogers"
"politico",3,"RepHalRogers"
"POTUS",3,"RepHalRogers"
"RepHalRogers",3,"RepHalRogers"
"SecBurwell",3,"RepHalRogers"
"USDA",3,"RepHalRogers"
"usdaRD",3,"RepHalRogers"
"usedgov",3,"RepHalRogers"
"11am",2,"RepHalRogers"
"AmeriCorps",2,"RepHalRogers"
"BSCTC05",2,"RepHalRogers"
"cityoflondonky",2,"RepHalRogers"
"civilwartrust",2,"RepHalRogers"
"ComActionKY",2,"RepHalRogers"
"DEAHQ",2,"RepHalRogers"
"HazardHerald",2,"RepHalRogers"
"HHSGov",2,"RepHalRogers"
"HouseCommerce",2,"RepHalRogers"
"HouseGOP",2,"RepHalRogers"
"KentuckyCoal",2,"RepHalRogers"
"KYComer",2,"RepHalRogers"
"KYHoover",2,"RepHalRogers"
"kynewsmakers",2,"RepHalRogers"
"MelanieGriffith",2,"RepHalRogers"
"msba1862",2,"RepHalRogers"
"NCAA",2,"RepHalRogers"
"NGAUS1878",2,"RepHalRogers"
"nihale1956",2,"RepHalRogers"
"NitaLowey",2,"RepHalRogers"
"pmcpikeville",2,"RepHalRogers"
"RepBillKeating",2,"RepHalRogers"
"RepGuthrie",2,"RepHalRogers"
"repmichaelgrimm",2,"RepHalRogers"
"RepStephenLynch",2,"RepHalRogers"
"RepWebster",2,"RepHalRogers"
"SavetheChildren",2,"RepHalRogers"
"SenateMajLdr",2,"RepHalRogers"
"SKED29",2,"RepHalRogers"
"Somerset_KY",2,"RepHalRogers"
"StateDept",2,"RepHalRogers"
"SteveScalise",2,"RepHalRogers"
"Surgeon_General",2,"RepHalRogers"
"universityofky",2,"RepHalRogers"
"WhiteHouse",2,"RepHalRogers"
"WVLK",2,"RepHalRogers"
"_ALLRISE_",1,"RepHalRogers"
