"Hashtag","Frequency","screen_name"
"Mi01",17,"RepJackBergman"
"GreatLakes",10,"RepJackBergman"
"MI1",9,"RepJackBergman"
"GLRI",8,"RepJackBergman"
"FY18NDAA",7,"RepJackBergman"
"MI01",6,"RepJackBergman"
"TaxReform",6,"RepJackBergman"
"budget",5,"RepJackBergman"
"SooLocks",5,"RepJackBergman"
"taxreform",5,"RepJackBergman"
"HonorThem",4,"RepJackBergman"
"SchumerShutdown",4,"RepJackBergman"
"SemperFi",4,"RepJackBergman"
"MyMichigan1",3,"RepJackBergman"
"RepealAndReplace",3,"RepJackBergman"
"SCOTUS",3,"RepJackBergman"
"FinalFour",2,"RepJackBergman"
"Inauguration",2,"RepJackBergman"
"Inauguration2017",2,"RepJackBergman"
"JointAddress",2,"RepJackBergman"
"MarchForLife",2,"RepJackBergman"
"MemorialDay",2,"RepJackBergman"
"military",2,"RepJackBergman"
"PTSDAwarenessDay",2,"RepJackBergman"
"ReleaseTheMemo",2,"RepJackBergman"
"RepealANDReplace",2,"RepJackBergman"
"SheWhoBorneTheBattle",2,"RepJackBergman"
"SOTU",2,"RepJackBergman"
"TaxCutsandJobsAct",2,"RepJackBergman"
"TaxReformTuesday",2,"RepJackBergman"
"TBT",2,"RepJackBergman"
"veterans",2,"RepJackBergman"
"100days",1,"RepJackBergman"
"4thofJuly",1,"RepJackBergman"
"AARP2017",1,"RepJackBergman"
"ABetterWay",1,"RepJackBergman"
"AgDay",1,"RepJackBergman"
"AHCA",1,"RepJackBergman"
"ArmedForcesDay",1,"RepJackBergman"
"balancethebudget",1,"RepJackBergman"
"BandofBrothers",1,"RepJackBergman"
"BIOFlyIn",1,"RepJackBergman"
"bioscience",1,"RepJackBergman"
"bipartisan",1,"RepJackBergman"
"BlackHistoryMonth",1,"RepJackBergman"
"BPC10",1,"RepJackBergman"
"bravingit",1,"RepJackBergman"
"Budget",1,"RepJackBergman"
"Budget2018",1,"RepJackBergman"
"BuildTheLock",1,"RepJackBergman"
"CapitolHill",1,"RepJackBergman"
"chemistrymatters",1,"RepJackBergman"
"CherryFestivalParade",1,"RepJackBergman"
"CHOICEAct",1,"RepJackBergman"
"Civility",1,"RepJackBergman"
"ConstitutionDay",1,"RepJackBergman"
"DDay",1,"RepJackBergman"
"defense",1,"RepJackBergman"
"DidYouKnow",1,"RepJackBergman"
"ECWS2018",1,"RepJackBergman"
"ENDAlz",1,"RepJackBergman"
"Escanaba",1,"RepJackBergman"
"FindYourPark",1,"RepJackBergman"
"FirstDayofSpring",1,"RepJackBergman"
"FlagWeek",1,"RepJackBergman"
"ForCountry",1,"RepJackBergman"
"ForGod",1,"RepJackBergman"
"FosterYouthVoices",1,"RepJackBergman"
"FQHC",1,"RepJackBergman"
"Gaylord",1,"RepJackBergman"
"Georgia",1,"RepJackBergman"
"GivingTuesday",1,"RepJackBergman"
"GoCats",1,"RepJackBergman"
"GOPretreat",1,"RepJackBergman"
"GreatLake",1,"RepJackBergman"
"Happy4thofJuly",1,"RepJackBergman"
"HolocaustRemembrance",1,"RepJackBergman"
"honor",1,"RepJackBergman"
"HonoringVets",1,"RepJackBergman"
"HurricaneHarvey",1,"RepJackBergman"
"ICYMI",1,"RepJackBergman"
"immigration",1,"RepJackBergman"
"inauguration2017",1,"RepJackBergman"
"InaugurationDay",1,"RepJackBergman"
"infrastructure",1,"RepJackBergman"
"Infrastructure",1,"RepJackBergman"
"Infrastucture",1,"RepJackBergman"
"JOBS",1,"RepJackBergman"
"JointSession",1,"RepJackBergman"
"JointSesson",1,"RepJackBergman"
"LetLoveGrow",1,"RepJackBergman"
"Manchester",1,"RepJackBergman"
"ManufacturingDay",1,"RepJackBergman"
"MedalofHonor",1,"RepJackBergman"
"Michigan",1,"RepJackBergman"
"Michigan1",1,"RepJackBergman"
"MichiganOne",1,"RepJackBergman"
"MotivationMonday",1,"RepJackBergman"
"MSFTvets",1,"RepJackBergman"
"NationalFishingandBoatingWeek",1,"RepJackBergman"
"NationalK9VeteransDay",1,"RepJackBergman"
"NationalTakeAWalkInTheParkDay",1,"RepJackBergman"
"Newseum",1,"RepJackBergman"
"Onthisday",1,"RepJackBergman"
"OnThisDay",1,"RepJackBergman"
"OpeningDay",1,"RepJackBergman"
"OperationStandTogether",1,"RepJackBergman"
"passthebudget",1,"RepJackBergman"
"PatriotsDay",1,"RepJackBergman"
"PoliceWeek",1,"RepJackBergman"
"PoliceWeek2017",1,"RepJackBergman"
"ProLifeGeneration",1,"RepJackBergman"
"ProudAmerican",1,"RepJackBergman"
"publiclands",1,"RepJackBergman"
"pyeongchang2018",1,"RepJackBergman"
"SaveAmericanLives",1,"RepJackBergman"
"SCRUBAct",1,"RepJackBergman"
"Seapower",1,"RepJackBergman"
"ServiceFirst",1,"RepJackBergman"
"spending",1,"RepJackBergman"
"StopAsianCarpNow",1,"RepJackBergman"
"SummerSolstice",1,"RepJackBergman"
"SuzanneFields",1,"RepJackBergman"
"taxday",1,"RepJackBergman"
"TeamUSA",1,"RepJackBergman"
"ThankAVeteran",1,"RepJackBergman"
"ThankYou",1,"RepJackBergman"
"Tomahawk",1,"RepJackBergman"
"TONIGHT",1,"RepJackBergman"
"ToxicVeteransDeserveJustice",1,"RepJackBergman"
"trail",1,"RepJackBergman"
"trgov",1,"RepJackBergman"
"TuesdayMotivation",1,"RepJackBergman"
"unity",1,"RepJackBergman"
"UnityMatters",1,"RepJackBergman"
"UP",1,"RepJackBergman"
"USCapitol",1,"RepJackBergman"
"USMC",1,"RepJackBergman"
"USSPorter",1,"RepJackBergman"
"USSRoss",1,"RepJackBergman"
"VAaccountability",1,"RepJackBergman"
"valentinesday2017",1,"RepJackBergman"
"Veteran",1,"RepJackBergman"
"Veterans",1,"RepJackBergman"
"vets1st",1,"RepJackBergman"
"WashTimesAdvocacy",1,"RepJackBergman"
"WashTimesOpEd",1,"RepJackBergman"
"WLS17",1,"RepJackBergman"
"WomensHistoryMonth",1,"RepJackBergman"
"WorldWaterDay",1,"RepJackBergman"
"WWII",1,"RepJackBergman"
"YooperPride",1,"RepJackBergman"
