"Hashtag","Frequency","screen_name"
"MAGA",46,"RepJeffDuncan"
"GoTigers",23,"RepJeffDuncan"
"ClemsonFamily",16,"RepJeffDuncan"
"MakeAmericaGreatAgain",10,"RepJeffDuncan"
"TCOT",9,"RepJeffDuncan"
"FlyTheW",8,"RepJeffDuncan"
"Gitmo",7,"RepJeffDuncan"
"IStandWithIsrael",7,"RepJeffDuncan"
"SchumerShutdown",6,"RepJeffDuncan"
"SOTU",6,"RepJeffDuncan"
"ALLIN",5,"RepJeffDuncan"
"ReleaseTheMemo",5,"RepJeffDuncan"
"Cubbies",4,"RepJeffDuncan"
"FISAMemo",4,"RepJeffDuncan"
"TaxReform",4,"RepJeffDuncan"
"tcot",4,"RepJeffDuncan"
"USA",4,"RepJeffDuncan"
"4forHeisman",3,"RepJeffDuncan"
"4ForHeisman",3,"RepJeffDuncan"
"ACCChampionship",3,"RepJeffDuncan"
"Chanticleers",3,"RepJeffDuncan"
"Clemson",3,"RepJeffDuncan"
"Cubs",3,"RepJeffDuncan"
"CWS2016",3,"RepJeffDuncan"
"FinalFour",3,"RepJeffDuncan"
"GITMO",3,"RepJeffDuncan"
"Inauguration",3,"RepJeffDuncan"
"marchmadness",3,"RepJeffDuncan"
"SCOTUS",3,"RepJeffDuncan"
"taxreform",3,"RepJeffDuncan"
"WorldSeries",3,"RepJeffDuncan"
"BCS2016",2,"RepJeffDuncan"
"ClemsonProud",2,"RepJeffDuncan"
"CWSFinals",2,"RepJeffDuncan"
"Don",2,"RepJeffDuncan"
"DoubleStandard",2,"RepJeffDuncan"
"FlyThePaw",2,"RepJeffDuncan"
"GodBlessAmerica",2,"RepJeffDuncan"
"LongestDay",2,"RepJeffDuncan"
"LoveMyTigers",2,"RepJeffDuncan"
"MLBPlayoffs",2,"RepJeffDuncan"
"muniland",2,"RepJeffDuncan"
"NFLDraft",2,"RepJeffDuncan"
"NFLDraft2017",2,"RepJeffDuncan"
"ReadTheMemo",2,"RepJeffDuncan"
"schumershutdown",2,"RepJeffDuncan"
"SCOTUSnominee",2,"RepJeffDuncan"
"TaxCutsandJobsAct",2,"RepJeffDuncan"
"TCUvsORE",2,"RepJeffDuncan"
"Venezuela",2,"RepJeffDuncan"
"wikileaks",2,"RepJeffDuncan"
"Winning",2,"RepJeffDuncan"
"15IsMySon",1,"RepJeffDuncan"
"15JPDuncanMakesFinalOut",1,"RepJeffDuncan"
"2016NationalChampions",1,"RepJeffDuncan"
"2016WS",1,"RepJeffDuncan"
"3rdDistrictSC",1,"RepJeffDuncan"
"4IsTheBestQBinTheNation",1,"RepJeffDuncan"
"4thAmendment",1,"RepJeffDuncan"
"ACCTourney",1,"RepJeffDuncan"
"AlamoBowl",1,"RepJeffDuncan"
"AlexandriaShooting",1,"RepJeffDuncan"
"AllIn",1,"RepJeffDuncan"
"AmericaFirst",1,"RepJeffDuncan"
"AmericansHaveTheRightToKbow",1,"RepJeffDuncan"
"AmericansHaveTheRightToKnow",1,"RepJeffDuncan"
"ArnoldPalmer",1,"RepJeffDuncan"
"ASSANGE",1,"RepJeffDuncan"
"ATeam",1,"RepJeffDuncan"
"BadIranDeal",1,"RepJeffDuncan"
"Bamalife",1,"RepJeffDuncan"
"BaseBall",1,"RepJeffDuncan"
"BaseballOfMyChildhood",1,"RepJeffDuncan"
"BasketballHeadache",1,"RepJeffDuncan"
"BBQHeaven",1,"RepJeffDuncan"
"BCSNnation",1,"RepJeffDuncan"
"BeatArizona",1,"RepJeffDuncan"
"BeatBama",1,"RepJeffDuncan"
"BeatCancer",1,"RepJeffDuncan"
"BeatDuke",1,"RepJeffDuncan"
"BeatOklahomaStateSaturday",1,"RepJeffDuncan"
"BeatsDuke",1,"RepJeffDuncan"
"BeatTheTribe",1,"RepJeffDuncan"
"BeSafeGulfCoast",1,"RepJeffDuncan"
"BillionsToAyatollahs",1,"RepJeffDuncan"
"BillOfRights",1,"RepJeffDuncan"
"BlueLivesMatter",1,"RepJeffDuncan"
"BoldColors",1,"RepJeffDuncan"
"Bracketology",1,"RepJeffDuncan"
"brexit",1,"RepJeffDuncan"
"BuildTheWall",1,"RepJeffDuncan"
"BuyAmerican",1,"RepJeffDuncan"
"Canada",1,"RepJeffDuncan"
"Canada150th",1,"RepJeffDuncan"
"ChicagoCubs",1,"RepJeffDuncan"
"CHSAthletics",1,"RepJeffDuncan"
"Classof2016",1,"RepJeffDuncan"
"Clemson2016NationalChampions",1,"RepJeffDuncan"
"ClemsonAthletics",1,"RepJeffDuncan"
"ClemsonBaseball",1,"RepJeffDuncan"
"clemsonbasketball",1,"RepJeffDuncan"
"clemsonfamily",1,"RepJeffDuncan"
"ClemsonFootball",1,"RepJeffDuncan"
"ClemsonNationalChampions",1,"RepJeffDuncan"
"ClemsonStrong",1,"RepJeffDuncan"
"ClemsonTigers",1,"RepJeffDuncan"
"ClemsonVisitsDC",1,"RepJeffDuncan"
"ClintonCash",1,"RepJeffDuncan"
"ClintonHSGraduation",1,"RepJeffDuncan"
"CNNBlackmail",1,"RepJeffDuncan"
"Co",1,"RepJeffDuncan"
"CoastalCarolina",1,"RepJeffDuncan"
"collegefootball",1,"RepJeffDuncan"
"CollegeGameDay",1,"RepJeffDuncan"
"colombia",1,"RepJeffDuncan"
"Colombia",1,"RepJeffDuncan"
"ConservativeAnswers",1,"RepJeffDuncan"
