"Hashtag","Frequency","screen_name"
"utpol",34,"RepJohnCurtis"
"ProtectTheRightWay",8,"RepJohnCurtis"
"BearsEars",5,"RepJohnCurtis"
"TaxReform",5,"RepJohnCurtis"
"SOTU",4,"RepJohnCurtis"
"SendMartha",3,"RepJohnCurtis"
"CurtisGoesToCongress",2,"RepJohnCurtis"
"MerryChristmas",2,"RepJohnCurtis"
"TaxCutsAndJobsAct",2,"RepJohnCurtis"
"2059more",1,"RepJohnCurtis"
"AccessForAll",1,"RepJohnCurtis"
"BestOfUs",1,"RepJohnCurtis"
"bestperformingcities",1,"RepJohnCurtis"
"CHIP",1,"RepJohnCurtis"
"curtisgoestocongress",1,"RepJohnCurtis"
"DREAMers",1,"RepJohnCurtis"
"FISA",1,"RepJohnCurtis"
"happybirthdayutah",1,"RepJohnCurtis"
"HappyHolidays",1,"RepJohnCurtis"
"humblebrag",1,"RepJohnCurtis"
"LocalOfficialsDay",1,"RepJohnCurtis"
"LoveSavesLives",1,"RepJohnCurtis"
"MarchForLife",1,"RepJohnCurtis"
"MarthaGoesToWashington",1,"RepJohnCurtis"
"NationalPark",1,"RepJohnCurtis"
"ProtectDreamers",1,"RepJohnCurtis"
"Provo",1,"RepJohnCurtis"
"ReleaseTheMemo",1,"RepJohnCurtis"
"TakeNote",1,"RepJohnCurtis"
"TaxCutsandJobsAct",1,"RepJohnCurtis"
"TBT",1,"RepJohnCurtis"
"USA",1,"RepJohnCurtis"
"utleg",1,"RepJohnCurtis"
"utppol",1,"RepJohnCurtis"
"WinterOlympics",1,"RepJohnCurtis"
