"Hashtag","Frequency","screen_name"
"nationaldebt",26,"RepJohnDuncanJr"
"OmnibusBill",10,"RepJohnDuncanJr"
"Afghanistan",9,"RepJohnDuncanJr"
"Obamacare",8,"RepJohnDuncanJr"
"Iraq",6,"RepJohnDuncanJr"
"MiddleEast",6,"RepJohnDuncanJr"
"immigration",5,"RepJohnDuncanJr"
"WRRDA",5,"RepJohnDuncanJr"
"EveryStudentSucceeds",4,"RepJohnDuncanJr"
"guessinggame",4,"RepJohnDuncanJr"
"TN02",4,"RepJohnDuncanJr"
"AED",3,"RepJohnDuncanJr"
"debt",3,"RepJohnDuncanJr"
"Ebola",3,"RepJohnDuncanJr"
"GBO",3,"RepJohnDuncanJr"
"LoisLerner",3,"RepJohnDuncanJr"
"NationalDebt",3,"RepJohnDuncanJr"
"OnThisDay",3,"RepJohnDuncanJr"
"SOTU",3,"RepJohnDuncanJr"
"Syria",3,"RepJohnDuncanJr"
"TaxDay",3,"RepJohnDuncanJr"
"VeteransDay",3,"RepJohnDuncanJr"
"WednesdayWisdom",3,"RepJohnDuncanJr"
"America",2,"RepJohnDuncanJr"
"CRomnibus",2,"RepJohnDuncanJr"
"DDay",2,"RepJohnDuncanJr"
"DDay70",2,"RepJohnDuncanJr"
"debtceiling",2,"RepJohnDuncanJr"
"Detroit",2,"RepJohnDuncanJr"
"ENDALZ",2,"RepJohnDuncanJr"
"EpiPen",2,"RepJohnDuncanJr"
"FastTrack",2,"RepJohnDuncanJr"
"HighwayTrustFund",2,"RepJohnDuncanJr"
"HonorAir",2,"RepJohnDuncanJr"
"HowardBaker",2,"RepJohnDuncanJr"
"IMF",2,"RepJohnDuncanJr"
"IRS",2,"RepJohnDuncanJr"
"IRSscandal",2,"RepJohnDuncanJr"
"NationalDayofPrayer",2,"RepJohnDuncanJr"
"NoChildLeftBehind",2,"RepJohnDuncanJr"
"ObamaCare",2,"RepJohnDuncanJr"
"omnibus",2,"RepJohnDuncanJr"
"PlannedParenthood",2,"RepJohnDuncanJr"
"shutdown",2,"RepJohnDuncanJr"
"SyrianRefugees",2,"RepJohnDuncanJr"
"TN",2,"RepJohnDuncanJr"
"tonight",2,"RepJohnDuncanJr"
"TPA",2,"RepJohnDuncanJr"
"Transportation",2,"RepJohnDuncanJr"
"VA",2,"RepJohnDuncanJr"
"Veterans",2,"RepJohnDuncanJr"
"WhiteHouse",2,"RepJohnDuncanJr"
"24Strong",1,"RepJohnDuncanJr"
"ACURatings",1,"RepJohnDuncanJr"
"AEDs",1,"RepJohnDuncanJr"
"AirMarshal",1,"RepJohnDuncanJr"
"ALSA14",1,"RepJohnDuncanJr"
"alwayslearning",1,"RepJohnDuncanJr"
"AmericanConservativeUnion",1,"RepJohnDuncanJr"
"AmericanHistory",1,"RepJohnDuncanJr"
"AmericanPeople",1,"RepJohnDuncanJr"
"Amnesty",1,"RepJohnDuncanJr"
"Amtrak",1,"RepJohnDuncanJr"
"ArmyBDay",1,"RepJohnDuncanJr"
"BattleAtBristol",1,"RepJohnDuncanJr"
"BlountCounty",1,"RepJohnDuncanJr"
"BorderCrisis",1,"RepJohnDuncanJr"
"Capitol",1,"RepJohnDuncanJr"
"CapitolHill",1,"RepJohnDuncanJr"
"ChallengerTheEagle",1,"RepJohnDuncanJr"
"chattanoogashooting",1,"RepJohnDuncanJr"
"ChattanoogaStrong",1,"RepJohnDuncanJr"
"cleanwater",1,"RepJohnDuncanJr"
"CollegeStudents",1,"RepJohnDuncanJr"
"ComeyHearing",1,"RepJohnDuncanJr"
"CommonCore",1,"RepJohnDuncanJr"
"Congress",1,"RepJohnDuncanJr"
"ConsituentDays",1,"RepJohnDuncanJr"
"constituent",1,"RepJohnDuncanJr"
"ConstitutionDay2016",1,"RepJohnDuncanJr"
"CultureofHealth",1,"RepJohnDuncanJr"
"DebtCeiling",1,"RepJohnDuncanJr"
"DIPGAwarenessDay",1,"RepJohnDuncanJr"
"EpiPens",1,"RepJohnDuncanJr"
"ExecutiveOrder",1,"RepJohnDuncanJr"
"ExecutiveOrders",1,"RepJohnDuncanJr"
"Extremist",1,"RepJohnDuncanJr"
"FAIRAct",1,"RepJohnDuncanJr"
"FathersDay",1,"RepJohnDuncanJr"
"federalreserve",1,"RepJohnDuncanJr"
