"Hashtag","Frequency","screen_name"
"ny19",37,"RepJohnFaso"
"NY19",6,"RepJohnFaso"
"ACA",5,"RepJohnFaso"
"JointAddress",5,"RepJohnFaso"
"HudsonRiver",4,"RepJohnFaso"
"AHCA",3,"RepJohnFaso"
"breakfastwithdad",3,"RepJohnFaso"
"dads",3,"RepJohnFaso"
"FasoTownHall",3,"RepJohnFaso"
"barge",2,"RepJohnFaso"
"BetterCare",2,"RepJohnFaso"
"ChesBay",2,"RepJohnFaso"
"Congress",2,"RepJohnFaso"
"dairy",2,"RepJohnFaso"
"HoosickFalls",2,"RepJohnFaso"
"LWCF",2,"RepJohnFaso"
"LymeDisease",2,"RepJohnFaso"
"nofarmsnofood",2,"RepJohnFaso"
"taxreform",2,"RepJohnFaso"
"TaxReform",2,"RepJohnFaso"
"Tucker",2,"RepJohnFaso"
"4thOfJuly2017",1,"RepJohnFaso"
"ACHPinDC",1,"RepJohnFaso"
"AIRRAct",1,"RepJohnFaso"
"AmericaLeads",1,"RepJohnFaso"
"Ashokan",1,"RepJohnFaso"
"Barcelona",1,"RepJohnFaso"
"BarcelonaAttack",1,"RepJohnFaso"
"BCRA",1,"RepJohnFaso"
"BHM",1,"RepJohnFaso"
"budget",1,"RepJohnFaso"
"c2c",1,"RepJohnFaso"
"CanYouHearMe",1,"RepJohnFaso"
"CatskillHS",1,"RepJohnFaso"
"Catskills",1,"RepJohnFaso"
"Charlottesville",1,"RepJohnFaso"
"citieslead",1,"RepJohnFaso"
"Climate",1,"RepJohnFaso"
"ClimateCaucus",1,"RepJohnFaso"
"ColumbiaCounty",1,"RepJohnFaso"
"congress",1,"RepJohnFaso"
"congressionalartcompetition",1,"RepJohnFaso"
"DDay",1,"RepJohnFaso"
"defense",1,"RepJohnFaso"
"DelawareRiver",1,"RepJohnFaso"
"domesticviolence",1,"RepJohnFaso"
"EarthDay",1,"RepJohnFaso"
"economy",1,"RepJohnFaso"
"endtrafficking",1,"RepJohnFaso"
"faith",1,"RepJohnFaso"
"farmers",1,"RepJohnFaso"
"fasoforum",1,"RepJohnFaso"
"FathersDay",1,"RepJohnFaso"
"Fightthebite",1,"RepJohnFaso"
"FindYourPark",1,"RepJohnFaso"
"firstresponders",1,"RepJohnFaso"
"FundScience",1,"RepJohnFaso"
"FY17",1,"RepJohnFaso"
"GatewayProject",1,"RepJohnFaso"
"Hanukkah",1,"RepJohnFaso"
"HolidayforHeroes",1,"RepJohnFaso"
"HolocaustRemembranceDay",1,"RepJohnFaso"
"HouseAg",1,"RepJohnFaso"
"HR1955",1,"RepJohnFaso"
"HRes11",1,"RepJohnFaso"
"hudsonriveranchorages",1,"RepJohnFaso"
"hydroelectric",1,"RepJohnFaso"
"ICYMI",1,"RepJohnFaso"
"immigration",1,"RepJohnFaso"
"InFocusAlbany",1,"RepJohnFaso"
"Jerusalem",1,"RepJohnFaso"
"jobs",1,"RepJohnFaso"
"kingston",1,"RepJohnFaso"
"LawEnforcementAppreciationDay",1,"RepJohnFaso"
"LGBTQ",1,"RepJohnFaso"
"LIHEAP",1,"RepJohnFaso"
"Lymedisease",1,"RepJohnFaso"
"Manchester",1,"RepJohnFaso"
"ManchesterArena",1,"RepJohnFaso"
"MealsOnWheels",1,"RepJohnFaso"
"Medicaid",1,"RepJohnFaso"
"MedicaidDSH",1,"RepJohnFaso"
"MemorialDay",1,"RepJohnFaso"
"milspouses",1,"RepJohnFaso"
"MLK",1,"RepJohnFaso"
"NationalMilkDay",1,"RepJohnFaso"
"NationalPoliceWeek",1,"RepJohnFaso"
"NationalPurpleHeartDay",1,"RepJohnFaso"
"NDAA",1,"RepJohnFaso"
"NERR",1,"RepJohnFaso"
"NeverForget",1,"RepJohnFaso"
"NY",1,"RepJohnFaso"
"NY22",1,"RepJohnFaso"
"ParisAgreement",1,"RepJohnFaso"
"PAWSAct",1,"RepJohnFaso"
"PeaceCorps",1,"RepJohnFaso"
"pesach",1,"RepJohnFaso"
"PFOA",1,"RepJohnFaso"
"PresidentsDay",1,"RepJohnFaso"
"ProblemSolversCaucus",1,"RepJohnFaso"
"PropertyTaxReductionAct",1,"RepJohnFaso"
"PTRA",1,"RepJohnFaso"
"rail",1,"RepJohnFaso"
"readthebill",1,"RepJohnFaso"
"RuralHealth",1,"RepJohnFaso"
"SaveTheBay",1,"RepJohnFaso"
"scaffoldlaw",1,"RepJohnFaso"
"ScaffoldLaw",1,"RepJohnFaso"
"SCOTUS",1,"RepJohnFaso"
"SJR34",1,"RepJohnFaso"
"SmallBusinessWeek",1,"RepJohnFaso"
"SMLDC",1,"RepJohnFaso"
"SOTU",1,"RepJohnFaso"
"spencertown",1,"RepJohnFaso"
"StandUp4RuralHospitals",1,"RepJohnFaso"
"SullivanCounty",1,"RepJohnFaso"
"superfund",1,"RepJohnFaso"
"SupportBlue",1,"RepJohnFaso"
"TaketheLEAD2017",1,"RepJohnFaso"
"TaxDay",1,"RepJohnFaso"
"TaxPlan",1,"RepJohnFaso"
"TBT",1,"RepJohnFaso"
"ThankACop",1,"RepJohnFaso"
"ThankYou",1,"RepJohnFaso"
"UpperDelawareRiver",1,"RepJohnFaso"
"Upstate",1,"RepJohnFaso"
"ValleyFalls",1,"RepJohnFaso"
"VeteranFarmers",1,"RepJohnFaso"
"veterans",1,"RepJohnFaso"
"WeRemember",1,"RepJohnFaso"
"WINGMAN",1,"RepJohnFaso"
"WOTUS",1,"RepJohnFaso"
"YFSA",1,"RepJohnFaso"
