"Mention","Frequency","screen_name"
"CNN",21,"RepKinzinger"
"1440WROK",19,"RepKinzinger"
"RoeConn",19,"RepKinzinger"
"uscapitol",19,"RepKinzinger"
"HouseGOP",18,"RepKinzinger"
"POTUS",18,"RepKinzinger"
"WGNRadio",18,"RepKinzinger"
"wolfblitzer",17,"RepKinzinger"
"HouseCommerce",16,"RepKinzinger"
"FoxNews",15,"RepKinzinger"
"Medium",14,"RepKinzinger"
"CNNSitRoom",13,"RepKinzinger"
"koolidge",13,"RepKinzinger"
"HouseForeign",12,"RepKinzinger"
"usairforce",11,"RepKinzinger"
"HouseFloor",10,"RepKinzinger"
"jaketapper",9,"RepKinzinger"
"TheLeadCNN",9,"RepKinzinger"
"AmericaNewsroom",8,"RepKinzinger"
"HISTORY",8,"RepKinzinger"
"MSNBC",8,"RepKinzinger"
"StateDept",8,"RepKinzinger"
"WCMY",8,"RepKinzinger"
"BillHemmer",7,"RepKinzinger"
"wrok_riley",7,"RepKinzinger"
"NoLabelsOrg",6,"RepKinzinger"
"rrstar",6,"RepKinzinger"
"SpeakerRyan",6,"RepKinzinger"
"USArmy",6,"RepKinzinger"
"wlsam890",6,"RepKinzinger"
"23WIFR",5,"RepKinzinger"
"BigJohnHowell",5,"RepKinzinger"
"HudsonInstitute",5,"RepKinzinger"
"jimsciutto",5,"RepKinzinger"
"JolietJrCollege",5,"RepKinzinger"
"NatlParkService",5,"RepKinzinger"
"RockfordPD",5,"RepKinzinger"
"RockfordRescue",5,"RepKinzinger"
"ABC7Chicago",4,"RepKinzinger"
"brikeilarcnn",4,"RepKinzinger"
"cspan",4,"RepKinzinger"
"ENERGY",4,"RepKinzinger"
"greta",4,"RepKinzinger"
"joshrogin",4,"RepKinzinger"
"MyWebTimes",4,"RepKinzinger"
"NASA",4,"RepKinzinger"
"NewDay",4,"RepKinzinger"
"nikkihaley",4,"RepKinzinger"
"NIUlive",4,"RepKinzinger"
"nytimes",4,"RepKinzinger"
"USMC",4,"RepKinzinger"
"AjitPaiFCC",3,"RepKinzinger"
"alzassociation",3,"RepKinzinger"
"AnnaDavlantes",3,"RepKinzinger"
"CDCgov",3,"RepKinzinger"
"Cubs",3,"RepKinzinger"
"DeptofDefense",3,"RepKinzinger"
"FCC",3,"RepKinzinger"
"GoAirGuard",3,"RepKinzinger"
"ILFarmBureau",3,"RepKinzinger"
"IllinoisStateU",3,"RepKinzinger"
"InvictusOrlando",3,"RepKinzinger"
"ISURedbirds",3,"RepKinzinger"
"JohnHowellWLS",3,"RepKinzinger"
"MyIVCC",3,"RepKinzinger"
"RiponAdvance",3,"RepKinzinger"
"SenateDems",3,"RepKinzinger"
"Snapchat",3,"RepKinzinger"
"SRuhle",3,"RepKinzinger"
"SteveScalise",3,"RepKinzinger"
"TheJusticeDept",3,"RepKinzinger"
"USATODAY",3,"RepKinzinger"
"WGNNews",3,"RepKinzinger"
"WhiteHouse",3,"RepKinzinger"
"WJBC",3,"RepKinzinger"
"815Civility",2,"RepKinzinger"
"AIPAC",2,"RepKinzinger"
"AM560TheAnswer",2,"RepKinzinger"
"AmyJacobson",2,"RepKinzinger"
"CapitolPolice",2,"RepKinzinger"
"CaterpillarInc",2,"RepKinzinger"
"ChicagoBears",2,"RepKinzinger"
"CMSGov",2,"RepKinzinger"
"Daily_Chronicle",2,"RepKinzinger"
"DanaPerino",2,"RepKinzinger"
"DanProft",2,"RepKinzinger"
"DeptVetAffairs",2,"RepKinzinger"
"DixonPolice",2,"RepKinzinger"
"EPA",2,"RepKinzinger"
"facebook",2,"RepKinzinger"
"FiatChrysler_NA",2,"RepKinzinger"
"ForeignPolicy",2,"RepKinzinger"
"ForeignPolicyI",2,"RepKinzinger"
"FoxBusiness",2,"RepKinzinger"
"FreedomHouseIL",2,"RepKinzinger"
"FulbrightPrgrm",2,"RepKinzinger"
"GeorgeHWBush",2,"RepKinzinger"
"Gibson_Hospital",2,"RepKinzinger"
"girlscouts",2,"RepKinzinger"
"goBHSBucs",2,"RepKinzinger"
"Google",2,"RepKinzinger"
"HelpBobLevinson",2,"RepKinzinger"
"ilprincipals",2,"RepKinzinger"
"Laughlin1230",2,"RepKinzinger"
"librarycongress",2,"RepKinzinger"
"MariaBartiromo",2,"RepKinzinger"
"marthamaccallum",2,"RepKinzinger"
"MelissaAFrancis",2,"RepKinzinger"
"NathanKinzinger",2,"RepKinzinger"
"NewsTrib",2,"RepKinzinger"
"NorthwesternMed",2,"RepKinzinger"
"PeterAlexander",2,"RepKinzinger"
"PeterRoskam",2,"RepKinzinger"
"RedCross",2,"RepKinzinger"
"RepBrendanBoyle",2,"RepKinzinger"
"RepEliotEngel",2,"RepKinzinger"
"repgregwalden",2,"RepKinzinger"
"RepHultgren",2,"RepKinzinger"
"RepMcNerney",2,"RepKinzinger"
"Reuters",2,"RepKinzinger"
"sams_usa",2,"RepKinzinger"
"Scotus",2,"RepKinzinger"
"SenJohnMcCain",2,"RepKinzinger"
"SpecialOlympics",2,"RepKinzinger"
"StarvedRockPark",2,"RepKinzinger"
"Suntimes",2,"RepKinzinger"
"SyriaCivilDef",2,"RepKinzinger"
"thehill",2,"RepKinzinger"
"tomdemmer",2,"RepKinzinger"
"TulsiGabbard",2,"RepKinzinger"
"USFWSMidwest",2,"RepKinzinger"
"USIP",2,"RepKinzinger"
"USNavy",2,"RepKinzinger"
"wapo",2,"RepKinzinger"
"WaysandMeansGOP",2,"RepKinzinger"
"WilmingtonLearn",2,"RepKinzinger"
"13WREX",1,"RepKinzinger"
"1936Coop",1,"RepKinzinger"
"ABC",1,"RepKinzinger"
"AC360",1,"RepKinzinger"
"ADMgrainNIL",1,"RepKinzinger"
"afspnational",1,"RepKinzinger"
"AlanColmes",1,"RepKinzinger"
"AldiUSA",1,"RepKinzinger"
"AlexHortonTX",1,"RepKinzinger"
"allinwithchris",1,"RepKinzinger"
"AllWorldMS",1,"RepKinzinger"
"amazon",1,"RepKinzinger"
"AmbKawar",1,"RepKinzinger"
"AmbWilczek",1,"RepKinzinger"
"ananavarro",1,"RepKinzinger"
"antonioguterres",1,"RepKinzinger"
"ARizzo44",1,"RepKinzinger"
"arrl",1,"RepKinzinger"
"ATFHQ",1,"RepKinzinger"
"AuroraU",1,"RepKinzinger"
"BakradzeDavid",1,"RepKinzinger"
"BatoryFoods",1,"RepKinzinger"
"BetterGov",1,"RepKinzinger"
"BillPascrell",1,"RepKinzinger"
"BobSirott",1,"RepKinzinger"
"brianklaas",1,"RepKinzinger"
"brookfield_zoo",1,"RepKinzinger"
"BruceAHeyman",1,"RepKinzinger"
"BurpeeMuseum",1,"RepKinzinger"
"BV",1,"RepKinzinger"
"ByronForestPres",1,"RepKinzinger"
"CAOHouse",1,"RepKinzinger"
"CarolCNN",1,"RepKinzinger"
"CCGSHawks",1,"RepKinzinger"
"ChannahonPolice",1,"RepKinzinger"
"cheaptrick",1,"RepKinzinger"
"CheapTrickRick",1,"RepKinzinger"
"cheddar",1,"RepKinzinger"
"ChicagoRedCross",1,"RepKinzinger"
"chicagotribune",1,"RepKinzinger"
"CIA",1,"RepKinzinger"
"CivilAirPatrol",1,"RepKinzinger"
"civilwartrust",1,"RepKinzinger"
"CNASdc",1,"RepKinzinger"
"cnni",1,"RepKinzinger"
"CNNnewsroom",1,"RepKinzinger"
"CNNTravel",1,"RepKinzinger"
"ColAmbPinzon",1,"RepKinzinger"
"Columbia1938",1,"RepKinzinger"
"ComEd",1,"RepKinzinger"
"CrainsChicago",1,"RepKinzinger"
"CUNA",1,"RepKinzinger"
"dailybriefing",1,"RepKinzinger"
"dailyherald",1,"RepKinzinger"
"DallasPD",1,"RepKinzinger"
"dceaglecam",1,"RepKinzinger"
"dfat",1,"RepKinzinger"
"DKScanner",1,"RepKinzinger"
"DollingerFarm",1,"RepKinzinger"
"DowntownDeKalb",1,"RepKinzinger"
"Eagles",1,"RepKinzinger"
"EerikMarmei",1,"RepKinzinger"
"EIAgov",1,"RepKinzinger"
"EIGERlab",1,"RepKinzinger"
"ENERGYSTAR",1,"RepKinzinger"
"EricaRHill",1,"RepKinzinger"
"ErnestMoniz",1,"RepKinzinger"
"Europarl_EN",1,"RepKinzinger"
"FAFSA",1,"RepKinzinger"
"FBI",1,"RepKinzinger"
"FFAfoundation",1,"RepKinzinger"
"FLOTUS",1,"RepKinzinger"
"fly2ohare",1,"RepKinzinger"
"FlyRFD",1,"RepKinzinger"
"foxnewsradio",1,"RepKinzinger"
"FTC",1,"RepKinzinger"
"GardnerDenverNL",1,"RepKinzinger"
"gegeshidze2015",1,"RepKinzinger"
"GenDaveGoldfein",1,"RepKinzinger"
"GKCogsAthletics",1,"RepKinzinger"
"GLMembMarketing",1,"RepKinzinger"
"goicehogs",1,"RepKinzinger"
"GoldenAppleFoun",1,"RepKinzinger"
"GOPLeader",1,"RepKinzinger"
"GovRauner",1,"RepKinzinger"
"GreggJarrett",1,"RepKinzinger"
"GrowthEnergy",1,"RepKinzinger"
"GW_CVN73",1,"RepKinzinger"
"hardball",1,"RepKinzinger"
"HeadStartgov",1,"RepKinzinger"
"HeatherNauert",1,"RepKinzinger"
"here",1,"RepKinzinger"
"Heritage",1,"RepKinzinger"
"HFXforum",1,"RepKinzinger"
"HHSGov",1,"RepKinzinger"
"hillhulse",1,"RepKinzinger"
"HinesVAH",1,"RepKinzinger"
"HLNTV",1,"RepKinzinger"
"homegrownbyhero",1,"RepKinzinger"
"IHSA_IL",1,"RepKinzinger"
"IL_Natl_Guard",1,"RepKinzinger"
"ILAgriculture",1,"RepKinzinger"
"ILBeef",1,"RepKinzinger"
"ILChamber",1,"RepKinzinger"
"ilcorn",1,"RepKinzinger"
"IllinoisDNR",1,"RepKinzinger"
"IllinoisLeague",1,"RepKinzinger"
"IllinoisPD",1,"RepKinzinger"
"ILPartners",1,"RepKinzinger"
"ILREALTOR",1,"RepKinzinger"
"ILRWA",1,"RepKinzinger"
"ILStatePolice",1,"RepKinzinger"
"ILVirtualSchool",1,"RepKinzinger"
"ILWGCAP",1,"RepKinzinger"
"IMakeAmerica",1,"RepKinzinger"
"IMCNHA",1,"RepKinzinger"
"INCOMPAS",1,"RepKinzinger"
"IraqiEmbassyUSA",1,"RepKinzinger"
"IRIglobal",1,"RepKinzinger"
"IRTBA",1,"RepKinzinger"
"iteptweets",1,"RepKinzinger"
"IWHSraiders",1,"RepKinzinger"
"jack",1,"RepKinzinger"
"JaneMHorton",1,"RepKinzinger"
"JCCIC",1,"RepKinzinger"
"JDRF",1,"RepKinzinger"
"jkfossler",1,"RepKinzinger"
"JohnKotek",1,"RepKinzinger"
"kaskaskiahotel",1,"RepKinzinger"
"kilmeade",1,"RepKinzinger"
"KishCollege",1,"RepKinzinger"
"latimes",1,"RepKinzinger"
"LauraBushFdn",1,"RepKinzinger"
"laurawbush",1,"RepKinzinger"
"LelandVittert",1,"RepKinzinger"
"LibraryAmerica",1,"RepKinzinger"
"LincolnHomeNPS",1,"RepKinzinger"
"Looking4Lincoln",1,"RepKinzinger"
"madeleine",1,"RepKinzinger"
"marimur",1,"RepKinzinger"
"MCHSDistrict101",1,"RepKinzinger"
"mdifanis",1,"RepKinzinger"
"megynkelly",1,"RepKinzinger"
"mendotahigh",1,"RepKinzinger"
"mercyhealth",1,"RepKinzinger"
"MikeCrapo",1,"RepKinzinger"
"mikesturino",1,"RepKinzinger"
"MissAmericaOrg",1,"RepKinzinger"
"MissingKids",1,"RepKinzinger"
"mitchellreports",1,"RepKinzinger"
"MLB",1,"RepKinzinger"
"Morning_Joe",1,"RepKinzinger"
"MorrisHerald",1,"RepKinzinger"
"musiciansoncall",1,"RepKinzinger"
"MyStateline",1,"RepKinzinger"
"Nachusa",1,"RepKinzinger"
"narendramodi",1,"RepKinzinger"
"NARLegislative",1,"RepKinzinger"
"NASASun",1,"RepKinzinger"
"NATCA",1,"RepKinzinger"
"National_TARS",1,"RepKinzinger"
"NationalFFA",1,"RepKinzinger"
"NationalGuard",1,"RepKinzinger"
"NATO",1,"RepKinzinger"
"NavalAcademy",1,"RepKinzinger"
"nbc",1,"RepKinzinger"
"NCAA",1,"RepKinzinger"
"NDI",1,"RepKinzinger"
"NEHgov",1,"RepKinzinger"
"NerdWallet",1,"RepKinzinger"
"NFIB",1,"RepKinzinger"
"NFL",1,"RepKinzinger"
"NGAUS1878",1,"RepKinzinger"
"Nick_Offerman",1,"RepKinzinger"
"NIH",1,"RepKinzinger"
"NIMHgov",1,"RepKinzinger"
"niu",1,"RepKinzinger"
"NRFnews",1,"RepKinzinger"
"OIA",1,"RepKinzinger"
"OsmoseIt",1,"RepKinzinger"
"PanCAN",1,"RepKinzinger"
"patriotsdayfilm",1,"RepKinzinger"
"PBSFood",1,"RepKinzinger"
"pjstar",1,"RepKinzinger"
"Polaris_Project",1,"RepKinzinger"
"PressClubDC",1,"RepKinzinger"
"pthsonline",1,"RepKinzinger"
"ReadyIllinois",1,"RepKinzinger"
"realDonaldTrump",1,"RepKinzinger"
"RealWorldMTV",1,"RepKinzinger"
"Redskins",1,"RepKinzinger"
"REI",1,"RepKinzinger"
"Rep_Hunter",1,"RepKinzinger"
"RepAnnWagner",1,"RepKinzinger"
"RepBost",1,"RepKinzinger"
"RepBrianMast",1,"RepKinzinger"
"RepCardenas",1,"RepKinzinger"
"RepCheri",1,"RepKinzinger"
"RepCicilline",1,"RepKinzinger"
"RepCohen",1,"RepKinzinger"
"RepCurbelo",1,"RepKinzinger"
"RepDavidYoung",1,"RepKinzinger"
"RepDold",1,"RepKinzinger"
"RepEdRoyce",1,"RepKinzinger"
"RepFitzpatrick",1,"RepKinzinger"
"RepGuthrie",1,"RepKinzinger"
"RepJoeWilson",1,"RepKinzinger"
"RepLaHood",1,"RepKinzinger"
"RepLamborn",1,"RepKinzinger"
"RepLipinski",1,"RepKinzinger"
"RepLoisCapps",1,"RepKinzinger"
"RepLouCorrea",1,"RepKinzinger"
"RepMarkTakai",1,"RepKinzinger"
"RepMcSally",1,"RepKinzinger"
"RepMikeQuigley",1,"RepKinzinger"
"RepPittenger",1,"RepKinzinger"
"RepRobinKelly",1,"RepKinzinger"
"RepScottPerry",1,"RepKinzinger"
"RepSeanDuffy",1,"RepKinzinger"
"RepShimkus",1,"RepKinzinger"
"RepStefanik",1,"RepKinzinger"
"RepTedLieu",1,"RepKinzinger"
"RepTomPrice",1,"RepKinzinger"
"RIAA",1,"RepKinzinger"
"RKinzinger",1,"RepKinzinger"
"Rockford_DPS",1,"RepKinzinger"
"RockfordFire",1,"RepKinzinger"
"rockfordproud",1,"RepKinzinger"
"rockfordpublib",1,"RepKinzinger"
"RockRiverTimes",1,"RepKinzinger"
"RockValley",1,"RepKinzinger"
"RodneyDavis",1,"RepKinzinger"
"Rotary",1,"RepKinzinger"
"route66news",1,"RepKinzinger"
"rpdfun",1,"RepKinzinger"
"runningday",1,"RepKinzinger"
"ruralhealth",1,"RepKinzinger"
"rvcgoldeneagles",1,"RepKinzinger"
"SAHealthSystem",1,"RepKinzinger"
"salarmychicago",1,"RepKinzinger"
"salvationarmy",1,"RepKinzinger"
"saukvalley",1,"RepKinzinger"
"saukvalleycc",1,"RepKinzinger"
"SBAgov",1,"RepKinzinger"
"ScotBertram",1,"RepKinzinger"
"SDCAIRNEWS",1,"RepKinzinger"
"seanhannity",1,"RepKinzinger"
"SecretarySonny",1,"RepKinzinger"
"secupp",1,"RepKinzinger"
"SenatorDole",1,"RepKinzinger"
"SenatorDurbin",1,"RepKinzinger"
"SenatorJMcCain",1,"RepKinzinger"
"SenatorKirk",1,"RepKinzinger"
"SenatorRezin",1,"RepKinzinger"
"SenDuckworth",1,"RepKinzinger"
"sethmoulton",1,"RepKinzinger"
"sheilareports",1,"RepKinzinger"
"shipyarddays",1,"RepKinzinger"
"SinioraFuad",1,"RepKinzinger"
"SIRIUSXM",1,"RepKinzinger"
"SistersofMercy",1,"RepKinzinger"
"Skype",1,"RepKinzinger"
"Spectrum_Brands",1,"RepKinzinger"
"StarvedRockLdge",1,"RepKinzinger"
"StatelineQuiz",1,"RepKinzinger"
"SteveKingIA",1,"RepKinzinger"
"SuperiorAmb",1,"RepKinzinger"
"SVHS_Cardinals",1,"RepKinzinger"
"TeamCavuto",1,"RepKinzinger"
"tficillinois",1,"RepKinzinger"
"TGowdySC",1,"RepKinzinger"
"theblaze",1,"RepKinzinger"
"TheDailyLeader",1,"RepKinzinger"
"TheIJR",1,"RepKinzinger"
"Tinker_Cottage",1,"RepKinzinger"
"TomiLahren",1,"RepKinzinger"
"townhallcom",1,"RepKinzinger"
"TransformRkfd",1,"RepKinzinger"
"TT_sstout",1,"RepKinzinger"
"TuckerCarlson",1,"RepKinzinger"
"TulsiPress",1,"RepKinzinger"
"Twitter",1,"RepKinzinger"
"UICOMRockford",1,"RepKinzinger"
"uie_general",1,"RepKinzinger"
"UN",1,"RepKinzinger"
"UNICEF",1,"RepKinzinger"
"UnitedWay",1,"RepKinzinger"
"US_FDA",1,"RepKinzinger"
"usaf",1,"RepKinzinger"
"USAID",1,"RepKinzinger"
"USArmedForces",1,"RepKinzinger"
"USCG",1,"RepKinzinger"
"USDA",1,"RepKinzinger"
"USDAFoodSafety",1,"RepKinzinger"
"USFWS",1,"RepKinzinger"
"USGLC",1,"RepKinzinger"
"USMarineCorps",1,"RepKinzinger"
"USNatArchives",1,"RepKinzinger"
"usnews",1,"RepKinzinger"
"USPS",1,"RepKinzinger"
"UTAustin",1,"RepKinzinger"
"valpoufootball",1,"RepKinzinger"
"virginia_tech",1,"RepKinzinger"
"VolunteerMatch",1,"RepKinzinger"
"VSFSatState",1,"RepKinzinger"
"VVMF",1,"RepKinzinger"
"washingtonpost",1,"RepKinzinger"
"WashTimes",1,"RepKinzinger"
"WCSAJoe",1,"RepKinzinger"
"WFPUSA",1,"RepKinzinger"
"wifr",1,"RepKinzinger"
"WilsonCenterMEP",1,"RepKinzinger"
"WJEZ",1,"RepKinzinger"
"WomenInNuclear",1,"RepKinzinger"
"WSJ",1,"RepKinzinger"
"YouTube",1,"RepKinzinger"
