"Hashtag","Frequency","screen_name"
"IN08",457,"RepLarryBucshon"
"Obamacare",119,"RepLarryBucshon"
"ObamaCare",83,"RepLarryBucshon"
"2015SLS",68,"RepLarryBucshon"
"2016SLS",52,"RepLarryBucshon"
"SOTU",50,"RepLarryBucshon"
"KeystoneXL",38,"RepLarryBucshon"
"WRRDA",33,"RepLarryBucshon"
"HoosierHealthcareTour",25,"RepLarryBucshon"
"Cures2015",18,"RepLarryBucshon"
"jobs",17,"RepLarryBucshon"
"RT",16,"RepLarryBucshon"
"SubHealth",16,"RepLarryBucshon"
"CuresNow",15,"RepLarryBucshon"
"Research",14,"RepLarryBucshon"
"BetterWay",13,"RepLarryBucshon"
"FF",13,"RepLarryBucshon"
"IN",13,"RepLarryBucshon"
"STEM",13,"RepLarryBucshon"
"TaxCutsandJobsAct",13,"RepLarryBucshon"
"Yes2Energy",13,"RepLarryBucshon"
"Indiana",12,"RepLarryBucshon"
"IRS",12,"RepLarryBucshon"
"TimeToBuild",12,"RepLarryBucshon"
"TaxCutAndJobsAct",11,"RepLarryBucshon"
"4jobs",10,"RepLarryBucshon"
"AHCA",10,"RepLarryBucshon"
"Path2Cures",10,"RepLarryBucshon"
"RepealandReplace",10,"RepLarryBucshon"
"EPA",9,"RepLarryBucshon"
"SGR",9,"RepLarryBucshon"
"Technology",9,"RepLarryBucshon"
"TimetoBuild",9,"RepLarryBucshon"
"smallbiz",8,"RepLarryBucshon"
"taxreform",8,"RepLarryBucshon"
"tcot",8,"RepLarryBucshon"
"WOTUS",8,"RepLarryBucshon"
"DHS",7,"RepLarryBucshon"
"driverless",7,"RepLarryBucshon"
"GOP",7,"RepLarryBucshon"
"JointAddress",7,"RepLarryBucshon"
"RepealAndReplace",7,"RepLarryBucshon"
"TaxReform",7,"RepLarryBucshon"
"DontDoubleMyRate",6,"RepLarryBucshon"
"healthcare",6,"RepLarryBucshon"
"SubOversight",6,"RepLarryBucshon"
"WaronCoal",6,"RepLarryBucshon"
"ACA",5,"RepLarryBucshon"
"AskSebelius",5,"RepLarryBucshon"
"FairnessForAll",5,"RepLarryBucshon"
"ICYMI",5,"RepLarryBucshon"
"opioid",5,"RepLarryBucshon"
"RateShock",5,"RepLarryBucshon"
"RecordOfSuccess",5,"RepLarryBucshon"
"Science",5,"RepLarryBucshon"
"SenateMustAct",5,"RepLarryBucshon"
"SpeechesDontHire",5,"RepLarryBucshon"
"Benghazi",4,"RepLarryBucshon"
"bipartisan",4,"RepLarryBucshon"
"CraneTurns75",4,"RepLarryBucshon"
"CuresIn4Words",4,"RepLarryBucshon"
"DDay",4,"RepLarryBucshon"
"dyslexia",4,"RepLarryBucshon"
"HealthRx17",4,"RepLarryBucshon"
"INGOP",4,"RepLarryBucshon"
"INstorms",4,"RepLarryBucshon"
"ObamaFlightDelays",4,"RepLarryBucshon"
"OET2015",4,"RepLarryBucshon"
"opioidcrisis",4,"RepLarryBucshon"
"PassTheBill",4,"RepLarryBucshon"
"PJNET",4,"RepLarryBucshon"
"POTUS",4,"RepLarryBucshon"
"ProLife",4,"RepLarryBucshon"
"REINSAct",4,"RepLarryBucshon"
"SCOTUS",4,"RepLarryBucshon"
"technology",4,"RepLarryBucshon"
"Trainwreck",4,"RepLarryBucshon"
"Veterans",4,"RepLarryBucshon"
"WarOnCoal",4,"RepLarryBucshon"
"accfit",3,"RepLarryBucshon"
"aviation",3,"RepLarryBucshon"
"ditchtherule",3,"RepLarryBucshon"
"Driverless",3,"RepLarryBucshon"
"ECPA",3,"RepLarryBucshon"
"EmailPrivacy",3,"RepLarryBucshon"
"EndALZ",3,"RepLarryBucshon"
"FY16NDAA",3,"RepLarryBucshon"
"healthyindiana",3,"RepLarryBucshon"
"HealthyIndiana",3,"RepLarryBucshon"
"I69",3,"RepLarryBucshon"
"inwx",3,"RepLarryBucshon"
"Iran",3,"RepLarryBucshon"
"job",3,"RepLarryBucshon"
"Job",3,"RepLarryBucshon"
"Manchester",3,"RepLarryBucshon"
"Medicaid",3,"RepLarryBucshon"
"mentalhealth",3,"RepLarryBucshon"
"NeverForget",3,"RepLarryBucshon"
"ObamacareRealityCheck",3,"RepLarryBucshon"
"OneNationOneTeam",3,"RepLarryBucshon"
"research",3,"RepLarryBucshon"
"SchumerShutdown",3,"RepLarryBucshon"
"SmallBiz",3,"RepLarryBucshon"
"StopGovtAbuse",3,"RepLarryBucshon"
"StrongCity",3,"RepLarryBucshon"
"studentloans",3,"RepLarryBucshon"
"StudentSuccessAct",3,"RepLarryBucshon"
"SubDCCP",3,"RepLarryBucshon"
"TaxCutsAndJobsAct",3,"RepLarryBucshon"
"USMNT",3,"RepLarryBucshon"
"4Jobs",2,"RepLarryBucshon"
"AgDay",2,"RepLarryBucshon"
"America",2,"RepLarryBucshon"
"AmericanSpirit",2,"RepLarryBucshon"
"AStatethatWorks",2,"RepLarryBucshon"
"BREAKING",2,"RepLarryBucshon"
"BrokenPromises",2,"RepLarryBucshon"
"budget",2,"RepLarryBucshon"
"CapHill14",2,"RepLarryBucshon"
"closethegap",2,"RepLarryBucshon"
"coal",2,"RepLarryBucshon"
"CommunityCrossings",2,"RepLarryBucshon"
"ConfirmGorsuch",2,"RepLarryBucshon"
"cures2015",2,"RepLarryBucshon"
"Curesin4Words",2,"RepLarryBucshon"
"dd1in5",2,"RepLarryBucshon"
"DefundPP",2,"RepLarryBucshon"
"devicetax",2,"RepLarryBucshon"
"DitchtheRule",2,"RepLarryBucshon"
"DoddFrank",2,"RepLarryBucshon"
"EmailPrivacyAct",2,"RepLarryBucshon"
"energy",2,"RepLarryBucshon"
"EnergyIndependence",2,"RepLarryBucshon"
"EPAoverreach",2,"RepLarryBucshon"
"Evansville",2,"RepLarryBucshon"
"farmbill",2,"RepLarryBucshon"
"farmsmatter",2,"RepLarryBucshon"
"flu",2,"RepLarryBucshon"
"GoPurple",2,"RepLarryBucshon"
"Gruber",2,"RepLarryBucshon"
"HIP2",2,"RepLarryBucshon"
"HireMoreHeroes",2,"RepLarryBucshon"
"HR2",2,"RepLarryBucshon"
"ILF",2,"RepLarryBucshon"
"INlegis",2,"RepLarryBucshon"
"IranDeal",2,"RepLarryBucshon"
"KeepYourPlan",2,"RepLarryBucshon"
"MAGA",2,"RepLarryBucshon"
"MarchforLife",2,"RepLarryBucshon"
"MarchForLife",2,"RepLarryBucshon"
"NABSLC",2,"RepLarryBucshon"
"NationalDogDay",2,"RepLarryBucshon"
"NDAA",2,"RepLarryBucshon"
"News10",2,"RepLarryBucshon"
"NSF",2,"RepLarryBucshon"
"ObamacareAnswers",2,"RepLarryBucshon"
"ObamaCareinThreeWords",2,"RepLarryBucshon"
"ozone",2,"RepLarryBucshon"
"patients",2,"RepLarryBucshon"
"PatriotPride",2,"RepLarryBucshon"
"premiums",2,"RepLarryBucshon"
"prochat",2,"RepLarryBucshon"
"Rateshock",2,"RepLarryBucshon"
"ReadTheBill",2,"RepLarryBucshon"
"RedTapeTower",2,"RepLarryBucshon"
"regulations",2,"RepLarryBucshon"
"RepTomWashburne",2,"RepLarryBucshon"
"SigntheBill",2,"RepLarryBucshon"
"SKILLSAct",2,"RepLarryBucshon"
"SMWC175th",2,"RepLarryBucshon"
"SOE14",2,"RepLarryBucshon"
"SSTResearchTech",2,"RepLarryBucshon"
"TBells",2,"RepLarryBucshon"
"TBT",2,"RepLarryBucshon"
"timetobuild",2,"RepLarryBucshon"
"trainwreck",2,"RepLarryBucshon"
"tristatewx",2,"RepLarryBucshon"
"USA",2,"RepLarryBucshon"
"WoodsOnline",2,"RepLarryBucshon"
"2014CASEontheHill",1,"RepLarryBucshon"
"2015in2015",1,"RepLarryBucshon"
"2016sls",1,"RepLarryBucshon"
"21stcenturycures",1,"RepLarryBucshon"
"21stCenturyCures",1,"RepLarryBucshon"
"241NavyBday",1,"RepLarryBucshon"
"2ndAmendment",1,"RepLarryBucshon"
"44News",1,"RepLarryBucshon"
"4IN",1,"RepLarryBucshon"
"4Innovation",1,"RepLarryBucshon"
"4MN",1,"RepLarryBucshon"
"4thOfJuly",1,"RepLarryBucshon"
"AAOE2014",1,"RepLarryBucshon"
"ABetterWay",1,"RepLarryBucshon"
"ACC14",1,"RepLarryBucshon"
"ACCaugust",1,"RepLarryBucshon"
"ACCAugust",1,"RepLarryBucshon"
"Access2CRT",1,"RepLarryBucshon"
"ACCESSAcademy",1,"RepLarryBucshon"
"ACCLegConf",1,"RepLarryBucshon"
"AdorableCareAct",1,"RepLarryBucshon"
"affordability",1,"RepLarryBucshon"
"Ag",1,"RepLarryBucshon"
"Agriculturepolicies",1,"RepLarryBucshon"
"AIPAC2017",1,"RepLarryBucshon"
"AllOfTheAbove",1,"RepLarryBucshon"
"American",1,"RepLarryBucshon"
"AmericasNewCongress",1,"RepLarryBucshon"
"AmericaWins",1,"RepLarryBucshon"
"APMs",1,"RepLarryBucshon"
"AskBurwell",1,"RepLarryBucshon"
"AspireHigher",1,"RepLarryBucshon"
"Auschwitz70",1,"RepLarryBucshon"
"BeAFan",1,"RepLarryBucshon"
"benghazi",1,"RepLarryBucshon"
"BigData",1,"RepLarryBucshon"
"bigdawgstour",1,"RepLarryBucshon"
"Bills",1,"RepLarryBucshon"
"Bipartisan",1,"RepLarryBucshon"
"Blackhawks",1,"RepLarryBucshon"
"Border",1,"RepLarryBucshon"
"BorderCrisis",1,"RepLarryBucshon"
"borders",1,"RepLarryBucshon"
"bordersecurity",1,"RepLarryBucshon"
"brain",1,"RepLarryBucshon"
"BREAKINGNEWS",1,"RepLarryBucshon"
"brokenpromise",1,"RepLarryBucshon"
"Brussels",1,"RepLarryBucshon"
"Budget",1,"RepLarryBucshon"
"BuildingABetterAmerica",1,"RepLarryBucshon"
"BuryTheDeathTax",1,"RepLarryBucshon"
"cancer",1,"RepLarryBucshon"
"caphill14",1,"RepLarryBucshon"
"CBO",1,"RepLarryBucshon"
"ChangeofCommand",1,"RepLarryBucshon"
"charterschools",1,"RepLarryBucshon"
"CharterSchoolsWeek",1,"RepLarryBucshon"
"Chattanooga",1,"RepLarryBucshon"
"chdlobby",1,"RepLarryBucshon"
"chemicalsafety",1,"RepLarryBucshon"
"Chemistry",1,"RepLarryBucshon"
"ChemistryMatters",1,"RepLarryBucshon"
"chip",1,"RepLarryBucshon"
"CHOICEact",1,"RepLarryBucshon"
"CHOICEAct",1,"RepLarryBucshon"
"CityUpdate",1,"RepLarryBucshon"
"CKNewsome",1,"RepLarryBucshon"
"CleanWaterAct",1,"RepLarryBucshon"
"Climate",1,"RepLarryBucshon"
"CloseTheGap",1,"RepLarryBucshon"
"CLT",1,"RepLarryBucshon"
"cno",1,"RepLarryBucshon"
"CNO",1,"RepLarryBucshon"
