"Mention","Frequency","screen_name"
"fema",41,"RepLouBarletta"
"realDonaldTrump",41,"RepLouBarletta"
"POTUS",35,"RepLouBarletta"
"SenJohnYudichak",17,"RepLouBarletta"
"GOPLeader",14,"RepLouBarletta"
"FAIRImmigration",10,"RepLouBarletta"
"RepTomMarino",10,"RepLouBarletta"
"EdWorkforce",9,"RepLouBarletta"
"USMC",9,"RepLouBarletta"
"WILKNewsradio",8,"RepLouBarletta"
"Robert_Aderholt",7,"RepLouBarletta"
"SpeakerBoehner",7,"RepLouBarletta"
"cspan",6,"RepLouBarletta"
"cspanwj",6,"RepLouBarletta"
"RepLouBarletta",6,"RepLouBarletta"
"USGSA",6,"RepLouBarletta"
"CubsJoeMadd",5,"RepLouBarletta"
"DeptVetAffairs",5,"RepLouBarletta"
"USDA",5,"RepLouBarletta"
"Cubs",4,"RepLouBarletta"
"DHSgov",4,"RepLouBarletta"
"FoxBusiness",4,"RepLouBarletta"
"GovernorCorbett",4,"RepLouBarletta"
"LittleLeague",4,"RepLouBarletta"
"mike_pence",4,"RepLouBarletta"
"SmallBizGOP",4,"RepLouBarletta"
"Transport",4,"RepLouBarletta"
"VP",4,"RepLouBarletta"
"WilkesU",4,"RepLouBarletta"
"wwwCISorg",4,"RepLouBarletta"
"GarretLewis",3,"RepLouBarletta"
"GOPNMC",3,"RepLouBarletta"
"HIAairport",3,"RepLouBarletta"
"IRSnews",3,"RepLouBarletta"
"loudobbsnews",3,"RepLouBarletta"
"PANationalGuard",3,"RepLouBarletta"
"Pontifex",3,"RepLouBarletta"
"RedCross",3,"RepLouBarletta"
"ShopFloorNAM",3,"RepLouBarletta"
"standardspeaker",3,"RepLouBarletta"
"ASPCA",2,"RepLouBarletta"
"BloomsburgU",2,"RepLouBarletta"
"ChrisStigall",2,"RepLouBarletta"
"CitizensVoice",2,"RepLouBarletta"
"CongressmanGT",2,"RepLouBarletta"
"CVSHealth",2,"RepLouBarletta"
"DomShow1210",2,"RepLouBarletta"
"EPAGov",2,"RepLouBarletta"
"FoxNews",2,"RepLouBarletta"
"girlscouts",2,"RepLouBarletta"
"GOPLabs",2,"RepLouBarletta"
"HHSGov",2,"RepLouBarletta"
"IFMA",2,"RepLouBarletta"
"jfradioshow",2,"RepLouBarletta"
"NancyPelosi",2,"RepLouBarletta"
"netanyahu",2,"RepLouBarletta"
"NRFnews",2,"RepLouBarletta"
"paigeselenski",2,"RepLouBarletta"
"PatrickFLeahy",2,"RepLouBarletta"
"penn_state",2,"RepLouBarletta"
"PressClubDC",2,"RepLouBarletta"
"RepBillShuster",2,"RepLouBarletta"
"RepScottPerry",2,"RepLouBarletta"
"RepToohil",2,"RepLouBarletta"
"rose_unplugged",2,"RepLouBarletta"
"SenatorReid",2,"RepLouBarletta"
"SenLisaBaker",2,"RepLouBarletta"
"SenToomey",2,"RepLouBarletta"
"univofscranton",2,"RepLouBarletta"
"USACE_HQ",2,"RepLouBarletta"
"USArmy",2,"RepLouBarletta"
"USChamber",2,"RepLouBarletta"
"USNavy",2,"RepLouBarletta"
"WhiteHouse",2,"RepLouBarletta"
"WVIATVFM",2,"RepLouBarletta"
"60PlusAssoc",1,"RepLouBarletta"
"ACLJ",1,"RepLouBarletta"
"aisisteel",1,"RepLouBarletta"
"amazon",1,"RepLouBarletta"
"AmericanLegion",1,"RepLouBarletta"
"AOPA",1,"RepLouBarletta"
"Apple",1,"RepLouBarletta"
"ArcelorMittal",1,"RepLouBarletta"
"ARTBA",1,"RepLouBarletta"
"AT_Conservancy",1,"RepLouBarletta"
"ATSSAHQ",1,"RepLouBarletta"
"BetsyDeVosED",1,"RepLouBarletta"
"Billmeyershow",1,"RepLouBarletta"
"boyscouts",1,"RepLouBarletta"
"Broncos",1,"RepLouBarletta"
"BuildStrongUSA",1,"RepLouBarletta"
"CapitolPolice",1,"RepLouBarletta"
"CBS21NEWS",1,"RepLouBarletta"
"ChristaMereen",1,"RepLouBarletta"
"Christmas30Rock",1,"RepLouBarletta"
"cj_wentz",1,"RepLouBarletta"
"ConfPolicy",1,"RepLouBarletta"
"dailyitem",1,"RepLouBarletta"
"danoxochsner",1,"RepLouBarletta"
"darden",1,"RepLouBarletta"
"DavidJMadeira",1,"RepLouBarletta"
"DD_PA",1,"RepLouBarletta"
"DeptofDefense",1,"RepLouBarletta"
"DickinsonCol",1,"RepLouBarletta"
"DRUDGE_REPORT",1,"RepLouBarletta"
"EPA",1,"RepLouBarletta"
"EricCantor",1,"RepLouBarletta"
"FBI",1,"RepLouBarletta"
"FedEx",1,"RepLouBarletta"
"FlyHIA",1,"RepLouBarletta"
"FTA_DOT",1,"RepLouBarletta"
"GeorgeHWBush",1,"RepLouBarletta"
"Giants",1,"RepLouBarletta"
"gretabrawner",1,"RepLouBarletta"
"gretawire",1,"RepLouBarletta"
"GretchenCarlson",1,"RepLouBarletta"
"hazletoncando",1,"RepLouBarletta"
"HeardontheHill",1,"RepLouBarletta"
"HersheyCompany",1,"RepLouBarletta"
"hhs",1,"RepLouBarletta"
"HouseHomeland",1,"RepLouBarletta"
"hrccredc",1,"RepLouBarletta"
"HRHSAthletics",1,"RepLouBarletta"
"hwinkler4real",1,"RepLouBarletta"
"instagram",1,"RepLouBarletta"
"IvankaTrump",1,"RepLouBarletta"
"JimInhofe",1,"RepLouBarletta"
"JohnKerry",1,"RepLouBarletta"
"KenMatthews",1,"RepLouBarletta"
"KingsCollege_PA",1,"RepLouBarletta"
"KNichols_abc27",1,"RepLouBarletta"
"LaraLeaTrump",1,"RepLouBarletta"
"LarsLarsonShow",1,"RepLouBarletta"
"LIHEAPCampaign",1,"RepLouBarletta"
"London2012",1,"RepLouBarletta"
"LongHornSteaks",1,"RepLouBarletta"
"MadWood14",1,"RepLouBarletta"
"MarshaBlackburn",1,"RepLouBarletta"
"marshallfaulk",1,"RepLouBarletta"
"MarywoodU",1,"RepLouBarletta"
"MedicareGov",1,"RepLouBarletta"
"MikeBloomberg",1,"RepLouBarletta"
"MLKDay",1,"RepLouBarletta"
"nationaljournal",1,"RepLouBarletta"
"NationalPTA",1,"RepLouBarletta"
"NatResources",1,"RepLouBarletta"
"NitaLowey",1,"RepLouBarletta"
"NoBiggerTrucks",1,"RepLouBarletta"
"nrlc",1,"RepLouBarletta"
"NYCMayorsOffice",1,"RepLouBarletta"
"olivegarden",1,"RepLouBarletta"
"PAChiefs",1,"RepLouBarletta"
"PAFarmBureau",1,"RepLouBarletta"
"PALeadership",1,"RepLouBarletta"
"PaLegis",1,"RepLouBarletta"
"PAManufacturers",1,"RepLouBarletta"
"PanCAN",1,"RepLouBarletta"
"Panthers",1,"RepLouBarletta"
"PaulTonko",1,"RepLouBarletta"
"PeaceCorps",1,"RepLouBarletta"
"PennLive",1,"RepLouBarletta"
"PennsylvaniaDEP",1,"RepLouBarletta"
"PPLElectric",1,"RepLouBarletta"
"PSATS",1,"RepLouBarletta"
"Reince",1,"RepLouBarletta"
"Rep_Hunter",1,"RepLouBarletta"
"RepBobGibbs",1,"RepLouBarletta"
"RepBrianBabin",1,"RepLouBarletta"
"RepCharlieDent",1,"RepLouBarletta"
"RepEsty",1,"RepLouBarletta"
"RepLarryBucshon",1,"RepLouBarletta"
"repmichaelgrimm",1,"RepLouBarletta"
"RepMikeRogersAL",1,"RepLouBarletta"
"RepMoBrooks",1,"RepLouBarletta"
"RepPeteKing",1,"RepLouBarletta"
"RepRatcliffe",1,"RepLouBarletta"
"RepSeanMaloney",1,"RepLouBarletta"
"RepTomGraves",1,"RepLouBarletta"
"RepTomReed",1,"RepLouBarletta"
"RIFWEB",1,"RepLouBarletta"
"RJHarrisWHP580",1,"RepLouBarletta"
"RobbHanrahanCBS",1,"RepLouBarletta"
"rockcenternyc",1,"RepLouBarletta"
"rollcall",1,"RepLouBarletta"
"SalvationArmyUS",1,"RepLouBarletta"
"SAP",1,"RepLouBarletta"
"saquonb21",1,"RepLouBarletta"
"SBAgov",1,"RepLouBarletta"
"ScrippsBee",1,"RepLouBarletta"
"seanhannity",1,"RepLouBarletta"
"SecPriceMD",1,"RepLouBarletta"
"SecretaryFoxx",1,"RepLouBarletta"
"SecretaryPerry",1,"RepLouBarletta"
"SecShulkin",1,"RepLouBarletta"
"SenatorVance",1,"RepLouBarletta"
"SenBobCasey",1,"RepLouBarletta"
"SenJohnMcCain",1,"RepLouBarletta"
"shippensburgU",1,"RepLouBarletta"
"smerconish",1,"RepLouBarletta"
"smithsonian",1,"RepLouBarletta"
"SocialSecurity",1,"RepLouBarletta"
"SpecialOlympiPA",1,"RepLouBarletta"
"StateDept",1,"RepLouBarletta"
"SteveScalise",1,"RepLouBarletta"
"suez",1,"RepLouBarletta"
"talkradio1210",1,"RepLouBarletta"
"TeamCavuto",1,"RepLouBarletta"
"TheJusticeDept",1,"RepLouBarletta"
"TheWellsReport",1,"RepLouBarletta"
"ThisWeekABC",1,"RepLouBarletta"
"timestribune",1,"RepLouBarletta"
"tlbreaking",1,"RepLouBarletta"
"TLMarkGuydish",1,"RepLouBarletta"
"TLnews",1,"RepLouBarletta"
"ToGetHerThere",1,"RepLouBarletta"
"TomRoten",1,"RepLouBarletta"
"TravelGov",1,"RepLouBarletta"
"TrojanettesGBB",1,"RepLouBarletta"
"TuckerCarlson",1,"RepLouBarletta"
"UN",1,"RepLouBarletta"
"UNICONational",1,"RepLouBarletta"
"USAgov",1,"RepLouBarletta"
"USAHEC",1,"RepLouBarletta"
"usairforce",1,"RepLouBarletta"
"uscapitol",1,"RepLouBarletta"
"USDAgov",1,"RepLouBarletta"
"USNationalGuard",1,"RepLouBarletta"
"VernBuchanan",1,"RepLouBarletta"
"WashTimes",1,"RepLouBarletta"
"WasteManagement",1,"RepLouBarletta"
"WBRETV",1,"RepLouBarletta"
"WHP580",1,"RepLouBarletta"
"WNEP",1,"RepLouBarletta"
"WNEPWeather",1,"RepLouBarletta"
"wwwicegov",1,"RepLouBarletta"
"WyoCtyChamber",1,"RepLouBarletta"
"Yankees",1,"RepLouBarletta"
