"Mention","Frequency","screen_name"
"RepMarthaRoby",176,"RepMarthaRoby"
"MGMAdvertiser",71,"RepMarthaRoby"
"HouseJudiciary",54,"RepMarthaRoby"
"wsfa12news",50,"RepMarthaRoby"
"yhn",42,"RepMarthaRoby"
"SpeakerRyan",31,"RepMarthaRoby"
"POTUS",28,"RepMarthaRoby"
"HouseGOP",24,"RepMarthaRoby"
"RepByrne",22,"RepMarthaRoby"
"CWSoftballGame",18,"RepMarthaRoby"
"MaxwellAFB",18,"RepMarthaRoby"
"HouseAppropsGOP",17,"RepMarthaRoby"
"SteveScalise",17,"RepMarthaRoby"
"Ft_Rucker",16,"RepMarthaRoby"
"WTVYNews4",16,"RepMarthaRoby"
"EdWorkforce",15,"RepMarthaRoby"
"GOPLeader",15,"RepMarthaRoby"
"HouseBenghazi",14,"RepMarthaRoby"
"aldotcom",13,"RepMarthaRoby"
"SenShelby",13,"RepMarthaRoby"
"AlabamaToday",12,"RepMarthaRoby"
"SpeakerBoehner",11,"RepMarthaRoby"
"AuburnU",10,"RepMarthaRoby"
"DevonSellers",10,"RepMarthaRoby"
"HouseVetAffairs",10,"RepMarthaRoby"
"mattmurphyshow",10,"RepMarthaRoby"
"AlfaFarmers",9,"RepMarthaRoby"
"APTV",9,"RepMarthaRoby"
"WDHN",9,"RepMarthaRoby"
"cspan",8,"RepMarthaRoby"
"dothaneagle",8,"RepMarthaRoby"
"EricSnitilWx",8,"RepMarthaRoby"
"GretchenCarlson",8,"RepMarthaRoby"
"MGMChamber",8,"RepMarthaRoby"
"orndorfftroyan",8,"RepMarthaRoby"
"Robert_Aderholt",8,"RepMarthaRoby"
"SBAList",8,"RepMarthaRoby"
"TGowdySC",8,"RepMarthaRoby"
"uscapitol",8,"RepMarthaRoby"
"YHPolitics",8,"RepMarthaRoby"
"BuryloRburylo",7,"RepMarthaRoby"
"EagleLance",7,"RepMarthaRoby"
"governorbentley",7,"RepMarthaRoby"
"JANICEROGERS6",7,"RepMarthaRoby"
"RepMikeRogersAL",7,"RepMarthaRoby"
"SenatorTimScott",7,"RepMarthaRoby"
"TROYUnews",7,"RepMarthaRoby"
"UofAlabama",7,"RepMarthaRoby"
"USArmy",7,"RepMarthaRoby"
"washingtonpost",7,"RepMarthaRoby"
"ByronYork",6,"RepMarthaRoby"
"ChairmanLathan",6,"RepMarthaRoby"
"myfoxal",6,"RepMarthaRoby"
"netanyahu",6,"RepMarthaRoby"
"RepDianeBlack",6,"RepMarthaRoby"
"repjohnlewis",6,"RepMarthaRoby"
"RepReneeEllmers",6,"RepMarthaRoby"
"RepTerriSewell",6,"RepMarthaRoby"
"SenMikeLee",6,"RepMarthaRoby"
"TroyMessenger",6,"RepMarthaRoby"
"TroyTrojansFB",6,"RepMarthaRoby"
"WhiteHouse",6,"RepMarthaRoby"
"WKRG",6,"RepMarthaRoby"
"ACCS_Education",5,"RepMarthaRoby"
"AlabamaFTBL",5,"RepMarthaRoby"
"AP",5,"RepMarthaRoby"
"BCAToday",5,"RepMarthaRoby"
"DeptVetAffairs",5,"RepMarthaRoby"
"FoxNews",5,"RepMarthaRoby"
"MacTXPress",5,"RepMarthaRoby"
"mickeywelsh",5,"RepMarthaRoby"
"SenRonJohnson",5,"RepMarthaRoby"
"USATODAY",5,"RepMarthaRoby"
"USMC",5,"RepMarthaRoby"
"virginiafoxx",5,"RepMarthaRoby"
"AllenHenry",4,"RepMarthaRoby"
"ChildrensAL",4,"RepMarthaRoby"
"IvankaTrump",4,"RepMarthaRoby"
"SenBobCorker",4,"RepMarthaRoby"
"TrinityWildcats",4,"RepMarthaRoby"
"USRepGaryPalmer",4,"RepMarthaRoby"
"wapiradio",4,"RepMarthaRoby"
"4PCAPanthers",3,"RepMarthaRoby"
"ALGOP",3,"RepMarthaRoby"
"ALNewsNetwork",3,"RepMarthaRoby"
"AmForestFndn",3,"RepMarthaRoby"
"ashrafghani",3,"RepMarthaRoby"
"bethanyWSFA",3,"RepMarthaRoby"
"carriemalia81",3,"RepMarthaRoby"
"cathymcmorris",3,"RepMarthaRoby"
"CongressionalAC",3,"RepMarthaRoby"
"dberrygannett",3,"RepMarthaRoby"
"DefenseOne",3,"RepMarthaRoby"
"DonnieChesteen",3,"RepMarthaRoby"
"FRCdc",3,"RepMarthaRoby"
"GENRayOdierno",3,"RepMarthaRoby"
"GovernorKayIvey",3,"RepMarthaRoby"
"HerreraBeutler",3,"RepMarthaRoby"
"HopeInspiredMin",3,"RepMarthaRoby"
"hughhewitt",3,"RepMarthaRoby"
"JessMeuse",3,"RepMarthaRoby"
"JoshWeather",3,"RepMarthaRoby"
"kymklass",3,"RepMarthaRoby"
"LeadaGore",3,"RepMarthaRoby"
"March_for_Life",3,"RepMarthaRoby"
"MatthewDalyWDC",3,"RepMarthaRoby"
"Morning_Joe",3,"RepMarthaRoby"
"nationaljournal",3,"RepMarthaRoby"
"NewDay",3,"RepMarthaRoby"
"nikiinthehouse",3,"RepMarthaRoby"
"nytimes",3,"RepMarthaRoby"
"Outdoor_Alabama",3,"RepMarthaRoby"
"peanutfestival",3,"RepMarthaRoby"
"powersouth",3,"RepMarthaRoby"
"PrattvilleALgov",3,"RepMarthaRoby"
"realDonaldTrump",3,"RepMarthaRoby"
"RepCheri",3,"RepMarthaRoby"
