"Hashtag","Frequency","screen_name"
"TX10",76,"RepMcCaul"
"Harvey",37,"RepMcCaul"
"ISIS",29,"RepMcCaul"
"Texas",23,"RepMcCaul"
"SOTU",17,"RepMcCaul"
"inauguration2017",14,"RepMcCaul"
"ICYMI",10,"RepMcCaul"
"IranDeal",10,"RepMcCaul"
"RSAC2017",10,"RepMcCaul"
"SyrianRefugees",10,"RepMcCaul"
"TX",9,"RepMcCaul"
"HurricaneHarvey",8,"RepMcCaul"
"LastSOTU",8,"RepMcCaul"
"SecureOurBorders",8,"RepMcCaul"
"BackTheBlue",7,"RepMcCaul"
"cybersecurity",7,"RepMcCaul"
"ParisAttacks",7,"RepMcCaul"
"Sochi2014",7,"RepMcCaul"
"TaxCutsAndJobsAct",7,"RepMcCaul"
"ChildhoodCancer",6,"RepMcCaul"
"HomelandSecurity",6,"RepMcCaul"
"KeystoneXL",6,"RepMcCaul"
"backtheblue",5,"RepMcCaul"
"Benghazi",5,"RepMcCaul"
"border",5,"RepMcCaul"
"CompassionateUse",5,"RepMcCaul"
"FBI",5,"RepMcCaul"
"homelandsecurity",5,"RepMcCaul"
"JointAddress",5,"RepMcCaul"
"NorthKorea",5,"RepMcCaul"
"ObamaAmnesty",5,"RepMcCaul"
"SAFEAct",5,"RepMcCaul"
"ShopSmall",5,"RepMcCaul"
"smallbusinessweek",5,"RepMcCaul"
"SXSW",5,"RepMcCaul"
"BPClive",4,"RepMcCaul"
"Jointsession",4,"RepMcCaul"
"NeverForget",4,"RepMcCaul"
"SchumerShutdown",4,"RepMcCaul"
"Syria",4,"RepMcCaul"
"TaxCutsandJobsAct",4,"RepMcCaul"
"taxreform",4,"RepMcCaul"
"TexasStrong",4,"RepMcCaul"
"ATX",3,"RepMcCaul"
"borderblueprint",3,"RepMcCaul"
"BPCLive",3,"RepMcCaul"
"Dallas",3,"RepMcCaul"
"Ebola",3,"RepMcCaul"
"FlagDay",3,"RepMcCaul"
"FortHoodShooting",3,"RepMcCaul"
"humantrafficking",3,"RepMcCaul"
"Iraq",3,"RepMcCaul"
"nationalsecurity",3,"RepMcCaul"
"NatSecForum",3,"RepMcCaul"
"NYCTerroristAttack",3,"RepMcCaul"
"NYPD",3,"RepMcCaul"
"obamaamnesty",3,"RepMcCaul"
"OTD",3,"RepMcCaul"
"prayforforthood",3,"RepMcCaul"
"RSAC2016",3,"RepMcCaul"
"Russia",3,"RepMcCaul"
"security",3,"RepMcCaul"
"SignTheBill",3,"RepMcCaul"
"SmallBizSat",3,"RepMcCaul"
"SmallBusinessSaturday",3,"RepMcCaul"
"SOHSA",3,"RepMcCaul"
"Ukraine",3,"RepMcCaul"
"unaccompaniedchildren",3,"RepMcCaul"
"unaccompaniedminors",3,"RepMcCaul"
"VeteransDay",3,"RepMcCaul"
"AmericanHero",2,"RepMcCaul"
"AustinTx",2,"RepMcCaul"
"bordersecurity",2,"RepMcCaul"
"BorderSecurity",2,"RepMcCaul"
"BorderSecurityForAmerica",2,"RepMcCaul"
