"Hashtag","Frequency","screen_name"
"tcot",292,"RepMikeCoffman"
"redco",84,"RepMikeCoffman"
"Colorado",68,"RepMikeCoffman"
"copolitics",67,"RepMikeCoffman"
"mil",50,"RepMikeCoffman"
"hcr",49,"RepMikeCoffman"
"COpolitics",47,"RepMikeCoffman"
"veterans",44,"RepMikeCoffman"
"CO",35,"RepMikeCoffman"
"CO06",32,"RepMikeCoffman"
"hhrs",28,"RepMikeCoffman"
"COPolitics",27,"RepMikeCoffman"
"FF",27,"RepMikeCoffman"
"NDAA",26,"RepMikeCoffman"
"4Jobs",24,"RepMikeCoffman"
"smallbiz",24,"RepMikeCoffman"
"econ",23,"RepMikeCoffman"
"healthcare",23,"RepMikeCoffman"
"gop",22,"RepMikeCoffman"
"Obamacare",21,"RepMikeCoffman"
"Aurora",18,"RepMikeCoffman"
"VA",17,"RepMikeCoffman"
"followfriday",16,"RepMikeCoffman"
"Veterans",15,"RepMikeCoffman"
"GOP",14,"RepMikeCoffman"
"handsoff",13,"RepMikeCoffman"
"SmallBiz",13,"RepMikeCoffman"
"tlot",12,"RepMikeCoffman"
"Afghanistan",11,"RepMikeCoffman"
"DACA",11,"RepMikeCoffman"
"Denver",11,"RepMikeCoffman"
"ff",10,"RepMikeCoffman"
"HappeningNow",10,"RepMikeCoffman"
"jobs",10,"RepMikeCoffman"
"shutdown",10,"RepMikeCoffman"
"SOTU",10,"RepMikeCoffman"
"ICYMI",9,"RepMikeCoffman"
"speakingout",9,"RepMikeCoffman"
"ACA",8,"RepMikeCoffman"
"bipartisan",8,"RepMikeCoffman"
"BlackHistoryMonth",8,"RepMikeCoffman"
"Congress",8,"RepMikeCoffman"
"Facebook",8,"RepMikeCoffman"
"oilspill",8,"RepMikeCoffman"
"Thanksgiving",8,"RepMikeCoffman"
"4jobs",7,"RepMikeCoffman"
"debt",7,"RepMikeCoffman"
"Live",7,"RepMikeCoffman"
"military",7,"RepMikeCoffman"
"YouCut",7,"RepMikeCoffman"
"America",6,"RepMikeCoffman"
"BBAC",6,"RepMikeCoffman"
"hc",6,"RepMikeCoffman"
"immigration",6,"RepMikeCoffman"
"SignTheBill",6,"RepMikeCoffman"
"smallbusiness",6,"RepMikeCoffman"
"UnitedInOrange",6,"RepMikeCoffman"
"Coloradoflood",5,"RepMikeCoffman"
"Fairness4Vets",5,"RepMikeCoffman"
"GITMO",5,"RepMikeCoffman"
"GoBroncos",5,"RepMikeCoffman"
"GTMO",5,"RepMikeCoffman"
"hc09",5,"RepMikeCoffman"
"Iraq",5,"RepMikeCoffman"
"Libya",5,"RepMikeCoffman"
"namesomethingawful",5,"RepMikeCoffman"
"Obama",5,"RepMikeCoffman"
"rareearth",5,"RepMikeCoffman"
"RSC",5,"RepMikeCoffman"
"Senate",5,"RepMikeCoffman"
"SmallBusiness",5,"RepMikeCoffman"
"VAbacklog",5,"RepMikeCoffman"
"Army",4,"RepMikeCoffman"
"DC",4,"RepMikeCoffman"
"FY18NDAA",4,"RepMikeCoffman"
"HCR",4,"RepMikeCoffman"
"hcrcostsjobs",4,"RepMikeCoffman"
"MemorialDay",4,"RepMikeCoffman"
"NetNeutrality",4,"RepMikeCoffman"
"NeverForget",4,"RepMikeCoffman"
"OBL",4,"RepMikeCoffman"
"PearlHarbor",4,"RepMikeCoffman"
"SemperFi",4,"RepMikeCoffman"
"SmallBusinessWeek",4,"RepMikeCoffman"
"TaxDay",4,"RepMikeCoffman"
"techgop",4,"RepMikeCoffman"
"TPS",4,"RepMikeCoffman"
"troops",4,"RepMikeCoffman"
"unemployment",4,"RepMikeCoffman"
"USA",4,"RepMikeCoffman"
"USMNT",4,"RepMikeCoffman"
"VAHospital",4,"RepMikeCoffman"
"VAWA",4,"RepMikeCoffman"
"Venezuela",4,"RepMikeCoffman"
"VeteransDay",4,"RepMikeCoffman"
"VeteransDay2017",4,"RepMikeCoffman"
"WomensHistoryMonth",4,"RepMikeCoffman"
"American",3,"RepMikeCoffman"
"Americans",3,"RepMikeCoffman"
"cutcapbalance",3,"RepMikeCoffman"
"FortHood",3,"RepMikeCoffman"
"FY17NDAA",3,"RepMikeCoffman"
"Gitmo",3,"RepMikeCoffman"
"GOPWorking4Women",3,"RepMikeCoffman"
"Haiti",3,"RepMikeCoffman"
"House",3,"RepMikeCoffman"
"housecall",3,"RepMikeCoffman"
"mentalhealth",3,"RepMikeCoffman"
"OneNationOneTeam",3,"RepMikeCoffman"
"OnThisDay",3,"RepMikeCoffman"
"PayOurMilitaryAct",3,"RepMikeCoffman"
"Rockies",3,"RepMikeCoffman"
"SenateMustAct",3,"RepMikeCoffman"
"seniors",3,"RepMikeCoffman"
"sotu",3,"RepMikeCoffman"
"STEM",3,"RepMikeCoffman"
"StopGovtAbuse",3,"RepMikeCoffman"
"SuperBowl",3,"RepMikeCoffman"
"taxes",3,"RepMikeCoffman"
"veteran",3,"RepMikeCoffman"
"28pages",2,"RepMikeCoffman"
"ACORN",2,"RepMikeCoffman"
"bailout",2,"RepMikeCoffman"
"BBA",2,"RepMikeCoffman"
"Belgium",2,"RepMikeCoffman"
"BillofRightsDay",2,"RepMikeCoffman"
"BRIDGEAct",2,"RepMikeCoffman"
"BroncosNation",2,"RepMikeCoffman"
"COflood",2,"RepMikeCoffman"
"ColoradoDay",2,"RepMikeCoffman"
"CoPolitics",2,"RepMikeCoffman"
"CuresNow",2,"RepMikeCoffman"
"DADT",2,"RepMikeCoffman"
"dod",2,"RepMikeCoffman"
"Ethiopia",2,"RepMikeCoffman"
"facebook",2,"RepMikeCoffman"
"FlagDay",2,"RepMikeCoffman"
"ForeverGIBill",2,"RepMikeCoffman"
"FranktownFire",2,"RepMikeCoffman"
"FundOurTroops",2,"RepMikeCoffman"
"gopcodered",2,"RepMikeCoffman"
"GoUSA",2,"RepMikeCoffman"
"governmentshutdown2018",2,"RepMikeCoffman"
"grateful",2,"RepMikeCoffman"
"HappyChineseNewYear",2,"RepMikeCoffman"
"HASC",2,"RepMikeCoffman"
"healthbill",2,"RepMikeCoffman"
"Healthcare",2,"RepMikeCoffman"
"HispanicHeritageMonth",2,"RepMikeCoffman"
"HR1",2,"RepMikeCoffman"
"HR435",2,"RepMikeCoffman"
"IBelieveThatWeWillWin",2,"RepMikeCoffman"
"ImmigrantHeritageMonth",2,"RepMikeCoffman"
"Inauguration2017",2,"RepMikeCoffman"
"Iran",2,"RepMikeCoffman"
"Jointsession",2,"RepMikeCoffman"
"JointSession",2,"RepMikeCoffman"
"KeystoneXL",2,"RepMikeCoffman"
"live",2,"RepMikeCoffman"
"LIVE",2,"RepMikeCoffman"
"MLK",2,"RepMikeCoffman"
"MLKDay",2,"RepMikeCoffman"
"MothersDay",2,"RepMikeCoffman"
"NASA",2,"RepMikeCoffman"
"NationalPoliceWeek",2,"RepMikeCoffman"
"NewOrleans",2,"RepMikeCoffman"
"NoBudgetNoPay",2,"RepMikeCoffman"
"NorthKorea",2,"RepMikeCoffman"
"NSA",2,"RepMikeCoffman"
"ObamaCare",2,"RepMikeCoffman"
"OilSpill",2,"RepMikeCoffman"
"Orlando",2,"RepMikeCoffman"
"PershingHall",2,"RepMikeCoffman"
"pledge",2,"RepMikeCoffman"
"Pledge",2,"RepMikeCoffman"
"politics",2,"RepMikeCoffman"
"rsc",2,"RepMikeCoffman"
"sb50",2,"RepMikeCoffman"
"SelectiveService",2,"RepMikeCoffman"
"sgp",2,"RepMikeCoffman"
"SOTU2018",2,"RepMikeCoffman"
"SpeakingOut",2,"RepMikeCoffman"
"SupportOurTroops",2,"RepMikeCoffman"
"Syria",2,"RepMikeCoffman"
"TaxCutsandJobsAct",2,"RepMikeCoffman"
"taxreform",2,"RepMikeCoffman"
"TaxReform",2,"RepMikeCoffman"
"TaxReformBill",2,"RepMikeCoffman"
"tbb",2,"RepMikeCoffman"
"teaparty",2,"RepMikeCoffman"
"TeaParty",2,"RepMikeCoffman"
"USMC",2,"RepMikeCoffman"
"Veteran",2,"RepMikeCoffman"
"VeteransDay2015",2,"RepMikeCoffman"
"Vets",2,"RepMikeCoffman"
"WorldCancerDay",2,"RepMikeCoffman"
"WSJMidMarket",2,"RepMikeCoffman"
"12truths",1,"RepMikeCoffman"
"218hcr",1,"RepMikeCoffman"
"2futures",1,"RepMikeCoffman"
"9News",1,"RepMikeCoffman"
"9NEWS",1,"RepMikeCoffman"
"AAPI",1,"RepMikeCoffman"
"ACinDC2017",1,"RepMikeCoffman"
"acorn",1,"RepMikeCoffman"
"ADayInTheLife",1,"RepMikeCoffman"
"advocacy",1,"RepMikeCoffman"
"aerospace",1,"RepMikeCoffman"
"afghanistanstrategy",1,"RepMikeCoffman"
"AfghanStrategy",1,"RepMikeCoffman"
"afire",1,"RepMikeCoffman"
"AIDS",1,"RepMikeCoffman"
"AirForce",1,"RepMikeCoffman"
"Alzheimer",1,"RepMikeCoffman"
"APAHM",1,"RepMikeCoffman"
"app",1,"RepMikeCoffman"
"ArmedForcesDay",1,"RepMikeCoffman"
"ArmyBDay",1,"RepMikeCoffman"
"art",1,"RepMikeCoffman"
"AsianPacificHeritageMonth",1,"RepMikeCoffman"
"askthespeaker",1,"RepMikeCoffman"
"audit",1,"RepMikeCoffman"
"aurora",1,"RepMikeCoffman"
"Aurora125",1,"RepMikeCoffman"
"auroraco125",1,"RepMikeCoffman"
"auroraflood",1,"RepMikeCoffman"
"AuroraGlobalFest",1,"RepMikeCoffman"
"auroragov",1,"RepMikeCoffman"
"backtheblue",1,"RepMikeCoffman"
"bailouts",1,"RepMikeCoffman"
"balancedbudget",1,"RepMikeCoffman"
"BALvsDEN",1,"RepMikeCoffman"
"BeatPitt",1,"RepMikeCoffman"
"Benghazi",1,"RepMikeCoffman"
"Berlin",1,"RepMikeCoffman"
"BerlinAttack",1,"RepMikeCoffman"
"BigGovernment",1,"RepMikeCoffman"
"BillofRights",1,"RepMikeCoffman"
"bipartisanship",1,"RepMikeCoffman"
"BREAKING",1,"RepMikeCoffman"
"BreastCancerAwareness",1,"RepMikeCoffman"
