"Hashtag","Frequency","screen_name"
"CA45",356,"RepMimiWalters"
"BetterWay",65,"RepMimiWalters"
"OC",50,"RepMimiWalters"
"TaxReform",43,"RepMimiWalters"
"Obamacare",22,"RepMimiWalters"
"TeamWalters",21,"RepMimiWalters"
"BestofOC",20,"RepMimiWalters"
"Irvine",19,"RepMimiWalters"
"CuresNow",16,"RepMimiWalters"
"Fulbright",16,"RepMimiWalters"
"SOTU",15,"RepMimiWalters"
"CA",13,"RepMimiWalters"
"AHCA",12,"RepMimiWalters"
"OnThisDay",12,"RepMimiWalters"
"Israel",10,"RepMimiWalters"
"KeystoneXL",10,"RepMimiWalters"
"TBT",10,"RepMimiWalters"
"ca45",9,"RepMimiWalters"
"CAGOP14",9,"RepMimiWalters"
"CHIP",9,"RepMimiWalters"
"innovation",9,"RepMimiWalters"
"VeteransDay",9,"RepMimiWalters"
"California",8,"RepMimiWalters"
"MemorialDay",8,"RepMimiWalters"
"taxreform",8,"RepMimiWalters"
"veterans",8,"RepMimiWalters"
"W2W",8,"RepMimiWalters"
"CanyonFire2",7,"RepMimiWalters"
"Inauguration2017",7,"RepMimiWalters"
"Iran",7,"RepMimiWalters"
"IranDeal",7,"RepMimiWalters"
"IRS",7,"RepMimiWalters"
"NeverForget",7,"RepMimiWalters"
"opioidepidemic",7,"RepMimiWalters"
"SchumerShutdown",7,"RepMimiWalters"
"SCOTUS",7,"RepMimiWalters"
"STEM",7,"RepMimiWalters"
"TPA",7,"RepMimiWalters"
"WaltersWatch",7,"RepMimiWalters"
"WIIN",7,"RepMimiWalters"
"WomensHistoryMonth",7,"RepMimiWalters"
"AppleVsFBI",6,"RepMimiWalters"
"cabudget",6,"RepMimiWalters"
"LastSOTU",6,"RepMimiWalters"
"OET2015",6,"RepMimiWalters"
"SubOversight",6,"RepMimiWalters"
"budget",5,"RepMimiWalters"
"Cures2015",5,"RepMimiWalters"
"dineIrvine",5,"RepMimiWalters"
"EPA",5,"RepMimiWalters"
"FY17NDAA",5,"RepMimiWalters"
"GOP",5,"RepMimiWalters"
"Medicare",5,"RepMimiWalters"
"OCRegister",5,"RepMimiWalters"
"PelosiSchumerShutdown",5,"RepMimiWalters"
"PopeFrancis",5,"RepMimiWalters"
"PopeInDC",5,"RepMimiWalters"
"PowerBrunch",5,"RepMimiWalters"
"RonaldReagan",5,"RepMimiWalters"
"TeamUSA",5,"RepMimiWalters"
"AmericasNewCongress",4,"RepMimiWalters"
"CuresAct",4,"RepMimiWalters"
"ENDALZ",4,"RepMimiWalters"
"FBI",4,"RepMimiWalters"
"fiduciaryrule",4,"RepMimiWalters"
"GoBruins",4,"RepMimiWalters"
"Harvey",4,"RepMimiWalters"
"humantrafficking",4,"RepMimiWalters"
"IranNuclearDeal",4,"RepMimiWalters"
"Jerusalem",4,"RepMimiWalters"
"LLWS",4,"RepMimiWalters"
"NACSInStore",4,"RepMimiWalters"
"NDAA",4,"RepMimiWalters"
"OTD",4,"RepMimiWalters"
"proudmom",4,"RepMimiWalters"
"shopIrvine",4,"RepMimiWalters"
"smallbiz",4,"RepMimiWalters"
"SmallBiz",4,"RepMimiWalters"
"StandWithIsrael",4,"RepMimiWalters"
"SubDCCP",4,"RepMimiWalters"
"TaxDay",4,"RepMimiWalters"
"tbt",4,"RepMimiWalters"
"teamwalters",4,"RepMimiWalters"
"TimeToBuild",4,"RepMimiWalters"
"TPA4USjobs",4,"RepMimiWalters"
"TPA4USJobs",4,"RepMimiWalters"
"Tustin",4,"RepMimiWalters"
"VA",4,"RepMimiWalters"
"WOTUS",4,"RepMimiWalters"
"zotzotzot",4,"RepMimiWalters"
"Apple",3,"RepMimiWalters"
"ClayHuntSAVAct",3,"RepMimiWalters"
"ConfidentAmerica",3,"RepMimiWalters"
"Congrats",3,"RepMimiWalters"
"DidYouKnow",3,"RepMimiWalters"
"EndTrafficking",3,"RepMimiWalters"
"FY18NDAA",3,"RepMimiWalters"
"GoodFriday",3,"RepMimiWalters"
"GOUSA",3,"RepMimiWalters"
"HR3636",3,"RepMimiWalters"
"HumanTrafficking",3,"RepMimiWalters"
"Instagram",3,"RepMimiWalters"
"InternationalWomensDay",3,"RepMimiWalters"
"JointSession",3,"RepMimiWalters"
"MissionViejo",3,"RepMimiWalters"
"NACSGR",3,"RepMimiWalters"
"PearlHarbor",3,"RepMimiWalters"
"PopeInUS",3,"RepMimiWalters"
"REINSAct",3,"RepMimiWalters"
"Rio2016",3,"RepMimiWalters"
"RiseUp",3,"RepMimiWalters"
"RoadToRio",3,"RepMimiWalters"
"RoshHashanah",3,"RepMimiWalters"
"SemperFi",3,"RepMimiWalters"
"SGR",3,"RepMimiWalters"
"SOCEC",3,"RepMimiWalters"
"SubCommTech",3,"RepMimiWalters"
"Thanksgiving",3,"RepMimiWalters"
"USAWP",3,"RepMimiWalters"
"WRDA",3,"RepMimiWalters"
"yearoftherooster",3,"RepMimiWalters"
"YWPLC2016",3,"RepMimiWalters"
"zotzot",3,"RepMimiWalters"
"4thOfJuly",2,"RepMimiWalters"
"8clap",2,"RepMimiWalters"
"ACA",2,"RepMimiWalters"
"AIRRact",2,"RepMimiWalters"
"Alzheimers",2,"RepMimiWalters"
"Art",2,"RepMimiWalters"
"blessed",2,"RepMimiWalters"
"BREAKING",2,"RepMimiWalters"
"BreastCancerAwarenessMonth",2,"RepMimiWalters"
"BringHomeTheGold",2,"RepMimiWalters"
"Brussels",2,"RepMimiWalters"
"CAFires",2,"RepMimiWalters"
"CHOICEact",2,"RepMimiWalters"
