"Mention","Frequency","screen_name"
"RepMimiWalters",179,"RepMimiWalters"
"HouseGOP",99,"RepMimiWalters"
"ocregister",59,"RepMimiWalters"
"HouseCommerce",51,"RepMimiWalters"
"HouseJudiciary",47,"RepMimiWalters"
"SpeakerRyan",43,"RepMimiWalters"
"UCIrvine",38,"RepMimiWalters"
"MissionViejoCA",33,"RepMimiWalters"
"LakeForestCA",28,"RepMimiWalters"
"City_of_Irvine",26,"RepMimiWalters"
"GOPLeader",24,"RepMimiWalters"
"DeptVetAffairs",23,"RepMimiWalters"
"FoxNews",23,"RepMimiWalters"
"cathymcmorris",21,"RepMimiWalters"
"SteveScalise",21,"RepMimiWalters"
"MimiWaltersCA",20,"RepMimiWalters"
"POTUS",20,"RepMimiWalters"
"City_of_RSM",19,"RepMimiWalters"
"IrvinePolice",15,"RepMimiWalters"
"Transport",15,"RepMimiWalters"
"uscapitol",15,"RepMimiWalters"
"WSJ",15,"RepMimiWalters"
"CityLagunaHills",14,"RepMimiWalters"
"CityofTustin",13,"RepMimiWalters"
"FulbrightPrgrm",13,"RepMimiWalters"
"sam_s_oh",13,"RepMimiWalters"
"RepStefanik",12,"RepMimiWalters"
"SpeakerBoehner",12,"RepMimiWalters"
"FoxBusiness",11,"RepMimiWalters"
"MilkenInstitute",11,"RepMimiWalters"
"OCSD",11,"RepMimiWalters"
"IrvineChamber",10,"RepMimiWalters"
"IUSD",10,"RepMimiWalters"
"OCFA_PIO",10,"RepMimiWalters"
"SusanWBrooks",10,"RepMimiWalters"
"AIPAC",9,"RepMimiWalters"
"RosLehtinen",9,"RepMimiWalters"
"sacbee_news",9,"RepMimiWalters"
"TUSDschools",9,"RepMimiWalters"
"Morning_Joe",8,"RepMimiWalters"
"RepZoeLofgren",8,"RepMimiWalters"
"RiponAdvance",8,"RepMimiWalters"
"UCLA",8,"RepMimiWalters"
"WaysandMeansGOP",8,"RepMimiWalters"
"BlogHer",7,"RepMimiWalters"
"RepEdRoyce",7,"RepMimiWalters"
"RepReneeEllmers",7,"RepMimiWalters"
"SaddlebackColl",7,"RepMimiWalters"
"SMCHSEagles",7,"RepMimiWalters"
"thehill",7,"RepMimiWalters"
"ChapmanU",6,"RepMimiWalters"
"ConcordiaIrvine",6,"RepMimiWalters"
"DarrellIssa",6,"RepMimiWalters"
"fema",6,"RepMimiWalters"
"FoxFriendsFirst",6,"RepMimiWalters"
"HHSGov",6,"RepMimiWalters"
"MainStreetSarah",6,"RepMimiWalters"
"npratc",6,"RepMimiWalters"
"OC_Biz_Council",6,"RepMimiWalters"
"PublicCEO",6,"RepMimiWalters"
"RepCurbelo",6,"RepMimiWalters"
"RepKristiNoem",6,"RepMimiWalters"
"RepMcSally",6,"RepMimiWalters"
"RepTomPrice",6,"RepMimiWalters"
"rollcall",6,"RepMimiWalters"
"SheKnows",6,"RepMimiWalters"
"CaWomenLead",5,"RepMimiWalters"
"chocchildrens",5,"RepMimiWalters"
"CityOfOrangeCA",5,"RepMimiWalters"
"CongressionalAC",5,"RepMimiWalters"
"cspan",5,"RepMimiWalters"
"Equifax",5,"RepMimiWalters"
"foxandfriends",5,"RepMimiWalters"
"Google",5,"RepMimiWalters"
"greta",5,"RepMimiWalters"
"HeatherChilders",5,"RepMimiWalters"
"Heritage",5,"RepMimiWalters"
"IndJournal",5,"RepMimiWalters"
"KNX1070",5,"RepMimiWalters"
"NavalAcademy",5,"RepMimiWalters"
"netanyahu",5,"RepMimiWalters"
"NRO",5,"RepMimiWalters"
"OCAlzheimers",5,"RepMimiWalters"
"RepGoodlatte",5,"RepMimiWalters"
"RiponSociety",5,"RepMimiWalters"
"SenatorPatBates",5,"RepMimiWalters"
"socecoalition",5,"RepMimiWalters"
"UPS",5,"RepMimiWalters"
"WendyBucknum",5,"RepMimiWalters"
"YouTube",5,"RepMimiWalters"
"addthis",4,"RepMimiWalters"
"AnaheimChamber",4,"RepMimiWalters"
"AP",4,"RepMimiWalters"
"CAREALTORS",4,"RepMimiWalters"
"City_of_Anaheim",4,"RepMimiWalters"
"CNN",4,"RepMimiWalters"
"EverettRice",4,"RepMimiWalters"
"farenthold",4,"RepMimiWalters"
"FCC",4,"RepMimiWalters"
"FHDaily",4,"RepMimiWalters"
"H100Foundation",4,"RepMimiWalters"
"HouseFloor",4,"RepMimiWalters"
"IvankaTrump",4,"RepMimiWalters"
"IWF",4,"RepMimiWalters"
"KenCalvert",4,"RepMimiWalters"
"LAKings",4,"RepMimiWalters"
