"Hashtag","Frequency","screen_name"
"mepolitics",643,"RepPoliquin"
"ME02",95,"RepPoliquin"
"KeystoneXL",21,"RepPoliquin"
"MEjobs",11,"RepPoliquin"
"mewx",9,"RepPoliquin"
"BREAKING",7,"RepPoliquin"
"ChildSupportAssistanceAct",7,"RepPoliquin"
"EndTrafficking",7,"RepPoliquin"
"NDAA",7,"RepPoliquin"
"TimeToBuild",7,"RepPoliquin"
"GHRT",5,"RepPoliquin"
"Iran",5,"RepPoliquin"
"MilitaryMonday",5,"RepPoliquin"
"OperationChokePoint",5,"RepPoliquin"
"blizzardof2015",4,"RepPoliquin"
"CongressionalArtCompetition",4,"RepPoliquin"
"IranDeal",4,"RepPoliquin"
"ObamaCare",4,"RepPoliquin"
"SOTU",4,"RepPoliquin"
"TPP",4,"RepPoliquin"
"Vets",4,"RepPoliquin"
"ExIm",3,"RepPoliquin"
"HR161",3,"RepPoliquin"
"LIHEAP",3,"RepPoliquin"
"Senior",3,"RepPoliquin"
"SmallBiz",3,"RepPoliquin"
"2ndAmendment",2,"RepPoliquin"
"AmericasNewCongress",2,"RepPoliquin"
"BBA",2,"RepPoliquin"
"BerryAmendment",2,"RepPoliquin"
"BostonMarathon",2,"RepPoliquin"
"CARA",2,"RepPoliquin"
"CongressionalAppChallenge",2,"RepPoliquin"
"Cures2015",2,"RepPoliquin"
"FastTrack",2,"RepPoliquin"
"FlagDay",2,"RepPoliquin"
"FY16NDAA",2,"RepPoliquin"
"Gitmo",2,"RepPoliquin"
"HR529",2,"RepPoliquin"
"HR8",2,"RepPoliquin"
"IPAB",2,"RepPoliquin"
"IRS",2,"RepPoliquin"
"Maine",2,"RepPoliquin"
"me02",2,"RepPoliquin"
"militarymonday",2,"RepPoliquin"
"NationalForestProductsWeek",2,"RepPoliquin"
"NationalLawEnforcementAppreciationDay",2,"RepPoliquin"
"NationalPoliceWeek",2,"RepPoliquin"
"NewBalance",2,"RepPoliquin"
"PopeInDC",2,"RepPoliquin"
"REINSAct",2,"RepPoliquin"
"RuthMooreAct",2,"RepPoliquin"
"SB49",2,"RepPoliquin"
"SmallBusinessWeek",2,"RepPoliquin"
"togus150",2,"RepPoliquin"
"Veterans",2,"RepPoliquin"
"VFW",2,"RepPoliquin"
"VietnamVeteransDay",2,"RepPoliquin"
"WellsFargo",2,"RepPoliquin"
"WVOM",2,"RepPoliquin"
"13thAmendment",1,"RepPoliquin"
"2016NDAA",1,"RepPoliquin"
"2A",1,"RepPoliquin"
"4jobs",1,"RepPoliquin"
"5QME",1,"RepPoliquin"
"Anthem",1,"RepPoliquin"
"ArmedForcesDay",1,"RepPoliquin"
"BillofRights",1,"RepPoliquin"
"BillofRightsDay",1,"RepPoliquin"
"biomass",1,"RepPoliquin"
"BIW",1,"RepPoliquin"
"BostonStrong",1,"RepPoliquin"
"budget",1,"RepPoliquin"
"CelebrateFP",1,"RepPoliquin"
"CFPB",1,"RepPoliquin"
"CG227",1,"RepPoliquin"
"Chattanooga",1,"RepPoliquin"
"ClayHuntSAVAct",1,"RepPoliquin"
"CongressionalBaseballGame",1,"RepPoliquin"
"Constitution",1,"RepPoliquin"
"ConstitutionDay",1,"RepPoliquin"
"CountyStrong",1,"RepPoliquin"
"CuresNow",1,"RepPoliquin"
