"Mention","Frequency","screen_name"
"POTUS",24,"RepRalphNorman"
"HouseGOP",17,"RepRalphNorman"
"FoxBusiness",6,"RepRalphNorman"
"HouseScience",6,"RepRalphNorman"
"realDonaldTrump",5,"RepRalphNorman"
"SenateMajLdr",5,"RepRalphNorman"
"NancyPelosi",4,"RepRalphNorman"
"CongressionalAC",3,"RepRalphNorman"
"FoxNews",3,"RepRalphNorman"
"HLNTV",3,"RepRalphNorman"
"secupp",3,"RepRalphNorman"
"BreitbartNews",2,"RepRalphNorman"
"connellmcshane",2,"RepRalphNorman"
"KnowledgePerk",2,"RepRalphNorman"
"SenateDems",2,"RepRalphNorman"
"SteveScalise",2,"RepRalphNorman"
"TeamCavuto",2,"RepRalphNorman"
"ThePeachStand",2,"RepRalphNorman"
"usairforce",2,"RepRalphNorman"
"YCSO_SC",2,"RepRalphNorman"
"AgSouthFC",1,"RepRalphNorman"
"Ajshaps",1,"RepRalphNorman"
"BestBuy",1,"RepRalphNorman"
"CityofSumter",1,"RepRalphNorman"
"conversations",1,"RepRalphNorman"
"cvspharmacy",1,"RepRalphNorman"
"DailySignal",1,"RepRalphNorman"
"DaVita",1,"RepRalphNorman"
"DeptofDefense",1,"RepRalphNorman"
"DEWALTtough",1,"RepRalphNorman"
"exxonmobil",1,"RepRalphNorman"
"fmhsnews",1,"RepRalphNorman"
"fostersenn",1,"RepRalphNorman"
"FreedomWorks",1,"RepRalphNorman"
"GITITireUSA",1,"RepRalphNorman"
"GregWISTV",1,"RepRalphNorman"
"HospiceRockHill",1,"RepRalphNorman"
"Hostess_Snacks",1,"RepRalphNorman"
"HouseAgNews",1,"RepRalphNorman"
"HouseDemocrats",1,"RepRalphNorman"
"HouseIntelComm",1,"RepRalphNorman"
"HouseSmallBiz",1,"RepRalphNorman"
"IngrahamAngle",1,"RepRalphNorman"
"justinamash",1,"RepRalphNorman"
"LelandVittert",1,"RepRalphNorman"
"LockheedMartin",1,"RepRalphNorman"
"MickMulvaneyOMB",1,"RepRalphNorman"
"PK_Knighthawks",1,"RepRalphNorman"
"PuckerButt",1,"RepRalphNorman"
"RepGosar",1,"RepRalphNorman"
"RepJoeWilson",1,"RepRalphNorman"
"RepMarkMeadows",1,"RepRalphNorman"
"RepRickAllen",1,"RepRalphNorman"
"RepRoKhanna",1,"RepRalphNorman"
"RepublicanStudy",1,"RepRalphNorman"
"SamsungUS",1,"RepRalphNorman"
"SCEMD",1,"RepRalphNorman"
"SCNationalGuard",1,"RepRalphNorman"
"SCStatehouse",1,"RepRalphNorman"
"SenSchumer",1,"RepRalphNorman"
"StanleyBlkDeckr",1,"RepRalphNorman"
"sumterscpolice",1,"RepRalphNorman"
"TGowdySC",1,"RepRalphNorman"
"the_USO",1,"RepRalphNorman"
"thehill",1,"RepRalphNorman"
"toddatwater",1,"RepRalphNorman"
"UPS",1,"RepRalphNorman"
"USMC",1,"RepRalphNorman"
"VAMCColumbiaSC",1,"RepRalphNorman"
"Varneyco",1,"RepRalphNorman"
"washingtonpost",1,"RepRalphNorman"
"WaysandMeansGOP",1,"RepRalphNorman"
"Westminster_RH",1,"RepRalphNorman"
"WLTX",1,"RepRalphNorman"
"WSJ",1,"RepRalphNorman"
