"Mention","Frequency","screen_name"
"RepRobWoodall",23,"RepRobWoodall"
"Transport",19,"RepRobWoodall"
"HouseGOP",18,"RepRobWoodall"
"HouseFloor",12,"RepRobWoodall"
"cspan",10,"RepRobWoodall"
"RepublicanStudy",10,"RepRobWoodall"
"SpeakerRyan",10,"RepRobWoodall"
"WaysandMeansGOP",10,"RepRobWoodall"
"forsythnews",9,"RepRobWoodall"
"GwinnettDaily",8,"RepRobWoodall"
"RepTomPrice",7,"RepRobWoodall"
"FairTaxOfficial",6,"RepRobWoodall"
"POTUS",6,"RepRobWoodall"
"cspanwj",5,"RepRobWoodall"
"GwinnettChamber",5,"RepRobWoodall"
"RepDougCollins",5,"RepRobWoodall"
"RulesReps",5,"RepRobWoodall"
"WhiteHouse",5,"RepRobWoodall"
"EPA",4,"RepRobWoodall"
"GeorgiaTech",4,"RepRobWoodall"
"kristilreed",4,"RepRobWoodall"
"LambertHS",4,"RepRobWoodall"
"PtreeCorners",4,"RepRobWoodall"
"RepBillFlores",4,"RepRobWoodall"
"RepKevinBrady",4,"RepRobWoodall"
"SiteROI",4,"RepRobWoodall"
"SteveScalise",4,"RepRobWoodall"
"universityofga",4,"RepRobWoodall"
"USMC",4,"RepRobWoodall"
"aircraftcarrier",3,"RepRobWoodall"
"FCSchoolsGA",3,"RepRobWoodall"
"GADeptofTrans",3,"RepRobWoodall"
"GeorgiaGwinnett",3,"RepRobWoodall"
"GOPoversight",3,"RepRobWoodall"
"RepMcCaul",3,"RepRobWoodall"
"SecretaryFoxx",3,"RepRobWoodall"
"timechols",3,"RepRobWoodall"
"USArmy",3,"RepRobWoodall"
"AEI",2,"RepRobWoodall"
"AtlBizChron",2,"RepRobWoodall"
"atlchamber",2,"RepRobWoodall"
"BufordHS",2,"RepRobWoodall"
"DrPhilRoe",2,"RepRobWoodall"
"EmoryUniversity",2,"RepRobWoodall"
"ForsythChamber",2,"RepRobWoodall"
"ForsythCHS",2,"RepRobWoodall"
"FreeBeacon",2,"RepRobWoodall"
"GAagribusiness",2,"RepRobWoodall"
"GaPorts",2,"RepRobWoodall"
"Georgia_AG",2,"RepRobWoodall"
"GeorgiaTrend",2,"RepRobWoodall"
"GoogleHangout",2,"RepRobWoodall"
"GOPLeader",2,"RepRobWoodall"
"Heritage",2,"RepRobWoodall"
"Perduesenate",2,"RepRobWoodall"
"QualityGrowth",2,"RepRobWoodall"
"RepBillShuster",2,"RepRobWoodall"
"RepLoBiondo",2,"RepRobWoodall"
"RepTomGraves",2,"RepRobWoodall"
"SiteSelection",2,"RepRobWoodall"
"thehill",2,"RepRobWoodall"
"TomCoburn",2,"RepRobWoodall"
"usairforce",2,"RepRobWoodall"
"USDOT",2,"RepRobWoodall"
"USNavy",2,"RepRobWoodall"
"AbeShinzo",1,"RepRobWoodall"
"AGCOcorp",1,"RepRobWoodall"
"ajc",1,"RepRobWoodall"
"ajconwashington",1,"RepRobWoodall"
"AtlantaFalcons",1,"RepRobWoodall"
"BAPS",1,"RepRobWoodall"
"BAPS_PubAffairs",1,"RepRobWoodall"
"Braves",1,"RepRobWoodall"
"BretBaier",1,"RepRobWoodall"
"BrianKempGA",1,"RepRobWoodall"
"BufordLWBball",1,"RepRobWoodall"
"CapitolPolice",1,"RepRobWoodall"
"cathymcmorris",1,"RepRobWoodall"
"childrensatl",1,"RepRobWoodall"
"City_of_Suwanee",1,"RepRobWoodall"
"CityofNorcross",1,"RepRobWoodall"
"CocaColaCo",1,"RepRobWoodall"
"collinshill",1,"RepRobWoodall"
"ConawayTX11",1,"RepRobWoodall"
"CVN70",1,"RepRobWoodall"
"DarrellIssa",1,"RepRobWoodall"
"FootballUGA",1,"RepRobWoodall"
"forestservice",1,"RepRobWoodall"
"forsythherald",1,"RepRobWoodall"
"FoxNews",1,"RepRobWoodall"
"gacities",1,"RepRobWoodall"
"GAPoliticsNews",1,"RepRobWoodall"
"GenOpp",1,"RepRobWoodall"
"GeorgiaStateU",1,"RepRobWoodall"
"GeorgiaTechISyE",1,"RepRobWoodall"
"girlscouts",1,"RepRobWoodall"
"GovernorDeal",1,"RepRobWoodall"
"gpbnews",1,"RepRobWoodall"
"GW_CVN73",1,"RepRobWoodall"
"gwcoalition",1,"RepRobWoodall"
"GwinnettCenter",1,"RepRobWoodall"
"GwinnettSchools",1,"RepRobWoodall"
"GwinnettTech",1,"RepRobWoodall"
"HHSGov",1,"RepRobWoodall"
"HouseAppropsGOP",1,"RepRobWoodall"
"HouseCommerce",1,"RepRobWoodall"
"HouseHomeland",1,"RepRobWoodall"
"HouseSmallBiz",1,"RepRobWoodall"
"instagram",1,"RepRobWoodall"
"IsraeliPM",1,"RepRobWoodall"
