"Hashtag","Frequency","screen_name"
"TheHunt",28,"RepRooney"
"Sayfie",12,"RepRooney"
"SWFL",7,"RepRooney"
"Obamacare",6,"RepRooney"
"CPAC2017",5,"RepRooney"
"AHCA",3,"RepRooney"
"BetterWay",3,"RepRooney"
"HurricaineIrma",3,"RepRooney"
"SCOTUS",3,"RepRooney"
"BePrepared",2,"RepRooney"
"congressionalartcompetition",2,"RepRooney"
"Everglades",2,"RepRooney"
"FoxNews",2,"RepRooney"
"FOXNewsUS",2,"RepRooney"
"Irma",2,"RepRooney"
"MavCon17",2,"RepRooney"
"ProLife",2,"RepRooney"
"sayfie",2,"RepRooney"
"TaxCutsAndJobsAct",2,"RepRooney"
"UNGA",2,"RepRooney"
"2ndAmendment",1,"RepRooney"
"925FoxNews",1,"RepRooney"
"925FoxNewsRadio",1,"RepRooney"
"AcademyDay2017",1,"RepRooney"
"ACHA",1,"RepRooney"
"Back2School",1,"RepRooney"
"CharlieGard",1,"RepRooney"
"CSPAN",1,"RepRooney"
"Cuba",1,"RepRooney"
"EndALZ",1,"RepRooney"
"First100Days",1,"RepRooney"
"FixTheVA",1,"RepRooney"
"FL19",1,"RepRooney"
"FlChamber",1,"RepRooney"
"fllairport",1,"RepRooney"
"FoxBiz",1,"RepRooney"
"FoxBusiness",1,"RepRooney"
"FoxNewsRadio",1,"RepRooney"
"FtLauderdale",1,"RepRooney"
"GetaPlan",1,"RepRooney"
"HappyHanukkah",1,"RepRooney"
"HealthcareBill",1,"RepRooney"
"Hertz",1,"RepRooney"
"HJRes43",1,"RepRooney"
"HolidayforHeroes",1,"RepRooney"
"HolocaustRemembranceDay",1,"RepRooney"
"HurricanePrep",1,"RepRooney"
"HurricanePrepared",1,"RepRooney"
"ICYMI",1,"RepRooney"
"Inauguration",1,"RepRooney"
"Inauguration2017",1,"RepRooney"
"Irma2017",1,"RepRooney"
"IrmaHurricane2017",1,"RepRooney"
"IrmaRecovery",1,"RepRooney"
"ItsNotWorking",1,"RepRooney"
"KatesLaw",1,"RepRooney"
"KilmeadeAndFriends",1,"RepRooney"
"LawEnforcementAppreciationDay",1,"RepRooney"
"MarchMadness",1,"RepRooney"
"MSNBC",1,"RepRooney"
"NABOR",1,"RepRooney"
"NationalLawEnforcement",1,"RepRooney"
"NeverForget",1,"RepRooney"
"NorthKorea",1,"RepRooney"
"NoSanctuaryForCriminalsAct",1,"RepRooney"
"Obamcare",1,"RepRooney"
"PrayForLasVegas",1,"RepRooney"
"PythonHunt",1,"RepRooney"
"RAISEact",1,"RepRooney"
"RAISEAct",1,"RepRooney"
"ReleasetheMemo",1,"RepRooney"
"RepealAndReplace",1,"RepRooney"
"RocketMan",1,"RepRooney"
"SaveAmericanLives",1,"RepRooney"
"schoolsupplies",1,"RepRooney"
"SchoolSupplies",1,"RepRooney"
"SecureOurBorders",1,"RepRooney"
"SOTU",1,"RepRooney"
"StayTuned",1,"RepRooney"
"swfl",1,"RepRooney"
"Syria",1,"RepRooney"
"TaxCutAndJobsAct",1,"RepRooney"
"TaxCutsandJobsAct",1,"RepRooney"
"TaxReform",1,"RepRooney"
"TrumpBudget",1,"RepRooney"
"TuneIn",1,"RepRooney"
"Veterans",1,"RepRooney"
"VietnamVetsDay",1,"RepRooney"
"WhyWeMarch",1,"RepRooney"
