"Mention","Frequency","screen_name"
"RepRooney",113,"RepRooney"
"MSNBC",26,"RepRooney"
"FLGovScott",25,"RepRooney"
"LeeEOC",25,"RepRooney"
"CollierEM",23,"RepRooney"
"POTUS",19,"RepRooney"
"CNN",18,"RepRooney"
"CPAC",13,"RepRooney"
"FoxBusiness",13,"RepRooney"
"MarioDB",13,"RepRooney"
"FoxNews",12,"RepRooney"
"EdWorkforce",10,"RepRooney"
"NWS",10,"RepRooney"
"HouseGOP",9,"RepRooney"
"SpeakerRyan",9,"RepRooney"
"NHC_Atlantic",8,"RepRooney"
"SFWMD",8,"RepRooney"
"GOPLeader",7,"RepRooney"
"KeepFLFishing",7,"RepRooney"
"LaurenAshburn",7,"RepRooney"
"RepWalberg",7,"RepRooney"
"SSNAlerts",7,"RepRooney"
"HouseForeign",6,"RepRooney"
"JECRepublicans",6,"RepRooney"
"NWSTampaBay",6,"RepRooney"
"SteveScalise",6,"RepRooney"
"WhiteHouse",6,"RepRooney"
"AlexWitt",5,"RepRooney"
"CollierSheriff",5,"RepRooney"
"DailyCaller",5,"RepRooney"
"fema",4,"RepRooney"
"FLSERT",4,"RepRooney"
"HeardontheHill",4,"RepRooney"
"JebBush",4,"RepRooney"
"LelandVittert",4,"RepRooney"
"NBC2",4,"RepRooney"
"ndn",4,"RepRooney"
"NWSMiami",4,"RepRooney"
"realclearpolicy",4,"RepRooney"
"RosLehtinen",4,"RepRooney"
"925FOX_News",3,"RepRooney"
"bennyjohnson",3,"RepRooney"
"CollierPIO",3,"RepRooney"
"CR",3,"RepRooney"
"EvergladesNPS",3,"RepRooney"
"fgcu",3,"RepRooney"
"FrancisRooney",3,"RepRooney"
"KenCalvert",3,"RepRooney"
"LedgeKing",3,"RepRooney"
"LifeInNaplesMag",3,"RepRooney"
"realDonaldTrump",3,"RepRooney"
"SIRIUSXM",3,"RepRooney"
"ThomasARoberts",3,"RepRooney"
"treyradel",3,"RepRooney"
"TrumpInaugural",3,"RepRooney"
"wolfblitzer",3,"RepRooney"
"YouTube",3,"RepRooney"
"AHLA",2,"RepRooney"
"AllisonNielsen",2,"RepRooney"
"BetsyDeVosED",2,"RepRooney"
"collierschools",2,"RepRooney"
"cspan",2,"RepRooney"
"cspanwj",2,"RepRooney"
"dbongino",2,"RepRooney"
"DeptofDefense",2,"RepRooney"
"DingDarlingWS",2,"RepRooney"
"evergfoundation",2,"RepRooney"
"EWTNNewsNightly",2,"RepRooney"
"FSWCollege",2,"RepRooney"
"FWhitfield",2,"RepRooney"
"Hertz",2,"RepRooney"
"JaxStrong",2,"RepRooney"
"JCCIC",2,"RepRooney"
"Jenna_Buzzacco",2,"RepRooney"
"KatyTurNBC",2,"RepRooney"
"latimes",2,"RepRooney"
"LCEMFL",2,"RepRooney"
"learyreports",2,"RepRooney"
"LeeSchools",2,"RepRooney"
"LopezCantera",2,"RepRooney"
"LouDobbs",2,"RepRooney"
"March_for_Life",2,"RepRooney"
"MarcoIslandPD",2,"RepRooney"
"marinesanctuary",2,"RepRooney"
"MarshaBlackburn",2,"RepRooney"
"MavConference",2,"RepRooney"
"MavPAC",2,"RepRooney"
"mschlapp",2,"RepRooney"
"Nature_Florida",2,"RepRooney"
"PoliticsNation",2,"RepRooney"
"RepBrianMast",2,"RepRooney"
"RepCurbelo",2,"RepRooney"
"RepDianeBlack",2,"RepRooney"
"RepTedYoho",2,"RepRooney"
"RepWebster",2,"RepRooney"
"RichardLui",2,"RepRooney"
"Snapchat",2,"RepRooney"
"TeamCavuto",2,"RepRooney"
"thehill",2,"RepRooney"
"TheNewsPress",2,"RepRooney"
"WhySharksMatter",2,"RepRooney"
"WilkowMajority",2,"RepRooney"
"accionhispana",1,"RepRooney"
"AdamPinsker",1,"RepRooney"
"AGCofA",1,"RepRooney"
"AlexandraCSmith",1,"RepRooney"
"AlexGangitano",1,"RepRooney"
"alextdaugherty",1,"RepRooney"
"AmandaHallWINK",1,"RepRooney"
"AmbJohnBolton",1,"RepRooney"
"AnaCabrera",1,"RepRooney"
"ANHQDC",1,"RepRooney"
"asanchez941958",1,"RepRooney"
"ASTAAgents",1,"RepRooney"
"AudubonFL",1,"RepRooney"
"BGCA_Clubs",1,"RepRooney"
"BGCCollier",1,"RepRooney"
"CapePD",1,"RepRooney"
"CardinalWuerl",1,"RepRooney"
"CatholicAssoc",1,"RepRooney"
"CatholicUniv",1,"RepRooney"
"cathymcmorris",1,"RepRooney"
"CburySquad",1,"RepRooney"
"CelesteKatzNYC",1,"RepRooney"
"chrislhayes",1,"RepRooney"
"CICIGgt",1,"RepRooney"
"cityftmyers",1,"RepRooney"
"CNBC",1,"RepRooney"
"CNNPolitics",1,"RepRooney"
"CoconutPoint",1,"RepRooney"
"ColAmbPinzon",1,"RepRooney"
"congbillposey",1,"RepRooney"
"CongressmanGT",1,"RepRooney"
"ConservancySWFL",1,"RepRooney"
"CortesSteve",1,"RepRooney"
"CoryODonnell",1,"RepRooney"
"DailySignal",1,"RepRooney"
"DaneEagle",1,"RepRooney"
"daveelias",1,"RepRooney"
"dcexaminer",1,"RepRooney"
"DHSgov",1,"RepRooney"
"donlemon",1,"RepRooney"
"DrZuhdiJasser",1,"RepRooney"
"EdMorrissey",1,"RepRooney"
"elenacisella",1,"RepRooney"
"ElizabethPrann",1,"RepRooney"
"EricEikenberg",1,"RepRooney"
"EricMGarcia",1,"RepRooney"
"EveryLifeOrg",1,"RepRooney"
"FAIA_Florida",1,"RepRooney"
"femaregion4",1,"RepRooney"
"FGCU_MBB",1,"RepRooney"
"FGCUEagles",1,"RepRooney"
"Fla_Pol",1,"RepRooney"
"FLAnnScott",1,"RepRooney"
"FlChamber",1,"RepRooney"
"FloridaOceana",1,"RepRooney"
"fortmyerspolice",1,"RepRooney"
"Fox4Now",1,"RepRooney"
"foxandfriends",1,"RepRooney"
"FreedomPartners",1,"RepRooney"
"FriendsinFourth",1,"RepRooney"
"FRLAnews",1,"RepRooney"
"GordonGChang",1,"RepRooney"
"HopeHCS",1,"RepRooney"
"HouseAppropsGOP",1,"RepRooney"
"HouseDemocrats",1,"RepRooney"
"HouseHomeland",1,"RepRooney"
"hyattregency",1,"RepRooney"
"IndianEmbassyUS",1,"RepRooney"
"Interior",1,"RepRooney"
"Ivan_Velasquez_",1,"RepRooney"
"jacqklimas",1,"RepRooney"
"jasoninthehouse",1,"RepRooney"
"JBMHH",1,"RepRooney"
"JeffFortenberry",1,"RepRooney"
"JimPressOffice",1,"RepRooney"
"JoshGottheimer",1,"RepRooney"
"kcrossnrlc",1,"RepRooney"
"KerryPicket",1,"RepRooney"
"kevinomccarthy",1,"RepRooney"
"kilmeade",1,"RepRooney"
"Kyle_Feldscher",1,"RepRooney"
"LeeCoEDO",1,"RepRooney"
"leesheriff",1,"RepRooney"
"Lexus",1,"RepRooney"
"LindseyGrahamSC",1,"RepRooney"
"LPEPanthers",1,"RepRooney"
"MarcACaputo",1,"RepRooney"
"marcorubio",1,"RepRooney"
"marjoriesba",1,"RepRooney"
"MEAIndia",1,"RepRooney"
"mercedesschlapp",1,"RepRooney"
