"Hashtag","Frequency","screen_name"
"PA06",385,"RepRyanCostello"
"veterans",25,"RepRyanCostello"
"VeteransDay",16,"RepRyanCostello"
"LWCF",13,"RepRyanCostello"
"PreAM15",11,"RepRyanCostello"
"Cures2015",9,"RepRyanCostello"
"FlyEaglesFly",9,"RepRyanCostello"
"MemorialDay",9,"RepRyanCostello"
"PreAM16",9,"RepRyanCostello"
"CuresAct",7,"RepRyanCostello"
"OnThisDay",7,"RepRyanCostello"
"KeystoneXL",6,"RepRyanCostello"
"SOTU",6,"RepRyanCostello"
"SubDCCP",6,"RepRyanCostello"
"Ursinus",6,"RepRyanCostello"
"HR2",5,"RepRyanCostello"
"HR5",5,"RepRyanCostello"
"tbt",5,"RepRyanCostello"
"CAC2015",4,"RepRyanCostello"
"climate",4,"RepRyanCostello"
"FindYourPark",4,"RepRyanCostello"
"NationalNightOut",4,"RepRyanCostello"
"NDAA",4,"RepRyanCostello"
"NeverForget",4,"RepRyanCostello"
"PA",4,"RepRyanCostello"
"PopeInDC",4,"RepRyanCostello"
"SEPTA",4,"RepRyanCostello"
"SubOversight",4,"RepRyanCostello"
"VAaccountability",4,"RepRyanCostello"
"ADA25",3,"RepRyanCostello"
"ArmedForcesDay",3,"RepRyanCostello"
"BGOVData",3,"RepRyanCostello"
"bipartisan",3,"RepRyanCostello"
"CHIP",3,"RepRyanCostello"
"ClayHuntSAVAct",3,"RepRyanCostello"
"climatechange",3,"RepRyanCostello"
"ClimateRes",3,"RepRyanCostello"
"ConstitutionDay",3,"RepRyanCostello"
"CuresNow",3,"RepRyanCostello"
"DRBCA",3,"RepRyanCostello"
"Eagles",3,"RepRyanCostello"
"FF",3,"RepRyanCostello"
"GOPFuture",3,"RepRyanCostello"
"HR1038",3,"RepRyanCostello"
"jobs",3,"RepRyanCostello"
"July4th",3,"RepRyanCostello"
"MedDeviceTax",3,"RepRyanCostello"
"MedicareAdvantage",3,"RepRyanCostello"
"MilitaryAppreciationMonth",3,"RepRyanCostello"
"MLKDay",3,"RepRyanCostello"
"NationalTrailsDay",3,"RepRyanCostello"
"opioidcrisis",3,"RepRyanCostello"
"PA6",3,"RepRyanCostello"
"Pennsylvania",3,"RepRyanCostello"
"PRRIA",3,"RepRyanCostello"
"PTC",3,"RepRyanCostello"
"smallbiz",3,"RepRyanCostello"
"STEM",3,"RepRyanCostello"
"TBT",3,"RepRyanCostello"
"TimeToBuild",3,"RepRyanCostello"
"Veterans",3,"RepRyanCostello"
