"Mention","Frequency","screen_name"
"OnSmallBiz",50,"RepSamGraves"
"RepRichardHanna",47,"RepSamGraves"
"NFIB",46,"RepSamGraves"
"WSJ",44,"RepSamGraves"
"RepChrisCollins",42,"RepSamGraves"
"thehill",38,"RepSamGraves"
"SpeakerBoehner",31,"RepSamGraves"
"RepTipton",30,"RepSamGraves"
"USChamber",24,"RepSamGraves"
"RepDavid",23,"RepSamGraves"
"washingtonpost",23,"RepSamGraves"
"RepTomRice",22,"RepSamGraves"
"CNBC",21,"RepSamGraves"
"fbsmallbiz",20,"RepSamGraves"
"SBAgov",20,"RepSamGraves"
"SmallBizGOP",20,"RepSamGraves"
"NSBAAdvocate",18,"RepSamGraves"
"POTUS",18,"RepSamGraves"
"nytimes",16,"RepSamGraves"
"CongHuelskamp",15,"RepSamGraves"
"GOPLeader",14,"RepSamGraves"
"HouseCommerce",14,"RepSamGraves"
"HouseGOP",12,"RepSamGraves"
"politico",12,"RepSamGraves"
"FCC",11,"RepSamGraves"
"FoxBusiness",11,"RepSamGraves"
"RepSteveChabot",11,"RepSamGraves"
"Transport",11,"RepSamGraves"
"AP",10,"RepSamGraves"
"CNNMoney",10,"RepSamGraves"
"Franchising411",10,"RepSamGraves"
"Forbes",9,"RepSamGraves"
"AFLCIO",8,"RepSamGraves"
"EPA",8,"RepSamGraves"
"NRFnews",8,"RepSamGraves"
"simplertaxes",8,"RepSamGraves"
"WaysandMeansGOP",8,"RepSamGraves"
"ShopFloorNAM",7,"RepSamGraves"
"SmallBizOnHill",7,"RepSamGraves"
"WashTimes",7,"RepSamGraves"
"3PLAssociation",6,"RepSamGraves"
"CFPB",6,"RepSamGraves"
"FreeEnterprise",6,"RepSamGraves"
"Inc",6,"RepSamGraves"
"jd_harrison",6,"RepSamGraves"
"OOIDA",6,"RepSamGraves"
"RebellionPhoton",6,"RepSamGraves"
"rollcall",6,"RepSamGraves"
"smallbiztrends",6,"RepSamGraves"
"TRUCKINGdotORG",6,"RepSamGraves"
"USATODAY",6,"RepSamGraves"
"AAF",5,"RepSamGraves"
"AdvocacySBA",5,"RepSamGraves"
"BW",5,"RepSamGraves"
"EntMagazine",5,"RepSamGraves"
"GOPConference",5,"RepSamGraves"
"HarvardHBS",5,"RepSamGraves"
"latimes",5,"RepSamGraves"
"MichaelEPorter",5,"RepSamGraves"
"NYFarmBureau",5,"RepSamGraves"
"RepFredUpton",5,"RepSamGraves"
"RepHartzler",5,"RepSamGraves"
"RepJasonSmith",5,"RepSamGraves"
"Sebelius",5,"RepSamGraves"
"TheEconomist",5,"RepSamGraves"
"theobserver",5,"RepSamGraves"
"WhiteHouse",5,"RepSamGraves"
"Chobani",4,"RepSamGraves"
"CrowdCapAdvisor",4,"RepSamGraves"
"DarrellIssa",4,"RepSamGraves"
"dcexaminer",4,"RepSamGraves"
"EdWorkforce",4,"RepSamGraves"
"fundrise",4,"RepSamGraves"
"GallupNews",4,"RepSamGraves"
"GovExec",4,"RepSamGraves"
"Indiegogo",4,"RepSamGraves"
"KCSV",4,"RepSamGraves"
"McConnellPress",4,"RepSamGraves"
"NBAA",4,"RepSamGraves"
"nytimesbusiness",4,"RepSamGraves"
"olloclip",4,"RepSamGraves"
"RepKerryB",4,"RepSamGraves"
"SamuelAdamsBeer",4,"RepSamGraves"
"SBECouncil",4,"RepSamGraves"
"shapeways",4,"RepSamGraves"
"USRepLong",4,"RepSamGraves"
"1000tools",3,"RepSamGraves"
"ABCNational",3,"RepSamGraves"
"AccountingToday",3,"RepSamGraves"
"AEA_aero",3,"RepSamGraves"
"binghamtonu",3,"RepSamGraves"
"BUManagement",3,"RepSamGraves"
"businessweek",3,"RepSamGraves"
"cathymcmorris",3,"RepSamGraves"
"coinbase",3,"RepSamGraves"
"EEPublishing",3,"RepSamGraves"
"FreeBeacon",3,"RepSamGraves"
"gabriellekarol",3,"RepSamGraves"
"HerreraBeutler",3,"RepSamGraves"
"IBDinvestors",3,"RepSamGraves"
"LEETERRYNE",3,"RepSamGraves"
"NASEtweets",3,"RepSamGraves"
"RepAnnWagner",3,"RepSamGraves"
"RepBillJohnson",3,"RepSamGraves"
"RepMikeCoffman",3,"RepSamGraves"
"RepReneeEllmers",3,"RepSamGraves"
"Reuters",3,"RepSamGraves"
"ROYALAIRCRAFT",3,"RepSamGraves"
"RoyBlunt",3,"RepSamGraves"
"SensibleRegs",3,"RepSamGraves"
"Stratasys",3,"RepSamGraves"
"USGAO",3,"RepSamGraves"
"usnews",3,"RepSamGraves"
"WSJSmallbiz",3,"RepSamGraves"
"139AW",2,"RepSamGraves"
"AmericanLegion",2,"RepSamGraves"
"AOPAOnline",2,"RepSamGraves"
"Ascensionair",2,"RepSamGraves"
"AssociatedPress",2,"RepSamGraves"
"auerswald",2,"RepSamGraves"
"bearcatsports",2,"RepSamGraves"
"BGOV",2,"RepSamGraves"
"BigBellySolar",2,"RepSamGraves"
"BmtEnterprise",2,"RepSamGraves"
"BNDarticles",2,"RepSamGraves"
"CapitalOneSpark",2,"RepSamGraves"
"CatClifford",2,"RepSamGraves"
"CBSNews",2,"RepSamGraves"
"CCJnow",2,"RepSamGraves"
"CEA",2,"RepSamGraves"
"CNBCcom",2,"RepSamGraves"
"cont3nt",2,"RepSamGraves"
"cspan",2,"RepSamGraves"
"DesJarlaisTN04",2,"RepSamGraves"
"detroitnews",2,"RepSamGraves"
"digitalarun",2,"RepSamGraves"
"DrPhilRoe",2,"RepSamGraves"
"FAANews",2,"RepSamGraves"
"FarmBureau",2,"RepSamGraves"
"FoxNews",2,"RepSamGraves"
"FreeFlightSys",2,"RepSamGraves"
"GeorgeHWBush",2,"RepSamGraves"
"GoldmanSachs",2,"RepSamGraves"
"GovernorVA",2,"RepSamGraves"
"gretawire",2,"RepSamGraves"
"HASCRepublicans",2,"RepSamGraves"
"Heritage",2,"RepSamGraves"
"highwayusers",2,"RepSamGraves"
"HistoryInPics",2,"RepSamGraves"
"HouseVetAffairs",2,"RepSamGraves"
"HuffingtonPost",2,"RepSamGraves"
"JeanCard",2,"RepSamGraves"
"jerrybrito",2,"RepSamGraves"
"JimPethokoukis",2,"RepSamGraves"
"JOC_Updates",2,"RepSamGraves"
"jpmorgan",2,"RepSamGraves"
"kwingfieldajc",2,"RepSamGraves"
"librarycongress",2,"RepSamGraves"
"Listrak",2,"RepSamGraves"
"MarshaBlackburn",2,"RepSamGraves"
"mercatus",2,"RepSamGraves"
"MilitaryTimes",2,"RepSamGraves"
"MilkenInstitute",2,"RepSamGraves"
"MissouriTimes",2,"RepSamGraves"
"Morning_Joe",2,"RepSamGraves"
"msbgu",2,"RepSamGraves"
"nahudotorg",2,"RepSamGraves"
"nationaljournal",2,"RepSamGraves"
