"Hashtag","Frequency","screen_name"
"sctweets",98,"RepSanfordSC"
"scpol",49,"RepSanfordSC"
"SC01",47,"RepSanfordSC"
"PennyPlan",34,"RepSanfordSC"
"nationaldebt",32,"RepSanfordSC"
"chsnews",24,"RepSanfordSC"
"HurricaneMatthew",17,"RepSanfordSC"
"Matthew",17,"RepSanfordSC"
"NationalDebt",11,"RepSanfordSC"
"BalanceTheBudget",9,"RepSanfordSC"
"scgop",9,"RepSanfordSC"
"tcot",9,"RepSanfordSC"
"FixTheDebt",8,"RepSanfordSC"
"Irma",8,"RepSanfordSC"
"sc01",7,"RepSanfordSC"
"SOTU",7,"RepSanfordSC"
"Gitmo",6,"RepSanfordSC"
"ProtectOurCoast",6,"RepSanfordSC"
"WalterScott",6,"RepSanfordSC"
"ACA",5,"RepSanfordSC"
"DontDrillSC",5,"RepSanfordSC"
"Hermine",5,"RepSanfordSC"
"Obamacare",5,"RepSanfordSC"
"ReleaseTheMemo",5,"RepSanfordSC"
"scnews",5,"RepSanfordSC"
"IranDeal",4,"RepSanfordSC"
"Beaufort",3,"RepSanfordSC"
"Charleston",3,"RepSanfordSC"
"CharlestonStrong",3,"RepSanfordSC"
"Congress",3,"RepSanfordSC"
"cwc114",3,"RepSanfordSC"
"EmailPrivacyAct",3,"RepSanfordSC"
"NAFTA",3,"RepSanfordSC"
"NeverForget",3,"RepSanfordSC"
"Olympics",3,"RepSanfordSC"
"TaxReform",3,"RepSanfordSC"
"WorldOceansDay",3,"RepSanfordSC"
"AHCA",2,"RepSanfordSC"
"ALLIN",2,"RepSanfordSC"
"BlufftonToday",2,"RepSanfordSC"
"debatenight",2,"RepSanfordSC"
"ff",2,"RepSanfordSC"
"GOP",2,"RepSanfordSC"
"GOPDebate",2,"RepSanfordSC"
"Inauguration",2,"RepSanfordSC"
"IndependenceDay",2,"RepSanfordSC"
"lawnmowerguy",2,"RepSanfordSC"
"MemorialMilitia",2,"RepSanfordSC"
"MondayMorning",2,"RepSanfordSC"
"OnThisDay",2,"RepSanfordSC"
"Rio2016",2,"RepSanfordSC"
"sc1",2,"RepSanfordSC"
"SCFlood",2,"RepSanfordSC"
"SCTweets",2,"RepSanfordSC"
"SCWX",2,"RepSanfordSC"
"spellingbee",2,"RepSanfordSC"
"SpellingBee",2,"RepSanfordSC"
"StartupDay",2,"RepSanfordSC"
"TaxDay",2,"RepSanfordSC"
"turkeyanda20",2,"RepSanfordSC"
"VeteransDay",2,"RepSanfordSC"
"WalkforWater",2,"RepSanfordSC"
"2016In4Words",1,"RepSanfordSC"
"242NavyBday",1,"RepSanfordSC"
"2A",1,"RepSanfordSC"
"43turns70",1,"RepSanfordSC"
"ABCCGA",1,"RepSanfordSC"
"ACCaugust",1,"RepSanfordSC"
"ACURatings",1,"RepSanfordSC"
"Alabama",1,"RepSanfordSC"
"Alaska",1,"RepSanfordSC"
"archivespotluck",1,"RepSanfordSC"
"ArmyBDay",1,"RepSanfordSC"
"backwards",1,"RepSanfordSC"
"BatonRouge",1,"RepSanfordSC"
"BCDCOG",1,"RepSanfordSC"
"Benghazi",1,"RepSanfordSC"
"BigFailFriday",1,"RepSanfordSC"
"blueandwhite",1,"RepSanfordSC"
"BlufftonGOP",1,"RepSanfordSC"
"Boeing100",1,"RepSanfordSC"
"BorderAdjustment",1,"RepSanfordSC"
"BostonTeaParty",1,"RepSanfordSC"
"budget",1,"RepSanfordSC"
"Budget",1,"RepSanfordSC"
"Budget2015",1,"RepSanfordSC"
"BudgetDeal",1,"RepSanfordSC"
"CapitolHill",1,"RepSanfordSC"
"CarolinaDay",1,"RepSanfordSC"
"CCF2016",1,"RepSanfordSC"
"ccf2106",1,"RepSanfordSC"
"CCUinOMAHA",1,"RepSanfordSC"
"Challenger",1,"RepSanfordSC"
"ChamberConnect",1,"RepSanfordSC"
"charlestonstrong",1,"RepSanfordSC"
"charterschool",1,"RepSanfordSC"
"Christmas",1,"RepSanfordSC"
"chs",1,"RepSanfordSC"
"chswx",1,"RepSanfordSC"
"civility",1,"RepSanfordSC"
"ClemsonVisitsDC",1,"RepSanfordSC"
"CNNHeroes",1,"RepSanfordSC"
"CNNSOTU",1,"RepSanfordSC"
"ComeyFiring",1,"RepSanfordSC"
"ComeyHearing",1,"RepSanfordSC"
"ConAcad16",1,"RepSanfordSC"
"ConfederateFlag",1,"RepSanfordSC"
"ConstitutionDay",1,"RepSanfordSC"
"ConstitutionDay2016",1,"RepSanfordSC"
"CPAC2015",1,"RepSanfordSC"
"creditunions",1,"RepSanfordSC"
"Cuba",1,"RepSanfordSC"
"CUNAGAC",1,"RepSanfordSC"
"CWS",1,"RepSanfordSC"
"CWSFinals",1,"RepSanfordSC"
"Dallas",1,"RepSanfordSC"
"dayofthedeployed",1,"RepSanfordSC"
"DayoftheDeployed",1,"RepSanfordSC"
"DDay",1,"RepSanfordSC"
"DebateNight",1,"RepSanfordSC"
"debtdeficit",1,"RepSanfordSC"
"DefenderOfEconomicFreedom",1,"RepSanfordSC"
"deficit",1,"RepSanfordSC"
"Democrats",1,"RepSanfordSC"
"DoddFrank",1,"RepSanfordSC"
"DrainTheSwamp",1,"RepSanfordSC"
"duckrace",1,"RepSanfordSC"
"EagleScout",1,"RepSanfordSC"
"election2014",1,"RepSanfordSC"
"ElectionDay",1,"RepSanfordSC"
"ElectionNight",1,"RepSanfordSC"
"Emanuel9",1,"RepSanfordSC"
"ethanol",1,"RepSanfordSC"
"fairfun",1,"RepSanfordSC"
"FAIRtax",1,"RepSanfordSC"
"FarmBill",1,"RepSanfordSC"
"FathersDay",1,"RepSanfordSC"
"FF",1,"RepSanfordSC"
"FightOn",1,"RepSanfordSC"
"finalfourbound",1,"RepSanfordSC"
"FISA702",1,"RepSanfordSC"
"FiscalHero",1,"RepSanfordSC"
"fixthedebt",1,"RepSanfordSC"
"FixtheDebt",1,"RepSanfordSC"
"FlagDay",1,"RepSanfordSC"
"FlashbackFriday",1,"RepSanfordSC"
"FlintWaterCrisis",1,"RepSanfordSC"
"Flowertown",1,"RepSanfordSC"
"FortuneCookieDay",1,"RepSanfordSC"
"freedom",1,"RepSanfordSC"
"FreedomFighter",1,"RepSanfordSC"
"freedomofthepress",1,"RepSanfordSC"
"FridayThe13th",1,"RepSanfordSC"
"FriendoftheCoast",1,"RepSanfordSC"
"FY18NDAA",1,"RepSanfordSC"
"Gamecocks",1,"RepSanfordSC"
"gawx",1,"RepSanfordSC"
"GetAWarrant",1,"RepSanfordSC"
"GlobalRunningDay",1,"RepSanfordSC"
"GodsLove",1,"RepSanfordSC"
"gogamecocks",1,"RepSanfordSC"
"goodeating",1,"RepSanfordSC"
"Gorsuch",1,"RepSanfordSC"
"GoTigers",1,"RepSanfordSC"
"Grayson",1,"RepSanfordSC"
"HappeningNow",1,"RepSanfordSC"
"HappyBirthdayChaplains",1,"RepSanfordSC"
"hdstorewalk",1,"RepSanfordSC"
"healthcare",1,"RepSanfordSC"
"HiltonHead",1,"RepSanfordSC"
"HiltonHeadSC",1,"RepSanfordSC"
"HolidayForHeroes",1,"RepSanfordSC"
"HolidaysforHeroes",1,"RepSanfordSC"
"HolocaustRemembranceDay",1,"RepSanfordSC"
"housebudget",1,"RepSanfordSC"
"hr27",1,"RepSanfordSC"
"HR789",1,"RepSanfordSC"
"HUDSecretary",1,"RepSanfordSC"
"hunt",1,"RepSanfordSC"
"HurricaineIrma",1,"RepSanfordSC"
"hurricane",1,"RepSanfordSC"
"HurricanePrep",1,"RepSanfordSC"
"HurricaneSeason",1,"RepSanfordSC"
"I",1,"RepSanfordSC"
"imaginewhatspossible",1,"RepSanfordSC"
"InaugurationDay",1,"RepSanfordSC"
"infrastructure",1,"RepSanfordSC"
"Infrastructure",1,"RepSanfordSC"
"InvestInKids",1,"RepSanfordSC"
"Iran",1,"RepSanfordSC"
"IRSfail",1,"RepSanfordSC"
"IThinkItsOnlyFair",1,"RepSanfordSC"
"JerseyShore",1,"RepSanfordSC"
"Julia",1,"RepSanfordSC"
"KeystoneXL",1,"RepSanfordSC"
"LawEnforcementAppreciationDay",1,"RepSanfordSC"
"LiftTheLowcountry",1,"RepSanfordSC"
"LoveGave",1,"RepSanfordSC"
"LowCountry",1,"RepSanfordSC"
"lowcountryunite",1,"RepSanfordSC"
"MarchForLife",1,"RepSanfordSC"
"marksman",1,"RepSanfordSC"
"Maverick",1,"RepSanfordSC"
"MemorialDay",1,"RepSanfordSC"
"MilitaryMonday",1,"RepSanfordSC"
"MOAA",1,"RepSanfordSC"
"Monday",1,"RepSanfordSC"
"mondaymotivation",1,"RepSanfordSC"
"MondayMotivation",1,"RepSanfordSC"
"MTPDaily",1,"RepSanfordSC"
"NAFTAWorks",1,"RepSanfordSC"
"NARLegislative",1,"RepSanfordSC"
"NationalChamps",1,"RepSanfordSC"
"NationalDogDay",1,"RepSanfordSC"
"NationalHotDogDay",1,"RepSanfordSC"
"NationalShrimpDay",1,"RepSanfordSC"
"NationalSigningDay",1,"RepSanfordSC"
"NDAA",1,"RepSanfordSC"
"nfib_sc",1,"RepSanfordSC"
"NFIB_SC",1,"RepSanfordSC"
"NPS100",1,"RepSanfordSC"
"ObamaCare",1,"RepSanfordSC"
"ObamaCareLite",1,"RepSanfordSC"
"offshore",1,"RepSanfordSC"
"Oklahoma",1,"RepSanfordSC"
"OlympicGames",1,"RepSanfordSC"
"OutsidewithInsiders",1,"RepSanfordSC"
"OutsideWithInsiders",1,"RepSanfordSC"
"PearlHarborRemembranceDay",1,"RepSanfordSC"
"PhotosoftheWeek",1,"RepSanfordSC"
"police",1,"RepSanfordSC"
"press",1,"RepSanfordSC"
"ProGrowth",1,"RepSanfordSC"
"Pulitzer",1,"RepSanfordSC"
"PulseShooting",1,"RepSanfordSC"
"quackyforcharleston",1,"RepSanfordSC"
"rcdar",1,"RepSanfordSC"
"ReadAcrossAmerica",1,"RepSanfordSC"
"REALID",1,"RepSanfordSC"
"RepealAndReplace",1,"RepSanfordSC"
"Rio2106",1,"RepSanfordSC"
"SamLegScholars",1,"RepSanfordSC"
"SC",1,"RepSanfordSC"
"scdcday",1,"RepSanfordSC"
"scflood",1,"RepSanfordSC"
"SCOpen4Biz",1,"RepSanfordSC"
"Scorecard2015",1,"RepSanfordSC"
"SCPOL",1,"RepSanfordSC"
"sctweet",1,"RepSanfordSC"
"scwx",1,"RepSanfordSC"
"SECDEF",1,"RepSanfordSC"
"seflood",1,"RepSanfordSC"
"September11",1,"RepSanfordSC"
"SignTheBoard",1,"RepSanfordSC"
"smallbiz",1,"RepSanfordSC"
"smallbusiness",1,"RepSanfordSC"
"SouthCarolina",1,"RepSanfordSC"
"SouthernHospitality",1,"RepSanfordSC"
"speaknowforkids",1,"RepSanfordSC"
"SpeakNowforKids",1,"RepSanfordSC"
"speller214",1,"RepSanfordSC"
"speller237",1,"RepSanfordSC"
"StandForOceans",1,"RepSanfordSC"
"StopTheDrill",1,"RepSanfordSC"
"Storming2016",1,"RepSanfordSC"
"sunsetthetaxcode",1,"RepSanfordSC"
"SunsetTheTaxCode",1,"RepSanfordSC"
"sville",1,"RepSanfordSC"
"SyrianRefugees",1,"RepSanfordSC"
