"Mention","Frequency","screen_name"
"RepStefanik",317,"RepStefanik"
"WDTnews",124,"RepStefanik"
"drum10thmtn",53,"RepStefanik"
"HASCRepublicans",48,"RepStefanik"
"poststar",47,"RepStefanik"
"Medium",41,"RepStefanik"
"SunCmtyNews",29,"RepStefanik"
"pressrepublican",28,"RepStefanik"
"HouseGOP",24,"RepStefanik"
"uscapitol",23,"RepStefanik"
"CongressionalAC",22,"RepStefanik"
"GOPpolicy",21,"RepStefanik"
"RepJohnKatko",21,"RepStefanik"
"RobertHarding",21,"RepStefanik"
"POTUS",18,"RepStefanik"
"EdWorkforce",17,"RepStefanik"
"SUNYCantonNews",16,"RepStefanik"
"ncpr",14,"RepStefanik"
"NorskTitanium",13,"RepStefanik"
"pmdemola",13,"RepStefanik"
"RepBonamici",13,"RepStefanik"
"sunypotsdam1816",13,"RepStefanik"
"LadiesGOP",12,"RepStefanik"
"RepChrisGibson",12,"RepStefanik"
"RepMcSally",12,"RepStefanik"
"USArmy",12,"RepStefanik"
"ClarksonUniv",11,"RepStefanik"
"cspan",11,"RepStefanik"
"NCountryChamber",11,"RepStefanik"
"SaratogianNews",11,"RepStefanik"
"RepMimiWalters",10,"RepStefanik"
"savetheriver",10,"RepStefanik"
"sunyjefferson",10,"RepStefanik"
"WhiteHouse",10,"RepStefanik"
"BookTV",9,"RepStefanik"
"CapitalTonight",9,"RepStefanik"
"Denpubs",9,"RepStefanik"
"NYGovCuomo",9,"RepStefanik"
"SpeakerRyan",9,"RepStefanik"
"TeamUSA",9,"RepStefanik"
"TWCNewsCNY",9,"RepStefanik"
"AdkEnterprise",8,"RepStefanik"
"mazdzer",8,"RepStefanik"
"ps_politics",8,"RepStefanik"
"RepDold",8,"RepStefanik"
"thehill",8,"RepStefanik"
"7NewsFox28",7,"RepStefanik"
"itsgblock",7,"RepStefanik"
"MacTXPress",7,"RepStefanik"
"Morning_Joe",7,"RepStefanik"
"NIH",7,"RepStefanik"
"RepCurbelo",7,"RepStefanik"
"RepRichardHanna",7,"RepStefanik"
"SecretarySonny",7,"RepStefanik"
"SUNY",7,"RepStefanik"
"USDA",7,"RepStefanik"
"WTEN",7,"RepStefanik"
"ccecornell",6,"RepStefanik"
"FreeBeacon",6,"RepStefanik"
"Google",6,"RepStefanik"
"HouseIntelComm",6,"RepStefanik"
"RepComstock",6,"RepStefanik"
"RepLukeMesser",6,"RepStefanik"
"RepPeteOlson",6,"RepStefanik"
"RepScottPeters",6,"RepStefanik"
"SenGillibrand",6,"RepStefanik"
"shmdnow",6,"RepStefanik"
"WVNYWFFF",6,"RepStefanik"
"BSCSD",5,"RepStefanik"
"CarthageHosp",5,"RepStefanik"
"ClintonSUNY",5,"RepStefanik"
"facebook",5,"RepStefanik"
"fema",5,"RepStefanik"
"GWTWgolfer",5,"RepStefanik"
"HarvardIOP",5,"RepStefanik"
"HydeCollection",5,"RepStefanik"
"KingsDairy",5,"RepStefanik"
"MainStreetSarah",5,"RepStefanik"
"MilitaryOfficer",5,"RepStefanik"
"MountainLakePBS",5,"RepStefanik"
"NMSNetwork",5,"RepStefanik"
"northcountrynow",5,"RepStefanik"
"NYFarmBureau",5,"RepStefanik"
"nyspolice",5,"RepStefanik"
"PeterWelch",5,"RepStefanik"
"PwC_LLP",5,"RepStefanik"
"RepChrisCollins",5,"RepStefanik"
"RepErikPaulsen",5,"RepStefanik"
"RepGraceMeng",5,"RepStefanik"
"RepLeeZeldin",5,"RepStefanik"
"RepRyanCostello",5,"RepStefanik"
"RosLehtinen",5,"RepStefanik"
"StLawrenceU",5,"RepStefanik"
"SusanWBrooks",5,"RepStefanik"
"timesunion",5,"RepStefanik"
"Uber",5,"RepStefanik"
"USChamber",5,"RepStefanik"
"usedgov",5,"RepStefanik"
"USMC",5,"RepStefanik"
"wcax",5,"RepStefanik"
"CBS6Albany",4,"RepStefanik"
"CleanTechECHS",4,"RepStefanik"
"danstec",4,"RepStefanik"
"dcexaminer",4,"RepStefanik"
"EPA",4,"RepStefanik"
"FortTiconderoga",4,"RepStefanik"
"FoxNews",4,"RepStefanik"
"HouseVetAffairs",4,"RepStefanik"
"HurdOnTheHill",4,"RepStefanik"
"JECRepublicans",4,"RepStefanik"
"JimLangevin",4,"RepStefanik"
"leanne_miller",4,"RepStefanik"
"louiseslaughter",4,"RepStefanik"
"MichaelSCashman",4,"RepStefanik"
