"Hashtag","Frequency","screen_name"
"4jobs",90,"RepSteveChabot"
"ThrowbackThursday",87,"RepSteveChabot"
"TBT",45,"RepSteveChabot"
"smallbiz",36,"RepSteveChabot"
"Cincinnati",35,"RepSteveChabot"
"Obamacare",34,"RepSteveChabot"
"tcot",29,"RepSteveChabot"
"tbt",28,"RepSteveChabot"
"OpeningDay",25,"RepSteveChabot"
"OH01",23,"RepSteveChabot"
"GOP",21,"RepSteveChabot"
"pjnet",20,"RepSteveChabot"
"SOTU",18,"RepSteveChabot"
"BetterWay",17,"RepSteveChabot"
"SmallBiz",17,"RepSteveChabot"
"jobs",15,"RepSteveChabot"
"RedsOpeningDay",15,"RepSteveChabot"
"Cincy",14,"RepSteveChabot"
"GirlsCount",14,"RepSteveChabot"
"HR2408",14,"RepSteveChabot"
"FF",12,"RepSteveChabot"
"Thanksgiving",12,"RepSteveChabot"
"LancersRollDeep",11,"RepSteveChabot"
"OnThisDay",11,"RepSteveChabot"
"PJNET",11,"RepSteveChabot"
"SmallBusiness",11,"RepSteveChabot"
"Waste",11,"RepSteveChabot"
"CutSpending",10,"RepSteveChabot"
"KeystoneXL",10,"RepSteveChabot"
"Ohio",10,"RepSteveChabot"
"USA",10,"RepSteveChabot"
"VeteransDay",10,"RepSteveChabot"
"Christmas",9,"RepSteveChabot"
"SCOTUS",9,"RepSteveChabot"
"Support2408",9,"RepSteveChabot"
"teacheverygirl",9,"RepSteveChabot"
"startup",8,"RepSteveChabot"
"startupcincy",8,"RepSteveChabot"
"ACA",7,"RepSteveChabot"
"ChristmasMemories",7,"RepSteveChabot"
"economy",7,"RepSteveChabot"
"LRD",7,"RepSteveChabot"
"oh01",7,"RepSteveChabot"
"PITFA",7,"RepSteveChabot"
"Reds",7,"RepSteveChabot"
"cincyfb",6,"RepSteveChabot"
"ConfidentAmerica",6,"RepSteveChabot"
"cutcapbalance",6,"RepSteveChabot"
"HonorFlight",6,"RepSteveChabot"
"Israel",6,"RepSteveChabot"
"Obama",6,"RepSteveChabot"
"ObamaCare",6,"RepSteveChabot"
"SBW2015",6,"RepSteveChabot"
"SOT",6,"RepSteveChabot"
"StoriesFromOhio",6,"RepSteveChabot"
"TaxReform",6,"RepSteveChabot"
"Benghazi",5,"RepSteveChabot"
"CCB",5,"RepSteveChabot"
"DidYouKnow",5,"RepSteveChabot"
"ICYMI",5,"RepSteveChabot"
"SenateMustAct",5,"RepSteveChabot"
"smallbusiness",5,"RepSteveChabot"
"Syria",5,"RepSteveChabot"
"WhyWeMarch",5,"RepSteveChabot"
"AmericasNewCongress",4,"RepSteveChabot"
"BBA",4,"RepSteveChabot"
"DeltaQueen",4,"RepSteveChabot"
"growth",4,"RepSteveChabot"
"House",4,"RepSteveChabot"
"innovation",4,"RepSteveChabot"
"InnovationAct",4,"RepSteveChabot"
"IranDeal",4,"RepSteveChabot"
"IRS",4,"RepSteveChabot"
"MemorialDay",4,"RepSteveChabot"
"reds",4,"RepSteveChabot"
"Smallbiz",4,"RepSteveChabot"
"startups",4,"RepSteveChabot"
"SupportHR2408",4,"RepSteveChabot"
"tech",4,"RepSteveChabot"
"trainwreck",4,"RepSteveChabot"
