"Mention","Frequency","screen_name"
"Reds",38,"RepSteveChabot"
"SmallBizGOP",30,"RepSteveChabot"
"SpeakerBoehner",30,"RepSteveChabot"
"HouseSmallBiz",21,"RepSteveChabot"
"LaSallePride",21,"RepSteveChabot"
"HouseForeign",15,"RepSteveChabot"
"HouseJudiciary",12,"RepSteveChabot"
"brandery",11,"RepSteveChabot"
"Enquirer",11,"RepSteveChabot"
"HFACrepublicans",11,"RepSteveChabot"
"HouseGOP",10,"RepSteveChabot"
"PrezOno",9,"RepSteveChabot"
"repjoecrowley",9,"RepSteveChabot"
"williamandmary",9,"RepSteveChabot"
"55KRC",8,"RepSteveChabot"
"700wlw",8,"RepSteveChabot"
"BoroChamber",8,"RepSteveChabot"
"SBAgov",8,"RepSteveChabot"
"uofcincy",8,"RepSteveChabot"
"CincyChildrens",7,"RepSteveChabot"
"RepBradWenstrup",7,"RepSteveChabot"
"RepSteveChabot",7,"RepSteveChabot"
"SpeakerRyan",7,"RepSteveChabot"
"thehill",7,"RepSteveChabot"
"AndyCinciBiz",6,"RepSteveChabot"
"MSNBCYourBiz",6,"RepSteveChabot"
"BusinessCourier",5,"RepSteveChabot"
"cathymcmorris",5,"RepSteveChabot"
"cintrifuse",5,"RepSteveChabot"
"FOX19",5,"RepSteveChabot"
"POTUS",5,"RepSteveChabot"
"StateDept",5,"RepSteveChabot"
"Transport",5,"RepSteveChabot"
"WCPO",5,"RepSteveChabot"
"Bengals",4,"RepSteveChabot"
"brianthomas1",4,"RepSteveChabot"
"Cincy_Tech",4,"RepSteveChabot"
"CincyChamber",4,"RepSteveChabot"
"CNN",4,"RepSteveChabot"
"cspan",4,"RepSteveChabot"
"FreeEnterprise",4,"RepSteveChabot"
"GirlUp",4,"RepSteveChabot"
"MMHBobcats1",4,"RepSteveChabot"
"nytimes",4,"RepSteveChabot"
"realDonaldTrump",4,"RepSteveChabot"
"RepBobGibbs",4,"RepSteveChabot"
"RepSteveStivers",4,"RepSteveChabot"
"RosLehtinen",4,"RepSteveChabot"
"uscapitol",4,"RepSteveChabot"
"boblatta",3,"RepSteveChabot"
"cincybuilders",3,"RepSteveChabot"
"DarrellIssa",3,"RepSteveChabot"
