"Hashtag","Frequency","screen_name"
"VA05",111,"RepTomGarrett"
"TaxReform",19,"RepTomGarrett"
"TaxCutsandJobsAct",16,"RepTomGarrett"
"IranProtests",14,"RepTomGarrett"
"SchumerShutdown",13,"RepTomGarrett"
"TownHall",13,"RepTomGarrett"
"CHIP",11,"RepTomGarrett"
"10reasonstostand",10,"RepTomGarrett"
"bipartisan",10,"RepTomGarrett"
"Charlottesville",10,"RepTomGarrett"
"Marijuana",9,"RepTomGarrett"
"FreeIran",8,"RepTomGarrett"
"HR1227",8,"RepTomGarrett"
"StudentSecurityAct",8,"RepTomGarrett"
"HistoricTaxCredit",7,"RepTomGarrett"
"HumanRights",7,"RepTomGarrett"
"RepealObamacare",7,"RepTomGarrett"
"marijuana",6,"RepTomGarrett"
"studentloan",6,"RepTomGarrett"
"FISA",5,"RepTomGarrett"
"FISA702",5,"RepTomGarrett"
"IranianProtests",5,"RepTomGarrett"
"MemoDay",5,"RepTomGarrett"
"SaveCHIP",5,"RepTomGarrett"
"seniors",5,"RepTomGarrett"
"taxreform",5,"RepTomGarrett"
"healthcare",4,"RepTomGarrett"
"Iran",4,"RepTomGarrett"
"NorthKorea",4,"RepTomGarrett"
"opportunity",4,"RepTomGarrett"
"SmallBusiness",4,"RepTomGarrett"
"Sudan",4,"RepTomGarrett"
"Virginia",4,"RepTomGarrett"
"cannabis",3,"RepTomGarrett"
"Constitution",3,"RepTomGarrett"
"DACA",3,"RepTomGarrett"
"DRC",3,"RepTomGarrett"
"freedom",3,"RepTomGarrett"
"FullRepeal",3,"RepTomGarrett"
"HoosRising",3,"RepTomGarrett"
"IranDeal",3,"RepTomGarrett"
"Irma",3,"RepTomGarrett"
"NationalPoliceWeek",3,"RepTomGarrett"
"ReleaseTheMemo",3,"RepTomGarrett"
"SCOTUS",3,"RepTomGarrett"
"Senate",3,"RepTomGarrett"
"SOTU",3,"RepTomGarrett"
"studentloans",3,"RepTomGarrett"
