"Hashtag","Frequency","screen_name"
"Obamacare",208,"RepTomGraves"
"gapol",125,"RepTomGraves"
"4jobs",124,"RepTomGraves"
"gagop",119,"RepTomGraves"
"FreeTheDome",94,"RepTomGraves"
"GA14YLS",86,"RepTomGraves"
"DefundObamacare",48,"RepTomGraves"
"Georgia",48,"RepTomGraves"
"Obama",48,"RepTomGraves"
"jobs",42,"RepTomGraves"
"IRS",41,"RepTomGraves"
"USorUSSR",39,"RepTomGraves"
"gateaparty",32,"RepTomGraves"
"tcot",29,"RepTomGraves"
"cutcapbalance",28,"RepTomGraves"
"GA14",27,"RepTomGraves"
"welfare",26,"RepTomGraves"
"ACDC",22,"RepTomGraves"
"TaxReform",22,"RepTomGraves"
"fullrepeal",20,"RepTomGraves"
"SOTU",20,"RepTomGraves"
"TaxCutsandJobsAct",18,"RepTomGraves"
"AHCA",17,"RepTomGraves"
"NDAA",16,"RepTomGraves"
"fedgastax",15,"RepTomGraves"
"highgasprices",15,"RepTomGraves"
"House",15,"RepTomGraves"
"smallbiz",15,"RepTomGraves"
"taxes",14,"RepTomGraves"
"EPA",13,"RepTomGraves"
"StopTheTaxHike",13,"RepTomGraves"
"Chattanooga",12,"RepTomGraves"
"FF",12,"RepTomGraves"
"Holder",12,"RepTomGraves"
"KeystoneXL",12,"RepTomGraves"
"energy",11,"RepTomGraves"
"TaxReformWorks",11,"RepTomGraves"
"veterans",11,"RepTomGraves"
"budget",10,"RepTomGraves"
"Dalton",10,"RepTomGraves"
"FairTax",10,"RepTomGraves"
"GA",10,"RepTomGraves"
"Americans",9,"RepTomGraves"
"Constitution",9,"RepTomGraves"
"debt",9,"RepTomGraves"
"debtceiling",9,"RepTomGraves"
"GA14Facts",9,"RepTomGraves"
"stopthetaxhike",9,"RepTomGraves"
"SuperTuesday",9,"RepTomGraves"
"TimeToBuild",9,"RepTomGraves"
"townhall",9,"RepTomGraves"
"Congress",8,"RepTomGraves"
"CutCapBalance",8,"RepTomGraves"
"freedom",8,"RepTomGraves"
"GOP",8,"RepTomGraves"
"immigration",8,"RepTomGraves"
"Israel",8,"RepTomGraves"
"LetsTalk",8,"RepTomGraves"
"prolife",8,"RepTomGraves"
"RepealAndReplace",8,"RepTomGraves"
"VeteransDay",8,"RepTomGraves"
"AmericasNewCongress",7,"RepTomGraves"
"Benghazi",7,"RepTomGraves"
"economy",7,"RepTomGraves"
"EmailPrivacyAct",7,"RepTomGraves"
"Fannin",7,"RepTomGraves"
"NeverForget",7,"RepTomGraves"
"Obamanomics",7,"RepTomGraves"
"PauldingCounty",7,"RepTomGraves"
"Rome",7,"RepTomGraves"
"stimulus",7,"RepTomGraves"
"YouDidntBuildThat",7,"RepTomGraves"
"Atlanta",6,"RepTomGraves"
"CongressionalArtCompetition",6,"RepTomGraves"
"Connection",6,"RepTomGraves"
"County",6,"RepTomGraves"
"CPAC",6,"RepTomGraves"
"CyberMayDay",6,"RepTomGraves"
"cybersecurity",6,"RepTomGraves"
"fastandfurious",6,"RepTomGraves"
"Gilmer",6,"RepTomGraves"
"GOPNMC",6,"RepTomGraves"
"PlannedParenthood",6,"RepTomGraves"
"ProLife",6,"RepTomGraves"
"SchumerShutdown",6,"RepTomGraves"
"Senate",6,"RepTomGraves"
"TPA",6,"RepTomGraves"
