"Hashtag","Frequency","screen_name"
"NJ03",438,"RepTomMacArthur"
"NJ",16,"RepTomMacArthur"
"HR3036",15,"RepTomMacArthur"
"NewJersey",15,"RepTomMacArthur"
"NationalSecurity",12,"RepTomMacArthur"
"NDAA",9,"RepTomMacArthur"
"SouthJersey",9,"RepTomMacArthur"
"taxreform",9,"RepTomMacArthur"
"TaxDay",8,"RepTomMacArthur"
"FY16NDAA",7,"RepTomMacArthur"
"JBMDL",7,"RepTomMacArthur"
"MarchMadness",7,"RepTomMacArthur"
"PopeFrancis",7,"RepTomMacArthur"
"AskYourCongressman",6,"RepTomMacArthur"
"CAC15",6,"RepTomMacArthur"
"FEMA",6,"RepTomMacArthur"
"FY17NDAA",6,"RepTomMacArthur"
"Israel",6,"RepTomMacArthur"
"veterans",6,"RepTomMacArthur"
"Iran",5,"RepTomMacArthur"
"NationalPoliceWeek",5,"RepTomMacArthur"
"nj03",5,"RepTomMacArthur"
"OpioidEpidemic",5,"RepTomMacArthur"
"SOTU",5,"RepTomMacArthur"
"WWII",5,"RepTomMacArthur"
"911Memorial",4,"RepTomMacArthur"
"DistrictReadingChallenge",4,"RepTomMacArthur"
"FY18NDAA",4,"RepTomMacArthur"
"HurricaneJoaquin",4,"RepTomMacArthur"
"HurricaneSandy",4,"RepTomMacArthur"
"OperationYellowRibbon",4,"RepTomMacArthur"
"StateOfTheUnion",4,"RepTomMacArthur"
"USA",4,"RepTomMacArthur"
"911Anniversary",3,"RepTomMacArthur"
"AHCA",3,"RepTomMacArthur"
"AlicePaul",3,"RepTomMacArthur"
"BlackHistoryMonth",3,"RepTomMacArthur"
"CoffeewiththeCongressman",3,"RepTomMacArthur"
"CoffeeWiththeCongressman",3,"RepTomMacArthur"
"CoffeeWithTheCongressman",3,"RepTomMacArthur"
"Dallas",3,"RepTomMacArthur"
"GoPurple",3,"RepTomMacArthur"
"Instapoll",3,"RepTomMacArthur"
"MADEAct",3,"RepTomMacArthur"
"MLBDraft",3,"RepTomMacArthur"
"OnTheRoadinNJ03",3,"RepTomMacArthur"
"PTSDAwarenessMonth",3,"RepTomMacArthur"
"SeasidePark",3,"RepTomMacArthur"
"TBT",3,"RepTomMacArthur"
"TeacherAppreciationWeek",3,"RepTomMacArthur"
"TheresAnAppForThat",3,"RepTomMacArthur"
"VA",3,"RepTomMacArthur"
"Zadroga",3,"RepTomMacArthur"
"115thCongress",2,"RepTomMacArthur"
"alzheimersawareness",2,"RepTomMacArthur"
"CHOICEact",2,"RepTomMacArthur"
"coding",2,"RepTomMacArthur"
"ConstituentService",2,"RepTomMacArthur"
"ConstitutionDay",2,"RepTomMacArthur"
"DCShadowDay",2,"RepTomMacArthur"
"DDay",2,"RepTomMacArthur"
"drugtreatment",2,"RepTomMacArthur"
"ENDALZ",2,"RepTomMacArthur"
"FlagDay",2,"RepTomMacArthur"
"FutureLeader",2,"RepTomMacArthur"
"HeretoHelp",2,"RepTomMacArthur"
"HomeRunDerby",2,"RepTomMacArthur"
"inauguration",2,"RepTomMacArthur"
"Internship",2,"RepTomMacArthur"
"IranDeal",2,"RepTomMacArthur"
"IranNuclearDeal",2,"RepTomMacArthur"
"Iransanctions",2,"RepTomMacArthur"
"LiteracyDay",2,"RepTomMacArthur"
"madeintheusa",2,"RepTomMacArthur"
"MLKDAY",2,"RepTomMacArthur"
"NationalFreedomDay",2,"RepTomMacArthur"
"NFIP",2,"RepTomMacArthur"
"NJ3",2,"RepTomMacArthur"
"Nosey",2,"RepTomMacArthur"
"NPW2016",2,"RepTomMacArthur"
"omnibus",2,"RepTomMacArthur"
"opioidcrisis",2,"RepTomMacArthur"
"opioidepidemic",2,"RepTomMacArthur"
"PearlHarbor",2,"RepTomMacArthur"
"POWMIA",2,"RepTomMacArthur"
"PrayersForBrussels",2,"RepTomMacArthur"
"SeaSideParkBombing",2,"RepTomMacArthur"
"SignTheBill",2,"RepTomMacArthur"
"SmallBusinessWeek",2,"RepTomMacArthur"
"SocialSecurity",2,"RepTomMacArthur"
"TeacherforaDay",2,"RepTomMacArthur"
"TeamTMac",2,"RepTomMacArthur"
