"Mention","Frequency","screen_name"
"RepTrey",11,"RepTrey"
"POTUS",7,"RepTrey"
"RepSinema",6,"RepTrey"
"FinancialCmte",5,"RepTrey"
"IHIF1",3,"RepTrey"
"NAVSEACrane",3,"RepTrey"
"idsnews",2,"RepTrey"
"IN_Corn",2,"RepTrey"
"INDOT",2,"RepTrey"
"IndStatePolice",2,"RepTrey"
"joemcg_68",2,"RepTrey"
"mike_pence",2,"RepTrey"
"newsandtribune",2,"RepTrey"
"ProsserCareers",2,"RepTrey"
"realDonaldTrump",2,"RepTrey"
"RepJimBanks",2,"RepTrey"
"RepLarryBucshon",2,"RepTrey"
"SenDonnelly",2,"RepTrey"
"SenToddYoung",2,"RepTrey"
"SusanWBrooks",2,"RepTrey"
"TownClarksville",2,"RepTrey"
"AimIndiana",1,"RepTrey"
"ASTAAgents",1,"RepTrey"
"BarackObama",1,"RepTrey"
"CapitolPolice",1,"RepTrey"
"center_grove",1,"RepTrey"
"CenterGroveHS",1,"RepTrey"
"CFPB",1,"RepTrey"
"CGHS_Principal",1,"RepTrey"
"CityofJeff",1,"RepTrey"
"ClarkSheriff",1,"RepTrey"
"DrSteveGriffin1",1,"RepTrey"
"ehsmusketeers",1,"RepTrey"
"emmalieberth",1,"RepTrey"
"ErinMcPike",1,"RepTrey"
"FirstFarmersBnk",1,"RepTrey"
"freudenbergferg",1,"RepTrey"
"GenDaveGoldfein",1,"RepTrey"
"greggiroux",1,"RepTrey"
"HouseIntelComm",1,"RepTrey"
"IAmBiotech",1,"RepTrey"
"indianabankers",1,"RepTrey"
"INdnrnews",1,"RepTrey"
"JOHNLEVIMILLER",1,"RepTrey"
"kthompson0",1,"RepTrey"
"lifespringinc",1,"RepTrey"
"MattGreller",1,"RepTrey"
"PurdueNewAlbany",1,"RepTrey"
"RepDougCollins",1,"RepTrey"
"RepLukeMesser",1,"RepTrey"
"RepWalorski",1,"RepTrey"
"SeymourPolice",1,"RepTrey"
"SteveScalise",1,"RepTrey"
"TechshotInc",1,"RepTrey"
"the_USO",1,"RepTrey"
"TheIJR",1,"RepTrey"
"ToddRokita",1,"RepTrey"
"TravelAuthority",1,"RepTrey"
"usairforce",1,"RepTrey"
"USNavy",1,"RepTrey"
"VP",1,"RepTrey"
"Walmart",1,"RepTrey"
"WGCLradio",1,"RepTrey"
"WhiteHouse",1,"RepTrey"
"WLKYMorgan",1,"RepTrey"
