"Mention","Frequency","screen_name"
"RepWalorski",217,"RepWalorski"
"HouseVetAffairs",105,"RepWalorski"
"DeptVetAffairs",58,"RepWalorski"
"HouseAgNews",54,"RepWalorski"
"WaysandMeansGOP",49,"RepWalorski"
"POTUS",47,"RepWalorski"
"HASCRepublicans",46,"RepWalorski"
"SpeakerRyan",43,"RepWalorski"
"HouseGOP",37,"RepWalorski"
"WNDU",35,"RepWalorski"
"ElkhartTruth",34,"RepWalorski"
"FOX28News",33,"RepWalorski"
"YouTube",32,"RepWalorski"
"SBTribune",29,"RepWalorski"
"FoxNews",23,"RepWalorski"
"BethelCollegeIN",18,"RepWalorski"
"thehill",17,"RepWalorski"
"ConcernedVets",16,"RepWalorski"
"SpeakerBoehner",16,"RepWalorski"
"CNN",15,"RepWalorski"
"INFarmBureau",14,"RepWalorski"
"SusanWBrooks",14,"RepWalorski"
"AmericanLegion",13,"RepWalorski"
"GoodwillNI",13,"RepWalorski"
"HouseCommerce",13,"RepWalorski"
"NotreDame",13,"RepWalorski"
"SenDanCoats",13,"RepWalorski"
"FoodBkNIndiana",12,"RepWalorski"
"ABC57News",11,"RepWalorski"
"dcexaminer",11,"RepWalorski"
"cspan",10,"RepWalorski"
"goshenchamber",10,"RepWalorski"
"GretchenCarlson",10,"RepWalorski"
"93wibc",9,"RepWalorski"
"DeptofDefense",9,"RepWalorski"
"GOPLeader",9,"RepWalorski"
"indystar",9,"RepWalorski"
"timvandenack",9,"RepWalorski"
"WSBT",9,"RepWalorski"
"RepLarryBucshon",8,"RepWalorski"
"RepStutzman",8,"RepWalorski"
"SteveScalise",8,"RepWalorski"
"washingtonpost",8,"RepWalorski"
"AP",7,"RepWalorski"
"FoxBusiness",7,"RepWalorski"
"RepJimBanks",7,"RepWalorski"
"RepLukeMesser",7,"RepWalorski"
"USArmy",7,"RepWalorski"
"WorkOneWorks",7,"RepWalorski"
"WSJ",7,"RepWalorski"
"YourGoshenNews",7,"RepWalorski"
"cathymcmorris",6,"RepWalorski"
"GarrisonRadio",6,"RepWalorski"
"IvyTechCC",6,"RepWalorski"
"netanyahu",6,"RepWalorski"
"RepCloakroom",6,"RepWalorski"
"RepFredUpton",6,"RepWalorski"
"Sebelius",6,"RepWalorski"
"VP",6,"RepWalorski"
"WISH_TV",6,"RepWalorski"
"WTCAam1050",6,"RepWalorski"
"434ARW",5,"RepWalorski"
"CCSElkhart",5,"RepWalorski"
"ChadPergram",5,"RepWalorski"
"DrPhilRoe",5,"RepWalorski"
"FeedINsHungry",5,"RepWalorski"
"GovHolcomb",5,"RepWalorski"
"IDHS",5,"RepWalorski"
"INDOTNorthwest",5,"RepWalorski"
"JGfortwayne",5,"RepWalorski"
"loudobbsnews",5,"RepWalorski"
"martinmatishak",5,"RepWalorski"
"MSNBC",5,"RepWalorski"
"PeruHighSchool",5,"RepWalorski"
"PeruTribune",5,"RepWalorski"
"realDonaldTrump",5,"RepWalorski"
"RepDianeBlack",5,"RepWalorski"
"RepKevinBrady",5,"RepWalorski"
"SBNairport",5,"RepWalorski"
"SBRileyhigh",5,"RepWalorski"
"USNavy",5,"RepWalorski"
"WhiteHouse",5,"RepWalorski"
"wmalnews",5,"RepWalorski"
"chucktodd",4,"RepWalorski"
"FreeBeacon",4,"RepWalorski"
"GovPenceIN",4,"RepWalorski"
"HeraldArgus",4,"RepWalorski"
"HouseJudiciary",4,"RepWalorski"
"Indiana_Soy",4,"RepWalorski"
"INSoybean",4,"RepWalorski"
"inwhiskey",4,"RepWalorski"
"IU_Health",4,"RepWalorski"
"jacqklimas",4,"RepWalorski"
"JDBmsnbc",4,"RepWalorski"
"LaPorteParkRec",4,"RepWalorski"
"Lowes",4,"RepWalorski"
"MacTXPress",4,"RepWalorski"
"meijer",4,"RepWalorski"
"mhobbs_ctr",4,"RepWalorski"
"NMSSIndiana",4,"RepWalorski"
"PeterRoskam",4,"RepWalorski"
"RepDennisRoss",4,"RepWalorski"
"RepJeffMiller",4,"RepWalorski"
"RepKathleenRice",4,"RepWalorski"
"rtv6",4,"RepWalorski"
"SecretaryZinke",4,"RepWalorski"
"SenDonnelly",4,"RepWalorski"
"therealnmma",4,"RepWalorski"
"tonykatz",4,"RepWalorski"
"USATODAY",4,"RepWalorski"
"uscapitol",4,"RepWalorski"
"USDA",4,"RepWalorski"
"USMC",4,"RepWalorski"
"WDAPlymouth",4,"RepWalorski"
"122fighterwing",3,"RepWalorski"
"1GoodBetterBest",3,"RepWalorski"
"1stSourceBank",3,"RepWalorski"
"953MNC",3,"RepWalorski"
"aircraftcarrier",3,"RepWalorski"
