"Mention","Frequency","screen_name"
"RepWalterJones",112,"RepWalterJones"
"cspanwj",20,"RepWalterJones"
"POTUS",17,"RepWalterJones"
"RepGaramendi",14,"RepWalterJones"
"WaysandMeansGOP",13,"RepWalterJones"
"DarrellIssa",9,"RepWalterJones"
"RepThomasMassie",7,"RepWalterJones"
"BreitbartNews",6,"RepWalterJones"
"FreedomWorks",6,"RepWalterJones"
"GOPLeader",6,"RepWalterJones"
"justinamash",6,"RepWalterJones"
"RepMcGovern",6,"RepWalterJones"
"RepTedLieu",6,"RepWalterJones"
"GKButterfield",5,"RepWalterJones"
"GOPJobBank",5,"RepWalterJones"
"IngrahamAngle",5,"RepWalterJones"
"JaySekulow",5,"RepWalterJones"
"Marinetimes",5,"RepWalterJones"
"NCEmergency",5,"RepWalterJones"
"NCPoliticalNews",5,"RepWalterJones"
"newsobserver",5,"RepWalterJones"
"RandPaul",5,"RepWalterJones"
"thehill",5,"RepWalterJones"
"USMC",5,"RepWalterJones"
"ACUConservative",4,"RepWalterJones"
"amconmag",4,"RepWalterJones"
"GOPoversight",4,"RepWalterJones"
"jfradioshow",4,"RepWalterJones"
"NCmuseumhistory",4,"RepWalterJones"
"NumbersUSA",4,"RepWalterJones"
"realDonaldTrump",4,"RepWalterJones"
"RepCheri",4,"RepWalterJones"
"RonPaul",4,"RepWalterJones"
"RonPaulInstitut",4,"RepWalterJones"
"SenTedCruz",4,"RepWalterJones"
"SenThomTillis",4,"RepWalterJones"
"SpeakerBoehner",4,"RepWalterJones"
"USNavy",4,"RepWalterJones"
"camp_lejeune",3,"RepWalterJones"
"FoxNews",3,"RepWalterJones"
"greenblattmark",3,"RepWalterJones"
"KLOVERadio",3,"RepWalterJones"
"NFIB",3,"RepWalterJones"
"OfficialACLJ",3,"RepWalterJones"
"reflectornews",3,"RepWalterJones"
"RepLipinski",3,"RepWalterJones"
"RepRubenGallego",3,"RepWalterJones"
"RepTimWalz",3,"RepWalterJones"
"SenatorBurr",3,"RepWalterJones"
"SIGARHQ",3,"RepWalterJones"
"SONC_BeAFan",3,"RepWalterJones"
"thetrevorpotter",3,"RepWalterJones"
"USDOL",3,"RepWalterJones"
"1037WTIB",2,"RepWalterJones"
"AbigailCBN",2,"RepWalterJones"
"ACLJ",2,"RepWalterJones"
"adegrandpre",2,"RepWalterJones"
"ADouglasNews",2,"RepWalterJones"
"Antiwarcom",2,"RepWalterJones"
"BillLuMaye",2,"RepWalterJones"
"BishopNedd",2,"RepWalterJones"
"CapeLookoutNPS",2,"RepWalterJones"
"CapitolPolice",2,"RepWalterJones"
"ChadPergram",2,"RepWalterJones"
"DeptofDefense",2,"RepWalterJones"
"DeptVetAffairs",2,"RepWalterJones"
"EastCarolina",2,"RepWalterJones"
"FEC",2,"RepWalterJones"
"fidelco",2,"RepWalterJones"
"HASCRepublicans",2,"RepWalterJones"
"Heritage",2,"RepWalterJones"
"HouseGOP",2,"RepWalterJones"
"HouseRadioTV",2,"RepWalterJones"
"JimLaPorta",2,"RepWalterJones"
"Judgenap",2,"RepWalterJones"
"KellieMeyerNews",2,"RepWalterJones"
"KristineFrazao",2,"RepWalterJones"
"March_for_Life",2,"RepWalterJones"
"MarkSZaidEsq",2,"RepWalterJones"
"MarshaBlackburn",2,"RepWalterJones"
"mboyle1",2,"RepWalterJones"
"MicheleBachmann",2,"RepWalterJones"
"MilitaryOfficer",2,"RepWalterJones"
"NationalGuard",2,"RepWalterJones"
"NBSunJournal",2,"RepWalterJones"
"NCNationalGuard",2,"RepWalterJones"
"netflix",2,"RepWalterJones"
"NewAmericanMag",2,"RepWalterJones"
"newstimesonline",2,"RepWalterJones"
"NewYorker",2,"RepWalterJones"
"onthemedia",2,"RepWalterJones"
"PatrickBuchanan",2,"RepWalterJones"
"PeterWelch",2,"RepWalterJones"
"PeteSessions",2,"RepWalterJones"
"pilotnews",2,"RepWalterJones"
"PPFA",2,"RepWalterJones"
"RedCross",2,"RepWalterJones"
"repdonnaedwards",2,"RepWalterJones"
"RepGosar",2,"RepWalterJones"
"repjustinamash",2,"RepWalterJones"
"RepKenBuck",2,"RepWalterJones"
"RepScottPeters",2,"RepWalterJones"
"RepTomPrice",2,"RepWalterJones"
"savingseafood",2,"RepWalterJones"
"SteveDaines",2,"RepWalterJones"
"SteveScalise",2,"RepWalterJones"
"TheLeadCNN",2,"RepWalterJones"
"ThisHour",2,"RepWalterJones"
"tvkatesnow",2,"RepWalterJones"
"tylercralle",2,"RepWalterJones"
"tysonmanker",2,"RepWalterJones"
"usairforce",2,"RepWalterJones"
"usapromise",2,"RepWalterJones"
"USGAO",2,"RepWalterJones"
"washingtonpost",2,"RepWalterJones"
"WashTimes",2,"RepWalterJones"
"WhiteHouse",2,"RepWalterJones"
"WWAY",2,"RepWalterJones"
"yaleamericas",2,"RepWalterJones"
"YALiberty",2,"RepWalterJones"
"YouTube",2,"RepWalterJones"
"32Amanduh",1,"RepWalterJones"
"60PlusAssoc",1,"RepWalterJones"
"7",1,"RepWalterJones"
"700club",1,"RepWalterJones"
"AACNPolicy",1,"RepWalterJones"
