"Hashtag","Frequency","screen_name"
"KS01",31,"RogerMarshallMD"
"SOTU",31,"RogerMarshallMD"
"EMAW",18,"RogerMarshallMD"
"TaxCutsandJobsAct",10,"RogerMarshallMD"
"ListeningTour",8,"RogerMarshallMD"
"TBT",6,"RogerMarshallMD"
"HouseAg",5,"RogerMarshallMD"
"Kansas",5,"RogerMarshallMD"
"ksleg",5,"RogerMarshallMD"
"SchumerShutdown",5,"RogerMarshallMD"
"FarmBill",4,"RogerMarshallMD"
"KansasDay",4,"RogerMarshallMD"
"ag",3,"RogerMarshallMD"
"Ag",3,"RogerMarshallMD"
"AmericaFirst",3,"RogerMarshallMD"
"KsAg",3,"RogerMarshallMD"
"takethecrown",3,"RogerMarshallMD"
"taxreform",3,"RogerMarshallMD"
"wheat",3,"RogerMarshallMD"
"agday2016",2,"RogerMarshallMD"
"agriculture",2,"RogerMarshallMD"
"agtech",2,"RogerMarshallMD"
"AMERICA",2,"RogerMarshallMD"
"BeRoyal",2,"RogerMarshallMD"
"bipartisanship",2,"RogerMarshallMD"
"blueoctober",2,"RogerMarshallMD"
"CactusBowl",2,"RogerMarshallMD"
"CongressionalGoldMedal",2,"RogerMarshallMD"
"FarmBillFriday",2,"RogerMarshallMD"
"FoodIsMedicine",2,"RogerMarshallMD"
"HoH2018",2,"RogerMarshallMD"
"JointAddress",2,"RogerMarshallMD"
"kansaspride",2,"RogerMarshallMD"
"ks01",2,"RogerMarshallMD"
"kstate",2,"RogerMarshallMD"
"KState",2,"RogerMarshallMD"
"KVOENews",2,"RogerMarshallMD"
"kwch12",2,"RogerMarshallMD"
"Life",2,"RogerMarshallMD"
"MarchForLife",2,"RogerMarshallMD"
"MarshallForKansas",2,"RogerMarshallMD"
"MeetMarshall",2,"RogerMarshallMD"
"PAFarmShow",2,"RogerMarshallMD"
"proudkansan",2,"RogerMarshallMD"
"ReleaseTheMemo",2,"RogerMarshallMD"
"Rotary",2,"RogerMarshallMD"
"STEM",2,"RogerMarshallMD"
"StingersUp",2,"RogerMarshallMD"
"TakeTheCrown",2,"RogerMarshallMD"
"TeamMarshall",2,"RogerMarshallMD"
"ThatsMyFarm",2,"RogerMarshallMD"
"1000Days",1,"RogerMarshallMD"
"100andcounting",1,"RogerMarshallMD"
"100Days",1,"RogerMarshallMD"
"1182more",1,"RogerMarshallMD"
"4thOfJuly",1,"RogerMarshallMD"
"AFBF18",1,"RogerMarshallMD"
"AGAAdvocacyDay",1,"RogerMarshallMD"
"agchat",1,"RogerMarshallMD"
"AgDay2016",1,"RogerMarshallMD"
"AgSec",1,"RogerMarshallMD"
"AllforScalise",1,"RogerMarshallMD"
"AllIn",1,"RogerMarshallMD"
"AlmaMater",1,"RogerMarshallMD"
"AMBERAlert",1,"RogerMarshallMD"
"AMEN",1,"RogerMarshallMD"
"AmericanBudget",1,"RogerMarshallMD"
"ArmedForcesDay",1,"RogerMarshallMD"
"ArmyStrong",1,"RogerMarshallMD"
"BBQ",1,"RogerMarshallMD"
"beatTCU",1,"RogerMarshallMD"
"beef",1,"RogerMarshallMD"
"Beeffest",1,"RogerMarshallMD"
"BestofKU",1,"RogerMarshallMD"
"BigFirst",1,"RogerMarshallMD"
"BigFirstDebate",1,"RogerMarshallMD"
"bonusesandpayraises",1,"RogerMarshallMD"
"CAREERSINKANAS",1,"RogerMarshallMD"
"CatchItKansas",1,"RogerMarshallMD"
"Charlotteville",1,"RogerMarshallMD"
"ConfidentAmerica",1,"RogerMarshallMD"
"Congrats",1,"RogerMarshallMD"
"Congress",1,"RogerMarshallMD"
"CongressionalBaseballGame",1,"RogerMarshallMD"
"cropinsurance",1,"RogerMarshallMD"
"Cuba",1,"RogerMarshallMD"
"DACA",1,"RogerMarshallMD"
"DDAY",1,"RogerMarshallMD"
"Didyouknow",1,"RogerMarshallMD"
"DidYouKnow",1,"RogerMarshallMD"
"divdedweFALL",1,"RogerMarshallMD"
"DodgeCity",1,"RogerMarshallMD"
"drought",1,"RogerMarshallMD"
"EarthDay",1,"RogerMarshallMD"
"EarthDay2016",1,"RogerMarshallMD"
"EatWendysKansasBeef",1,"RogerMarshallMD"
"EliteEight",1,"RogerMarshallMD"
"EmailPrivacyAct",1,"RogerMarshallMD"
"emaw",1,"RogerMarshallMD"
"Emaw",1,"RogerMarshallMD"
"EmporiaProud",1,"RogerMarshallMD"
"everyMarshallAWildcat",1,"RogerMarshallMD"
"Facts",1,"RogerMarshallMD"
"family",1,"RogerMarshallMD"
"farm",1,"RogerMarshallMD"
"FarmBillFacts",1,"RogerMarshallMD"
"FARMBILLFRIDAY",1,"RogerMarshallMD"
