"Mention","Frequency","screen_name"
"WaysandMeansGOP",40,"SamsPressShop"
"BarackObama",21,"SamsPressShop"
"SocialSecurity",9,"SamsPressShop"
"dallasnews",6,"SamsPressShop"
"HouseFloor",5,"SamsPressShop"
"SenatorReid",5,"SamsPressShop"
"CityOfMcKinney",3,"SamsPressShop"
"DailyCaller",3,"SamsPressShop"
"SenTedCruz",3,"SamsPressShop"
"starlocalmedia",3,"SamsPressShop"
"usairforce",3,"SamsPressShop"
"WSJ",3,"SamsPressShop"
"AAF",2,"SamsPressShop"
"AirForceAssoc",2,"SamsPressShop"
"djheakin",2,"SamsPressShop"
"friscoisd",2,"SamsPressShop"
"JohnnyQuinnUSA",2,"SamsPressShop"
"NRA",2,"SamsPressShop"
"NRO",2,"SamsPressShop"
"politico",2,"SamsPressShop"
"PrestonwoodPreg",2,"SamsPressShop"
"RalphHallPress",2,"SamsPressShop"
"RightOnCrime",2,"SamsPressShop"
"SamaritanInnOrg",2,"SamsPressShop"
"SecBurwell",2,"SamsPressShop"
"60Minutes",1,"SamsPressShop"
"AARP",1,"SamsPressShop"
"ABC",1,"SamsPressShop"
"ACLJ",1,"SamsPressShop"
"ACLU",1,"SamsPressShop"
"AlvinTownley",1,"SamsPressShop"
"AP",1,"SamsPressShop"
"BreitbartNews",1,"SamsPressShop"
"charlescwcooke",1,"SamsPressShop"
"ChildrensTheOne",1,"SamsPressShop"
"CityOfFriscoTx",1,"SamsPressShop"
"Collin_County",1,"SamsPressShop"
"collincollege",1,"SamsPressShop"
"CoServ_Energy",1,"SamsPressShop"
"cspan",1,"SamsPressShop"
"damianpaletta",1,"SamsPressShop"
"dcexaminer",1,"SamsPressShop"
"DFWAirport",1,"SamsPressShop"
"DHSLive",1,"SamsPressShop"
"FNTheFive",1,"SamsPressShop"
"Forbes",1,"SamsPressShop"
"FreedomWorks",1,"SamsPressShop"
"GeorgeHWBush",1,"SamsPressShop"
"GovernorPerry",1,"SamsPressShop"
"GregAbbott_TX",1,"SamsPressShop"
"Heritage",1,"SamsPressShop"
"HonorFlightDCA",1,"SamsPressShop"
"HoustonChron",1,"SamsPressShop"
"HumanEvents",1,"SamsPressShop"
"JohnCornyn",1,"SamsPressShop"
"johnthune",1,"SamsPressShop"
"JudgeCarter",1,"SamsPressShop"
"MacTXPress",1,"SamsPressShop"
"MaherMaso",1,"SamsPressShop"
"marklevinshow",1,"SamsPressShop"
"MatureAmericans",1,"SamsPressShop"
"meekwire",1,"SamsPressShop"
"neighborsgo",1,"SamsPressShop"
"NTMWD",1,"SamsPressShop"
"POTUS",1,"SamsPressShop"
"PreparedinPlano",1,"SamsPressShop"
"Prestonwood",1,"SamsPressShop"
"Rangers",1,"SamsPressShop"
"RedCrossDFW",1,"SamsPressShop"
"RepAbraham",1,"SamsPressShop"
"RepBillFlores",1,"SamsPressShop"
"RepJeffDuncan",1,"SamsPressShop"
"RepJohnLarson",1,"SamsPressShop"
"RepKevinBrady",1,"SamsPressShop"
"RepWalberg",1,"SamsPressShop"
"RichardsonISD",1,"SamsPressShop"
"SenatorEnzi",1,"SamsPressShop"
"SenPatRoberts",1,"SamsPressShop"
"SteveScalise",1,"SamsPressShop"
"taxreformer",1,"SamsPressShop"
"TheFiscalTimes",1,"SamsPressShop"
"TheJusticeDept",1,"SamsPressShop"
"TomColeOK04",1,"SamsPressShop"
"townhallcom",1,"SamsPressShop"
"TxDOT",1,"SamsPressShop"
"TxStormChasers",1,"SamsPressShop"
"USCBO",1,"SamsPressShop"
"USGAO",1,"SamsPressShop"
"waysandmeans",1,"SamsPressShop"
"wfaachannel8",1,"SamsPressShop"
"WhiteHouse",1,"SamsPressShop"
"WSJopinion",1,"SamsPressShop"
"YouTube",1,"SamsPressShop"
