"Hashtag","Frequency","screen_name"
"sayfie",272,"TomRooney"
"Obamacare",153,"TomRooney"
"4jobs",105,"TomRooney"
"Florida",72,"TomRooney"
"tcot",68,"TomRooney"
"FL17ObamacareStories",63,"TomRooney"
"FL17",61,"TomRooney"
"jobs",52,"TomRooney"
"Obama",50,"TomRooney"
"veterans",49,"TomRooney"
"FtHood",38,"TomRooney"
"SOTU",33,"TomRooney"
"Syria",29,"TomRooney"
"4Jobs",28,"TomRooney"
"IRS",27,"TomRooney"
"Keystone",25,"TomRooney"
"ag",24,"TomRooney"
"SOTUGOP",23,"TomRooney"
"Benghazi",22,"TomRooney"
"notaglitch",21,"TomRooney"
"budget",19,"TomRooney"
"FL",19,"TomRooney"
"keystone",18,"TomRooney"
"SaveOurCitrus",18,"TomRooney"
"smallbiz",18,"TomRooney"
"congressionalbaseball",17,"TomRooney"
"Libya",17,"TomRooney"
"Irma",15,"TomRooney"
"citrus",14,"TomRooney"
"FL16",14,"TomRooney"
"gasprices",14,"TomRooney"
"SouthSudan",14,"TomRooney"
"WeCantWait",14,"TomRooney"
"800Days",13,"TomRooney"
"brokenpromises",13,"TomRooney"
"energy",13,"TomRooney"
"Gators",13,"TomRooney"
"hcr",13,"TomRooney"
"PutOnPurple",13,"TomRooney"
"1000Days",12,"TomRooney"
"2futures",12,"TomRooney"
"farmbill",12,"TomRooney"
"FF",12,"TomRooney"
"Obamanomics",12,"TomRooney"
"trainwreck",12,"TomRooney"
"WarPowersAct",12,"TomRooney"
"dontdoublemyrate",11,"TomRooney"
"lupus",11,"TomRooney"
"Sayfie",11,"TomRooney"
"Solyndra",11,"TomRooney"
"BrokenPromises",10,"TomRooney"
"ReidRoadblock",10,"TomRooney"
"teamGOP",10,"TomRooney"
"VA",10,"TomRooney"
"VAScandal",10,"TomRooney"
"armsembargo",9,"TomRooney"
"florida",9,"TomRooney"
"FortHood",9,"TomRooney"
"fullrepeal",9,"TomRooney"
"ObamaCare",9,"TomRooney"
"ObamaFlightDelays",9,"TomRooney"
"smallbusiness",9,"TomRooney"
"TaxReform",9,"TomRooney"
"FairnessForAll",8,"TomRooney"
"FarmBill",8,"TomRooney"
"GOP",8,"TomRooney"
"Lupus",8,"TomRooney"
"ObamacareInThreeWords",8,"TomRooney"
"repeal",8,"TomRooney"
"TeamGOP",8,"TomRooney"
"Ag",7,"TomRooney"
"AskObama",7,"TomRooney"
"CutCapBalance",7,"TomRooney"
"CutWaste",7,"TomRooney"
"DontDoubleMyRate",7,"TomRooney"
"fail",7,"TomRooney"
"Farmers",7,"TomRooney"
"questionsthatdontgetanswers",7,"TomRooney"
"StateOfTheUnion",7,"TomRooney"
"stimulus",7,"TomRooney"
"TaxDay",7,"TomRooney"
"Veterans",7,"TomRooney"
"agvocate",6,"TomRooney"
"askdems",6,"TomRooney"
"AskReidTH",6,"TomRooney"
"BalancedBudgetAmendment",6,"TomRooney"
"bipartisan",6,"TomRooney"
"debt",6,"TomRooney"
"DoingJustFine",6,"TomRooney"
"FairTax",6,"TomRooney"
"farmers",6,"TomRooney"
"HASCRepublicans",6,"TomRooney"
"MayIs4Troops",6,"TomRooney"
"Medicare",6,"TomRooney"
"ObamacareBenefits",6,"TomRooney"
"ObamaOnEmpty",6,"TomRooney"
"pjnet",6,"TomRooney"
"PTSD",6,"TomRooney"
"TBI",6,"TomRooney"
"unemployment",6,"TomRooney"
"VeteransDay",6,"TomRooney"
"dairy",5,"TomRooney"
"fastandfurious",5,"TomRooney"
"HCR",5,"TomRooney"
"KeystoneXL",5,"TomRooney"
"LupusAwarenessMonth",5,"TomRooney"
"Okeechobee",5,"TomRooney"
"PuntaGorda",5,"TomRooney"
"saveourcitrus",5,"TomRooney"
"SmallBiz",5,"TomRooney"
"TimeToBuild",5,"TomRooney"
"VoteNow",5,"TomRooney"
"16trillion",4,"TomRooney"
"aca",4,"TomRooney"
"Army",4,"TomRooney"
"autism",4,"TomRooney"
"CongressionalBaseball",4,"TomRooney"
"Constitution",4,"TomRooney"
"cutspending",4,"TomRooney"
"drugshortages",4,"TomRooney"
"EPA",4,"TomRooney"
"FlagDay",4,"TomRooney"
"FullRepeal",4,"TomRooney"
"GoGators",4,"TomRooney"
"gop",4,"TomRooney"
"Holder",4,"TomRooney"
"Iran",4,"TomRooney"
"itsworking",4,"TomRooney"
"nationalsecurity",4,"TomRooney"
"ObamaCareInThreeWords",4,"TomRooney"
"PolkCounty",4,"TomRooney"
"REINS",4,"TomRooney"
"SocialSecurity",4,"TomRooney"
"spending",4,"TomRooney"
"Stimulus2",4,"TomRooney"
"townhall",4,"TomRooney"
"WHChat",4,"TomRooney"
"WorldLupusDay",4,"TomRooney"
"WWII",4,"TomRooney"
"15trillion",3,"TomRooney"
"3years",3,"TomRooney"
"900DaysWithoutASenateBudget",3,"TomRooney"
"Agriculture",3,"TomRooney"
"AllFloridaAg",3,"TomRooney"
"AuditTheFed",3,"TomRooney"
"BBA",3,"TomRooney"
"BrainInjuryAwarenessDay",3,"TomRooney"
"BuffettRule",3,"TomRooney"
"Citrus",3,"TomRooney"
"CitrusGreening",3,"TomRooney"
"CollegeWorldSeries",3,"TomRooney"
"CongressionalBaseballGame",3,"TomRooney"
"debtceiling",3,"TomRooney"
"DumpTheIRS",3,"TomRooney"
"Fullrepeal",3,"TomRooney"
"GasPrices",3,"TomRooney"
"immigration",3,"TomRooney"
"Isaac",3,"TomRooney"
"ISIS",3,"TomRooney"
"KXL",3,"TomRooney"
"libya",3,"TomRooney"
"MemorialDay",3,"TomRooney"
"MilitarySpousesDay",3,"TomRooney"
