"Hashtag","Frequency","screen_name"
"alpolitics",171,"USRepGaryPalmer"
"AL06",145,"USRepGaryPalmer"
"al06",114,"USRepGaryPalmer"
"EPA",30,"USRepGaryPalmer"
"PastriesWithPalmer",23,"USRepGaryPalmer"
"PlannedParenthood",14,"USRepGaryPalmer"
"IranDeal",13,"USRepGaryPalmer"
"SOTU",10,"USRepGaryPalmer"
"WOTUS",8,"USRepGaryPalmer"
"July4th",7,"USRepGaryPalmer"
"Obamacare",7,"USRepGaryPalmer"
"theyfeelpain",7,"USRepGaryPalmer"
"HR4361",6,"USRepGaryPalmer"
"hr36",5,"USRepGaryPalmer"
"NDAA",5,"USRepGaryPalmer"
"oversight",5,"USRepGaryPalmer"
"prolife",5,"USRepGaryPalmer"
"SCOTUS",5,"USRepGaryPalmer"
"ThankAVet",5,"USRepGaryPalmer"
"AHSAA_hoops",4,"USRepGaryPalmer"
"Alabama",4,"USRepGaryPalmer"
"Budget2015",4,"USRepGaryPalmer"
"CFPB",4,"USRepGaryPalmer"
"ConfirmSessions",4,"USRepGaryPalmer"
"CPP",4,"USRepGaryPalmer"
"IRS",4,"USRepGaryPalmer"
"KeystoneXL",4,"USRepGaryPalmer"
"PPSellsBabyParts",4,"USRepGaryPalmer"
"ProLife",4,"USRepGaryPalmer"
"SanctuaryCities",4,"USRepGaryPalmer"
"2ndAmendment",3,"USRepGaryPalmer"
"April272011",3,"USRepGaryPalmer"
"cybersecurity",3,"USRepGaryPalmer"
"HR5485",3,"USRepGaryPalmer"
"IRSfail",3,"USRepGaryPalmer"
"ISIS",3,"USRepGaryPalmer"
"Israel",3,"USRepGaryPalmer"
"MemorialDay",3,"USRepGaryPalmer"
"SecureOurBorders",3,"USRepGaryPalmer"
"Selma50",3,"USRepGaryPalmer"
"TaxReform",3,"USRepGaryPalmer"
"veterans",3,"USRepGaryPalmer"
"VeteransDay",3,"USRepGaryPalmer"
"AHCA",2,"USRepGaryPalmer"
"AnimasRiver",2,"USRepGaryPalmer"
"Brussels",2,"USRepGaryPalmer"
"budget",2,"USRepGaryPalmer"
"ComeyHearing",2,"USRepGaryPalmer"
"DC",2,"USRepGaryPalmer"
"DeathTax",2,"USRepGaryPalmer"
"DHS",2,"USRepGaryPalmer"
"EndangeredSpecies",2,"USRepGaryPalmer"
"EPAoverreach",2,"USRepGaryPalmer"
"FDIC",2,"USRepGaryPalmer"
"FlintWaterCrisis",2,"USRepGaryPalmer"
