"Hashtag","Frequency","screen_name"
"sayfie",374,"VernBuchanan"
"tcot",85,"VernBuchanan"
"hcr",43,"VernBuchanan"
"fb",31,"VernBuchanan"
"hc",26,"VernBuchanan"
"NoBudgetNoPay",25,"VernBuchanan"
"HealthCare",23,"VernBuchanan"
"FF",21,"VernBuchanan"
"healthcare",20,"VernBuchanan"
"IRS",19,"VernBuchanan"
"4jobs",15,"VernBuchanan"
"SSNalerts",14,"VernBuchanan"
"jobs",13,"VernBuchanan"
"Syria",12,"VernBuchanan"
"debt",8,"VernBuchanan"
"IranDeal",8,"VernBuchanan"
"FlaPol",7,"VernBuchanan"
"Florida",7,"VernBuchanan"
"SOTU",7,"VernBuchanan"
"economy",6,"VernBuchanan"
"Iran",6,"VernBuchanan"
"Sarasota",6,"VernBuchanan"
"Sayfie",6,"VernBuchanan"
"TPP",6,"VernBuchanan"
"AmericaFirst",5,"VernBuchanan"
"budget",5,"VernBuchanan"
"ff",5,"VernBuchanan"
"gop",5,"VernBuchanan"
"Irma",5,"VernBuchanan"
"oil",5,"VernBuchanan"
"s",5,"VernBuchanan"
"spending",5,"VernBuchanan"
"TeamUSA",5,"VernBuchanan"
"TPA4USJobs",5,"VernBuchanan"
"USA",5,"VernBuchanan"
"Bradenton",4,"VernBuchanan"
"deficit",4,"VernBuchanan"
"Egypt",4,"VernBuchanan"
"GOPNMC",4,"VernBuchanan"
"HC",4,"VernBuchanan"
"Israel",4,"VernBuchanan"
"Jobs",4,"VernBuchanan"
"NoBudgetNoPayAct",4,"VernBuchanan"
"NSA",4,"VernBuchanan"
"oilspill",4,"VernBuchanan"
"SOPA",4,"VernBuchanan"
"DDay",3,"VernBuchanan"
"Gitmo",3,"VernBuchanan"
"govtshutdown",3,"VernBuchanan"
"heroin",3,"VernBuchanan"
"HumaneAwards",3,"VernBuchanan"
"nobudgetnopay",3,"VernBuchanan"
"Obama",3,"VernBuchanan"
"SCOTUS",3,"VernBuchanan"
"STOCKAct",3,"VernBuchanan"
"tbt",3,"VernBuchanan"
"VA",3,"VernBuchanan"
"veterans",3,"VernBuchanan"
"Veterans",3,"VernBuchanan"
"balancedbudget",2,"VernBuchanan"
"BBA",2,"VernBuchanan"
"BostonMarathon",2,"VernBuchanan"
"CARA",2,"VernBuchanan"
"DC",2,"VernBuchanan"
"entrepreneurship",2,"VernBuchanan"
"FL",2,"VernBuchanan"
"GodBlessAmerica",2,"VernBuchanan"
"handsoff",2,"VernBuchanan"
"HurricaneIrma",2,"VernBuchanan"
"JOBS",2,"VernBuchanan"
"JobsNow",2,"VernBuchanan"
"LessTalkMoreAction",2,"VernBuchanan"
"MASen",2,"VernBuchanan"
"mlb",2,"VernBuchanan"
"NetNeutrality",2,"VernBuchanan"
