"Mention","Frequency","screen_name"
"farenthold",192,"farenthold"
"GOPoversight",79,"farenthold"
"HouseJudiciary",75,"farenthold"
"1360KKTX",59,"farenthold"
"POTUS",41,"farenthold"
"bobjonescc",36,"farenthold"
"realDonaldTrump",35,"farenthold"
"cspanwj",26,"farenthold"
"PoccaPort",26,"farenthold"
"Eric_von_Wade",23,"farenthold"
"Transport",23,"farenthold"
"FoxNews",21,"farenthold"
"KRIS6News",20,"farenthold"
"DarrellIssa",18,"farenthold"
"MSNBC",18,"farenthold"
"RSI",15,"farenthold"
"callerdotcom",14,"farenthold"
"OANN",13,"farenthold"
"thehill",12,"farenthold"
"CTATech",11,"farenthold"
"HouseGOP",11,"farenthold"
"Liz_Wheeler",11,"farenthold"
"RepCardenas",11,"farenthold"
"Fahrenthold",10,"farenthold"
"FoxBusiness",10,"farenthold"
"CongressionalAC",9,"farenthold"
"RepDelBene",9,"farenthold"
"SamsPressShop",9,"farenthold"
"ShannonBream",9,"farenthold"
"cchooks",8,"farenthold"
"cityofcc",8,"farenthold"
"GaryShapiro",8,"farenthold"
"SpeakerRyan",8,"farenthold"
"UPS",8,"farenthold"
"FBI",7,"farenthold"
"FOSS4GEO",7,"farenthold"
"IslandCampus",7,"farenthold"
"kiii3news",7,"farenthold"
"NWSCorpus",7,"farenthold"
"RepBillFlores",7,"farenthold"
"RepCuellar",7,"farenthold"
"SteveScalise",7,"farenthold"
"Vicadvocate",7,"farenthold"
"Whataburger",7,"farenthold"
"astros",6,"farenthold"
"DelMarCollege",6,"farenthold"
"DHSgov",6,"farenthold"
"jaredpolis",6,"farenthold"
"jasoninthehouse",6,"farenthold"
"JudgeTedPoe",6,"farenthold"
"LamarSmithTX21",6,"farenthold"
"RepBrianBabin",6,"farenthold"
"RepGoodlatte",6,"farenthold"
"RepJaredPolis",6,"farenthold"
"RepTedLieu",6,"farenthold"
"SharkWeek",6,"farenthold"
"TGowdySC",6,"farenthold"
"united",6,"farenthold"
"USNavy",6,"farenthold"
"AmericanBankCtr",5,"farenthold"
"BarackObama",5,"farenthold"
"BlueAngels",5,"farenthold"
"BradThor",5,"farenthold"
"cspan",5,"farenthold"
"GovAbbott",5,"farenthold"
"GovernorPerry",5,"farenthold"
"HouseHomeland",5,"farenthold"
"HurdOnTheHill",5,"farenthold"
"InternetAssn",5,"farenthold"
"LorettaLynch",5,"farenthold"
"loudobbsnews",5,"farenthold"
"MelLenhardt",5,"farenthold"
"MorningConsult",5,"farenthold"
"NASA",5,"farenthold"
"RepDerekKilmer",5,"farenthold"
"RepMikeBishop",5,"farenthold"
"RepRatcliffe",5,"farenthold"
"sfmnemonic",5,"farenthold"
"townhallproject",5,"farenthold"
"USMC",5,"farenthold"
"USPS",5,"farenthold"
"Varneyco",5,"farenthold"
"VP",5,"farenthold"
"washingtonpost",5,"farenthold"
"1440KEYSAM",4,"farenthold"
"ANHQDC",4,"farenthold"
"baseball_titan",4,"farenthold"
"CCADPAO",4,"farenthold"
"CCIntAirport",4,"farenthold"
"CCISD",4,"farenthold"
"CongCulberson",4,"farenthold"
"CoryBooker",4,"farenthold"
"darlindebcc",4,"farenthold"
"GOPLeader",4,"farenthold"
"HillaryClinton",4,"farenthold"
"ITIFdc",4,"farenthold"
"NetCaucusAC",4,"farenthold"
"RepMcCaul",4,"farenthold"
"RepZoeLofgren",4,"farenthold"
"robpegoraro",4,"farenthold"
"SenBrianSchatz",4,"farenthold"
"TexasFarmBureau",4,"farenthold"
"TheMalzbergShow",4,"farenthold"
"usairforce",4,"farenthold"
"USArmy",4,"farenthold"
"uscapitol",4,"farenthold"
"USCG",4,"farenthold"
"WadeandCarter",4,"farenthold"
"WhiteHouse",4,"farenthold"
"ACUConservative",3,"farenthold"
"amatwyshyn",3,"farenthold"
"AustinChamber",3,"farenthold"
"BabylonsLament",3,"farenthold"
"bennyjohnson",3,"farenthold"
"cardude01",3,"farenthold"
"CEA",3,"farenthold"
"ChristiCraddick",3,"farenthold"
"CollierForTexas",3,"farenthold"
"CPPIOnline",3,"farenthold"
"DailyCaller",3,"farenthold"
"Dell",3,"farenthold"
"DFWAirport",3,"farenthold"
"facebook",3,"farenthold"
"fema",3,"farenthold"
"flourbluffnews",3,"farenthold"
"Google",3,"farenthold"
"GPISD1",3,"farenthold"
"GregAbbott_TX",3,"farenthold"
"HouseCommerce",3,"farenthold"
"jdbalart",3,"farenthold"
"JudgeCarter",3,"farenthold"
"KyleMacdonaldUS",3,"farenthold"
"librarycongress",3,"farenthold"
"MartinShkreli",3,"farenthold"
"michaelcburgess",3,"farenthold"
"MichaelJCloud",3,"farenthold"
"Microsoft",3,"farenthold"
"NHC_Atlantic",3,"farenthold"
"PadreIslandNPS",3,"farenthold"
"politico",3,"farenthold"
"PortlandChambe1",3,"farenthold"
"RandPaul",3,"farenthold"
"RepAnnaEshoo",3,"farenthold"
"RepBetoORourke",3,"farenthold"
"RepBillJohnson",3,"farenthold"
"RepBillShuster",3,"farenthold"
"RepDeSantis",3,"farenthold"
"RepDianeBlack",3,"farenthold"
"RepKevinBrady",3,"farenthold"
"replouiegohmert",3,"farenthold"
"RepMcSally",3,"farenthold"
"reportermatt",3,"farenthold"
"RepPeteOlson",3,"farenthold"
"RepReneeEllmers",3,"farenthold"
"RepStephenLynch",3,"farenthold"
"RepTipton",3,"farenthold"
"RepTomMarino",3,"farenthold"
"RepTomPrice",3,"farenthold"
"russellgold",3,"farenthold"
"SouthwestAir",3,"farenthold"
"StateDept",3,"farenthold"
"TeamCavuto",3,"farenthold"
"tedcruz",3,"farenthold"
"tedlieu",3,"farenthold"
"TSA",3,"farenthold"
"TxDOT",3,"farenthold"
"Uber",3,"farenthold"
"UTAustin",3,"farenthold"
"AEPTexas",2,"farenthold"
"AJCRadio",2,"farenthold"
"AlaskaAir",2,"farenthold"
"alexisohanian",2,"farenthold"
"AmericanAir",2,"farenthold"
"AP",2,"farenthold"
"AransasPassCity",2,"farenthold"
"ArlingtonNatl",2,"farenthold"
"ASALifeline",2,"farenthold"
"ATCouncil",2,"farenthold"
"AUStinAirport",2,"farenthold"
"BGOV",2,"farenthold"
"BreitbartNews",2,"farenthold"
"calallenisd",2,"farenthold"
"cascott",2,"farenthold"
"cathymcmorris",2,"farenthold"
"ccaronline",2,"farenthold"
"celanese",2,"farenthold"
"CenDemTech",2,"farenthold"
"chobiester",2,"farenthold"
"ChrisPerezNow",2,"farenthold"
"CIA",2,"farenthold"
"cmbellanger",2,"farenthold"
"congbillposey",2,"farenthold"
"Congress_Events",2,"farenthold"
"CorpusChristiPD",2,"farenthold"
"craigmelvin",2,"farenthold"
"dallascowboys",2,"farenthold"
"DataCoalition",2,"farenthold"
"dcexaminer",2,"farenthold"
"DeptVetAffairs",2,"farenthold"
"DigitalLiberty",2,"farenthold"
"Discovery",2,"farenthold"
"dmhj",2,"farenthold"
"drpepper",2,"farenthold"
"EastBernardISD",2,"farenthold"
"EFF",2,"farenthold"
"ElDanielRod",2,"farenthold"
"emzanotti",2,"farenthold"
"Energy_Dialogue",2,"farenthold"
"EPA",2,"farenthold"
"FdA",2,"farenthold"
"FireEye",2,"farenthold"
"Ford",2,"farenthold"
"foxandfriends",2,"farenthold"
"FTC",2,"farenthold"
"geekwire",2,"farenthold"
"GovExec",2,"farenthold"
"Gresh49",2,"farenthold"
"GretchenCarlson",2,"farenthold"
"GroverNorquist",2,"farenthold"
"HerreraBeutler",2,"farenthold"
"HHSGov",2,"farenthold"
"HouseIntelComm",2,"farenthold"
"HouseSmallBiz",2,"farenthold"
"iConstituent",2,"farenthold"
"iFixit",2,"farenthold"
"iHeartRadio",2,"farenthold"
"ilusasha",2,"farenthold"
"Infosecjen",2,"farenthold"
"JaniceDean",2,"farenthold"
"JDBmsnbc",2,"farenthold"
"JimPressOffice",2,"farenthold"
"JoaquinCastrotx",2,"farenthold"
"JohnCornyn",2,"farenthold"
"joshabbottband",2,"farenthold"
"joshrogin",2,"farenthold"
"LCrenshaw",2,"farenthold"
"lyft",2,"farenthold"
"MarshaBlackburn",2,"farenthold"
"MikeKellyPA",2,"farenthold"
"MikeWolfe1240",2,"farenthold"
"mmasnick",2,"farenthold"
"mschlapp",2,"farenthold"
"NAIFAAdvocacy",2,"farenthold"
"NavalAcademy",2,"farenthold"
"NFIB",2,"farenthold"
"NFL",2,"farenthold"
"nranews",2,"farenthold"
"NSAIofficial",2,"farenthold"
"panjwaniPK",2,"farenthold"
"PepsiCo",2,"farenthold"
"PeteOlson",2,"farenthold"
"porfie_moreno",2,"farenthold"
"PortATexas",2,"farenthold"
"publicknowledge",2,"farenthold"
"rachelwolbers",2,"farenthold"
"Raul_Labrador",2,"farenthold"
"RedCross",2,"farenthold"
"RepChrisCollins",2,"farenthold"
"RepChuck",2,"farenthold"
"RepCummings",2,"farenthold"
"RepDennisRoss",2,"farenthold"
"RepDold",2,"farenthold"
"RepEBJ",2,"farenthold"
"RepEdRoyce",2,"farenthold"
"RepGosar",2,"farenthold"
"RepJeffDuncan",2,"farenthold"
"RepJeffries",2,"farenthold"
"RepJoeBarton",2,"farenthold"
"RepJohnConyers",2,"farenthold"
"RepKenMarchant",2,"farenthold"
"RepKristiNoem",2,"farenthold"
"RepMeehan",2,"farenthold"
"RepRussell",2,"farenthold"
"RepRWilliams",2,"farenthold"
"RepRyanCostello",2,"farenthold"
"RepSamGraves",2,"farenthold"
"RepScottPerry",2,"farenthold"
"RepSteveChabot",2,"farenthold"
"RepSwalwell",2,"farenthold"
"RFHS_Pirates",2,"farenthold"
"robu76",2,"farenthold"
"RockportFulton",2,"farenthold"
"SecretaryPerry",2,"farenthold"
"SenJohnThune",2,"farenthold"
"SenMikeLee",2,"farenthold"
"SenSasse",2,"farenthold"
"ShinerBeer",2,"farenthold"
"SintonPirates",2,"farenthold"
"SOTexas",2,"farenthold"
"SpeakerBoehner",2,"farenthold"
"Spotify",2,"farenthold"
"sxsw",2,"farenthold"
"symantec",2,"farenthold"
"TCBurrus",2,"farenthold"
