"Hashtag","Frequency","screen_name"
"HR5611",24,"justinamash"
"MI03",17,"justinamash"
"4thAmendment",16,"justinamash"
"ff",13,"justinamash"
"HR5606",12,"justinamash"
"liberty",8,"justinamash"
"PatriotAct",6,"justinamash"
"FISA702",5,"justinamash"
"HR5602",5,"justinamash"
"HR5607",5,"justinamash"
"S139",5,"justinamash"
"StopHR5611",5,"justinamash"
"GoBlue",4,"justinamash"
"LibertyAct",4,"justinamash"
"USARIGHTSAct",4,"justinamash"
"AHCA",3,"justinamash"
"NDAA",3,"justinamash"
"StopHR5606",3,"justinamash"
"teamliberty",3,"justinamash"
"USARIGHTS",3,"justinamash"
"EndExIm",2,"justinamash"
"ExIm",2,"justinamash"
"FL01",2,"justinamash"
"GetAWarrant",2,"justinamash"
"SConRes3",2,"justinamash"
"10thAmendment",1,"justinamash"
"2ndAmendment",1,"justinamash"
"BeTheNext",1,"justinamash"
"BillofRights",1,"justinamash"
"CatoUniversity",1,"justinamash"
"CBYX",1,"justinamash"
"Charlottesville",1,"justinamash"
"Constitution",1,"justinamash"
"ConstitutionDay",1,"justinamash"
"DACA",1,"justinamash"
"DrainTheSwamp",1,"justinamash"
"dystopia",1,"justinamash"
"EndCorporateWelfare",1,"justinamash"
"EndCronyism",1,"justinamash"
"FirstAmendment",1,"justinamash"
"FISA",1,"justinamash"
"FISAAmendmentsReauthorizationAct",1,"justinamash"
"FreedomAct",1,"justinamash"
"HR1227",1,"justinamash"
"HR4124",1,"justinamash"
"HRes323",1,"justinamash"
"HurricaneHarvey",1,"justinamash"
"HurricaneIrma",1,"justinamash"
"HurricaneMatthew",1,"justinamash"
"MinorityReport",1,"justinamash"
"NationalHotDogDay",1,"justinamash"
"Obamacare",1,"justinamash"
"PhilandoCastile",1,"justinamash"
"POTUS44",1,"justinamash"
"POTUS45",1,"justinamash"
"StarsofLife",1,"justinamash"
"StarTrek50",1,"justinamash"
"Swampcare",1,"justinamash"
"tbt",1,"justinamash"
"YALCon2016",1,"justinamash"
