"Hashtag","Frequency","screen_name"
"MI11",66,"repdavetrott"
"IranDeal",16,"repdavetrott"
"NoNuclearIran",8,"repdavetrott"
"SOTU",6,"repdavetrott"
"AmericasNewCongress",5,"repdavetrott"
"ChoiceAct",5,"repdavetrott"
"Obamacare",5,"repdavetrott"
"StopTheStunt",5,"repdavetrott"
"GreatLakes",4,"repdavetrott"
"IranTalks",4,"repdavetrott"
"KeystoneXL",4,"repdavetrott"
"Michigan",4,"repdavetrott"
"TaxCutsandJobsAct",4,"repdavetrott"
"AG100",3,"repdavetrott"
"ArmenianGenocide",3,"repdavetrott"
"BadDeal",3,"repdavetrott"
"Iran",3,"repdavetrott"
"POTUS",3,"repdavetrott"
"TimeToBuild",3,"repdavetrott"
"ArmedForcesDay",2,"repdavetrott"
"BetterWay",2,"repdavetrott"
"CHOICEact",2,"repdavetrott"
"ComebackState",2,"repdavetrott"
"Congress",2,"repdavetrott"
"FIBA",2,"repdavetrott"
"Inauguration2017",2,"repdavetrott"
"ISIS",2,"repdavetrott"
"JointSession",2,"repdavetrott"
"Livonia",2,"repdavetrott"
"MLKDay",2,"repdavetrott"
"NoDollarsForIran",2,"repdavetrott"
"opioid",2,"repdavetrott"
"OTD",2,"repdavetrott"
"PoliceWeek2017",2,"repdavetrott"
"PureMichigan",2,"repdavetrott"
"SecondAmendment",2,"repdavetrott"
"28Pages",1,"repdavetrott"
"4thOfJuly",1,"repdavetrott"
"529plans",1,"repdavetrott"
"AbrahamLincoln",1,"repdavetrott"
"AG1915",1,"repdavetrott"
"Armenia",1,"repdavetrott"
"ArmenianGenocideRecognition",1,"repdavetrott"
"ArmenianGenocideRemembranceDay",1,"repdavetrott"
"AuditTheFed",1,"repdavetrott"
"AwesomeClawsonKids",1,"repdavetrott"
"balancedbudget",1,"repdavetrott"
"BalancedBudget",1,"repdavetrott"
"BBA",1,"repdavetrott"
"BREAKING",1,"repdavetrott"
"Brussels",1,"repdavetrott"
"budget",1,"repdavetrott"
"calc",1,"repdavetrott"
"charity",1,"repdavetrott"
"cleareyesfullheartscantlose",1,"repdavetrott"
"ComebackCity",1,"repdavetrott"
"CongressionalArtCompetition",1,"repdavetrott"
"CongressionalBaseballGame",1,"repdavetrott"
"ConstitutionDay",1,"repdavetrott"
"DDay",1,"repdavetrott"
"DDay73",1,"repdavetrott"
"EagleScout",1,"repdavetrott"
"Easter",1,"repdavetrott"
"econclub",1,"repdavetrott"
"empowerment",1,"repdavetrott"
"EndFGM",1,"repdavetrott"
"EndTrafficking",1,"repdavetrott"
"Eurasia",1,"repdavetrott"
"Europe",1,"repdavetrott"
"FederalReserve",1,"repdavetrott"
"FF",1,"repdavetrott"
"FindYourPark",1,"repdavetrott"
"Freedom",1,"repdavetrott"
"FunFact",1,"repdavetrott"
"genocide",1,"repdavetrott"
"GenocidePrevention",1,"repdavetrott"
"GLRI",1,"repdavetrott"
"HALOSAct",1,"repdavetrott"
"Hero",1,"repdavetrott"
"HJC114",1,"repdavetrott"
"HolocaustRemembranceDay",1,"repdavetrott"
"House",1,"repdavetrott"
"HouseFloor",1,"repdavetrott"
"hpm",1,"repdavetrott"
"HR2255",1,"repdavetrott"
"inauguration2017",1,"repdavetrott"
"IndependenceDay",1,"repdavetrott"
"innovation",1,"repdavetrott"
"IRS",1,"repdavetrott"
"Israel",1,"repdavetrott"
"JointMeeting",1,"repdavetrott"
"KeepThePromise",1,"repdavetrott"
"LawEnforcementAppreciationDay",1,"repdavetrott"
"LeaderInMySelfie",1,"repdavetrott"
"LivoniaTransmission",1,"repdavetrott"
"Manchester",1,"repdavetrott"
"map",1,"repdavetrott"
"Medicare",1,"repdavetrott"
"MemorialDay",1,"repdavetrott"
"MichiganMade",1,"repdavetrott"
"MiddleEast",1,"repdavetrott"
"Milford",1,"repdavetrott"
"MSP100",1,"repdavetrott"
"NAIAS2018",1,"repdavetrott"
"nationallibraryweek",1,"repdavetrott"
"NetNeutrality",1,"repdavetrott"
"NorthAfrica",1,"repdavetrott"
"Northville",1,"repdavetrott"
"Novi",1,"repdavetrott"
"NYC",1,"repdavetrott"
"Onthisday",1,"repdavetrott"
"Orlando",1,"repdavetrott"
"Passover",1,"repdavetrott"
"peaceofficersmemorialday",1,"repdavetrott"
"PQLC",1,"repdavetrott"
"PSAs",1,"repdavetrott"
"PureMIchigan",1,"repdavetrott"
"RareDiseaseDay",1,"repdavetrott"
"Reagan",1,"repdavetrott"
"REINSAct",1,"repdavetrott"
"ReligiousFreedomDay",1,"repdavetrott"
"RonaldReagan",1,"repdavetrott"
"SEMichigan",1,"repdavetrott"
"seniors",1,"repdavetrott"
"SignTheBill",1,"repdavetrott"
"smallbusiness",1,"repdavetrott"
"SmallBusinessWeek",1,"repdavetrott"
"Spotlight",1,"repdavetrott"
"StandAtSheridan",1,"repdavetrott"
"SuperBowl",1,"repdavetrott"
"SyrianRefugees",1,"repdavetrott"
"SyriaStrikes",1,"repdavetrott"
"TeamScalise",1,"repdavetrott"
"TeamTrott",1,"repdavetrott"
"TimeToSign",1,"repdavetrott"
"TownHallMeeting",1,"repdavetrott"
"trafficking",1,"repdavetrott"
"travel",1,"repdavetrott"
"ucfs",1,"repdavetrott"
"USNavy",1,"repdavetrott"
"USSGeraldFord",1,"repdavetrott"
"USSGeraldRFord",1,"repdavetrott"
"veterans",1,"repdavetrott"
"Vietnam",1,"repdavetrott"
"WashingtonDC",1,"repdavetrott"
"WeThePeople",1,"repdavetrott"
"WhiteLake",1,"repdavetrott"
"WhiteLakeTownship",1,"repdavetrott"
"WW2",1,"repdavetrott"
