"Hashtag","Frequency","screen_name"
"TX01",168,"replouiegohmert"
"Obama",68,"replouiegohmert"
"Obamacare",48,"replouiegohmert"
"healthcare",47,"replouiegohmert"
"Congress",42,"replouiegohmert"
"DC",40,"replouiegohmert"
"FBI",40,"replouiegohmert"
"SCOTUS",40,"replouiegohmert"
"ISIS",35,"replouiegohmert"
"Texas",34,"replouiegohmert"
"GOP",31,"replouiegohmert"
"US",29,"replouiegohmert"
"IranDeal",25,"replouiegohmert"
"GohmertHour",24,"replouiegohmert"
"PlannedParenthood",24,"replouiegohmert"
"AHCA",22,"replouiegohmert"
"immigration",22,"replouiegohmert"
"taxreform",22,"replouiegohmert"
"WashingtonWatch",22,"replouiegohmert"
"Iran",21,"replouiegohmert"
"KarisLaw",19,"replouiegohmert"
"DOJ",18,"replouiegohmert"
"HillaryClinton",18,"replouiegohmert"
"Israel",17,"replouiegohmert"
"EPA",16,"replouiegohmert"
"IRS",16,"replouiegohmert"
"IranNuclearDeal",14,"replouiegohmert"
"DCWatchLIVE",13,"replouiegohmert"
"SOTU",13,"replouiegohmert"
"DACA",12,"replouiegohmert"
"DCwatchlive",12,"replouiegohmert"
"DHS",12,"replouiegohmert"
"ObamaCare",11,"replouiegohmert"
"terrorism",11,"replouiegohmert"
"WhiteHouse",11,"replouiegohmert"
"border",10,"replouiegohmert"
"prolife",10,"replouiegohmert"
"TaxReform",10,"replouiegohmert"
"ComeyHearing",9,"replouiegohmert"
"MiddleEast",9,"replouiegohmert"
"POTUS",9,"replouiegohmert"
"Benghazi",8,"replouiegohmert"
"BREAKING",8,"replouiegohmert"
"Charlottesville",8,"replouiegohmert"
"DCWatchLive",8,"replouiegohmert"
"SpeakerElection",8,"replouiegohmert"
"Trump",8,"replouiegohmert"
"TX",8,"replouiegohmert"
"borderwall",7,"replouiegohmert"
"CapitolHill",7,"replouiegohmert"
"ClintonEmails",7,"replouiegohmert"
"DemocraticSitIn",7,"replouiegohmert"
"ICE",7,"replouiegohmert"
"Immigration",7,"replouiegohmert"
"SpeakerRace",7,"replouiegohmert"
"WashingtonUpdate",7,"replouiegohmert"
"bordersecurity",6,"replouiegohmert"
"Clinton",6,"replouiegohmert"
"Constitution",6,"replouiegohmert"
"CWC114",6,"replouiegohmert"
"JointAddress",6,"replouiegohmert"
"NationalDayofPrayer",6,"replouiegohmert"
"nationalsecurity",6,"replouiegohmert"
"NDAA",6,"replouiegohmert"
"omnibus",6,"replouiegohmert"
"ProLife",6,"replouiegohmert"
"Russia",6,"replouiegohmert"
"WW2",6,"replouiegohmert"
"AwanBrothers",5,"replouiegohmert"
"BorderSecurity",5,"replouiegohmert"
"Comey",5,"replouiegohmert"
"CWC",5,"replouiegohmert"
"LorettaLynch",5,"replouiegohmert"
"MargaretSanger",5,"replouiegohmert"
"NSA",5,"replouiegohmert"
"Obamatrade",5,"replouiegohmert"
"Paris",5,"replouiegohmert"
"PatriotTonight",5,"replouiegohmert"
"SyrianRefugees",5,"replouiegohmert"
"USA",5,"replouiegohmert"
"veterans",5,"replouiegohmert"
"VeteransDay",5,"replouiegohmert"
"115thCongress",4,"replouiegohmert"
"AGSessions",4,"replouiegohmert"
"BorderWall",4,"replouiegohmert"
"Brexit",4,"replouiegohmert"
"Brussels",4,"replouiegohmert"
"CelebrateFreedom",4,"replouiegohmert"
"DefundPP",4,"replouiegohmert"
"DOI",4,"replouiegohmert"
"FISA",4,"replouiegohmert"
"FISAMemo",4,"replouiegohmert"
"GodBlessTexas",4,"replouiegohmert"
"guncontrol",4,"replouiegohmert"
"HappyBirthday",4,"replouiegohmert"
"HurricaneHarvey",4,"replouiegohmert"
"HydeAmendment",4,"replouiegohmert"
"immigrants",4,"replouiegohmert"
"ImranAwan",4,"replouiegohmert"
"JFRS",4,"replouiegohmert"
"NationalPoliceWeek",4,"replouiegohmert"
"NationalSecurity",4,"replouiegohmert"
"Omnibus",4,"replouiegohmert"
"refugee",4,"replouiegohmert"
"religiousliberty",4,"replouiegohmert"
"RoadToMajority",4,"replouiegohmert"
"Rosenstein",4,"replouiegohmert"
"Syrian",4,"replouiegohmert"
"Thanksgiving",4,"replouiegohmert"
"TSA",4,"replouiegohmert"
"WesternCaucus",4,"replouiegohmert"
"100YearsofAbuse",3,"replouiegohmert"
"2016Election",3,"replouiegohmert"
"America",3,"replouiegohmert"
"BreakingNews",3,"replouiegohmert"
"budget",3,"replouiegohmert"
"CBO",3,"replouiegohmert"
"CPAC2016",3,"replouiegohmert"
"Cuba",3,"replouiegohmert"
"cwc114",3,"replouiegohmert"
"Dallas",3,"replouiegohmert"
"Dobbs",3,"replouiegohmert"
"DoYourJob",3,"replouiegohmert"
"EastTexas",3,"replouiegohmert"
"energy",3,"replouiegohmert"
"FoxNews",3,"replouiegohmert"
"GITMO",3,"replouiegohmert"
"GodBlessOurTroops",3,"replouiegohmert"
"GRAMMYsOnTheHill",3,"replouiegohmert"
"Healthcare",3,"replouiegohmert"
"HeartbeatBill",3,"replouiegohmert"
"HonorFlight",3,"replouiegohmert"
"July4th",3,"replouiegohmert"
"Kilgore",3,"replouiegohmert"
"MemorialDay",3,"replouiegohmert"
"Mueller",3,"replouiegohmert"
"NiceAttack",3,"replouiegohmert"
"NorthKorea",3,"replouiegohmert"
"PopeFrancis",3,"replouiegohmert"
"PP",3,"replouiegohmert"
"radiorow",3,"replouiegohmert"
"RepealObamacare",3,"replouiegohmert"
"SanBernadino",3,"replouiegohmert"
"TaxDay",3,"replouiegohmert"
"TN",3,"replouiegohmert"
"TrumpTransition",3,"replouiegohmert"
"TylerVA",3,"replouiegohmert"
"UN",3,"replouiegohmert"
"USCapitol",3,"replouiegohmert"
"VarneyCo",3,"replouiegohmert"
"AmericanJobs",2,"replouiegohmert"
"amnesty",2,"replouiegohmert"
"Animas",2,"replouiegohmert"
"ArticleI",2,"replouiegohmert"
"August",2,"replouiegohmert"
"Balochistan",2,"replouiegohmert"
"Bergdahl",2,"replouiegohmert"
"BigBrother",2,"replouiegohmert"
"bipartisan",2,"replouiegohmert"
"BrusselsAttacks",2,"replouiegohmert"
"CBOSCORE",2,"replouiegohmert"
"Chattanooga",2,"replouiegohmert"
"ClintonEmail",2,"replouiegohmert"
"coal",2,"replouiegohmert"
"comeysmemos",2,"replouiegohmert"
"CR",2,"replouiegohmert"
"CUFIDC",2,"replouiegohmert"
"CUFIDECADESTRONG",2,"replouiegohmert"
"DallasPoliceShooting",2,"replouiegohmert"
"dcwatchlive",2,"replouiegohmert"
"DiversityVisaProgram",2,"replouiegohmert"
"DonaldTrump",2,"replouiegohmert"
"Egypt",2,"replouiegohmert"
"Election2016",2,"replouiegohmert"
"ETX",2,"replouiegohmert"
"executiveorder",2,"replouiegohmert"
"executiveorders",2,"replouiegohmert"
"FathersDay",2,"replouiegohmert"
"FCC",2,"replouiegohmert"
"FirstAmendment",2,"replouiegohmert"
"GoodFriday",2,"replouiegohmert"
"GOPDebate",2,"replouiegohmert"
"GOPTaxPlan",2,"replouiegohmert"
"GOPtaxreform",2,"replouiegohmert"
"GorsuchConfirmed",2,"replouiegohmert"
"GrahamCassidyBill",2,"replouiegohmert"
"gunmeasure",2,"replouiegohmert"
"Hannity",2,"replouiegohmert"
"HappyNewYear",2,"replouiegohmert"
"InauguralBall",2,"replouiegohmert"
"Inauguration",2,"replouiegohmert"
"Iowa",2,"replouiegohmert"
