"Hashtag","Frequency","screen_name"
"Trumpcare",17,"SenBobCasey"
"StopGorsuch",9,"SenBobCasey"
"SyriaStrikes",9,"SenBobCasey"
"ActOnClimate",5,"SenBobCasey"
"ClimateMarch",5,"SenBobCasey"
"NoBanNoWall",5,"SenBobCasey"
"TrumpCare",5,"SenBobCasey"
"AHCA",4,"SenBobCasey"
"PASpeaksOut",4,"SenBobCasey"
"EqualPayDay",3,"SenBobCasey"
"FlyEaglesFly",3,"SenBobCasey"
"LetLizSpeak",3,"SenBobCasey"
"Medicaid",3,"SenBobCasey"
"ReadtheBill",3,"SenBobCasey"
"ShowUsTheBill",3,"SenBobCasey"
"ABetterDeal",2,"SenBobCasey"
"ACA",2,"SenBobCasey"
"CassidyGraham",2,"SenBobCasey"
"CHIP",2,"SenBobCasey"
"JointSession",2,"SenBobCasey"
"NetNeutrality",2,"SenBobCasey"
"Olympics",2,"SenBobCasey"
"ProtectOurCare",2,"SenBobCasey"
"RejectMnuchin",2,"SenBobCasey"
"SB51",2,"SenBobCasey"
"SchoolsNeedMedicaid",2,"SenBobCasey"
"AgeTax",1,"SenBobCasey"
"AmericaSpeaksOut",1,"SenBobCasey"
"AskBobCasey",1,"SenBobCasey"
"Barcelona",1,"SenBobCasey"
"BCRA",1,"SenBobCasey"
"BeBoldForChange",1,"SenBobCasey"
"CaseyTownhall",1,"SenBobCasey"
"DefendCFPB",1,"SenBobCasey"
"DeVos",1,"SenBobCasey"
"DisabilityRightsAreCivilRights",1,"SenBobCasey"
"EarthDay",1,"SenBobCasey"
"eriepa",1,"SenBobCasey"
"FiestaBowl",1,"SenBobCasey"
"FTK",1,"SenBobCasey"
"GrahamCassidy",1,"SenBobCasey"
"HandsOffMyADA",1,"SenBobCasey"
"holdthefloor",1,"SenBobCasey"
"HoldTheFloor",1,"SenBobCasey"
"IgniteMyFuture",1,"SenBobCasey"
"IWD",1,"SenBobCasey"
"JFK100",1,"SenBobCasey"
"JointAddress",1,"SenBobCasey"
"July4th",1,"SenBobCasey"
"LetHerSpeak",1,"SenBobCasey"
"LGBTQ",1,"SenBobCasey"
"LibertyMedal",1,"SenBobCasey"
"Luge",1,"SenBobCasey"
"MemorialDay",1,"SenBobCasey"
"MLKDayofService",1,"SenBobCasey"
"NationalAgDay",1,"SenBobCasey"
"NoCutsNoCaps",1,"SenBobCasey"
"NoDeVos",1,"SenBobCasey"
"NoSessions",1,"SenBobCasey"
"NursesWeek",1,"SenBobCasey"
"ParisAgreement",1,"SenBobCasey"
"PyeongChang2018",1,"SenBobCasey"
"RoshHashanah",1,"SenBobCasey"
"SaveMedicaid",1,"SenBobCasey"
"sotu",1,"SenBobCasey"
"StampOutHunger",1,"SenBobCasey"
"STEM",1,"SenBobCasey"
"SuperBowl",1,"SenBobCasey"
"swampcabinet",1,"SenBobCasey"
"SwampCabinet",1,"SenBobCasey"
"THON2017",1,"SenBobCasey"
"TownHall",1,"SenBobCasey"
"Trumprussia",1,"SenBobCasey"
"TrumpRussia",1,"SenBobCasey"
"USWNT",1,"SenBobCasey"
"Vaisakhi",1,"SenBobCasey"
"WeAre",1,"SenBobCasey"
"WomensMarch",1,"SenBobCasey"
