"Hashtag","Frequency","screen_name"
"DemTownHall",26,"RandPaul"
"StandwithRand",18,"RandPaul"
"GOPDebate",17,"RandPaul"
"AiringofGrievances",13,"RandPaul"
"RandRally",13,"RandPaul"
"debatenight",9,"RandPaul"
"HappyFestivus",9,"RandPaul"
"FullRepeal",7,"RandPaul"
"JointAddress",7,"RandPaul"
"KYPrimary",7,"RandPaul"
"Periscope",7,"RandPaul"
"GrahamCassidy",6,"RandPaul"
"WednesdayWisdom",6,"RandPaul"
"AuditTheFed",5,"RandPaul"
"FreedomFest",5,"RandPaul"
"iacaucus",4,"RandPaul"
"IAcaucus",4,"RandPaul"
"IndependenceDay",4,"RandPaul"
"kycaucus",4,"RandPaul"
"StandWithRand",4,"RandPaul"
"FlashbackFriday",3,"RandPaul"
"IowaCaucus",3,"RandPaul"
"NewMajority",3,"RandPaul"
"RepealAndReplace",3,"RandPaul"
"ThrowbackThursday",3,"RandPaul"
"AprilFools",2,"RandPaul"
"CongressionalBaseball",2,"RandPaul"
"EKU",2,"RandPaul"
"electionday",2,"RandPaul"
"FancyFarm",2,"RandPaul"
"Festivus",2,"RandPaul"
"FISA",2,"RandPaul"
"HealthcareBill",2,"RandPaul"
"Iowacaucus",2,"RandPaul"
"KYGOPLD",2,"RandPaul"
"liberty",2,"RandPaul"
"Liberty",2,"RandPaul"
"standwithRand",2,"RandPaul"
"AHCA",1,"RandPaul"
"AHP",1,"RandPaul"
"allvotesmatter",1,"RandPaul"
"AsiaBibi",1,"RandPaul"
"auditthefed",1,"RandPaul"
"AudittheFed",1,"RandPaul"
"BBN",1,"RandPaul"
"BeatTennessee",1,"RandPaul"
"BillofRights",1,"RandPaul"
"busTed",1,"RandPaul"
"caucus",1,"RandPaul"
"caucuseve",1,"RandPaul"
"cleanrepeal",1,"RandPaul"
"DACA",1,"RandPaul"
"DemDebate",1,"RandPaul"
"DemsInPhilly",1,"RandPaul"
"DEMTOWNHALL",1,"RandPaul"
"DJ",1,"RandPaul"
"eaglecollegians",1,"RandPaul"
"EarthDay",1,"RandPaul"
"ElectionDay",1,"RandPaul"
"endorsingentropy",1,"RandPaul"
"FairandBalanced",1,"RandPaul"
"FathersDay",1,"RandPaul"
"festivus",1,"RandPaul"
"FILIBUSTER",1,"RandPaul"
"FISAreform",1,"RandPaul"
"FITN",1,"RandPaul"
"FourthofJuly",1,"RandPaul"
"GameofThrones",1,"RandPaul"
"GetAWarrant",1,"RandPaul"
"GoodFriday",1,"RandPaul"
"grahamCassidy",1,"RandPaul"
"GrahamCassidyِ",1,"RandPaul"
"GrahamCassidyBill",1,"RandPaul"
"healthcare",1,"RandPaul"
"HempHistoryWeek",1,"RandPaul"
"HurricaneMatthew",1,"RandPaul"
"IACaucus",1,"RandPaul"
"Iowa",1,"RandPaul"
"ISFLC17",1,"RandPaul"
"Jointsession",1,"RandPaul"
"KY225",1,"RandPaul"
"KYprimary",1,"RandPaul"
"LibertyLover",1,"RandPaul"
"LLWS2016",1,"RandPaul"
"MarchforLife",1,"RandPaul"
"MartinLutherKing",1,"RandPaul"
"MemoDay",1,"RandPaul"
"MemorialDay",1,"RandPaul"
"MemorialDay2016",1,"RandPaul"
"MLKDAY",1,"RandPaul"
"mn02",1,"RandPaul"
"mngop",1,"RandPaul"
"mogov",1,"RandPaul"
"MothersDay",1,"RandPaul"
"NationalDayofPrayer",1,"RandPaul"
"NationalFarmersDay",1,"RandPaul"
"NationalUnicornDay",1,"RandPaul"
"neverforget",1,"RandPaul"
"NeverForget",1,"RandPaul"
"newmajority",1,"RandPaul"
"NRAAM",1,"RandPaul"
"nvleg",1,"RandPaul"
"ObamacareAmnesty",1,"RandPaul"
"ObamacareLite",1,"RandPaul"
"Obamacarerepeal",1,"RandPaul"
"PeaceDay",1,"RandPaul"
"PresidentsDay",1,"RandPaul"
"RepealandReplace",1,"RandPaul"
"ROStrawPoll",1,"RandPaul"
"SchoolChoice",1,"RandPaul"
"September11",1,"RandPaul"
"SourSixteen",1,"RandPaul"
"SuperTuesday",1,"RandPaul"
"TANSTAFL",1,"RandPaul"
"taxday",1,"RandPaul"
"tbt",1,"RandPaul"
"TBT",1,"RandPaul"
"TeamRand",1,"RandPaul"
"ToneDownForWhat",1,"RandPaul"
"TravelTuesday",1,"RandPaul"
"WeAreN",1,"RandPaul"
"WhichHillary",1,"RandPaul"
"winterstorm",1,"RandPaul"
"WYpol",1,"RandPaul"
"WYvote",1,"RandPaul"
