"Hashtag","Frequency","screen_name"
"HSGAC",107,"SenRonJohnson"
"RightToTry",52,"SenRonJohnson"
"SOTU",30,"SenRonJohnson"
"ISIS",27,"SenRonJohnson"
"JosephProjectWI",27,"SenRonJohnson"
"WI",24,"SenRonJohnson"
"TomahVA",18,"SenRonJohnson"
"Obamacare",15,"SenRonJohnson"
"Wisconsin",15,"SenRonJohnson"
"OrlandoShooting",14,"SenRonJohnson"
"SchoolChoice",14,"SenRonJohnson"
"IranDeal",13,"SenRonJohnson"
"OnWisconsin",12,"SenRonJohnson"
"MFGDay15",11,"SenRonJohnson"
"GoPackGo",10,"SenRonJohnson"
"veterans",10,"SenRonJohnson"
"BorderSecurity",9,"SenRonJohnson"
"Badgers",8,"SenRonJohnson"
"NatlPrep",8,"SenRonJohnson"
"BadIranDeal",7,"SenRonJohnson"
"FundDHS",7,"SenRonJohnson"
"MKE",7,"SenRonJohnson"
"SCOTUS",7,"SenRonJohnson"
"GreenBay",6,"SenRonJohnson"
"MarchMadness",6,"SenRonJohnson"
"TSA",6,"SenRonJohnson"
"USGLCWI",6,"SenRonJohnson"
"VA",6,"SenRonJohnson"
"VeteransDay",6,"SenRonJohnson"
"WWII",6,"SenRonJohnson"
"border",5,"SenRonJohnson"
"Immigration",5,"SenRonJohnson"
"ManufacturingDay",5,"SenRonJohnson"
"OpioidEpidemic",5,"SenRonJohnson"
"RonsSupperClubTour",5,"SenRonJohnson"
"AnswerRonJohnson",4,"SenRonJohnson"
"ClintonEmails",4,"SenRonJohnson"
"ConfirmGorsuch",4,"SenRonJohnson"
"CyberAttacks",4,"SenRonJohnson"
"GuessMyGuest",4,"SenRonJohnson"
"HonorFlight",4,"SenRonJohnson"
"IRS",4,"SenRonJohnson"
"PuertoRico",4,"SenRonJohnson"
"schoolchoice",4,"SenRonJohnson"
"SOFAAct",4,"SenRonJohnson"
"WOTUS",4,"SenRonJohnson"
"Zika",4,"SenRonJohnson"
"ACA",3,"SenRonJohnson"
"AdventuresInDairyland",3,"SenRonJohnson"
"cranberry",3,"SenRonJohnson"
"DHS",3,"SenRonJohnson"
