"Hashtag","Frequency","screen_name"
"ncpol",148,"SenThomTillis"
"veterans",47,"SenThomTillis"
"MatthewNC",36,"SenThomTillis"
"NorthCarolina",33,"SenThomTillis"
"IranDeal",30,"SenThomTillis"
"KeepPounding",27,"SenThomTillis"
"TaxReform",22,"SenThomTillis"
"SCOTUS",18,"SenThomTillis"
"NDAA",17,"SenThomTillis"
"VA",16,"SenThomTillis"
"SB50",15,"SenThomTillis"
"Obamacare",12,"SenThomTillis"
"SOTU",12,"SenThomTillis"
"Veterans",12,"SenThomTillis"
"VeteransDay",12,"SenThomTillis"
"KeystoneXL",11,"SenThomTillis"
"military",10,"SenThomTillis"
"ncag",10,"SenThomTillis"
"DACA",9,"SenThomTillis"
"healthcare",9,"SenThomTillis"
"HurricaneMatthew",8,"SenThomTillis"
"TPP",8,"SenThomTillis"
"HBD",7,"SenThomTillis"
"immigration",7,"SenThomTillis"
"MarchMadness",7,"SenThomTillis"
"NCRecovers",7,"SenThomTillis"
"SASC",7,"SenThomTillis"
"SUCCEEDAct",7,"SenThomTillis"
"TSAbad",7,"SenThomTillis"
"TSAgood",7,"SenThomTillis"
"AirForce",6,"SenThomTillis"
"bipartisan",6,"SenThomTillis"
"BlackHistoryMonth",6,"SenThomTillis"
"CARA",6,"SenThomTillis"
"FinancingGrowth",6,"SenThomTillis"
"ncga",6,"SenThomTillis"
"ENDALZ",5,"SenThomTillis"
"ImmigrationReform",5,"SenThomTillis"
"LIUB",5,"SenThomTillis"
"NC",5,"SenThomTillis"
"RepealObamacare",5,"SenThomTillis"
"Senate",5,"SenThomTillis"
"Army",4,"SenThomTillis"
"Autism",4,"SenThomTillis"
"backtowork",4,"SenThomTillis"
"BidenRule",4,"SenThomTillis"
"bipartisanship",4,"SenThomTillis"
"FinalFour",4,"SenThomTillis"
"Gitmo",4,"SenThomTillis"
"HeelsLockIn",4,"SenThomTillis"
"internship",4,"SenThomTillis"
"MemorialDay",4,"SenThomTillis"
"MLKDay",4,"SenThomTillis"
"ncsen",4,"SenThomTillis"
"ncwx",4,"SenThomTillis"
"RestoreMainStreetLending",4,"SenThomTillis"
"TobaccoCarveout",4,"SenThomTillis"
"Zika",4,"SenThomTillis"
"2017inReview",3,"SenThomTillis"
"22Kill",3,"SenThomTillis"
"BacktheBlue",3,"SenThomTillis"
"CampLejeune",3,"SenThomTillis"
"Charlotte",3,"SenThomTillis"
"DoYourJob",3,"SenThomTillis"
"EndALZ",3,"SenThomTillis"
"EndAlzheimers",3,"SenThomTillis"
"Eugenics",3,"SenThomTillis"
"family",3,"SenThomTillis"
"FortBragg",3,"SenThomTillis"
"GetIntoIt",3,"SenThomTillis"
"immigrationreform",3,"SenThomTillis"
"Marines",3,"SenThomTillis"
"NationalDonutDay",3,"SenThomTillis"
"NationalPoliceWeek",3,"SenThomTillis"
"NCCALJ",3,"SenThomTillis"
"NobelPrize",3,"SenThomTillis"
"northcarolina",3,"SenThomTillis"
"Panthers",3,"SenThomTillis"
"POTUS",3,"SenThomTillis"
"SchoolChoice",3,"SenThomTillis"
"SchumerShutdown",3,"SenThomTillis"
"service",3,"SenThomTillis"
"servicemembers",3,"SenThomTillis"
"SmallBiz",3,"SenThomTillis"
"StopSanctuaryCities",3,"SenThomTillis"
"SupremeCourt",3,"SenThomTillis"
"tbt",3,"SenThomTillis"
"TrueLeaders",3,"SenThomTillis"
"USMC",3,"SenThomTillis"
"veteran",3,"SenThomTillis"
"Veteran",3,"SenThomTillis"
"22pushups",2,"SenThomTillis"
"4thOfJuly",2,"SenThomTillis"
"ACLICapChallenge",2,"SenThomTillis"
"agday2016",2,"SenThomTillis"
"alzforum",2,"SenThomTillis"
"ArmyBDay",2,"SenThomTillis"
"autism",2,"SenThomTillis"
"balancedbudget",2,"SenThomTillis"
"CampLiberty",2,"SenThomTillis"
"cannabidiol",2,"SenThomTillis"
"CapChallenge",2,"SenThomTillis"
"caregivers",2,"SenThomTillis"
"CHIP",2,"SenThomTillis"
"CJReform",2,"SenThomTillis"
"ClayHuntSAVAct",2,"SenThomTillis"
"CleanPowerPlan",2,"SenThomTillis"
"ConfirmGorsuch",2,"SenThomTillis"
"Congress",2,"SenThomTillis"
"DC",2,"SenThomTillis"
"DDay",2,"SenThomTillis"
"EarnedIt",2,"SenThomTillis"
"EndChildhoodCancer",2,"SenThomTillis"
"EndItMovement",2,"SenThomTillis"
"EndSlaveryAct",2,"SenThomTillis"
"ESSA",2,"SenThomTillis"
"eugenics",2,"SenThomTillis"
"FAA",2,"SenThomTillis"
"FathersDay",2,"SenThomTillis"
"FlagDay",2,"SenThomTillis"
"GoHeels",2,"SenThomTillis"
"Gold2017",2,"SenThomTillis"
"HappyEaster",2,"SenThomTillis"
"HappyHolidays",2,"SenThomTillis"
"HappyNewYear",2,"SenThomTillis"
"hbd",2,"SenThomTillis"
"HBOB",2,"SenThomTillis"
"HermineNC",2,"SenThomTillis"
"HiddenHeroesHearing",2,"SenThomTillis"
"HumanRights",2,"SenThomTillis"
"ICANN",2,"SenThomTillis"
"Immigration",2,"SenThomTillis"
"ISIS",2,"SenThomTillis"
"jobs",2,"SenThomTillis"
"JointAddress",2,"SenThomTillis"
"KnowFH",2,"SenThomTillis"
"lawenforcement",2,"SenThomTillis"
"LCTeachInst",2,"SenThomTillis"
"leadership",2,"SenThomTillis"
"LightItUpBlue",2,"SenThomTillis"
"MagicOfStorytelling",2,"SenThomTillis"
"Marine",2,"SenThomTillis"
"MatthewAftermath",2,"SenThomTillis"
"MerryChristmas",2,"SenThomTillis"
"Military",2,"SenThomTillis"
"minibottlemessage",2,"SenThomTillis"
"NationalAgDay",2,"SenThomTillis"
"NationalDogDay",2,"SenThomTillis"
"NationalPigDay",2,"SenThomTillis"
"NationalPuppyDay",2,"SenThomTillis"
"NationalSelfieDay",2,"SenThomTillis"
"NeverForget",2,"SenThomTillis"
"NFCChampionship",2,"SenThomTillis"
"NursesWeek",2,"SenThomTillis"
"Orlando",2,"SenThomTillis"
"PanthersNation",2,"SenThomTillis"
"PearlHarbor74",2,"SenThomTillis"
"police",2,"SenThomTillis"
"PurpleHeartDay",2,"SenThomTillis"
"Raleigh",2,"SenThomTillis"
"ReadyNC",2,"SenThomTillis"
"RegeneronSTS",2,"SenThomTillis"
"Rio2016",2,"SenThomTillis"
"SEASAM",2,"SenThomTillis"
"SEAvsCAR",2,"SenThomTillis"
"SecDef",2,"SenThomTillis"
"September11",2,"SenThomTillis"
"Servicemembers",2,"SenThomTillis"
"ShopSmall",2,"SenThomTillis"
"snapchat",2,"SenThomTillis"
"SOHillDay",2,"SenThomTillis"
"StPatricksDay",2,"SenThomTillis"
"SuperBowlCity",2,"SenThomTillis"
"taxreform",2,"SenThomTillis"
"TeamUSA",2,"SenThomTillis"
"ThankATeacher",2,"SenThomTillis"
"ThisDayInHistory",2,"SenThomTillis"
"tobaccocarveout",2,"SenThomTillis"
"UNCBBall",2,"SenThomTillis"
"VAbenefits",2,"SenThomTillis"
"VeteransFirst",2,"SenThomTillis"
"WeAreGuard",2,"SenThomTillis"
"WinstonSalem",2,"SenThomTillis"
"WPCD",2,"SenThomTillis"
"15YearsLater",1,"SenThomTillis"
"2017BoysNation",1,"SenThomTillis"
"22Pushups",1,"SenThomTillis"
"AAW100",1,"SenThomTillis"
"AbrahamLincoln",1,"SenThomTillis"
"AbrahamLincolnBirthday",1,"SenThomTillis"
"ACA",1,"SenThomTillis"
"ACCTourney",1,"SenThomTillis"
"ADA",1,"SenThomTillis"
"adoptionangels",1,"SenThomTillis"
"adoptiongives",1,"SenThomTillis"
"adoptionmonth",1,"SenThomTillis"
"AFBday",1,"SenThomTillis"
"AFBF18",1,"SenThomTillis"
"AgDay2015",1,"SenThomTillis"
"agriculture",1,"SenThomTillis"
"ALAGirlsNation17",1,"SenThomTillis"
"Albania",1,"SenThomTillis"
"ALS",1,"SenThomTillis"
"ALSAware",1,"SenThomTillis"
"ALSAwarenessMonth",1,"SenThomTillis"
"Alzheimer",1,"SenThomTillis"
"Alzheimers",1,"SenThomTillis"
"AM2DM",1,"SenThomTillis"
"American",1,"SenThomTillis"
"ArmedForcesDay",1,"SenThomTillis"
"Asheville",1,"SenThomTillis"
"AttorneyGeneral",1,"SenThomTillis"
"AuditTheFed",1,"SenThomTillis"
"AutismAwareness",1,"SenThomTillis"
"AutismAwarenessDay",1,"SenThomTillis"
"AvianFlu",1,"SenThomTillis"
"aviation",1,"SenThomTillis"
"BackTheBlue",1,"SenThomTillis"
"BadIranDeal",1,"SenThomTillis"
"BalancedBudget",1,"SenThomTillis"
"BalancedBudgetAmendment",1,"SenThomTillis"
"Barcelona",1,"SenThomTillis"
"BastilleDay",1,"SenThomTillis"
"BatonRouge",1,"SenThomTillis"
"BeatSeattle",1,"SenThomTillis"
"BeThere",1,"SenThomTillis"
"bipawtisan",1,"SenThomTillis"
"bipawtisanship",1,"SenThomTillis"
"BlackFriday",1,"SenThomTillis"
"bleedingdisorders",1,"SenThomTillis"
"blessed",1,"SenThomTillis"
"blizzard",1,"SenThomTillis"
"BofAStudentLeaders",1,"SenThomTillis"
"BorderSecurity",1,"SenThomTillis"
"BostonMarathon",1,"SenThomTillis"
"brcmmasters",1,"SenThomTillis"
"Brussels",1,"SenThomTillis"
"BSA2016RTN",1,"SenThomTillis"
"BSAImpact",1,"SenThomTillis"
"Cancer",1,"SenThomTillis"
"CapitolHill",1,"SenThomTillis"
"CARvsDAL",1,"SenThomTillis"
"CARvsSEA",1,"SenThomTillis"
"CatsAreWild",1,"SenThomTillis"
"ChampionsForKids",1,"SenThomTillis"
"Charlottesville",1,"SenThomTillis"
"CharterSchoolsWeek",1,"SenThomTillis"
"Chattanooga",1,"SenThomTillis"
"Chechnya",1,"SenThomTillis"
"ChildRescueNtwk",1,"SenThomTillis"
"ChristmasEve",1,"SenThomTillis"
"clt",1,"SenThomTillis"
"CLT",1,"SenThomTillis"
"CMAawards",1,"SenThomTillis"
"CNNHeroes",1,"SenThomTillis"
"commitment",1,"SenThomTillis"
"ConstitutionDay2016",1,"SenThomTillis"
"courage",1,"SenThomTillis"
"Cuba",1,"SenThomTillis"
"CuresNow",1,"SenThomTillis"
"cybersecurity",1,"SenThomTillis"
"Dallas",1,"SenThomTillis"
"DayOfTheDeployed",1,"SenThomTillis"
"dcwx",1,"SenThomTillis"
"DDay73",1,"SenThomTillis"
"defense",1,"SenThomTillis"
"defensecontractors",1,"SenThomTillis"
"DefundPlannedParenthood",1,"SenThomTillis"
"DefundPP",1,"SenThomTillis"
"Democrats",1,"SenThomTillis"
"DitchTheRule",1,"SenThomTillis"
"DontVetoNDAA",1,"SenThomTillis"
"doodle4google",1,"SenThomTillis"
"DreamSmallBiz",1,"SenThomTillis"
"DrSeussDay",1,"SenThomTillis"
"dukecancer",1,"SenThomTillis"
"eCities",1,"SenThomTillis"
"eCity",1,"SenThomTillis"
"economy",1,"SenThomTillis"
"ECUndaunted",1,"SenThomTillis"
"education",1,"SenThomTillis"
"Election2016",1,"SenThomTillis"
"ElectionDay",1,"SenThomTillis"
"ElizabethCity",1,"SenThomTillis"
"Elon",1,"SenThomTillis"
"ElonDay",1,"SenThomTillis"
"endALZ",1,"SenThomTillis"
"endchildhoodcancer",1,"SenThomTillis"
"endtrafficking",1,"SenThomTillis"
"EnergyIsGood",1,"SenThomTillis"
"executiveaction",1,"SenThomTillis"
"facts",1,"SenThomTillis"
"FatTuesday",1,"SenThomTillis"
"Fayetteville",1,"SenThomTillis"
"FAYETTEVILLE",1,"SenThomTillis"
"federal",1,"SenThomTillis"
"FinalBudget",1,"SenThomTillis"
"FindYourPark",1,"SenThomTillis"
"FireballRun",1,"SenThomTillis"
"firefighters",1,"SenThomTillis"
"FixNCLB",1,"SenThomTillis"
"FLL",1,"SenThomTillis"
"ForeverGIBill",1,"SenThomTillis"
"ForeverToThee",1,"SenThomTillis"
"FortLauderdale",1,"SenThomTillis"
"freedom",1,"SenThomTillis"
"FundOurTroops",1,"SenThomTillis"
"GDP",1,"SenThomTillis"
"Genworth",1,"SenThomTillis"
"getonyourfeetdeaconfans",1,"SenThomTillis"
"girlscoutsrock",1,"SenThomTillis"
"GITMO",1,"SenThomTillis"
"GivingTuesday",1,"SenThomTillis"
"GoDuke",1,"SenThomTillis"
"GOLD2016",1,"SenThomTillis"
"golf",1,"SenThomTillis"
"Google",1,"SenThomTillis"
"GOP",1,"SenThomTillis"
"gopack",1,"SenThomTillis"
"GoPack",1,"SenThomTillis"
"GOPresponse",1,"SenThomTillis"
"Gorsuch",1,"SenThomTillis"
"GorsuchHearing",1,"SenThomTillis"
"GRAMMYs",1,"SenThomTillis"
"GreatMindsThinkAlike",1,"SenThomTillis"
"GroundhogDay",1,"SenThomTillis"
"gsGoldAward",1,"SenThomTillis"
"hamradio",1,"SenThomTillis"
"HappyBirthdayMarines",1,"SenThomTillis"
"HappyFatherDay",1,"SenThomTillis"
"HappyHalloween",1,"SenThomTillis"
"HappyIndependenceDay",1,"SenThomTillis"
"HappyStPatricksDay",1,"SenThomTillis"
"HappyThanksgiving",1,"SenThomTillis"
"HappyValentinesDay",1,"SenThomTillis"
"HB2",1,"SenThomTillis"
"HBCU",1,"SenThomTillis"
"HBCUFlyIn",1,"SenThomTillis"
"HBCUs",1,"SenThomTillis"
"HCASC",1,"SenThomTillis"
"help",1,"SenThomTillis"
"HiddenHeroes",1,"SenThomTillis"
"HiddenHeroesLaunch",1,"SenThomTillis"
"honor",1,"SenThomTillis"
"Honor911",1,"SenThomTillis"
"hornets",1,"SenThomTillis"
"Hospice",1,"SenThomTillis"
"HospiceMonth",1,"SenThomTillis"
"hpm",1,"SenThomTillis"
"HumanitarianDay",1,"SenThomTillis"
"HumanRightsDay",1,"SenThomTillis"
"HungerActionDay",1,"SenThomTillis"
"HungerActionMonth",1,"SenThomTillis"
"hurricaneseason",1,"SenThomTillis"
"Huskers",1,"SenThomTillis"
"inauguration",1,"SenThomTillis"
"Inauguration",1,"SenThomTillis"
"Inauguration2017",1,"SenThomTillis"
"IndependenceDay",1,"SenThomTillis"
"InGodWeTrust",1,"SenThomTillis"
"InternationalWomensDay",1,"SenThomTillis"
"internships",1,"SenThomTillis"
"Iran",1,"SenThomTillis"
"IranProtests",1,"SenThomTillis"
"IRegistered",1,"SenThomTillis"
"Irma",1,"SenThomTillis"
"Israel",1,"SenThomTillis"
"JustKeepDancing",1,"SenThomTillis"
"juvenilejustice",1,"SenThomTillis"
"JVTA",1,"SenThomTillis"
"KingvBurwell",1,"SenThomTillis"
"LaborDay",1,"SenThomTillis"
"LawEnforcementAppreciationDay",1,"SenThomTillis"
"LEAD2016",1,"SenThomTillis"
"LeadingtheWay17",1,"SenThomTillis"
"LetsDance",1,"SenThomTillis"
"LibrariesTransform",1,"SenThomTillis"
"London",1,"SenThomTillis"
"LoveNCZoo",1,"SenThomTillis"
"LoveTwitter",1,"SenThomTillis"
"LTC",1,"SenThomTillis"
"LTCSymposium2016",1,"SenThomTillis"
"malaria",1,"SenThomTillis"
"Manchester",1,"SenThomTillis"
"ManningIsATraitor",1,"SenThomTillis"
"mansbestfriend",1,"SenThomTillis"
"MarchforLife",1,"SenThomTillis"
"marines",1,"SenThomTillis"
"marinesbday",1,"SenThomTillis"
"Mattis",1,"SenThomTillis"
"MCSO",1,"SenThomTillis"
"MECFS",1,"SenThomTillis"
"MeckSheriff",1,"SenThomTillis"
"Megalodon",1,"SenThomTillis"
"MemoryStrings",1,"SenThomTillis"
"MilitaryAppreciationMonth",1,"SenThomTillis"
"milkids",1,"SenThomTillis"
"MilKids",1,"SenThomTillis"
"millionsmissing",1,"SenThomTillis"
"MissAinDC",1,"SenThomTillis"
"MothersDay",1,"SenThomTillis"
"Munich",1,"SenThomTillis"
"MusicEducatorAward",1,"SenThomTillis"
"NationalAirborneDay",1,"SenThomTillis"
"NationalAnthem",1,"SenThomTillis"
"NationalChampions",1,"SenThomTillis"
"NationalCoffeeDay",1,"SenThomTillis"
"NationalDayofPrayer",1,"SenThomTillis"
"NationalFriedChickenDay",1,"SenThomTillis"
"NationalHaveFunAtWorkDay",1,"SenThomTillis"
"NationalInternDay",1,"SenThomTillis"
"NationalMissingChildrensDay",1,"SenThomTillis"
"NationalNursesDay",1,"SenThomTillis"
"NationalPeanutDay",1,"SenThomTillis"
"NationalPetDay",1,"SenThomTillis"
"NationalPrayerBreakfast",1,"SenThomTillis"
"NationalPrayerDay",1,"SenThomTillis"
"nationalsecurity",1,"SenThomTillis"
"NationalSiblingsDay",1,"SenThomTillis"
"NationalTeachersDay",1,"SenThomTillis"
"NationalVoterRegistrationDay",1,"SenThomTillis"
"NationalWineDay",1,"SenThomTillis"
"natladoptionday",1,"SenThomTillis"
"NatlPrep",1,"SenThomTillis"
"nc",1,"SenThomTillis"
"nc06",1,"SenThomTillis"
"nc4life",1,"SenThomTillis"
"NCAAChampionship",1,"SenThomTillis"
"NCAATournament",1,"SenThomTillis"
"ncaaW",1,"SenThomTillis"
"NCAgriculture",1,"SenThomTillis"
"NCAT",1,"SenThomTillis"
"NCFB16",1,"SenThomTillis"
"NCGA",1,"SenThomTillis"
"ncgov",1,"SenThomTillis"
"NCNG",1,"SenThomTillis"
"ncwildfires",1,"SenThomTillis"
"nczoo",1,"SenThomTillis"
"Nebraska",1,"SenThomTillis"
"NursesDay",1,"SenThomTillis"
"nutrition",1,"SenThomTillis"
"Obama",1,"SenThomTillis"
"ObamaCare",1,"SenThomTillis"
"ObamacareFail",1,"SenThomTillis"
"omnibus",1,"SenThomTillis"
"OneCarolina",1,"SenThomTillis"
"OperationExodus",1,"SenThomTillis"
"opinion",1,"SenThomTillis"
"opioidepidemic",1,"SenThomTillis"
"PacktheQC",1,"SenThomTillis"
"PANCaware",1,"SenThomTillis"
"pancreaticcancer",1,"SenThomTillis"
"Paris",1,"SenThomTillis"
"PassCARA",1,"SenThomTillis"
"passport",1,"SenThomTillis"
"PearlHarbor",1,"SenThomTillis"
"PowerOfFresh",1,"SenThomTillis"
"POWMIA",1,"SenThomTillis"
"Prayers4Paris",1,"SenThomTillis"
"PrayForLondon",1,"SenThomTillis"
"PrayForNice",1,"SenThomTillis"
"PresidentsDay",1,"SenThomTillis"
"PreventVetSuicide",1,"SenThomTillis"
"ProudDad",1,"SenThomTillis"
"PruSpirit2015",1,"SenThomTillis"
"PruSpirit2017",1,"SenThomTillis"
"PTSD",1,"SenThomTillis"
"RaiseTheAgeNC",1,"SenThomTillis"
