"Mention","Frequency","screen_name"
"hughhewitt",125,"SenTomCotton"
"newsradio1029",111,"SenTomCotton"
"SASCMajority",52,"SenTomCotton"
"ArkansasOnline",34,"SenTomCotton"
"dcexaminer",32,"SenTomCotton"
"Morning_Joe",29,"SenTomCotton"
"WSJ",27,"SenTomCotton"
"foxandfriends",23,"SenTomCotton"
"RobyBrock",21,"SenTomCotton"
"BankingGOP",19,"SenTomCotton"
"IngrahamAngle",19,"SenTomCotton"
"thehill",19,"SenTomCotton"
"TBArkansas",16,"SenTomCotton"
"wolfblitzer",16,"SenTomCotton"
"ArkRazorbacks",15,"SenTomCotton"
"FoxNews",15,"SenTomCotton"
"1037TheBuzz",14,"SenTomCotton"
"CNNSitRoom",14,"SenTomCotton"
"JohnKerry",12,"SenTomCotton"
"TuckerCarlson",12,"SenTomCotton"
"FaceTheNation",11,"SenTomCotton"
"JohnBoozman",11,"SenTomCotton"
"Region8News",11,"SenTomCotton"
"sendavidperdue",11,"SenTomCotton"
"FoxNewsSunday",10,"SenTomCotton"
"jaketapper",10,"SenTomCotton"
"FreeBeacon",9,"SenTomCotton"
"fxnopinion",9,"SenTomCotton"
"kilmeade",9,"SenTomCotton"
"MeetThePress",9,"SenTomCotton"
"nytimes",9,"SenTomCotton"
"POTUS",9,"SenTomCotton"
"RepFrenchHill",9,"SenTomCotton"
"SenMikeLee",9,"SenTomCotton"
"SenRubioPress",9,"SenTomCotton"
"TheLeadCNN",9,"SenTomCotton"
"USATODAY",9,"SenTomCotton"
"WSJopinion",9,"SenTomCotton"
"CBSThisMorning",8,"SenTomCotton"
"chucktodd",8,"SenTomCotton"
"KATVNews",8,"SenTomCotton"
"marcorubio",8,"SenTomCotton"
"marthamaccallum",8,"SenTomCotton"
"ShannonBream",8,"SenTomCotton"
"washingtonpost",8,"SenTomCotton"
"ArkansasState",7,"SenTomCotton"
"BretBaier",7,"SenTomCotton"
"KASUradio",7,"SenTomCotton"
"seanhannity",7,"SenTomCotton"
"SenRonJohnson",7,"SenTomCotton"
"SpecialReport",7,"SenTomCotton"
"UArkansas",7,"SenTomCotton"
"weeklystandard",7,"SenTomCotton"
"5NEWS",6,"SenTomCotton"
"AEI",6,"SenTomCotton"
"AmericaNewsroom",6,"SenTomCotton"
"DaveElswickShow",6,"SenTomCotton"
"DHSgov",6,"SenTomCotton"
"FOX16News",6,"SenTomCotton"
"KSLA",6,"SenTomCotton"
"MSNBC",6,"SenTomCotton"
"ArFB",5,"SenTomCotton"
"INJO",5,"SenTomCotton"
"kffb1061",5,"SenTomCotton"
"NatlParkService",5,"SenTomCotton"
"ThisWeekABC",5,"SenTomCotton"
"WhiteHouse",5,"SenTomCotton"
"4029news",4,"SenTomCotton"
"ARGameandFish",4,"SenTomCotton"
"AsaHutchinson",4,"SenTomCotton"
"CapitolViewAR",4,"SenTomCotton"
"CFR_org",4,"SenTomCotton"
"ChuckGrassley",4,"SenTomCotton"
"CSIS",4,"SenTomCotton"
"DailySignal",4,"SenTomCotton"
"davidaxelrod",4,"SenTomCotton"
"DMRegister",4,"SenTomCotton"
"Forbes",4,"SenTomCotton"
"greta",4,"SenTomCotton"
"GStephanopoulos",4,"SenTomCotton"
"Jeffery_henders",4,"SenTomCotton"
"KARK4News",4,"SenTomCotton"
"MyArkLaMiss",4,"SenTomCotton"
"oreillyfactor",4,"SenTomCotton"
"RazorbackFB",4,"SenTomCotton"
"RazorbackMBB",4,"SenTomCotton"
"RepDavidYoung",4,"SenTomCotton"
"SenCoryGardner",4,"SenTomCotton"
"TeamCavuto",4,"SenTomCotton"
