"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966831426522857472",2018-02-23 00:25:49,"x558769636","RepBonamici","I enjoyed visiting @Nike World Headquarters in Beaverton and meeting some of the 12,000 Oregonians who are Nike employees. Oregon’s innovative companies help our economy thrive. https://t.co/OUoGtWUs00","Twitter for iPhone",,,,FALSE,FALSE,22,3,,,,,,"http://pbs.twimg.com/media/DWrf-nKU0AAXmbH.jpg","https://t.co/OUoGtWUs00","https://twitter.com/RepBonamici/status/966831426522857472/photo/1","photo","http://pbs.twimg.com/media/DWrf-nKU0AAXmbH.jpg http://pbs.twimg.com/media/DWrf-nCUQAAuik-.jpg http://pbs.twimg.com/media/DWrf-nLVQAITxzx.jpg","https://t.co/OUoGtWUs00 https://t.co/OUoGtWUs00 https://t.co/OUoGtWUs00","https://twitter.com/RepBonamici/status/966831426522857472/photo/1 https://twitter.com/RepBonamici/status/966831426522857472/photo/1 https://twitter.com/RepBonamici/status/966831426522857472/photo/1",,"x415859364","Nike","en",,,,,,,,,,,,,
"x966829875603628033",2018-02-23 00:19:39,"x558769636","RepBonamici","This is outrageous. Arming teachers won’t make students safer. There is no evidence that killers target schools because they don’t allow guns. 
 
https://t.co/KAdcTipgzJ","Twitter Web Client",,,,FALSE,FALSE,40,7,,,"cnbc.com/2018/02/22/tru…","https://t.co/KAdcTipgzJ","https://www.cnbc.com/2018/02/22/trump-tweets-a-gun-free-school-is-a-magnet-for-bad-people.html",,,,,,,,,,,"en",,,,,,,,,,,,,
"x966465813048954880",2018-02-22 00:13:00,"x558769636","RepBonamici","How can students focus on learning when they’re afraid that a shooter will come into their school? #NeverAgain","TweetDeck",,,,FALSE,FALSE,59,15,"NeverAgain",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x966465560337772544",2018-02-22 00:12:00,"x558769636","RepBonamici","I applaud student leaders at @SouthridgeHigh, #TualatinHighSchool, and across Oregon and the country for standing up, speaking out, and demanding action on #GunViolence. Congress must listen and act. #StudentsDemandChange #StudentsDemandAction #MarchForOurLives","TweetDeck",,,,FALSE,FALSE,83,20,"TualatinHighSchool GunViolence StudentsDemandChange StudentsDemandAction MarchForOurLives",,,,,,,,,,,,,"x166994759","southridgehigh","en",,,,,,,,,,,,,
"x966093944688803840",2018-02-20 23:35:20,"x558769636","RepBonamici","Today I heard from school leaders, social workers, experts, and doctors about the importance of prevention &amp; how we can better help young people cope with and recover from addiction. As a leader on the Education Committee, I’m committed to addressing the deadly #OpioidCrisis. https://t.co/DjrPuHmLOT","Twitter for iPhone",,,,FALSE,FALSE,18,5,"OpioidCrisis",,,,,"http://pbs.twimg.com/media/DWhBUc9U8AAAt_b.jpg","https://t.co/DjrPuHmLOT","https://twitter.com/RepBonamici/status/966093944688803840/photo/1","photo","http://pbs.twimg.com/media/DWhBUc9U8AAAt_b.jpg","https://t.co/DjrPuHmLOT","https://twitter.com/RepBonamici/status/966093944688803840/photo/1",,,,"en",,,,,,,,,,,,,
"x966000953844518915",2018-02-20 17:25:49,"x558769636","RepBonamici","I stand with the students in Florida and Oregon and across the country who are 
speaking out and demanding change to end gun violence. Let's start with universal background checks. @SpeakerRyan, we need action. #enoughisenough","Twitter Web Client",,,,FALSE,FALSE,164,41,"enoughisenough",,,,,,,,,,,,,"x18916432","SpeakerRyan","en",,,,,,,,,,,,,
"x964586431904612352",2018-02-16 19:45:01,"x558769636","RepBonamici","Dreamers have worked hard to improve their lives and our communities. Congress must work just as hard to #ProtectDreamers from deportation. 
https://t.co/JNtJtOIaRX","TweetDeck",,,,FALSE,FALSE,15,9,"ProtectDreamers",,"washingtonpost.com/powerpost/as-i…","https://t.co/JNtJtOIaRX","https://www.washingtonpost.com/powerpost/as-immigration-showdown-looms-in-senate-trump-administration-is-doing-everything-in-our-power-to-stop-bipartisan-plan-official-says/2018/02/15/e0cff9d0-1260-11e8-8ea1-c1d91fcec3fe_story.html?utm_term=.1f3767369521",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964260290085998592",2018-02-15 22:09:02,"x558769636","RepBonamici","As I mom, I can’t imagine the grief felt by family and friends in Florida. We need more than prayers. Hearings are a critical first step, but Congress can and must follow through with action. #EnoughisEnough https://t.co/R98znX9zTq","Media Studio",,,,FALSE,FALSE,61,20,"EnoughisEnough",,,,,"http://pbs.twimg.com/media/DWG9iIfX0AAG6D1.jpg","https://t.co/R98znX9zTq","https://twitter.com/RepBonamici/status/964260290085998592/video/1","photo","http://pbs.twimg.com/media/DWG9iIfX0AAG6D1.jpg","https://t.co/R98znX9zTq","https://twitter.com/RepBonamici/status/964260290085998592/video/1",,,,"en",,,,,,,,,,,,,
"x963943035280248834",2018-02-15 01:08:23,"x558769636","RepBonamici","It’s only February, and there have already been 18 school shootings this year. I’m horrified and devastated by the news of more people murdered in a Florida school.","Twitter for iPhone",,,,FALSE,FALSE,40,14,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963913997845237761",2018-02-14 23:13:00,"x558769636","RepBonamici","Estuaries are a vital part of our eco-system. As co-chair of Estuaries Caucus, I’m fighting for more protections and investments in research and restoration. #iheartestuaries https://t.co/hmQuT9g8Vx","TweetDeck",,,,FALSE,FALSE,21,4,"iheartestuaries",,,,,"http://pbs.twimg.com/media/DWB-RSkX4AEJ-7A.jpg","https://t.co/hmQuT9g8Vx","https://twitter.com/RepBonamici/status/963913997845237761/photo/1","photo","http://pbs.twimg.com/media/DWB-RSkX4AEJ-7A.jpg","https://t.co/hmQuT9g8Vx","https://twitter.com/RepBonamici/status/963913997845237761/photo/1",,,,"en",,,,,,,,,,,,,
"x963908900679507968",2018-02-14 22:52:45,"x558769636","RepBonamici","Happy Birthday Oregon! Every day I’m proud to represent NW #Oregon, a very innovative and economically diverse region. https://t.co/Pib9rGyTKI","TweetDeck",,,,FALSE,FALSE,33,1,"Oregon",,,,,"http://pbs.twimg.com/media/DWB-A9DX4AA4iW_.jpg","https://t.co/Pib9rGyTKI","https://twitter.com/RepBonamici/status/963908900679507968/photo/1","photo","http://pbs.twimg.com/media/DWB-A9DX4AA4iW_.jpg","https://t.co/Pib9rGyTKI","https://twitter.com/RepBonamici/status/963908900679507968/photo/1",,,,"en",,,,,,,,,,,,,
"x963510035631476738",2018-02-13 20:27:48,"x558769636","RepBonamici","Even though Oregon has some of the best laws in the country to address predatory payday lending, online and offshore lenders are using loopholes to get around those laws and exploit vulnerable Oregonians.","Twitter Web Client",,,,FALSE,FALSE,15,7,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963509189451681792",2018-02-13 20:24:26,"x558769636","RepBonamici","Trump's budget drastically cuts almost every research program on climate change and every environmental protection program. We can’t ignore climate change.","TweetDeck",,,,FALSE,FALSE,41,16,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963204450574839808",2018-02-13 00:13:31,"x558769636","RepBonamici","Congratulations to the @WestviewCats and @SHS_Apollos students who qualified for the @DOE_SC_NSB! Oregon is proud of you.","TweetDeck",,,,FALSE,FALSE,11,3,,,,,,,,,,,,,,"x2800778041 412387951 825687307","WestviewCats SHS_Apollos DOE_SC_NSB","en",,,,,,,,,,,,,
