"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966815809317277696",2018-02-22 23:23:46,"x816111677917851649","RepRooney","To watch our town hall live, visit our Congressional Facebook page now.","Twitter for iPhone",,,,FALSE,FALSE,2,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964210531388149760",2018-02-15 18:51:19,"x816111677917851649","RepRooney","Congressman Francis Rooney Announces District Town Hall Meetings for Lee and Collier Counties (UPDATED LOCATION)   - https://t.co/T31nvHsgyT","Twitter Web Client",,,,FALSE,FALSE,2,4,,,"francisrooney.house.gov/news/documents…","https://t.co/T31nvHsgyT","http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=316",,,,,,,,,,,"en",,,,,,,,,,,,,
"x963921110348779520",2018-02-14 23:41:16,"x816111677917851649","RepRooney","I pray for the victims, their families, and the first responders on the scene of today’s tragic shooting. It is important that we know the details of today’s events so that we can adequately assess ways to prevent future attacks","Twitter for iPhone",,,,FALSE,FALSE,12,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963125520694153216",2018-02-12 18:59:52,"x816111677917851649","RepRooney","Tune in to @FoxBusiness at 2:00 today for a discussion of the White House budget plan. #FoxBusiness #TrumpBudget https://t.co/aa3UqwiO2F","Twitter for iPhone",,,,FALSE,FALSE,2,2,"FoxBusiness TrumpBudget",,,,,"http://pbs.twimg.com/media/DV21jHbWkAAmstR.jpg","https://t.co/aa3UqwiO2F","https://twitter.com/RepRooney/status/963125520694153216/photo/1","photo","http://pbs.twimg.com/media/DV21jHbWkAAmstR.jpg","https://t.co/aa3UqwiO2F","https://twitter.com/RepRooney/status/963125520694153216/photo/1",,"x56413858","FoxBusiness","en",,,,,,,,,,,,,
"x962106043038879744",2018-02-09 23:28:50,"x816111677917851649","RepRooney","In addition to aid for Hurricane Irma victims, the budget deal passed this morning will provide much needed funding to the Army Corp of Engineers, which can be allocated to fixing the Herbert Hoover Dike around Lake Okeechobee.","Twitter for iPhone",,,,FALSE,FALSE,7,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x962004335570767873",2018-02-09 16:44:41,"x816111677917851649","RepRooney","Tune in to @Varneyco on @FoxBusiness at 11:50 this morning - discussion of 2-year budget agreement passed this morning.","Twitter for iPhone",,,,FALSE,FALSE,2,2,,,,,,,,,,,,,,"x281610530 56413858","Varneyco FoxBusiness","en",,,,,,,,,,,,,
"x961348001318035457",2018-02-07 21:16:39,"x816111677917851649","RepRooney","Tune in to @FoxBusiness now as we discuss the latest on a government funding proposal.","Twitter for iPhone",,,,FALSE,FALSE,5,1,,,,,,,,,,,,,,"x56413858","FoxBusiness","en",,,,,,,,,,,,,
"x958345945124605952",2018-01-30 14:27:33,"x816111677917851649","RepRooney","Starting the day on media row to talk about the State of the Union #SOTU and the great successes of tax reform https://t.co/g6MRyrgs79","Twitter for iPhone",,,,FALSE,FALSE,11,3,"SOTU",,,,,"http://pbs.twimg.com/media/DUy6jiyWkAAAygj.jpg","https://t.co/g6MRyrgs79","https://twitter.com/RepRooney/status/958345945124605952/photo/1","photo","http://pbs.twimg.com/media/DUy6jiyWkAAAygj.jpg","https://t.co/g6MRyrgs79","https://twitter.com/RepRooney/status/958345945124605952/photo/1",,,,"en",,,,,,,,,,,,,
"x957312797427339264",2018-01-27 18:02:11,"x816111677917851649","RepRooney","I'll be on @FoxNews with @LelandVittert to discuss the latest on immigration- Tune in now!","Twitter for iPhone",,,,FALSE,FALSE,5,2,,,,,,,,,,,,,,"x1367531 21010253","FoxNews LelandVittert","en",,,,,,,,,,,,,
"x956587636528906240",2018-01-25 18:00:39,"x816111677917851649","RepRooney","Congressman Francis Rooney Announces District Town Hall Meetings for Lee and Collier Counties - https://t.co/5WPZJ0gAvy","Twitter Web Client",,,,FALSE,FALSE,2,2,,,"francisrooney.house.gov/news/documents…","https://t.co/5WPZJ0gAvy","http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=310",,,,,,,,,,,"en",,,,,,,,,,,,,
"x955952196306329600",2018-01-23 23:55:38,"x816111677917851649","RepRooney","Tune in to @LouDobbs on @FoxBusiness at 7:05 tonight as we discuss the FBI and DOJ #ReleasetheMemo","Twitter for iPhone",,,,FALSE,FALSE,41,16,"ReleasetheMemo",,,,,,,,,,,,,"x26487169 56413858","LouDobbs FoxBusiness","en",,,,,,,,,,,,,
"x955484201276575749",2018-01-22 16:56:00,"x816111677917851649","RepRooney","""If the men and women serving in our military aren’t being paid, then we shouldn’t be either""
Congressman Rooney statement on Congressional pay during the Government Shutdown - https://t.co/lcfon9l9Yp","Twitter Web Client",,,,FALSE,FALSE,29,7,,,"francisrooney.house.gov/news/documents…","https://t.co/lcfon9l9Yp","http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=306",,,,,,,,,,,"en",,,,,,,,,,,,,
"x954069334556626944",2018-01-18 19:13:49,"x816111677917851649","RepRooney","I have introduced H.R. 4770, to make permanent the moratorium on offshore drilling in the eastern Gulf of Mexico. https://t.co/qMU2KkOSKJ","Twitter Web Client",,,,FALSE,FALSE,14,4,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/954068485038116865/pu/img/tITygNNKuxZXe7BH.jpg","https://t.co/qMU2KkOSKJ","https://twitter.com/RepRooney/status/954069334556626944/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/954068485038116865/pu/img/tITygNNKuxZXe7BH.jpg","https://t.co/qMU2KkOSKJ","https://twitter.com/RepRooney/status/954069334556626944/video/1",,,,"en",,,,,,,,,,,,,
"x953352188981645312",2018-01-16 19:44:08,"x816111677917851649","RepRooney","Tune in to @FoxBusiness at 2:45 today, as we discuss the latest developments in North Korea.","Twitter for iPhone",,,,FALSE,FALSE,2,4,,,,,,,,,,,,,,"x56413858","FoxBusiness","en",,,,,,,,,,,,,
"x951825141037699072",2018-01-12 14:36:12,"x816111677917851649","RepRooney","I have Introduced Legislation to Permanently ban drilling in Eastern Gulf - 
H.R. 4770 Protecting and Securing Florida’s Coastline Act
https://t.co/x9P1kBS7pf","Twitter Web Client",,,,FALSE,FALSE,16,3,,,"francisrooney.house.gov/news/documents…","https://t.co/x9P1kBS7pf","http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=300",,,,,,,,,,,"en",,,,,,,,,,,,,
"x951244863881777152",2018-01-11 00:10:23,"x816111677917851649","RepRooney","Tune in to @LouDobbs on @FoxBusiness now - I'll be on to discuss the politicization of DOJ and the Trump Dossier","Twitter for iPhone",,,,FALSE,FALSE,9,3,,,,,,,,,,,,,,"x26487169 56413858","LouDobbs FoxBusiness","en",,,,,,,,,,,,,
"x950914719757586432",2018-01-10 02:18:30,"x816111677917851649","RepRooney","My goal is still a permanent ban on offshore drilling in the eastern Gulf  

ICYMI - my letter to Sec Zinke:
https://t.co/DXnFKA89Wc (2/2)","Twitter for iPhone",,,,FALSE,FALSE,6,4,,,"francisrooney.house.gov/news/documents…","https://t.co/DXnFKA89Wc","https://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=296",,,,,,,,,,,"en",,,,,,,,,,,,,
"x950913000617234437",2018-01-10 02:11:41,"x816111677917851649","RepRooney","Thank you @POTUS &amp; Sec Zinke for listening to the people. The decision to remove FL from the offshore drilling plan is a good start (1/2)","Twitter for iPhone",,,,FALSE,FALSE,16,4,,,,,,,,,,,,,,"x822215679726100480","POTUS","en",,,,,,,,,,,,,
"x950848872309551105",2018-01-09 21:56:51,"x816111677917851649","RepRooney","I rise today to discuss an invasive and dangerous species destroying our Everglades ecosystem. 

https://t.co/nVgrY3WTWd https://t.co/mNCVxHB0Yh","Twitter Web Client",,,,FALSE,FALSE,16,7,,,"facebook.com/RepRooney/vide…","https://t.co/nVgrY3WTWd","https://www.facebook.com/RepRooney/videos/975610085919797/","http://pbs.twimg.com/media/DTIX9T5W0AAgUX5.jpg","https://t.co/mNCVxHB0Yh","https://twitter.com/RepRooney/status/950848872309551105/photo/1","photo","http://pbs.twimg.com/media/DTIX9T5W0AAgUX5.jpg","https://t.co/mNCVxHB0Yh","https://twitter.com/RepRooney/status/950848872309551105/photo/1",,,,"en",,,,,,,,,,,,,
"x950843004570492928",2018-01-09 21:33:32,"x816111677917851649","RepRooney","Congressman Francis Rooney Statement on Resolution Supporting the Iranian People - https://t.co/fVmfIHG5SY","Twitter Web Client",,,,FALSE,FALSE,3,2,,,"francisrooney.house.gov/news/documents…","https://t.co/fVmfIHG5SY","http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=299",,,,,,,,,,,"en",,,,,,,,,,,,,
"x949290821337182208",2018-01-05 14:45:43,"x816111677917851649","RepRooney","Draining the swamp, one python at a time #TheHunt https://t.co/cGe4LQJus0","Twitter for iPhone",,,,FALSE,FALSE,25,6,"TheHunt",,,,,"http://pbs.twimg.com/media/DSyO-DQX4AA4Nby.jpg","https://t.co/cGe4LQJus0","https://twitter.com/RepRooney/status/949290821337182208/photo/1","photo","http://pbs.twimg.com/media/DSyO-DQX4AA4Nby.jpg","https://t.co/cGe4LQJus0","https://twitter.com/RepRooney/status/949290821337182208/photo/1",,,,"en",,,,,,,,,,,,,
"x949039952628772866",2018-01-04 22:08:51,"x816111677917851649","RepRooney","Congressman Rooney Statement letter to Interior Secretary Zinke Opposing Drilling in the Eastern Gulf of Mexico - https://t.co/rfaCmYro3R","Twitter Web Client",,,,FALSE,FALSE,12,4,,,"francisrooney.house.gov/news/documents…","https://t.co/rfaCmYro3R","http://francisrooney.house.gov/news/documentsingle.aspx?DocumentID=296",,,,,,,,,,,"en",,,,,,,,,,,,,
"x944615661115977728",2017-12-23 17:08:18,"x816111677917851649","RepRooney","Tune in to  @MSNBC now as I discuss #TaxCutAndJobsAct with @RichardLui","Twitter for iPhone",,,,FALSE,FALSE,16,7,"TaxCutAndJobsAct",,,,,,,,,,,,,"x2836421 11762572","MSNBC RichardLui","en",,,,,,,,,,,,,
