"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x964569244393451523",2018-02-16 18:36:43,"x249348006","RepAnnaEshoo","It’s exciting to celebrate the #ChineseNewYear, the Year of the Dog. I join Chinese Americans in California’s 18th Congressional District and wish them a happy, healthy and prosperous Lunar New Year!","TweetDeck",,,,FALSE,FALSE,10,2,"ChineseNewYear",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964537403062079488",2018-02-16 16:30:11,"x249348006","RepAnnaEshoo","50 years ago today, the first 9-1-1 call was made in Alabama. Since then 9-1-1 call centers have been the first point of contact for Americans in an emergency situation, but we’re still relying on technology that’s fifty years old.","TweetDeck",,,,FALSE,FALSE,26,10,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963936493952798721",2018-02-15 00:42:23,"x249348006","RepAnnaEshoo","Devastated by the horrific news of a school shooting coming out of Parkland, Florida today. My heart and mind are with the parents filled with unimaginable sorrow who lost their children.","Twitter for iPhone",,,,FALSE,FALSE,27,14,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961999401903411205",2018-02-09 16:25:05,"x249348006","RepAnnaEshoo","As the Winter Olympics begin in #Pyeongchang2018, I want to give a shout out to my constituent, @govincentzhou, a world renowned figure skater and Team USA athlete. Go USA!","TweetDeck",,,,FALSE,FALSE,28,6,"Pyeongchang2018",,,,,,,,,,,,,"x1385995460","govincentzhou","en",,,,,,,,,,,,,
"x959131107697586178",2018-02-01 18:27:30,"x249348006","RepAnnaEshoo","Every February our country celebrates #BlackHistoryMonth. It’s a time to recommit ourselves to the promise of equality and opportunity for all Americans and celebrate the progress we’ve made as a nation.","TweetDeck",,,,FALSE,FALSE,20,6,"BlackHistoryMonth",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x954099926966915082",2018-01-18 21:15:23,"x249348006","RepAnnaEshoo","Today I introduced the Community Broadband Act, legislation that will empower local communities to ensure their residents have broadband access by preserving the right to provide community-owned service to consumers.","TweetDeck",,,,FALSE,FALSE,27,7,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x953696747661996032",2018-01-17 18:33:18,"x249348006","RepAnnaEshoo","Today, @RepMcKinley and I introduced legislation that will reduce the cost of expanding broadband access to local communities across the country.","TweetDeck",,,,FALSE,FALSE,23,6,,,,,,,,,,,,,,"x240427862","RepMcKinley","en",,,,,,,,,,,,,
"x951512037351411713",2018-01-11 17:52:02,"x249348006","RepAnnaEshoo","It’s been over 100 days since Congress let the Children’s Health Insurance Program (#CHIP) expire and 100+ days of worry for millions of parents across the country who fear that their children will lose their only source of health coverage.","TweetDeck",,,,FALSE,FALSE,37,20,"CHIP",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x951169792689561603",2018-01-10 19:12:05,"x249348006","RepAnnaEshoo","Last week the Trump Admin announced their plan to dismantle a decades-old ban on oil &amp; gas drilling on shorelines across the nation. For over 40 years I’ve opposed drilling off the CA coast, understanding the risks of drilling &amp; knowing we had to move to a new energy future.","TweetDeck",,,,FALSE,FALSE,49,10,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x941052807704141825",2017-12-13 21:10:47,"x249348006","RepAnnaEshoo","Even as millions of Americans have voiced their support for a free and open internet, @AjitPaiFCC is determined to unravel all #NetNeutrality protections TOMORROW.","TweetDeck",,,,FALSE,FALSE,22,18,"NetNeutrality",,,,,,,,,,,,,"x575658149","AjitPaiFCC","en",,,,,,,,,,,,,
"x930517024027152385",2017-11-14 19:25:21,"x249348006","RepAnnaEshoo","My constituents have weighed in via emails and phone calls with their overwhelming opposition to the #GOPTaxScam. Numbers as of today:

Support: 20
Opposition: 1,719","TweetDeck",,,,FALSE,FALSE,539,192,"GOPTaxScam",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x930175672613470208",2017-11-13 20:48:56,"x249348006","RepAnnaEshoo","Are you a Covered California member? If so, it’s time to #GetCovered for 2018. Free in-person help is available at://www.coveredca.com/find-help/","TweetDeck",,,,FALSE,FALSE,7,8,"GetCovered",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x921071179108093953",2017-10-19 17:50:56,"x249348006","RepAnnaEshoo","Looking forward to today's forum w/ @hamiltonproj, @LeanInOrg &amp; @StanfordLaw on women’s economic opportunity! #The51Percent","TweetDeck",,,,FALSE,FALSE,7,4,"The51Percent",,,,,,,,,,,,,"x125359805 743585142 16017961","hamiltonproj LeanInOrg StanfordLaw","en",,,,,,,,,,,,,
"x912667725314617345",2017-09-26 13:18:36,"x249348006","RepAnnaEshoo","Resistance to #Trumpcare is growing in the Senate, but we must keep turning up the heat to abandon this monstrous bill once and for all.","TweetDeck",,,,FALSE,FALSE,18,5,"Trumpcare",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x908747956819496961",2017-09-15 17:42:51,"x249348006","RepAnnaEshoo","This #HispanicHeritageMonth I’m proud to honor the history, culture and achievements of the Latino Community in #CA18 and across our country","TweetDeck",,,,FALSE,FALSE,17,5,"HispanicHeritageMonth CA18",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x907229271348957185",2017-09-11 13:08:08,"x249348006","RepAnnaEshoo","16 years ago the world bore witness to the horrific attacks on our nation carried out by al-Qaeda terrorists, killing nearly 3,000 Americans","TweetDeck",,,,FALSE,FALSE,7,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x897987012120244224",2017-08-17 01:02:42,"x249348006","RepAnnaEshoo","...that claimed three precious lives are American terrorists who traffic in hatred. 2/","Twitter for iPhone",,,,FALSE,FALSE,17,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x897986967627075584",2017-08-17 01:02:31,"x249348006","RepAnnaEshoo","The white supremacists that the President has chosen to defend since the horrific event last weekend in Charlottesville... 1/","Twitter for iPhone",,,,FALSE,FALSE,17,4,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x897163874138439680",2017-08-14 18:31:50,"x249348006","RepAnnaEshoo","82 years ago today, Social Security was established to provide older Americans with stability and security #SocSec82","Twitter for iPhone",,,,FALSE,FALSE,32,13,"SocSec82",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x890953344109490177",2017-07-28 15:13:25,"x249348006","RepAnnaEshoo","The defeat of #Trumpcare is a direct result of the American people's determination to organize, protest &amp; make their voices heard","TweetDeck",,,,FALSE,FALSE,89,20,"Trumpcare",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x890598082181779456",2017-07-27 15:41:43,"x249348006","RepAnnaEshoo","52 years ago, LBJ signed #Medicare &amp; #Medicaid into law, securing a fundamental belief that health care is a right not a privilege","TweetDeck",,,,FALSE,FALSE,58,31,"Medicare Medicaid",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x885967432044642304",2017-07-14 21:01:10,"x249348006","RepAnnaEshoo","NEW: On Saturday, July 22nd I’ll be hosting an in-person Town Hall Meeting at West Valley College.","TweetDeck",,,,FALSE,FALSE,19,9,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x885916385225965570",2017-07-14 17:38:20,"x249348006","RepAnnaEshoo","Jared Kushner somehow forgot to list numerous meetings with Russian officials on his security clearance form. #RevokeKushner","TweetDeck",,,,FALSE,FALSE,742,378,"RevokeKushner",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x885232162085228545",2017-07-12 20:19:28,"x249348006","RepAnnaEshoo","Recently, I met with several online startups @Mozilla. Each &amp; every participant spoke about the importance of #NetNeutrality (THREAD)","TweetDeck",,,,FALSE,FALSE,69,31,"NetNeutrality",,,,,,,,,,,,,"x106682853","mozilla","en",,,,,,,,,,,,,
"x879361991407751170",2017-06-26 15:33:31,"x249348006","RepAnnaEshoo","I have a few thoughts I'd like to share on #Trumpcare. 1/","Twitter Web Client",,,,FALSE,FALSE,17,4,"Trumpcare",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
